鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金城鎮,土地,蜈蚣山段150地號,562.43,都市：其他:國家公園區,,,1100930,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1406075,2500,,0.0,0,地清或未辦繼承標售；,RPTNMLLJRHGGFAW07EA,0.0,0.0,0.0,無,
金湖鎮,土地,太湖劃測段1698地號,1080.33,農,,,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4950000,4582,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNJRHGGFAW07DA,0.0,0.0,0.0,無,
金城鎮,房地(土地+建物),金門縣金城鎮金門城６８之８號,199.59,都市：其他:自然村專用區,,,1100902,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070427,403.78,8,1,9,有,無,15000000,37149,,0.0,0,,RPSNMLMJRHGGFAW96DA,375.75,0.0,28.03,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉頂埔下２９號三樓之３,16.87,都市：其他:自然村專用區,,,1100902,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1050126,34.96,0,0,0,無,無,2150000,61499,,0.0,0,,RPROMLRJRHGGFAW47DA,22.46,0.0,3.46,無,001
金沙鎮,土地,山西段617地號,456.04,都市：其他:保護區,,,1100804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,1206,,0.0,0,,RPPNMLOJQHGGFAW86EA,0.0,0.0,0.0,無,
金沙鎮,土地,浯坑劃測段1212-2地號,511.65,都市：其他:風景區,,,1100810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,1759,,0.0,0,,RPQNMLKKQHGGFAW66EA,0.0,0.0,0.0,無,
金城鎮,房地(土地+建物),金門縣金城鎮小西門７６之２號,64.32,都市：其他:自然村專用區,,,1100801,土地2建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091119,141.79,3,2,2,有,有,9400000,66295,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRNMLNJQHGGFAW86DA,113.03,0.0,9.7,有,
金城鎮,土地,小西門劃測段772地號,1100.02,農,,,1100805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,5454,,0.0,0,,RPWNMLQJQHGGFAW67DA,0.0,0.0,0.0,無,
金寧鄉,土地,寧湖一劃段354-1地號,200.0,農,,,1100809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1480000,7400,,0.0,0,,RPSNMLTJQHGGFAW57DA,0.0,0.0,0.0,無,
金寧鄉,土地,長寮段719地號,69.81,都市：其他:自然村專用區,,,1100803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,14325,,0.0,0,,RPQNMLRKQHGGFAW27DA,0.0,0.0,0.0,無,
