編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLNKPHGGFAX07DA,坡道平面,0,,地下一樓
RPSNMLNKPHGGFAX07DA,坡道平面,0,,地下一樓
RPVNMLQKQHGGFAX77DA,坡道機械,0,,地下一樓
RPWNMLSKQHGGFAX08DA,坡道平面,0,,地下二樓
RPUOMLOLOHGGFAX47DA,一樓平面,0,,一樓
RPVOMLOLOHGGFAX57DA,一樓平面,0,,一樓
RPXOMLOLOHGGFAX77DA,一樓平面,0,,一樓
RPUNMLOLOHGGFAX37DA,一樓平面,0,,一樓
RPSNMLOLOHGGFAX17DA,一樓平面,0,,一樓
RPWNMLOLOHGGFAX57DA,一樓平面,0,,一樓
RPVNMLOLOHGGFAX47DA,一樓平面,0,,一樓
RPROMLOLOHGGFAX17DA,一樓平面,0,,一樓
RPTNMLOLOHGGFAX27DA,一樓平面,0,,一樓
RPQOMLOLOHGGFAX07DA,一樓平面,0,,一樓
RPSOMLOLOHGGFAX27DA,一樓平面,0,,一樓
RPSOMLOLOHGGFAX27DA,一樓平面,0,,一樓
RPWOMLOLOHGGFAX67DA,一樓平面,0,,一樓
RPOOMLOLOHGGFAX86DA,一樓平面,0,,一樓
RPTOMLOLOHGGFAX37DA,一樓平面,0,,一樓
RPPOMLOLOHGGFAX96DA,一樓平面,0,,一樓
RPSPMLOLOHGGFAX37DA,一樓平面,0,,一樓
RPWNMLQLPHGGFAX87DA,坡道平面,0,,地下二樓
RPSNMLRKOHGGFAX37DA,坡道平面,0,,地下一樓
RPSNMLTJOHGGFAX47DA,坡道機械,0,,地下一樓
