編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMKJIGGFDC17EA,港濱段,39.60,都市：其他:住宅區(住一),100,1,持分移轉,10200000
RPQNMLMKJIGGFDC17EA,港濱段,.81,都市：其他:學校用地(文小),100,1,持分移轉,10200001
RPVNMLTJJIGGFDC18DA,觀音段,26.02,都市：其他:住宅區,10000,242,持分移轉,00410000
RPVNMLTJJIGGFDC18DA,觀音段,.02,都市：其他:住宅區,10000,242,持分移轉,00410001
RPPNMLMKJIGGFDC07EA,港濱段,26.33,都市：其他:住宅區(住一),20000,133,持分移轉,10200000
RPPNMLMKJIGGFDC07EA,港濱段,.54,都市：其他:學校用地(文小),20000,133,持分移轉,10200001
RPQNMLTJJIGGFDC77EA,源遠段,19.73,都市：其他:住宅區(住一),100000,496,持分移轉,12700002
RPSRMLKKJIGGFDC47DA,港濱段,14.19,都市：其他:住宅區(住一),10000,442,持分移轉,10450000
RPSRMLKKJIGGFDC47DA,港濱段,.53,都市：其他:住宅區(住一),10000,442,持分移轉,10450001
RPSRMLKKJIGGFDC47DA,港濱段,6.72,都市：其他:商業區(商一),10000,442,持分移轉,10450002
RPSOMLKKJIGGFDC17DA,調和段,6.08,都市：其他:住宅區(住二),100000,42,持分移轉,14130000
RPTNMLRKJIGGFDC97EA,新會段,.44,都市：其他:住宅區(住二),100000,288,持分移轉,02300000
RPTNMLRKJIGGFDC97EA,新會段,15.33,都市：其他:住宅區(住二),100000,288,持分移轉,02310000
RPTNMLRKJIGGFDC97EA,新會段,1.13,都市：其他:住宅區(住二),100000,288,持分移轉,02320000
RPTNMLRKJIGGFDC97EA,新會段,.82,都市：其他:住宅區(住二),100000,288,持分移轉,02330000
RPPNMLSKJIGGFDC67EA,溪頭段,17.99,都市：其他:住宅區(住三),619830,17990,持分移轉,05480000
