編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKQHGGFDC18CB,調和段,30.24,都市：住,100000,153,持分移轉,13820021
RPPNMLNKQHGGFDC77DB,代天府段,23.18,都市：住,100000,869,持分移轉,08980000
RPPNMLQLQHGGFDC18DB,長安段,31.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,175,持分移轉,02740000
RPVNMLMJRHGGFDC18CB,長潭段,5.27,都市：住,100000,360,持分移轉,08920001
RPVNMLMJRHGGFDC18CB,長潭段,42.10,都市：住,100000,360,持分移轉,09020000
RPUNMLMJRHGGFDC08CB,長潭段,3.19,都市：住,100000,218,持分移轉,08920001
RPUNMLMJRHGGFDC08CB,長潭段,25.50,都市：住,100000,218,持分移轉,09020000
RPWNMLMJRHGGFDC28CB,調和段,30.83,都市：住,100000,156,持分移轉,13820021
RPXNMLMJRHGGFDC38CB,調和段,30.83,都市：住,100000,156,持分移轉,13820021
RPPNMLRJRHGGFDC08CB,觀音段,27.84,都市：住,10000,79,持分移轉,00670000
RPRNMLRJRHGGFDC28CB,調和段,30.44,都市：住,100000,154,持分移轉,13820021
RPPNMLTJRHGGFDC28CB,長潭段,2.11,都市：住,100000,144,持分移轉,08920001
RPPNMLTJRHGGFDC28CB,長潭段,16.84,都市：住,100000,144,持分移轉,09020000
RPQNMLTJRHGGFDC38CB,長潭段,2.11,都市：住,100000,144,持分移轉,08920001
RPQNMLTJRHGGFDC38CB,長潭段,16.84,都市：住,100000,144,持分移轉,09020000
RPRNMLTJRHGGFDC48CB,長潭段,3.22,都市：住,100000,220,持分移轉,08920001
RPRNMLTJRHGGFDC48CB,長潭段,25.73,都市：住,100000,220,持分移轉,09020000
RPPNMLTJRHGGFDC38DB,港濱段,52.16,都市：住,10000,316,持分移轉,13110000
RPTNMLLKRHGGFDC08DB,調和段,77.43,都市：住,100000,834,持分移轉,08480000
RPTNMLLKRHGGFDC08DB,調和段,.28,都市：住,100000,834,持分移轉,08480001
RPTNMLLKRHGGFDC08DB,調和段,.49,都市：住,100000,834,持分移轉,08490008
RPUNMLLKRHGGFDC18DB,調和段,85.88,都市：住,100000,925,持分移轉,08480000
RPUNMLLKRHGGFDC18DB,調和段,.31,都市：住,100000,925,持分移轉,08480001
RPUNMLLKRHGGFDC18DB,調和段,.55,都市：住,100000,925,持分移轉,08490008
RPVNMLLKRHGGFDC28DB,調和段,85.32,都市：住,100000,919,持分移轉,08480000
RPVNMLLKRHGGFDC28DB,調和段,.31,都市：住,100000,919,持分移轉,08480001
RPVNMLLKRHGGFDC28DB,調和段,.54,都市：住,100000,919,持分移轉,08490008
RPPNMLPKRHGGFDC97CB,調和段,30.44,都市：住,100000,154,持分移轉,13820021
RPQNMLPKRHGGFDC08CB,調和段,30.83,都市：住,100000,156,持分移轉,13820021
RPRNMLPKRHGGFDC18CB,調和段,30.24,都市：住,100000,153,持分移轉,13820021
RPTNMLPKRHGGFDC38CB,調和段,30.24,都市：住,100000,153,持分移轉,13820021
RPSNMLPKRHGGFDC28CB,調和段,31.03,都市：住,100000,157,持分移轉,13820021
