鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多四路B1-14F,9.2,商,,,1100812,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.43,3,2,2,有,無,14860000,89827,坡道平面,27.98,0,,RPVVMLMKQHGGFBE98CB,繽海,B棟1號
三民區,房地(土地+建物)+車位,高雄市三民區民孝路93巷,9.44,商,,,1100811,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.44,2,2,2,有,無,7180000,65604,塔式車位,7.41,880000,,RPPNMLMKQHGGFDE77CB,K HOUSE,A棟3號
小港區,房地(土地+建物),高雄市小港區平治街,5.11,商,,,1100812,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,52.49,1,1,1,有,無,3500000,66679,,0.0,0,,RPPNMLNKQHGGFCE77CB,錢進高雄2,A棟5號
三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.28,商,,,1100811,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.07,3,2,2,有,無,10250000,77808,坡道平面,27.47,1800000,,RPPNMLOKQHGGFDE97CB,鑫天地二期,B5棟12號
三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.17,商,,,1100812,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.41,3,2,2,有,無,10250000,79016,坡道平面,27.47,1800000,,RPQNMLOKQHGGFDE08CB,鑫天地二期,B1棟8號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路,12.12,住,,,1100813,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.34,2,1,2,有,無,9250000,89958,坡道平面,48.97,2200000,,RPQOMLQKQHGGFAE08CB,青海LINE,A8棟14號
橋頭區,房地(土地+建物)+車位,高雄市橋頭區後壁田段90地號橋新一路、橋新七路口,21.16,住,,,1100812,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.29,3,2,2,有,無,7600000,45941,坡道平面,25.98,1200000,,RPQNMLRKQHGGFFE68DB,森遠,A2棟8號
橋頭區,房地(土地+建物)+車位,高雄市橋頭區後壁田段90地號橋新一路、橋新七路口,13.26,住,,,1100812,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.1,2,2,1,有,無,3980000,41439,坡道平面,25.98,950000,,RPPNMLSKQHGGFFE68DB,森遠,A8棟8號
大社區,房地(土地+建物),高雄市大社區民生路,25.61,住,,,1100811,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,72.01,2,1,2,有,無,4230000,58742,,0.0,0,,RPWQMLTKQHGGFIE37CB,皇家旺博市五期,A5棟2號
大社區,房地(土地+建物),高雄市大社區民生路,25.48,住,,,1100812,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,71.74,2,1,2,有,無,4150000,57848,,0.0,0,,RPXQMLTKQHGGFIE47CB,皇家旺博市五期,A3棟4號
小港區,房地(土地+建物),高雄市小港區平治街,5.11,商,,,1100821,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,52.49,1,1,1,有,無,3580000,68203,,0.0,0,,RPPNMLLLQHGGFCE67CB,錢進高雄2,A棟5號
橋頭區,房地(土地+建物)+車位,高雄市橋頭區後壁田段90地號橋新一路、橋新七路口,13.87,住,,,1100819,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.36,2,2,1,有,無,4750000,45631,坡道平面,24.37,1100000,,RPPNMLNLQHGGFFE28DB,森遠,D7棟12號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳翔段135地號鳳東七街、中山東路380巷口,25.77,住,,,1100819,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.5,3,2,2,有,無,7250000,52070,坡道平面,27.19,1350000,,RPPNMLNLQHGGFGE38DB,京城鳳翔,B3棟4號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳翔段135地號鳳東七街、中山東路380巷口,22.5,住,,,1100819,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.74,2,1,2,有,無,5800000,51872,坡道平面,28.88,1450000,,RPQNMLNLQHGGFGE48DB,京城鳳翔,A1棟6號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明倫路,9.13,商,,,1100822,土地1建物1車位1,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.38,3,2,2,有,無,15860000,102484,坡道平面,27.14,2000000,,RPPNMLOLQHGGFAE77CB,鑫巨蛋2,A2棟5號
岡山區,房地(土地+建物),高雄市岡山區協和路與柳橋西路,87.25,住,,,1100819,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,157.11,4,2,3,有,無,13000000,82745,,0.0,0,,RPPSMLOLQHGGFFE78CB,春福好里,E棟5號
前鎮區,房地(土地+建物)+車位,高雄市前鎮區憲德街,26.65,住,,,1100818,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.74,4,2,2,有,無,14800000,72792,坡道平面,21.21,1950000,,RPPNMLOLQHGGFCE97CB,勤見築,A棟1號
前鎮區,房地(土地+建物)+車位,高雄市前鎮區憲德街,26.65,住,,,1100817,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.74,4,2,2,有,無,13880000,68714,坡道平面,21.21,1750000,,RPRNMLOLQHGGFCE18CB,勤見築,A棟1號
前鎮區,房地(土地+建物)+車位,高雄市前鎮區憲德街,26.65,住,,,1100817,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.74,4,2,2,有,無,13800000,68260,坡道平面,21.21,1750000,,RPSNMLOLQHGGFCE28CB,勤見築,A棟1號
前鎮區,房地(土地+建物)+車位,高雄市前鎮區憲德街,23.15,住,,,1100818,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.62,3,2,2,有,無,12520000,70204,坡道平面,21.21,1750000,,RPVNMLOLQHGGFCE58CB,勤見築,A棟3號
前鎮區,房地(土地+建物)+車位,高雄市前鎮區憲德街,23.15,住,,,1100817,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.62,3,2,2,有,無,12160000,67857,坡道平面,21.21,1750000,,RPWNMLOLQHGGFCE68CB,勤見築,A棟3號
鳳山區,房地(土地+建物),高雄市鳳山區園茂路,95.39,住,,,1100816,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,244.65,3,2,4,有,無,17170000,70182,,0.0,0,,RPRNMLOLQHGGFGE58CB,鳳凰天畝Ⅱ,D30棟0號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區文鳳路上,12.79,住,,,1100825,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.86,0,0,0,無,無,6260000,62011,坡道平面,22.55,1900000,,RPQNMLPLQHGGFGE58CB,聯上WE,B7棟10F號
美濃區,房地(土地+建物),高雄市美濃區雙峰段401-7地號,186.07,住,,,1100813,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,216.8,5,2,4,有,無,12580000,58026,,0.0,0,,RPVNMLPLQHGGFKE96DB,美濃賞,B棟1號
三民區,房地(土地+建物)+車位,高雄市三民區同盟一路B6-8F,11.7,住,,,1100811,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.08,1,2,1,有,無,7060000,78375,坡道平面,17.51,0,,RPWNMLPLQHGGFDE88CB,郡都當代,B棟6號
三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.17,商,,,1100821,土地1建物1車位1,九層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.41,3,2,2,有,無,10600000,79484,坡道平面,27.47,2100000,,RPOOMLPLQHGGFDE18CB,鑫天地二期,B1棟9號
