鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
芎林鄉,土地,上山貳段263地號,49.44,,山坡地保育區,農牧用地,1101203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,105000,2124,,0.0,0,,RPUOMLNJKIGGFCJ38EA,0.0,0.0,0.0,無,
關西鎮,土地,石光段376地號,4808.96,,山坡地保育區,林業用地,1101101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8724000,1814,,0.0,0,,RPOQMLSJJIGGFBJ18DA,0.0,0.0,0.0,無,
北埔鄉,土地,埔中段660地號,58.33,,,,1101101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,176400,3024,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLLKJIGGFCJ38EA,0.0,0.0,0.0,無,
北埔鄉,土地,埔中段635地號,23.53,住,,,1101101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,355000,15087,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,SPXNMLLKJIGGFCJ48EA,0.0,0.0,0.0,無,0001
橫山鄉,土地,矺子段309地號,102.18,,特定農業區,農牧用地,1101101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,1762,,0.0,0,,RPOOMLSJJIGGFCJ18EA,0.0,0.0,0.0,無,
竹北市,土地,站後段556-1地號,38.71,商,,,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5090000,131491,,0.0,0,,RPWNMLMKJIGGFBJ18DA,0.0,0.0,0.0,無,
關西鎮,土地,石光段719地號,80.98,,特定農業區,甲種建築用地,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,6174,,0.0,0,權利人各買受應有部分32分之1並平均負擔價金及因本交易所生之一切稅費如土地增值稅等親友、員工、共有人或其他特殊關係間之交易；,RPUPMLNJJIGGFBJ18DA,0.0,0.0,0.0,無,0002
芎林鄉,土地,王爺坑段120-1地號,1615.0,,山坡地保育區,農牧用地,1101102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1954150,1210,,0.0,0,,RPQOMLPKJIGGFCJ18EA,0.0,0.0,0.0,無,
寶山鄉,土地,寶斗仁段崎林小段171地號,186.25,,山坡地保育區,丙種建築用地,1101104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,958075,5144,,0.0,0,本案總價中建地每坪單價新台幣2萬元計算交通用地以每平方公尺1700元計算義務人負擔過戶所衍生之費用親友、員工、共有人或其他特殊關係間之交易；,RPRNMLPKJIGGFCJ08DA,0.0,0.0,0.0,無,
關西鎮,土地,北山段15地號,37.28,住,,,1101104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1260000,33798,,0.0,0,含土地增值稅或其他稅費；其他；,RPVPMLMKJIGGFBJ28DA,0.0,0.0,0.0,無,0003
竹北市,土地,台元段889地號,0.66,都市：其他:道路用地,,,1101103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33600,0,,0.0,0,包含公共設施保留地用地；,RPPNMLNKJIGGFBJ57DA,0.0,0.0,0.0,無,0004
竹北市,土地,華興段819-5地號,8.57,都市：其他:道路用地,,,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,52509,,0.0,0,包含公共設施保留地用地；,RPPPMLPKJIGGFBJ97DA,0.0,0.0,0.0,無,
竹北市,土地,華興段819-4地號,7.12,都市：其他:道路用地,,,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,374000,52528,,0.0,0,包含公共設施保留地用地；,RPQPMLPKJIGGFBJ08DA,0.0,0.0,0.0,無,0005
寶山鄉,土地,大壢段下大壢小段281-20地號,169.0,,山坡地保育區,農牧用地,1101105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,225000,1331,,0.0,0,本案土地供道路通行使用,RPPNMLRKJIGGFCJ08DA,0.0,0.0,0.0,無,
竹東鎮,土地,頭重埔段125-1地號,111.0,工,,,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4050000,36486,,0.0,0,未登記建物；,RPUNMLMKJIGGFCJ08DA,0.0,0.0,0.0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉八德路二段４５０號,112.72,,特定農業區,甲種建築用地,1101104,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690701,130.52,2,2,2,有,無,5150000,39458,,0.0,0,,RPXNMLPKJIGGFDJ78DA,130.52,0.0,0.0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉明賢路３５號四樓之３,33.18,住,,,1101109,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040831,104.83,3,2,2,有,有,6200000,59143,,0.0,0,,RPQOMLPKJIGGFDJ18DA,63.74,0.0,7.26,有,0006
新豐鄉,房地(土地+建物),新竹縣新豐鄉松柏林２６號二樓,32.82,,鄉村區,乙種建築用地,1101108,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820602,116.27,3,1,2,有,有,3700000,31822,,0.0,0,,RPQNMLQKJIGGFDJ18DA,102.69,0.0,7.12,有,
湖口鄉,土地,長威段924地號,322.62,,特定農業區,水利用地,1101105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,6509,,0.0,0,,RPXNMLPJJIGGFDJ68DA,0.0,0.0,0.0,無,0007
