鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
寶山鄉,建物,新竹縣寶山鄉嵩翠路８０巷２２弄２號,0.0,,山坡地保育區,丙種建築用地,1100807,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0950828,424.92,3,5,5,有,有,有,44000,104,,0.0,0,,RPROMLLKQHGGFCJ48CC
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中正路三段２６巷２３號四樓之１,39.6,住,,,1100808,土地2建物1車位1,四層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090429,109.06,3,2,2,有,有,有,14000,128,一樓平面,0.0,0,,RPSNMLLKQHGGFDJ68DC
湖口鄉,建物,新竹縣湖口鄉光復東路３１號三樓,0.0,,工業區,丁種建築用地,1100727,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840512,89.53,3,2,2,有,無,有,16000,179,,0.0,0,,RPSOMLNKQHGGFDJ88CC
湖口鄉,建物,新竹縣湖口鄉蘭州街２８９號,0.0,,工業區,丁種建築用地,1100731,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,213.76,3,2,3,有,無,有,20000,94,,0.0,0,,RPTOMLNKQHGGFDJ98CC
湖口鄉,建物,新竹縣湖口鄉安宅一街１２４號,0.0,,工業區,丁種建築用地,1100729,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0811231,172.07,4,2,3,有,無,有,20000,116,,0.0,0,,RPUOMLNKQHGGFDJ09CC
竹北市,建物,新竹縣竹北市六家一路一段１４０號十五樓之二,0.0,商,,,1100731,土地0建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000707,96.73,1,1,1,有,有,有,16000,165,,0.0,0,,RPRPMLNKQHGGFBJ68CC
竹北市,建物,新竹縣竹北市光明九路３８號七樓之十一,0.0,商,,,1100801,土地0建物1車位0,七層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0910627,42.2,1,1,1,有,有,有,15500,367,,0.0,0,,RPUPMLNKQHGGFBJ98CC
竹北市,房地(土地+建物)+車位,新竹縣竹北市惟馨街９５號１１樓之３,65.93,工,,,1100805,土地1建物1車位5,十一層,13,廠辦,廠房,鋼筋混凝土造,1060712,282.66999999999996,0,0,0,無,有,無,84000,297,坡道平面,142.4,0,,RPPPMLSKQHGGFBJ98CC
竹北市,建物,新竹縣竹北市成功二街１４５號７樓之１,0.0,商,,,1100803,土地0建物1車位0,七層,8,套房(1房1廳1衛),商業用,鋼筋混凝土造,0970619,30.93,1,1,1,有,有,有,13000,420,,0.0,0,,RPTNMLTKQHGGFBJ66CC
竹北市,建物,新竹縣竹北市嘉興二街１號１３樓,0.0,住,,,1100806,土地0建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,165.34,3,2,2,有,有,有,25000,151,坡道平面,0.0,0,,RPVNMLTKQHGGFBJ86CC
竹北市,建物,新竹縣竹北市成功六街２２９號１２樓之３,0.0,住,,,1100814,土地0建物1車位2,十二層,14,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980113,235.29000000000002,3,2,2,有,有,有,28380,121,坡道平面,0.0,0,,RPXNMLTKQHGGFBJ07CC
竹北市,建物,新竹縣竹北市臺元一街６之２號,0.0,工,,,1100812,土地0建物1車位0,一層,10,廠辦,工業用,鋼筋混凝土造,1020318,465.24,0,0,0,無,有,無,170000,365,,0.0,0,,RPSNMLKLQHGGFBJ38CC
竹北市,建物,新竹縣竹北市勝利八街一段２２９號１６樓之１,0.0,住,,,1100813,土地0建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,158.57999999999998,3,2,2,有,有,無,25000,158,坡道平面,29.81,0,,RPUOMLKLQHGGFBJ68CC
竹北市,建物,新竹縣竹北市福興東路一段３１９號,0.0,其他,,,1100729,土地0建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0950814,267.09,0,0,0,無,無,無,91023,341,,0.0,0,,RPPNMLLLQHGGFBJ28DC
竹北市,建物,新竹縣竹北市逸境新村９４號３樓,0.0,,山坡地保育區,丙種建築用地,1100814,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810130,97.95,3,2,2,有,無,有,12000,123,,0.0,0,,RPWNMLNLQHGGFBJ09CC
竹北市,建物,新竹縣竹北市自強六街１５號,0.0,住,,,1100820,土地0建物1車位1,見其他登記事項,10,店面(店鋪),商業用,鋼筋混凝土造,0970226,209.07,0,1,2,有,有,有,70000,335,坡道平面,26.43,0,租賃期間含免租金裝潢期。租金調整約定：第一年七萬含稅含管理費，第二年起七萬含稅不含管理費，租期八年不調整租金。,RPUPMLOLQHGGFBJ56CC
竹北市,建物,新竹縣竹北市六家一路一段２１５號４樓,0.0,住,,,1100824,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030725,135.72,2,2,1,有,有,無,20000,147,坡道平面,0.0,0,,RPUNMLPLQHGGFBJ09CC
竹北市,建物,新竹縣竹北市日興一街５２號４樓,0.0,住,,,1100824,土地0建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960517,146.95999999999998,3,2,2,有,有,有,22000,150,坡道平面,0.0,0,,RPVNMLPLQHGGFBJ56CC
竹北市,建物,新竹縣竹北市隘口六街３１號８樓之２,0.0,住,,,1100823,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970609,37.59,2,1,1,有,有,有,12800,341,,0.0,0,,RPPOMLPLQHGGFBJ68CC
竹北市,建物,新竹縣竹北市環北路一段３５０巷７１號４樓之２,0.0,,特定農業區,甲種建築用地,1100824,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100325,81.4,2,2,1,有,有,有,16000,197,,0.0,0,,RPROMLPLQHGGFBJ88CC
竹北市,建物,新竹縣竹北市臺元二街一號二樓之六,0.0,工,,,1100816,土地0建物1車位0,二層,10,廠辦,工業用,鋼筋混凝土造,1040109,750.28,0,0,0,無,有,無,222000,296,,0.0,0,,RPOPMLPLQHGGFBJ68CC
竹北市,建物,新竹縣竹北市新工五路１１號２樓之１,0.0,住,,,1100823,土地0建物1車位3,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030128,119.75999999999999,3,2,2,有,有,有,20000,167,坡道機械,30.81,0,,RPXOMLPLQHGGFBJ96DC
湖口鄉,建物,新竹縣湖口鄉信昌五街３７號,0.0,,鄉村區,乙種建築用地,1100824,土地0建物1車位0,全,4,透天厝,住宅、停車空間,鋼筋混凝土造,1080104,169.09,4,2,4,有,無,有,15000,89,,0.0,0,,RPWNMLPLQHGGFDJ86CC
竹東鎮,建物,新竹縣竹東鎮北興路三段５２２號５樓,0.0,住,,,1100729,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820925,98.99,3,1,2,有,無,有,10000,101,,0.0,0,,RPSNMLQLQHGGFCJ09CC
竹北市,建物,新竹縣竹北市北新一街２１號９樓之６,0.0,商,,,1100801,土地0建物1車位0,九層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,123.81,2,1,1,有,有,有,22000,178,,0.0,0,,RPPPMLQLQHGGFBJ88CC
竹北市,建物,新竹縣竹北市莊敬六街１１號十四樓之五,0.0,商,,,1100807,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,127.22,2,2,2,有,有,有,19000,149,,0.0,0,,RPQPMLQLQHGGFBJ98CC
竹北市,建物,新竹縣竹北市成功三路１３２號二樓之二,0.0,住,,,1100816,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0960606,42.35,1,1,1,有,有,有,11000,260,,0.0,0,,RPSPMLQLQHGGFBJ56CC
竹北市,建物,新竹縣竹北市成功六街２２７號七樓之三,0.0,住,,,1100820,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980113,235.29000000000002,3,2,2,有,有,有,23000,98,,0.0,0,,RPXPMLQLQHGGFBJ07CC
竹北市,建物,新竹縣竹北市嘉豐六路一段３３號,0.0,住,,,1100829,土地0建物1車位1,見其他登記事項,12,店面(店鋪),住商用,鋼筋混凝土造,0980421,206.0,0,0,0,無,有,無,36000,175,坡道平面,0.0,0,,RPWNMLKMQHGGFBJ88CC
湖口鄉,建物,新竹縣湖口鄉吉安街１６０巷５號,0.0,,鄉村區,乙種建築用地,1100827,土地0建物1車位0,全,4,透天厝,停車空間、集合住宅,鋼筋混凝土造,1020423,187.04,3,2,3,有,有,有,22600,121,,0.0,0,,RPSNMLKMQHGGFDJ68CC
竹北市,建物,新竹縣竹北市十興二街１００號,0.0,住,,,1100827,土地0建物1車位2,一層,14,店面(店鋪),商業用,鋼筋混凝土造,1040901,145.73000000000002,0,0,0,無,有,有,34000,233,坡道平面,0.0,0,車位面積無法分算。租金調整約定：第一年：110/10/15-111/10/14租金為34000元/月。第二年：111/10/15-112/10/14租金為35020元/月。第三年：112/10/15-113/10/14租金為36070元/月。第四年：113/10/15-114/10/14租金為37152元/月。,RPQNMLLMQHGGFBJ38CC
竹北市,建物,新竹縣竹北市臺元二街１號３樓之５,0.0,工,,,1100826,土地0建物1車位0,三層,10,廠辦,工業用,鋼筋混凝土造,1040109,763.7,0,0,0,無,有,無,226400,296,,0.0,0,,RPUNMLLMQHGGFBJ78CC
竹北市,建物,新竹縣竹北市隘口二路２２７號１４樓,0.0,住,,,1100831,土地0建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091204,143.03,2,1,1,有,有,有,25000,241,坡道平面,47.49,2000,,RPVQMLLJRHGGFBJ98CC
竹北市,建物,新竹縣竹北市隘口三街２１０號４F之１,0.0,商,,,1100831,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991214,131.01,3,2,2,有,有,有,36000,275,坡道平面,29.79,0,,RPSRMLLJRHGGFBJ78CC
竹北市,建物,新竹縣竹北市臺元一街六號六樓之１、２、３、７、８,0.0,工,,,1100830,土地0建物5車位7,六層,10,廠辦,工業用,鋼筋混凝土造,1020318,1509.13,0,0,0,無,有,無,474680,315,坡道平面,0.0,0,,RPPRMLMJRHGGFBJ58CC
竹北市,土地,莊敬段453地號,140.44,住,,,1100820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,12800,91,,0.0,0,租金有調整：第1年至第5年12800元/月，第6年至第10年14500元/月。,RPRRMLMJRHGGFBJ78CC
竹北市,建物,新竹縣竹北市中華路３４８號９樓之６,0.0,住,,,1100831,土地0建物1車位0,九層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850703,37.4,1,0,1,有,有,有,7700,206,,0.0,0,,RPXRMLMJRHGGFBJ76CC
竹東鎮,建物,新竹縣竹東鎮竹中路１２８巷８號２F,0.0,住,,,1100805,土地0建物1車位1,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0970117,44.64,1,1,1,有,有,有,13000,291,坡道機械,14.34,0,,RPSOMLMJRHGGFCJ68CC
湖口鄉,房地(土地+建物),新竹縣湖口鄉中正路二段１９６號１樓,6665.0,工,,,1100416,土地1建物1車位0,見其他登記事項,4,工廠,工業用,磚造,0600805,750.42,0,0,0,無,無,無,90000,,,0.0,0,原申報書序號:C1JD11004210009更正租賃標的1樓面積約227坪,RPQNMLNJRHGGFDJ58CC
竹北市,建物,新竹縣竹北市嘉豐南路二段１２號,0.0,住,,,1100811,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0970927,53.79,0,0,0,無,無,有,22756,423,,0.0,0,,RPWOMLNJRHGGFBJ09CC
竹北市,建物,新竹縣竹北市高鐵二路３２號１０樓之２,0.0,商,,,1100813,土地0建物1車位1,十層,20,辦公商業大樓,商業用,鋼筋混凝土造,0990106,137.98,0,0,0,無,有,有,48697,426,坡道平面,30.77,3000,,RPQPMLNJRHGGFBJ58CC
竹北市,建物,新竹縣竹北市自強北路１８０號,0.0,住,,,1100901,土地0建物1車位1,見其他登記事項,14,店面(店鋪),住商用,鋼筋混凝土造,0940131,160.23000000000002,2,2,2,有,有,有,40960,256,坡道平面,0.0,0,車位面積無法分算。租賃期間含免租金裝潢期。租金調整約定：   第一年：屋主實拿36000元10%扣繳稅款、二代健保費，管理費由承租方負擔   自第五年起每年調漲實拿租金各1000元，1-4年36000元，第5年37000元，第6年38000元，第7年39000元，第8年40000元，第9年41000元，第10年42000元。,RPWQMLNJRHGGFBJ66CC
竹北市,建物,新竹縣竹北市成功八路１８８號十一樓之一,0.0,商,,,1100825,土地0建物1車位1,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031009,162.97,3,2,2,有,有,有,32000,196,坡道平面,31.34,0,租金含管理費。含機車位1個。,RPVQMLRJRHGGFBJ96CC
竹北市,建物,新竹縣竹北市高鐵九路３８號,0.0,,,,1100903,土地0建物1車位3,見其他登記事項,14,店面(店鋪),金融證券辦公室,鋼筋混凝土造,1071130,220.32999999999998,0,0,0,無,有,有,60000,272,坡道平面,115.98,0,租金第一年月租6萬第二年月租7萬.第三年月租8萬,RPPOMLRJRHGGFBJ88DC
竹北市,建物,新竹縣竹北市福興一路９２號十九樓,0.0,商,,,1100904,土地0建物1車位2,十九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031203,260.57,4,2,2,有,有,有,35000,134,坡道平面,60.02,0,,RPPNMLTJRHGGFBJ88CC
竹北市,建物,新竹縣竹北市勝利八街一段２３１號二十五樓之七,0.0,商,,,1100905,土地0建物1車位1,二十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,157.95,3,2,2,有,有,有,25000,158,坡道平面,29.81,0,,RPPQMLTJRHGGFBJ56CC
竹北市,建物,新竹縣竹北市福興一路２０號二樓之六,0.0,商,,,1100822,土地0建物0車位0,二層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0991120,25.51,1,0,1,有,有,有,8500,333,,0.0,0,部分承租。本租賃標的未計入共有部分之分算面積。租金含管理費及水費。,RPSQMLTJRHGGFBJ86CC
竹北市,建物,新竹縣竹北市縣政五街２０號７樓,0.0,商,,,1100908,土地0建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0931222,49.73,2,1,1,有,有,有,15000,302,,0.0,0,,RPXNMLKKRHGGFBJ88CC
竹北市,建物,新竹縣竹北市勝利八街一段２２７號１７樓之９,0.0,住,,,1100905,土地0建物1車位1,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,125.33000000000001,2,2,1,有,有,無,15000,120,坡道平面,0.0,0,,RPWPMLKKRHGGFBJ98CC
竹北市,建物,新竹縣竹北市隘口一街３號６樓之２,0.0,商,,,1100905,土地0建物1車位0,六層,10,套房(1房1廳1衛),商業用,鋼筋混凝土造,0970310,38.7,1,1,1,有,有,有,13000,336,,0.0,0,,RPXPMLKKRHGGFBJ09CC
竹北市,建物,新竹縣竹北市福興一路５６號６樓之７,0.0,商,,,1100905,土地0建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030728,146.09,3,2,2,有,有,有,25031,171,坡道平面,0.0,0,,RPOQMLKKRHGGFBJ28CC
