鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南庄鄉,土地,北獅里興段獅頭驛小段26地號,247.0,,山坡地保育區,農牧用地,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,6073,,0.0,0,未登記建物；,RPQNMLTJJIGGFFK68DA,0.0,0.0,0.0,無,
西湖鄉,土地,二湖段936地號,2758.9,,山坡地保育區,農牧用地,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1340000,486,,0.0,0,持分地買賣,RPRNMLTJJIGGFEK68DA,0.0,0.0,0.0,無,0001
通霄鎮,土地,大坪頂段687-10地號,8277.0,,山坡地保育區,農牧用地,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5048970,610,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMKJIGGFCK87DA,0.0,0.0,0.0,無,0002
竹南鎮,房地(土地+建物),苗栗縣竹南鎮山佳里２９鄰龍山路三段２００巷５弄８號五樓,9.88,都市：其他:住宅區,,,1101102,土地3建物1車位0,五層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950830,33.67,1,1,1,有,有,1450000,43065,,0.0,0,,RPTNMLNJJIGGFDK18DA,20.22,0.0,2.1,有,0003
後龍鎮,土地,大山腳段2597地號,792.0,,特定農業區,農牧用地,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,1010,,0.0,0,,RPQNMLNJJIGGFDK87DA,0.0,0.0,0.0,無,
後龍鎮,土地,大山腳段2604地號,3248.0,,特定農業區,農牧用地,1101101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,1847,,0.0,0,,RPRNMLNJJIGGFDK97DA,0.0,0.0,0.0,無,
竹南鎮,土地,慈裕段232地號,111.21,商,,,1101104,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5826000,52387,,0.0,0,其中房屋部分新台幣50萬元整作為買方拆屋補償費未登記建物；,RPTNMLPKJIGGFDK48DA,0.0,0.0,0.0,無,0004
後龍鎮,土地,龍北段311地號,164.0,住,,,1101101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5800000,35366,,0.0,0,311-1、311-2等2筆地號為道路用地。未登記建物；,RPOOMLOJJIGGFDK87DA,0.0,0.0,0.0,無,
苗栗市,土地,英才段907地號,71.44,工,,,1101101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2593200,36299,,0.0,0,,RPTNMLQKJIGGFBK38DA,0.0,0.0,0.0,無,
頭份市,土地,東民段897地號,65.44,工,,,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,76406,,0.0,0,,RPTNMLQKJIGGFFK88EA,0.0,0.0,0.0,無,0005
頭份市,房地(土地+建物),苗栗縣頭份市仁愛里４鄰銀河路４０號三樓,6.11,商,,,1101101,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871202,57.9,1,1,1,有,有,1650000,28497,,0.0,0,,RPSOMLNJJIGGFFK38DA,41.91,0.0,5.14,有,0006
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰育英三街３號四樓之五,18.07,,山坡地保育區,丙種建築用地,1101109,土地1建物1車位0,四層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920716,29.52,1,0,1,有,有,550000,18631,,0.0,0,,RPPNMLKKJIGGFDK57DA,18.29,2.25,2.0,無,
銅鑼鄉,房地(土地+建物)+車位,苗栗縣銅鑼鄉中正路３４２號三樓之七,41.58,住,,,1101103,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,ＲＣ造,1090820,143.46,3,2,2,有,有,6080000,42381,一樓平面,0.0,0,未登記建物；,RPUNMLQKJIGGFEK78DA,92.83,0.0,10.4,有,
三義鄉,土地,中心段30地號,20.58,住,,,1101104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,477197,23187,,0.0,0,未登記建物；畸零地或有合併使用效益；,RPQNMLRKJIGGFEK48DA,0.0,0.0,0.0,無,
後龍鎮,土地,龍西段276地號,160.5,住,,,1101110,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4020225,25048,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；包含公共設施保留地用地；,RPPOMLQKJIGGFDK28DA,0.0,0.0,0.0,無,0007
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰學府路１２６號二樓之二,15.32,,山坡地保育區,丙種建築用地,1101103,土地1建物1車位0,二層,三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0900629,27.98,1,0,1,有,有,400000,14296,,0.0,0,,RPUNMLRKJIGGFDK78DA,18.4,0.0,2.72,無,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰育英七街１０１號二樓之三十六,19.04,,山坡地保育區,丙種建築用地,1101103,土地1建物1車位0,二層,三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0900629,27.990000000000002,1,0,1,有,有,400000,14291,,0.0,0,,RPVNMLRKJIGGFDK88DA,18.4,0.0,2.72,無,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅里１２鄰校椅一路１３號二樓之三,36.55,住,,,1101101,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081009,136.71,3,2,2,有,有,6660000,48716,坡道平面,0.0,0,,RPXNMLRKJIGGFDK09DA,86.58,0.0,5.82,有,
後龍鎮,土地,龍南段930地號,38.75,住,,,1101106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,20645,,0.0,0,,RPPNMLSJJIGGFDK28DA,0.0,0.0,0.0,無,
頭屋鄉,土地,外獅潭段1138地號,80.0,,特定農業區,農牧用地,1101109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,2500,,0.0,0,,RPSNMLRKJIGGFBK38DA,0.0,0.0,0.0,無,
大湖鄉,房地(土地+建物),苗栗縣大湖鄉靜湖村７鄰上坪街３２號,189.84,住,,,1101106,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0800625,201.18,6,2,7,有,無,3900000,19386,,0.0,0,其他增建；,RPTNMLRKJIGGFAK38DA,178.38,0.0,22.8,無,
頭份市,房地(土地+建物),苗栗縣頭份市上埔里２鄰中正一路３５９巷２弄１１號,78.68,住,,,1101109,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830525,217.99,5,2,2,有,無,5200000,23854,,0.0,0,,RPROMLRKJIGGFFK78DA,177.2,38.12,2.67,無,
頭份市,土地,文化段1271地號,106.01,都市：其他:道路用地,,,1101102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1238650,11684,,0.0,0,包含公共設施保留地用地；,RPTOMLRKJIGGFFK98DA,0.0,0.0,0.0,無,0008
頭份市,土地,德義段848地號,395.48,都市：其他:道路用地,,,1101102,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3779970,9558,,0.0,0,包含公共設施保留地用地；,RPUOMLRKJIGGFFK09DA,0.0,0.0,0.0,無,0009
苗栗市,土地,福安段1676地號,11.27,住,,,1101108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,394900,35040,,0.0,0,含仲介費；含地政士服務費；未登記建物；農作物；,RPOOMLRKJIGGFBK18EA,0.0,0.0,0.0,無,0010
頭份市,土地,八德段1597地號,55.0,都市：其他:道路用地,,,1101106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,563200,10240,,0.0,0,包含公共設施保留地用地；,RPSNMLRKJIGGFFK78DA,0.0,0.0,0.0,無,
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉中正路２３之６號,90.43,住,,,1101105,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0701024,185.61,4,2,4,有,無,10800000,58187,,0.0,0,頂樓加蓋；未登記建物；,RPVNMLQKJIGGFEK88DA,167.93,0.0,17.68,無,
銅鑼鄉,土地,新雞隆段1537-9地號,2658.0,,山坡地保育區,農牧用地,1101109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,752,,0.0,0,,RPTNMLSKJIGGFEK88DA,0.0,0.0,0.0,無,0011
西湖鄉,土地,二湖段1302地號,2151.58,,特定農業區,農牧用地,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,1115,,0.0,0,,RPPNMLMLJIGGFEK97DA,0.0,0.0,0.0,無,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰育英三街５號三樓之五,13.26,,山坡地保育區,丙種建築用地,1101111,土地1建物1車位0,三層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920716,21.51,1,1,1,有,有,420000,19526,,0.0,0,,RPUNMLLKJIGGFDK18DA,13.25,1.49,1.7,有,
後龍鎮,土地,秀水段527地號,281.24,,鄉村區,乙種建築用地,1101105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2552400,9076,,0.0,0,,RPPOMLTKJIGGFDK58DA,0.0,0.0,0.0,無,
