鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹南鎮,房地(土地+建物),苗栗縣竹南鎮福德路２０８巷１０號６樓,20.76,住,,,1100801,土地1建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860122,135.66,3,2,2,有,有,有,12000,88,,0.0,0,,RPTNMLLKQHGGFDK78CC
頭份市,房地(土地+建物),苗栗縣頭份市建國路１７７號１樓,90.0,住,,,1100815,土地1建物1車位0,全,4,透天厝,住商用,ＲＣ造,0960927,90.0,0,0,0,無,無,無,16000,178,,0.0,0,,RPVNMLRKQHGGFFK27DC
頭份市,房地(土地+建物),苗栗縣頭份市八德一路８０巷３６號,480.0,工,,,1100815,土地1建物1車位0,一層,1,廠辦,廠房,鋼骨造,1080121,240.0,0,0,0,無,無,無,32000,133,,0.0,0,,RPUNMLRKQHGGFFK07CC
頭份市,房地(土地+建物)+車位,苗栗縣頭份市上庄路８７號,12.0,住,,,1100815,土地1建物1車位0,見其他登記事項,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1060724,84.46,3,2,2,有,無,有,16000,189,一樓平面,0.0,0,,RPQOMLRKQHGGFFK76CC
頭份市,房地(土地+建物),苗栗縣頭份市中正一路１８１巷１６號６樓之７,16.38,住,,,1100801,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1060510,50.38,1,0,1,有,無,有,9000,179,,0.0,0,,RPWNMLNLQHGGFFK96CC
苗栗市,土地,苗栗段480-11地號,260.0,住,,,1100911,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,28000,108,,0.0,0,,RPOOMLOKRHGGFBK58CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮自由街１８４號四樓之二,345.0,住,,,1100910,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830714,67.83,2,2,1,有,無,有,13000,192,,0.0,0,,RPWNMLPKRHGGFDK96CC
頭份市,土地,顯會段320地號,512.27,住,,,1100915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,24500,48,,0.0,0,,RPSNMLPKRHGGFFK76CC
頭份市,土地,顯會段320-3地號,544.47,住,,,1100915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,24500,45,,0.0,0,,RPUNMLPKRHGGFFK96CC
