編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLRKQHGGFFK07CC,3,240.00,廠房,鋼骨造,108年1月21日,一層,,
RPTNMLLKQHGGFDK78CC,25,135.66,住家用,鋼筋混凝土造,86年1月22日,八層,,
RPVNMLRKQHGGFFK27DC,14,90.00,住商用,ＲＣ造,96年9月27日,四層,,
RPQOMLRKQHGGFFK76CC,4,84.46,商業用,鋼筋混凝土造,106年7月24日,六層,,
RPWNMLPKRHGGFDK96CC,27,67.83,住家用,鋼筋混凝土造,83年7月14日,七層,,
RPWNMLNLQHGGFFK96CC,4,23.86,辦公室,鋼筋混凝土造,106年5月10日,七層,,
RPWNMLNLQHGGFFK96CC,4,5.49,辦公室,鋼筋混凝土造,106年5月10日,七層,,
RPWNMLNLQHGGFFK96CC,4,4.60,停車空間,鋼筋混凝土造,106年5月10日,七層,,
RPWNMLNLQHGGFFK96CC,4,16.43,防空避難室、台電配電室、消防機械室、樓梯間、電梯機房、水箱,鋼筋混凝土造,106年5月10日,七層,,
RPWOMLPKRHGGFFK27CC,43,210.93,工業用,加強磚造,67年8月4日,一層,,
RPWNMLRKRHGGFDK17CC,26,85.60,住家用,鋼筋混凝土造,84年11月25日,十六層,,
RPQNMLPJIIGGFEK18CC,,145.51,住家用,加強磚造,,二層,,
RPTNMLOJIIGGFFK48CC,27,7.27,停車空間,鋼筋混凝土造,83年7月12日,六層,,
RPTNMLOJIIGGFFK48CC,27,8.59,電梯，樓梯，機械室，水箱，樓梯間,鋼筋混凝土造,83年7月12日,六層,,
RPTNMLOJIIGGFFK48CC,27,56.53,住家用,鋼筋混凝土造,83年7月12日,六層,,
RPPOMLNKIIGGFFK18CC,11,245.03,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年3月23日,三層,,
RPSNMLOJIIGGFEK28CC,39,218.59,住商用,鋼筋混凝土造,72年3月1日,4,,
RPRNMLOLRHGGFBK88CC,22,104.44,國民住宅,鋼筋混凝土造,88年11月23日,九層,,
RPVNMLTLRHGGFFK57CC,28,144.56,住家用,鋼筋混凝土造,82年12月30日,七層,,
RPSOMLOKIIGGFFK58CC,14,94.01,集合住宅、住宅、停車空間,ＲＣ造,96年3月30日,五層,,
RPTNMLOKIIGGFBK28DC,18,212.25,住家，停車空間,鋼筋混凝土造,92年6月6日,四層,,
RPRNMLSKIIGGFDK58CC,6,188.62,住家用,鋼筋混凝土造,104年5月25日,三層,,
RPVNMLRLIIGGFBK78CC,26,167.28,住商用,鋼筋混凝土造,84年7月30日,,,
RPUOMLRLIIGGFFK56CC,,88.09,集合住宅,鋼筋混凝土造,110年6月22日,十五層,,
RPUOMLRLIIGGFFK56CC,,19.89,防空避難室兼停車空間、供管委會使用空間、車道,鋼筋混凝土造,110年6月22日,十五層,,
RPUOMLRLIIGGFFK56CC,,20.57,樓電梯間、梯間、水錶區、消防水箱、電梯機械室、水箱,鋼筋混凝土造,110年6月22日,十五層,,
RPUOMLSLIIGGFFK66CC,4,84.46,商業用,鋼筋混凝土造,106年7月24日,六層,,
RPUOMLSLIIGGFFK66CC,4,17.52,防空避難室、管委會、緊急發電機室、樓梯間、電梯間、電梯機房,鋼筋混凝土造,106年7月24日,六層,,
RPXOMLRLIIGGFFK86CC,40,95.76,住家用,鋼筋混凝土造,71年2月23日,四層,,
RPVOMLRLIIGGFFK66CC,8,92.61,集合住宅,鋼筋混凝土造,102年8月7日,九層,,
RPXOMLRLIIGGFFK86CC,40,3.97,防空避難室，地下室,鋼筋混凝土造,71年2月23日,,,
RPVOMLRLIIGGFFK66CC,8,45.89,停車空間、樓梯間、防空避難室、水箱,鋼筋混凝土造,102年8月7日,九層,,
RPOOMLRLIIGGFFK58CC,10,108.55,飲食店,ＲＣ造,100年7月22日,一層,,
