編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQJRHGGFCM09DB,福興段,91.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16090003
RPQNMLQJRHGGFCM09DB,福興段,17.46,非都市：一般農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉,16090000
RPPNMLQLQHGGFDM09CB,興產段,22.99,都市：住,100000,1579,持分移轉,01100000
RPQNMLQLQHGGFDM56CB,興產段,28.16,都市：住,100000,1934,持分移轉,01100000
RPUNMLKKRHGGFAM68CB,牛運堀段,10.65,都市：住,100000,512,持分移轉,01670000
RPUNMLKKRHGGFAM68CB,牛運堀段,8.50,都市：住,100000,512,持分移轉,01670012
RPUNMLKKRHGGFAM68CB,牛運堀段,.07,都市：住,100000,512,持分移轉,01670013
RPUNMLKKRHGGFAM68CB,牛運堀段,.01,都市：住,100000,512,持分移轉,01670014
RPUNMLKKRHGGFAM68CB,牛運堀段,.49,都市：住,100000,512,持分移轉,01670015
RPUNMLKKRHGGFAM68CB,牛運堀段,2.27,都市：住,100000,512,持分移轉,01970000
RPTNMLKKRHGGFAM58CB,牛運堀段,10.65,都市：住,100000,512,持分移轉,01670000
RPTNMLKKRHGGFAM58CB,牛運堀段,8.50,都市：住,100000,512,持分移轉,01670012
RPTNMLKKRHGGFAM58CB,牛運堀段,.07,都市：住,100000,512,持分移轉,01670013
RPTNMLKKRHGGFAM58CB,牛運堀段,.01,都市：住,100000,512,持分移轉,01670014
RPTNMLKKRHGGFAM58CB,牛運堀段,.49,都市：住,100000,512,持分移轉,01670015
RPTNMLKKRHGGFAM58CB,牛運堀段,2.27,都市：住,100000,512,持分移轉,01970000
RPQNMLKKRHGGFBM38CB,青宅段,77.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09020021
RPQNMLKKRHGGFBM38CB,青宅段,.13,非都市：特定農業區 ; 非都市編定：甲種建築用地,25,1,持分移轉,09020027
RPQNMLKKRHGGFBM38CB,青宅段,17.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,12,1,持分移轉,09020000
