編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKQHGGFBN98CB,和西段,104.00,都市：住,1,1,全筆移轉,08480002
RPXNMLQKQHGGFDN27CB,竹子段,73.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03900019
RPXNMLQKQHGGFDN27CB,竹子段,4.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03900020
RPXNMLQKQHGGFDN27CB,竹子段,16.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,1,持分移轉,03900004
RPXNMLQKQHGGFDN27CB,竹子段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,1,持分移轉,03900023
RPOPMLQKQHGGFDN56CB,鎮安段,21.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1438,持分移轉,16030000
RPRNMLRKQHGGFBN56CB,伸股段,33.58,都市：住,53013,3358,持分移轉,03180001
RPUNMLRKQHGGFBN86CB,柑竹段,87.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01120012
RPUNMLRKQHGGFBN86CB,柑竹段,16.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,488,持分移轉,01120015
RPPNMLSKQHGGFBN09CB,伸股段,23.57,都市：住,53013,2357,持分移轉,03180001
RPOOMLKLQHGGFHN98CB,瓦窯中段,36.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,793,持分移轉,06950000
RPWOMLQKQHGGFDN27CB,鎮安段,31.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2064,持分移轉,16030000
RPPNMLPLQHGGFCN09DB,振興段,105.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13140000
RPPNMLPLQHGGFCN09DB,振興段,31.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,9,1,持分移轉,13140032
RPTPMLKMQHGGFDN66CB,南勢段,89.70,都市：住,1,1,全筆移轉,08110000
RPUPMLKMQHGGFDN76CB,南勢段,178.00,都市：住,1,1,全筆移轉,08110000
RPPNMLLMQHGGFDN78CB,鎮安段,31.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2072,持分移轉,16030000
RPSNMLNLQHGGFGN86CB,儒興段,87.36,都市：住,1,1,全筆移轉,03030000
RPSNMLKMQHGGFGN66CB,儒興段,103.14,都市：住,1,1,全筆移轉,03030000
RPSNMLKMQHGGFGN66CB,儒興段,39.57,都市：住,15,1,持分移轉,03030000
RPTNMLKMQHGGFGN76CB,儒興段,96.37,都市：住,1,1,全筆移轉,03030000
RPPNMLNLQHGGFGN56CB,儒興段,98.64,都市：住,1,1,全筆移轉,03030000
RPPNMLLJRHGGFDN58CB,竹子段,6.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03900021
RPPNMLLJRHGGFDN58CB,竹子段,77.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03900022
RPPNMLLJRHGGFDN58CB,竹子段,16.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,1,持分移轉,03900004
RPPNMLLJRHGGFDN58CB,竹子段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,1,持分移轉,03900023
RPQNMLLJRHGGFDN68CB,鎮安段,37.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2464,持分移轉,16030000
RPPNMLMJRHGGFGN98CB,儒雅段,43.15,都市：住,15,1,持分移轉,00730000
RPQNMLMJRHGGFGN09CB,儒雅段,43.15,都市：住,15,1,持分移轉,00730000
RPPNMLMJRHGGFBN58DB,重振段,91.00,都市：住,1,1,全筆移轉,01070016
RPQNMLMJRHGGFBN68DB,重振段,81.00,都市：住,1,1,全筆移轉,01070015
RPRNMLMJRHGGFBN78DB,重振段,106.00,都市：住,1,1,全筆移轉,01070013
RPSNMLMJRHGGFBN88DB,重振段,56.00,都市：住,1,1,全筆移轉,01070019
RPSNMLMJRHGGFBN88DB,重振段,23.15,都市：住,13,1,持分移轉,01070000
