編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLSKQHGGFGN07CC,25,137.64,住家用,鋼筋混凝土造,85年6月5日,四層,,
RPTNMLKLQHGGFDN09CC,30,296.25,人行道、店舖,磚木,80年5月22日,一層,,
RPXNMLNLQHGGFAN86CC,59,139.97,住商用,鋼筋混凝土加強磚造,51年2月28日,三層,,
RPXNMLLKQHGGFDN86CC,27,113.95,住家用,鋼筋混凝土造,83年9月13日,六層,,
RPSOMLQLQHGGFAN76CC,31,19.83,住家用,鋼筋混凝土造,79年11月5日,七層,,
RPXNMLKLQHGGFAN56CC,27,197.25,住商用,鋼筋混凝土造,83年6月9日,四層,,
RPWNMLQJRHGGFDN27CC,30,90.34,住家用,鋼筋混凝土造,80年12月2日,七層,,
RPWNMLQJRHGGFDN27CC,30,14.54,樓梯及電梯間,鋼筋混凝土造,80年12月2日,七層,,
RPWNMLQJRHGGFDN27CC,30,23.51,防空避難室、停車空間,鋼筋混凝土造,80年12月2日,七層,,
RPQNMLTJRHGGFAN66CC,1,161.10,住家用,鋼筋混凝土造,109年7月27日,四層,,
RPSNMLKKRHGGFAN68CC,3,173.52,騎樓、住宅、停車空間、樓梯間,鋼筋混凝土造,107年4月30日,三層,,
RPQNMLTJRHGGFAN66CC,1,.12,電信室,鋼筋混凝土造,109年7月27日,一層,,
RPUNMLPKRHGGFGN37CC,26,245.71,住商用,鋼筋混凝土造,84年7月5日,三層,,
RPUNMLKKRHGGFBN98CC,,342.72,住宅、閣樓,鋼筋混凝土造,110年6月4日,四層,,
RPQNMLQKRHGGFCN66CC,2,2837.64,廠房,鋼骨造、鋼筋混凝土造,109年2月10日,一層,,
RPQNMLQKRHGGFCN66CC,2,2862.38,廠房,鋼骨造、鋼筋混凝土造,109年2月10日,一層,,
RPQNMLQKRHGGFCN66CC,2,29.68,守衛室,鋼骨造、鋼筋混凝土造,109年2月10日,一層,,
RPSNMLQKRHGGFHN37CC,44,103.29,住商用,鋼筋混凝土加強磚造,67年1月28日,三層,,
RPSNMLQKRHGGFHN37CC,44,212.82,住商用,鋼筋混凝土加強磚造,67年1月28日,三層,,
RPQNMLQKRHGGFDN76CC,37,136.44,住商用,鋼筋混凝土造,73年10月27日,四層,,
RPXNMLLJIIGGFAN38CC,26,18.69,住家用,鋼筋混凝土造,85年3月21日,十三層,,
RPTNMLKMRHGGFAN98CC,40,88.07,住家用,鋼筋混凝土造,70年10月15日,五層,,
RPOOMLQJIIGGFAN08CC,90,104.36,住家用,磚、土骨造,21年1月1日,一層,,
RPTNMLNKIIGGFAN28CC,43,86.64,住商用,加強磚造,68年1月12日,二層,,
RPXNMLMKIIGGFDN88CC,37,156.92,住家用,鋼筋混凝土造,73年7月9日,二層,,
RPVNMLRJIIGGFFN66CC,27,201.62,住商用,鋼筋混凝土造,83年5月6日,四層,,
RPROMLNKIIGGFAN18CC,1,49.59,集合住宅,鋼筋混凝土造,110年3月2日,七層,,
RPROMLNKIIGGFAN18CC,1,43.96,防空避難室兼停車空間、機電設備空間、台電配電室、管委會空間、停車空間、梯廳、安全梯、戶外安全梯、升降機、樓梯間、水箱、電梯機房等１２項,鋼筋混凝土造,110年3月2日,七層,,
RPRNMLSKIIGGFHN66CC,28,150.09,住家用,鋼筋混凝土造,82年3月23日,三層,,
RPUNMLMLIIGGFCN58CC,4,1137.43,廠房,鋼骨造,106年8月3日,一層,,
RPPNMLOJJIGGFDN28CC,23,160.96,住商用,鋼筋混凝土造,87年12月31日,三層,,
RPXNMLLJJIGGFFN98CC,42,97.48,住商用,加強磚造,69年2月13日,二層,,
RPQOMLPJJIGGFDN58CC,40,227.01,商業用,鋼筋混凝土造,70年9月10日,四層,,
RPUNMLSKIIGGFAN88CC,30,6420.60,店鋪、住家、避難室、辦公室,鋼筋混凝土造,80年7月24日,九層,,
RPUNMLPKIIGGFAN58CC,27,97.80,住家、梯間,鋼筋混凝土造,83年8月31日,十二層,,
RPUNMLPKIIGGFAN58CC,27,10.77,停車場、避難室、梯間、門廳、車道,鋼筋混凝土造,83年8月31日,十二層,,
RPOPMLKLIIGGFAN77CC,31,13.22,住家用,鋼筋混凝土造,79年11月5日,七層,,
RPQOMLKKJIGGFAN87CC,28,90.86,住家用,鋼筋混凝土造,83年4月11日,八層,,
RPPNMLRLIIGGFAN38CC,48,102.12,住商用,鋼筋混凝土加強磚造,63年1月19日,三層,,
RPWOMLSKIIGGFAN56CC,32,34.38,住家用,鋼筋混凝土造,78年5月11日,二層,,
