編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLRKQHGGFBQ27DB,牛埔段,101.57,都市：住,1,1,全筆移轉,06790010
RPRNMLRKQHGGFBQ96DB,牛埔段,96.54,都市：住,1,1,全筆移轉,06790004
RPPNMLTKQHGGFBQ96DB,牛埔段,138.61,都市：住,1,1,全筆移轉,06790001
RPPNMLTKQHGGFBQ96DB,牛埔段,22.00,都市：住,7,1,持分移轉,06790006
RPVNMLRKQHGGFBQ37DB,牛埔段,98.09,都市：住,1,1,全筆移轉,06790005
RPVNMLRKQHGGFBQ37DB,牛埔段,22.00,都市：住,7,1,持分移轉,06790006
RPPNMLPLQHGGFCQ66CB,竹子腳段,93.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00620034
RPQNMLNLQHGGFCQ56CB,東湖段,81.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150011
RPQNMLNLQHGGFCQ56CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPQNMLNLQHGGFCQ56CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPQNMLNLQHGGFCQ56CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPQNMLNLQHGGFCQ56CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPQNMLNLQHGGFCQ56CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPPNMLKMQHGGFBQ88DB,牛埔段,99.30,都市：住,1,1,全筆移轉,06790011
RPPNMLKMQHGGFEQ56DB,溪心段,91.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08210014
RPPNMLKMQHGGFEQ56DB,溪心段,31.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,40,1,持分移轉,08210004
RPPNMLNJRHGGFCQ98CB,東湖段,96.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150012
RPPNMLNJRHGGFCQ98CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPPNMLNJRHGGFCQ98CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPPNMLNJRHGGFCQ98CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPPNMLNJRHGGFCQ98CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPPNMLNJRHGGFCQ98CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPQNMLNJRHGGFCQ09CB,東湖段,81.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150008
RPQNMLNJRHGGFCQ09CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPQNMLNJRHGGFCQ09CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPQNMLNJRHGGFCQ09CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPQNMLNJRHGGFCQ09CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPQNMLNJRHGGFCQ09CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPRNMLNJRHGGFCQ56CB,東湖段,82.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150028
RPRNMLNJRHGGFCQ56CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPRNMLNJRHGGFCQ56CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPRNMLNJRHGGFCQ56CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPRNMLNJRHGGFCQ56CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPRNMLNJRHGGFCQ56CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPTNMLNJRHGGFCQ76CB,中工段,.01,非都市：工業區 ; 非都市編定：丁種建築用地,1000000000,31341,持分移轉,00790006
RPTNMLNJRHGGFCQ76CB,中工段,.01,非都市：工業區 ; 非都市編定：丁種建築用地,1000000000,31341,持分移轉,00800010
RPTNMLNJRHGGFCQ76CB,中工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,1000000000,31341,持分移轉,00800009
RPSNMLNJRHGGFCQ66CB,東湖段,81.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150023
RPSNMLNJRHGGFCQ66CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPSNMLNJRHGGFCQ66CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPSNMLNJRHGGFCQ66CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPSNMLNJRHGGFCQ66CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPSNMLNJRHGGFCQ66CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPQNMLQJRHGGFCQ76CB,崙子頂段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02580033
RPQNMLQJRHGGFCQ76CB,崙子頂段,20.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,64,1,持分移轉,02580014
RPRNMLQJRHGGFCQ86CB,崙子頂段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02580030
RPRNMLQJRHGGFCQ86CB,崙子頂段,20.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,64,1,持分移轉,02580014
RPSNMLQJRHGGFCQ96CB,崙子頂段,88.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02580009
RPSNMLQJRHGGFCQ96CB,崙子頂段,20.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,64,1,持分移轉,02580014
RPPNMLRJRHGGFCQ76CB,竹子腳段西昌小段,102.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070076
RPPNMLLKRHGGFCQ88CB,雙援段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00900005
RPPNMLLKRHGGFDQ09DB,安家厝段,121.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,163925,12112,持分移轉,16020000
RPQNMLLKRHGGFDQ56DB,安家厝段,132.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16050006
RPPNMLPKRHGGFDQ86DB,安家厝段,130.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16220003
RPPNMLMKRHGGFCQ98CB,東湖段,98.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150030
RPPNMLMKRHGGFCQ98CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPPNMLMKRHGGFCQ98CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPPNMLMKRHGGFCQ98CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPPNMLMKRHGGFCQ98CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPPNMLMKRHGGFCQ98CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPQNMLPKRHGGFDQ96DB,安家厝段,111.51,非都市：特定農業區 ; 非都市編定：甲種建築用地,146101,11151,持分移轉,16310000
RPQNMLRKRHGGFCQ96CB,義興段,23.02,都市：住,425,23,持分移轉,03140009
RPQNMLRKRHGGFCQ96CB,義興段,6.00,都市：住,360,6,持分移轉,03140000
RPQNMLRKRHGGFDQ17DB,過溝段過溝小段,100.00,都市：住,1,1,全筆移轉,10570023
RPQNMLRKRHGGFDQ17DB,過溝段過溝小段,38.33,都市：住,6,1,持分移轉,10570000
RPPNMLSKRHGGFCQ96CB,義興段,23.02,都市：住,425,23,持分移轉,03140009
RPPNMLSKRHGGFCQ96CB,義興段,6.00,都市：住,360,6,持分移轉,03140000
RPQNMLSKRHGGFCQ07CB,義興段,18.01,都市：住,425,18,持分移轉,03140009
RPQNMLSKRHGGFCQ07CB,義興段,5.00,都市：住,360,5,持分移轉,03140000
RPQNMLKLRHGGFCQ98CB,義興段,18.01,都市：住,425,18,持分移轉,03140009
RPQNMLKLRHGGFCQ98CB,義興段,5.00,都市：住,360,5,持分移轉,03140000
RPRNMLKLRHGGFCQ09CB,義興段,23.02,都市：住,425,23,持分移轉,03140009
RPRNMLKLRHGGFCQ09CB,義興段,6.00,都市：住,360,6,持分移轉,03140000
RPSNMLKLRHGGFCQ56CB,義興段,23.02,都市：住,425,23,持分移轉,03140009
RPSNMLKLRHGGFCQ56CB,義興段,6.00,都市：住,360,6,持分移轉,03140000
RPTNMLKLRHGGFCQ66CB,義興段,23.02,都市：住,425,23,持分移轉,03140009
RPTNMLKLRHGGFCQ66CB,義興段,6.00,都市：住,360,6,持分移轉,03140000
RPUNMLKLRHGGFCQ76CB,義興段,18.01,都市：住,425,18,持分移轉,03140009
RPUNMLKLRHGGFCQ76CB,義興段,5.00,都市：住,360,5,持分移轉,03140000
RPPNMLLMQHGGFDQ09CB,護生段,93.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03210009
RPPNMLLMQHGGFDQ09CB,護生段,26.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03210010
RPWRMLQKRHGGFDQ97CB,龍潭段,107.60,都市：住,1,1,全筆移轉,05900041
RPWRMLQKRHGGFDQ97CB,龍潭段,25.94,都市：住,8,1,持分移轉,05900047
RPVNMLKLRHGGFCQ86CB,義興段,18.01,都市：住,425,18,持分移轉,03140009
RPVNMLKLRHGGFCQ86CB,義興段,5.00,都市：住,360,5,持分移轉,03140000
RPPSMLQKRHGGFDQ37CB,龍潭段,100.71,都市：住,1,1,全筆移轉,05900044
RPPSMLQKRHGGFDQ37CB,龍潭段,25.94,都市：住,8,1,持分移轉,05900047
RPXRMLQKRHGGFDQ08CB,龍潭段,105.30,都市：住,1,1,全筆移轉,05900042
RPXRMLQKRHGGFDQ08CB,龍潭段,25.94,都市：住,8,1,持分移轉,05900047
RPOSMLQKRHGGFDQ27CB,龍潭段,103.01,都市：住,1,1,全筆移轉,05900043
RPOSMLQKRHGGFDQ27CB,龍潭段,25.94,都市：住,8,1,持分移轉,05900047
RPWNMLKLRHGGFCQ96CB,義興段,18.01,都市：住,425,18,持分移轉,03140009
RPWNMLKLRHGGFCQ96CB,義興段,5.00,都市：住,360,5,持分移轉,03140000
RPPNMLLLRHGGFCQ98CB,三間厝段,31.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39534,持分移轉,03540000
RPPNMLLLRHGGFCQ98CB,三間厝段,3.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39534,持分移轉,03550000
RPPNMLMLRHGGFEQ76DB,溪心段,97.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08210019
RPPNMLMLRHGGFEQ76DB,溪心段,31.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,40,1,持分移轉,08210004
RPRNMLMLRHGGFDQ76CB,護生段,88.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03210004
RPRNMLMLRHGGFDQ76CB,護生段,59.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,03210000
RPRNMLMLRHGGFDQ76CB,護生段,1.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,03210012
RPSNMLMLRHGGFDQ86CB,水東段,31.23,都市：住,1,1,全筆移轉,01790008
RPPNMLNLRHGGFBQ56DB,大鄉段,31.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,70701,3164,持分移轉,07470000
RPPNMLNLRHGGFEQ86DB,溪心段,78.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08210024
RPPNMLNLRHGGFEQ86DB,溪心段,31.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,40,1,持分移轉,08210004
RPQNMLNLRHGGFEQ96DB,溪心段,78.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08210027
RPQNMLNLRHGGFEQ96DB,溪心段,31.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,40,1,持分移轉,08210004
RPPNMLNLRHGGFCQ56CB,義興段,18.01,都市：住,425,18,持分移轉,03140009
RPPNMLNLRHGGFCQ56CB,義興段,5.00,都市：住,360,5,持分移轉,03140000
RPSNMLNLRHGGFCQ86CB,義興段,23.02,都市：住,425,23,持分移轉,03140009
RPSNMLNLRHGGFCQ86CB,義興段,6.00,都市：住,360,6,持分移轉,03140000
RPRNMLNLRHGGFCQ76CB,義興段,23.02,都市：住,425,23,持分移轉,03140009
RPRNMLNLRHGGFCQ76CB,義興段,6.00,都市：住,360,6,持分移轉,03140000
RPQNMLNLRHGGFCQ66CB,義興段,18.01,都市：住,425,18,持分移轉,03140009
