鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
瑞穗鄉,土地,瑞美段191地號,264.0,住,,,1101203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6300000,23864,,0.0,0,未登記建物；,RPPNMLSJKIGGFCU66DA,0.0,0.0,0.0,無,
秀林鄉,土地,上水源段340地號,1362.0,,山坡地保育區,林業用地,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,294,,0.0,0,,RPWOMLNJJIGGFAU76EA,0.0,0.0,0.0,無,0001
秀林鄉,土地,克來寶段313地號,196.09,住,,,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,8669,,0.0,0,,RPSNMLPJJIGGFAU98DA,0.0,0.0,0.0,無,0002
花蓮市,房地(土地+建物),花蓮縣花蓮市中央路三段７３０號九樓之二十一,5.63,住,,,1101101,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840819,32.55,1,1,1,有,有,1400000,43011,,0.0,0,陽台外推；,RPQNMLKKJIGGFAU38DA,19.09,1.02,5.32,有,
壽豐鄉,土地,政明段341-3地號,330.19,住,,,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8300000,25137,,0.0,0,,RPTOMLKKJIGGFAU78DA,0.0,0.0,0.0,無,
新城鄉,房地(土地+建物),花蓮縣新城鄉華興街１８０巷６４號,98.0,,鄉村區,乙種建築用地,1101101,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0740309,96.98,0,0,0,無,無,3400000,35059,,0.0,0,,RPVNMLKKJIGGFAU88DA,96.98,0.0,0.0,無,0003
壽豐鄉,土地,壽農段1602-5地號,7.31,,鄉村區,乙種建築用地,1101104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,13680,,0.0,0,,RPPNMLLKJIGGFAU38DA,0.0,0.0,0.0,無,
花蓮市,土地,民意段523地號,78.69,,,,1101109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1819000,23116,,0.0,0,,RPXOMLPKJIGGFAU07DA,0.0,0.0,0.0,無,0004
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路４８９號二樓之十六,32.94,住,,,1101103,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,88.7,2,2,2,有,有,2500000,28185,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPVNMLNJJIGGFAU09DA,54.1,0.0,3.72,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路４８９號二樓之十,33.2,住,,,1101103,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,88.84,2,2,2,有,有,2500000,28140,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPWNMLNJJIGGFAU56DA,54.65,0.0,3.1,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路５０１號三樓之五,34.01,住,,,1101105,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080725,87.65,2,2,2,有,有,2500000,28523,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPTOMLTJJIGGFAU96DA,55.85,0.0,3.66,有,
壽豐鄉,土地,壽農段1602-9地號,7.29,,鄉村區,乙種建築用地,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,13717,,0.0,0,,RPXNMLPKJIGGFAU96DA,0.0,0.0,0.0,無,
光復鄉,房地(土地+建物),花蓮縣光復鄉中山路二段２６９巷１３號,87.0,商,,,1101103,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0670920,123.24,3,1,2,有,無,3396000,27556,,0.0,0,頂樓加蓋；未登記建物；,RPPNMLQKJIGGFBU09EA,123.24,0.0,0.0,無,
富里鄉,房地(土地+建物),花蓮縣富里鄉中興路９７號,100.49,住,,,1101103,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0730420,125.21,2,2,2,有,無,3100000,24758,,0.0,0,,RPPNMLRKJIGGFCU56DA,125.21,0.0,0.0,無,
瑞穗鄉,土地,新舞鶴段1624地號,14499.58,,山坡地保育區,林業用地,1101111,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,138,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRKJIGGFCU66DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市建昌路２２８號七樓之一,19.85,住,,,1101101,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091127,79.81,2,2,1,有,無,6700000,83949,,0.0,0,,RPTOMLQKJIGGFAU76DA,50.28,0.0,5.99,有,
秀林鄉,土地,道拉斯段1207地號,3275.04,,一般農業區,農牧用地,1101105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,611,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKJIGGFAU98DA,0.0,0.0,0.0,無,
吉安鄉,土地,慈勝段747地號,64.44,都市：其他:農業區,,,1101104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,984598,15279,,0.0,0,含土地增值稅或其他稅費204598元；親友、員工、共有人或其他特殊關係間之交易；未登記建物；包含公共設施保留地用地；,RPRNMLRKJIGGFAU56DA,0.0,0.0,0.0,無,0005
秀林鄉,土地,克來寶段153地號,807.12,住,,,1101105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4650000,5761,,0.0,0,,RPWOMLRKJIGGFAU17DA,0.0,0.0,0.0,無,
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉光復路４９９號四樓之三,33.2,住,,,1101110,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,99.3,2,2,2,有,有,3000000,29264,坡道平面,13.87,500000,政府機關標讓售；,RPUNMLKKJIGGFAU78DA,54.1,0.0,3.72,有,
萬榮鄉,土地,萬利段2257-2地號,6029.01,,山坡地保育區,林業用地,1101104,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,343651,57,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKJIGGFBU58EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市富祥街１４２號四樓,44.5,住,,,1101102,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860220,161.79,3,2,2,有,有,8000000,49447,,0.0,0,,RPUNMLSKJIGGFAU96DA,108.38,0.0,11.58,有,
壽豐鄉,土地,壽農段1602-11地號,7.97,,鄉村區,乙種建築用地,1101109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,12547,,0.0,0,,RPXNMLQKJIGGFAU07DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉興一街３７２巷１０號二樓之八,8.98,住,,,1101101,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851213,35.36,1,0,1,有,有,1900000,53733,,0.0,0,陽台外推；,RPQOMLQKJIGGFAU09DA,24.08,0.0,6.42,有,
壽豐鄉,土地,豐東段759地號,599.54,,一般農業區,農牧用地,1101110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,1751,,0.0,0,農作物；,RPQOMLRKJIGGFAU56DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,瑞良段604地號,288.0,住,,,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,9028,,0.0,0,,RPQNMLSKJIGGFCU76DA,0.0,0.0,0.0,無,0006
花蓮市,土地,林森段319-3地號,48.0,,,,1101110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4155840,86580,,0.0,0,政府機關標讓售；,RPPNMLSKJIGGFAU56EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市民德四街２之１２號三樓,17.07,住,,,1101103,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0920221,92.81,2,2,1,有,有,6000000,64648,,0.0,0,,RPUNMLTKJIGGFAU07DA,61.28,1.69,6.51,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市上海街８１號五樓之二,10.08,商,,,1101106,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080325,54.66,1,1,1,有,有,4000000,73180,,0.0,0,,RPTNMLSKJIGGFAU86DA,31.45,0.0,3.94,有,0007
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉慶豐十一街２９８號四樓之一,52.42,住,,,1101105,土地1建物1車位2,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090115,281.90999999999997,3,2,4,有,有,15100000,60499,坡道平面,60.42,1700000,,RPXOMLPJJIGGFAU96DA,130.05,0.0,17.15,有,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海六街２０３巷１９號,107.0,,特定農業區,甲種建築用地,1101110,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701007,108.1,3,2,2,有,無,2400000,22202,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLTKJIGGFAU86DA,108.1,0.0,0.0,無,
秀林鄉,土地,德姆南段983-1地號,2194.53,都市：其他:保護區,,,1101110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3975364,1811,,0.0,0,,RPWOMLTKJIGGFAU37DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉自強路自強巷５號,97.0,住,,,1101104,土地1建物1車位0,全,四層,透天厝,工業用,鋼筋混凝土造,0810728,232.55,3,2,3,有,無,9500000,40851,,0.0,0,,RPXOMLTKJIGGFAU47DA,232.55,0.0,0.0,無,
光復鄉,房地(土地+建物),花蓮縣光復鄉武昌街７４巷１弄８號,93.0,住,,,1101105,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830114,160.88,4,2,3,有,無,3300000,20512,,0.0,0,其他增建；,RPQNMLTKJIGGFBU76DA,143.75,4.6,12.53,無,
萬榮鄉,土地,萬寶段1171地號,3464.53,,山坡地保育區,農牧用地,1101110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,173,,0.0,0,,RPPNMLMLJIGGFBU68DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市民權路２５號四樓之一,11.33,住,,,1101109,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830413,114.16,3,1,1,有,有,6490000,56850,,0.0,0,含裝潢費；其他增建；,RPRPMLMLJIGGFAU98DA,63.29,10.94,13.39,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯二路７１號十樓之七,9.2,住,,,1101108,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,70.46000000000001,1,1,1,有,有,3300000,46835,,0.0,0,陽台外推；,RPWNMLMLJIGGFAU66DA,41.36,1.3,3.3,有,0008
吉安鄉,土地,福吉段567地號,401.82,,特定農業區,農牧用地,1101105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,5226,,0.0,0,,RPPNMLNLJIGGFAU68DA,0.0,0.0,0.0,無,0009
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十四街２５號四樓之一,7.77,住,,,1101104,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840303,27.98,1,0,1,有,無,1880000,67191,,0.0,0,含傢俱設備費；陽台外推；,RPQOMLOLJIGGFAU98DA,18.81,0.0,3.4,無,0010
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路４２７號,22.2,住,,,1101104,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋水泥、木造,,19.65,0,0,0,無,無,3360000,170992,,0.0,0,頂樓加蓋；其他增建；,RPSOMLMLJIGGFAU98DA,17.83,1.82,0.0,無,0011
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中華路二段９３號五樓之六,9.51,商,,,1101105,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831028,100.71,3,2,2,有,有,5500000,54612,,0.0,0,含裝潢費；,RPUNMLOLJIGGFAU66DA,68.9,0.0,10.65,有,0012
瑞穗鄉,土地,青蓮段166地號,7438.47,,一般農業區,農牧用地,1101105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8700000,1170,,0.0,0,,RPQNMLOLJIGGFCU09DA,0.0,0.0,0.0,無,0013
花蓮市,房地(土地+建物),花蓮縣花蓮市民光１９３號,47.0,住,,,1101108,土地1建物1車位0,全,一層,透天厝,住家用,木造,,18.3,0,0,0,無,無,1620000,88525,,0.0,0,其他增建；,RPVNMLOLJIGGFAU86EA,18.3,0.0,0.0,無,
秀林鄉,土地,古魯社段226-1地號,68.3,都市：其他:道路用地,,,1101112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,191240,2800,,0.0,0,,RPTOMLOLJIGGFAU76EA,0.0,0.0,0.0,無,
玉里鎮,土地,麻汝段950地號,372.97,,山坡地保育區,農牧用地,1101110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,1072,,0.0,0,,RPRNMLMKJIGGFCU88DA,0.0,0.0,0.0,無,
萬榮鄉,土地,支亞干段1624-1地號,70.72,,山坡地保育區,特定目的事業用地,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42786,605,,0.0,0,協議價購；,RPPNMLNLJIGGFBU78DA,0.0,0.0,0.0,無,
萬榮鄉,土地,支亞干段1625-1地號,26.38,,山坡地保育區,特定目的事業用地,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15960,605,,0.0,0,協議價購；,RPQNMLNLJIGGFBU88DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市菁華街１６之５號四樓,41.08,住,,,1101105,土地12建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740701,209.97,6,2,4,有,無,10800000,51436,,0.0,0,,RPOOMLOLJIGGFAU78DA,162.94,0.0,19.56,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市鎮國街７８號,108.0,住,,,1101105,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0621207,138.48,4,2,2,有,無,9800000,70768,,0.0,0,其他增建；,RPSNMLMLJIGGFAU88DA,138.48,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市自由街１４８之８號,39.39,商,,,1101103,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721111,129.65,3,2,2,有,無,5500000,42422,,0.0,0,含裝潢費；含傢俱設備費；包含公共設施保留地用地；,RPVOMLOLJIGGFAU86DA,95.05,0.0,17.62,無,0014
吉安鄉,土地,太昌段1031-7地號,162.0,農,,,1101115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8080000,49877,,0.0,0,,RPWOMLOLJIGGFAU96DA,0.0,0.0,0.0,無,
