編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJKIGGFCU66DA,瑞美段,264.00,都市：其他:住宅區,1,1,全筆移轉,01910000
RPWOMLNJJIGGFAU76EA,上水源段,1362.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03400000
RPVNMLKKJIGGFAU88DA,嘉北段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02920000
RPQNMLKKJIGGFAU38DA,自強段,5.63,都市：住,100000,340,持分移轉,00140000
RPPNMLLKJIGGFAU38DA,壽農段,7.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16020005
RPTOMLKKJIGGFAU78DA,政明段,330.19,都市：住,1,1,全筆移轉,03410003
RPVNMLNJJIGGFAU09DA,嘉北段,32.94,都市：住,100000,123,持分移轉,04910000
RPWNMLNJJIGGFAU56DA,嘉北段,33.20,都市：住,100000,124,持分移轉,04910000
RPTOMLTJJIGGFAU96DA,嘉北段,34.01,都市：住,100000,127,持分移轉,04910000
RPXNMLPKJIGGFAU96DA,壽農段,7.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16020009
RPPNMLQKJIGGFBU09EA,大安段,74.00,都市：其他:商業區,1,1,全筆移轉,17160005
RPPNMLQKJIGGFBU09EA,大安段,13.00,都市：其他:商業區,1,1,全筆移轉,17200002
RPPNMLRKJIGGFAU98DA,道拉斯段,3275.04,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12070000
RPRNMLRKJIGGFAU56DA,慈勝段,63.02,都市：其他:農業區,48000,309,持分移轉,07470000
RPRNMLRKJIGGFAU56DA,慈勝段,1.42,都市：其他:道路用地,48000,309,持分移轉,07470001
RPWOMLRKJIGGFAU17DA,克來寶段,100.02,都市：住,1,1,全筆移轉,01520000
RPWOMLRKJIGGFAU17DA,克來寶段,707.10,都市：住,1,1,全筆移轉,01530000
RPPNMLLKJIGGFBU58EA,萬利段,2518.52,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,22570000
RPPNMLLKJIGGFBU58EA,萬利段,2547.68,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,22570002
RPPNMLLKJIGGFBU58EA,萬利段,173.61,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,22570005
RPPNMLLKJIGGFBU58EA,萬利段,779.90,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,22570006
RPPNMLLKJIGGFBU58EA,萬利段,9.30,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,22570008
RPUNMLKKJIGGFAU78DA,嘉北段,33.20,都市：住,100000,124,持分移轉,04910000
RPQOMLRKJIGGFAU56DA,豐東段,599.54,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07590000
RPPNMLSKJIGGFAU56EA,林森段,48.00,,1,1,全筆移轉,03190003
RPQNMLSKJIGGFCU76DA,瑞良段,288.00,都市：其他:住宅區,1,1,全筆移轉,06040000
RPPNMLRKJIGGFCU56DA,中平段,100.49,都市：其他:住宅區,1,1,全筆移轉,00560000
RPQNMLRKJIGGFCU66DA,新舞鶴段,3260.39,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,15120000
RPQNMLRKJIGGFCU66DA,新舞鶴段,8297.41,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,16240000
RPQNMLRKJIGGFCU66DA,新舞鶴段,2941.78,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,16280000
RPUNMLSKJIGGFAU96DA,自強段,44.50,都市：住,10,1,持分移轉,00450000
RPQPMLTKJIGGFAU86DA,南埔段,107.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,27780035
RPTNMLSKJIGGFAU86DA,福安段,10.08,都市：其他:商業區,24,1,持分移轉,02170000
RPXOMLTKJIGGFAU47DA,慈惠段,97.00,都市：住,38750,9700,持分移轉,06830007
RPQNMLTKJIGGFBU76DA,大安段,93.00,都市：其他:住宅區,1,1,全筆移轉,03210023
RPWOMLTKJIGGFAU37DA,德姆南段,2194.53,都市：其他:保護區,1,1,全筆移轉,09830001
RPWNMLMLJIGGFAU66DA,富國段,9.20,都市：住,10000,114,持分移轉,04810000
RPPNMLMLJIGGFBU68DA,萬寶段,3464.53,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,11710000
RPPNMLNLJIGGFAU68DA,福吉段,401.82,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,05670000
RPRPMLMLJIGGFAU98DA,民德段,11.33,都市：住,100000,1276,持分移轉,05050000
RPSOMLMLJIGGFAU98DA,林森段,22.20,都市：住,5,1,持分移轉,02950000
RPQNMLOLJIGGFCU09DA,青蓮段,7438.47,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01660000
RPQOMLOLJIGGFAU98DA,莊敬段,7.77,都市：住,10000,145,持分移轉,03200000
RPUNMLOLJIGGFAU66DA,宜寧段,9.51,都市：其他:商業區(二),10000,74,持分移轉,02600000
RPRNMLMKJIGGFCU88DA,麻汝段,372.97,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09500000
RPPNMLNLJIGGFBU78DA,支亞干段,70.72,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,16240001
RPSNMLPJJIGGFAU98DA,克來寶段,196.09,都市：住,1,1,全筆移轉,03130000
RPXOMLPJJIGGFAU96DA,慶豐段,52.42,都市：住,10000,477,持分移轉,19170003
RPQNMLNLJIGGFBU88DA,支亞干段,26.38,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,16250001
RPOOMLOLJIGGFAU78DA,北濱段,6.25,都市：住,10000,1388,持分移轉,00820000
RPSNMLMLJIGGFAU88DA,主權段,108.00,都市：住,1,1,全筆移轉,02360000
RPOOMLOLJIGGFAU78DA,北濱段,18.18,都市：住,10000,1388,持分移轉,00820001
RPOOMLOLJIGGFAU78DA,北濱段,11.80,都市：其他:河川區,10000,1388,持分移轉,00820002
RPOOMLOLJIGGFAU78DA,北濱段,1.25,都市：住,10000,1388,持分移轉,00820003
RPOOMLOLJIGGFAU78DA,北濱段,.14,都市：其他:道路用地,10000,1388,持分移轉,00820004
RPOOMLOLJIGGFAU78DA,北濱段,.14,都市：其他:道路用地,10000,1388,持分移轉,00820005
RPOOMLOLJIGGFAU78DA,北濱段,.28,都市：其他:道路用地,10000,1388,持分移轉,00820006
RPOOMLOLJIGGFAU78DA,北濱段,.14,都市：住,10000,1388,持分移轉,00820007
RPOOMLOLJIGGFAU78DA,北濱段,.14,都市：住,10000,1388,持分移轉,00820008
RPOOMLOLJIGGFAU78DA,北濱段,2.08,都市：其他:河川區,10000,1388,持分移轉,00820009
RPOOMLOLJIGGFAU78DA,北濱段,.14,都市：其他:河川區,10000,1388,持分移轉,00820010
RPOOMLOLJIGGFAU78DA,北濱段,.56,都市：其他:河川區,10000,1388,持分移轉,00820011
RPWOMLOLJIGGFAU96DA,太昌段,162.00,都市：農,1,1,全筆移轉,10310007
RPVOMLOLJIGGFAU86DA,明義段,38.86,都市：商,10000,404,持分移轉,13310000
RPVOMLOLJIGGFAU86DA,明義段,.53,都市：其他:道路用地,10000,404,持分移轉,13310001
RPXOMLOLJIGGFAU07DA,自強段,13.22,都市：住,10000,580,持分移轉,00660000
RPXOMLOLJIGGFAU07DA,自強段,14.38,都市：住,10000,580,持分移轉,00670000
RPOPMLOLJIGGFAU88DA,廣安段,576.42,非都市：一般農業區 ; 非都市編定：農牧用地,21,2,持分移轉,03860000
RPRNMLPLJIGGFAU09DA,嘉南段,93.00,都市：住,1,1,全筆移轉,04090006
RPTPMLTKJIGGFAU17DA,福安段,12.94,都市：住,10000,60,持分移轉,19340000
RPPPMLMLJIGGFAU78DA,富國段,8.51,都市：住,10000,60,持分移轉,01570000
RPOOMLPLJIGGFAU88DA,富國段,2.84,都市：住,10000,207,持分移轉,05300000
RPOOMLPLJIGGFAU88DA,富國段,2.84,都市：住,10000,207,持分移轉,05300001
RPUNMLPLJIGGFAU76DA,民德段,6.14,都市：住,100000,691,持分移轉,05050000
RPVNMLPLJIGGFAU86DA,樹林段,96.46,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04610000
RPQNMLQLJIGGFAU09DA,明義段,52.00,都市：商,1,1,全筆移轉,11250000
RPQNMLQLJIGGFAU09DA,明義段,2.00,都市：其他:道路用地,1,1,全筆移轉,11250001
RPRNMLQLJIGGFAU56DA,政明段,2532.16,都市：農,1,1,全筆移轉,06630002
RPRNMLQLJIGGFAU56DA,政明段,79.79,都市：農,1,1,全筆移轉,06630004
RPTNMLQLJIGGFAU76DA,富國段,12.87,都市：商,100000,1286,持分移轉,01140000
RPQNMLPLJIGGFBU09DA,南平段,2525.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03070000
RPSNMLPLJIGGFBU66DA,西富段,1086.05,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05060000
RPVNMLTLJIGGFAU27DA,富國段,6.58,都市：商,10000,153,持分移轉,01290000
RPOOMLTLJIGGFAU66DA,富國段,3.00,都市：商,10000,18,持分移轉,03090000
RPOOMLTKJIGGFAU56DA,宜安段,17.82,都市：商,10000,317,持分移轉,07580001
RPXNMLTKJIGGFAU37DA,宜安段,544.18,都市：商,100000,96830,持分移轉,07580001
RPUNMLTKJIGGFAU07DA,民德段,17.07,都市：住,10000,63,持分移轉,05670000
RPVOMLTLJIGGFAU37DA,嘉新段,48.00,都市：農,1,1,全筆移轉,04130000
RPWOMLMLJIGGFAU76DA,富國段,7.87,都市：住,10000,132,持分移轉,00720000
RPRNMLNJJIGGFAU68DA,樹人段,54.09,都市：商,10000,745,持分移轉,05350004
RPPNMLTKJIGGFAU56DA,廣安段,50.01,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,10450000
RPOOMLQLJIGGFAU98DA,嘉平段,99.00,都市：住,1,1,全筆移轉,06260000
RPPNMLTKJIGGFAU56DA,廣安段,92.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10460000
RPPOMLQLJIGGFAU09DA,嘉南段,10.00,都市：住,1,1,全筆移轉,04820002
RPTOMLTLJIGGFAU17DA,仁禮段,21.25,都市：住,4,1,持分移轉,02300001
RPOPMLQLJIGGFAU09DA,民勤段,32.80,都市：住,10,1,持分移轉,04480040
RPTOMLTLJIGGFAU17DA,仁禮段,43.00,都市：住,4,1,持分移轉,02970000
RPUPMLTLJIGGFAU37DA,仁恥段,250.00,都市：住,1,1,全筆移轉,04140000
RPSOMLKMJIGGFAU88DA,德布克段,320.72,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01420000
RPTOMLKMJIGGFAU98DA,德布克段,191.32,都市：其他:墓地用地,1,1,全筆移轉,01410000
RPTOMLKMJIGGFAU98DA,德布克段,1500.46,都市：其他:墓地用地,1,1,全筆移轉,03460000
RPQOMLPLJIGGFAU09DA,富國段,2.67,都市：商,10000,16,持分移轉,03090000
RPPNMLTLJIGGFBU76DA,富豐段,4016.52,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00560000
RPWOMLLJKIGGFAU56DA,樹人段,10.23,都市：商,10000,44,持分移轉,06350000
RPWOMLLJKIGGFAU56DA,樹人段,9.53,都市：商,10000,44,持分移轉,06390000
RPROMLLJKIGGFAU68DA,自強段,9.44,都市：住,20000,828,持分移轉,00660000
RPROMLLJKIGGFAU68DA,自強段,10.27,都市：住,20000,828,持分移轉,00670000
RPQPMLKMJIGGFAU78DA,富國段,3.14,都市：商,420,10,持分移轉,03210002
RPQPMLKMJIGGFAU78DA,富國段,3.14,都市：商,420,10,持分移轉,03210003
RPQPMLKMJIGGFAU78DA,富國段,3.14,都市：商,420,10,持分移轉,03210004
RPTNMLKMJIGGFAU88DA,仁愛段,259.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00280000
RPRNMLMLJIGGFAU78DA,吉興段,162.35,都市：農,1,1,全筆移轉,05570000
RPROMLQLJIGGFAU66DA,下月段,2708.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06110000
RPVPMLTLJIGGFAU47DA,自強段,40.06,都市：住,10000,569,持分移轉,07820000
RPVPMLLJKIGGFAU56DA,自強段,140.00,都市：住,1,1,全筆移轉,01080125
RPPPMLKMJIGGFAU68DA,忠孝段,4107.05,都市：農,1,1,全筆移轉,01370000
RPPOMLLJKIGGFAU48DA,自強段,9.44,都市：住,10000,414,持分移轉,00660000
RPPOMLLJKIGGFAU48DA,自強段,10.27,都市：住,10000,414,持分移轉,00670000
RPQOMLLJKIGGFAU58DA,宜安段,23.07,都市：其他:商業區(二),10000,282,持分移轉,06790000
RPVNMLMJKIGGFAU09DA,稻香段,67.00,都市：住,1,1,全筆移轉,04980010
RPQNMLKKJIGGFCU58DA,舊田段,227.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14320000
RPQNMLTLJIGGFBU86DA,南富段,6516.96,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00330000
RPPNMLNJKIGGFBU68DA,馬佛段,3575.76,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12120000
RPQNMLMJKIGGFBU78EA,西寶段,275.86,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03640001
