編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPKRHGGFAV07CB,坡道平面,0,,地下一樓
RPRNMLNKRHGGFAV96CB,坡道平面,0,,地下一樓
RPRNMLPKRHGGFAV17CB,坡道平面,0,,地下一樓
RPPNMLPKRHGGFAV96CB,坡道平面,0,,地下一樓
RPSNMLPKRHGGFAV27CB,坡道平面,0,,地下一樓
RPPNMLRKRHGGFAV17CB,坡道平面,980000,28.61,地下一樓
RPTNMLPKRHGGFAV37CB,坡道平面,0,,地下一樓
RPQNMLRKRHGGFAV27CB,坡道平面,930000,28.61,地下一樓
RPWNMLRKRHGGFAV87CB,坡道平面,980000,36.93,地下一樓
RPPNMLMLRHGGFAV76CB,坡道平面,830000,39.42,地下二樓
RPQNMLMLRHGGFAV86CB,坡道平面,830000,39.42,地下二樓
RPSNMLNLRHGGFAV17CB,坡道平面,830000,39.42,地下二樓
RPPNMLTLRHGGFAV47CB,坡道平面,880000,35.83,地下二樓
RPSNMLOJIIGGFAV88CB,坡道平面,0,,一樓
RPQNMLOJIIGGFAV68CB,坡道平面,730000,13.75,地下二樓
RPPNMLSKIIGGFAV09CB,坡道平面,980000,39.42,地下一樓
RPPNMLPJIIGGFAV68CB,坡道平面,730000,13.75,地下二樓
RPPNMLPLIIGGFAV88CB,坡道平面,730000,13.75,地下二樓
RPPNMLSJJIGGFAV09CB,坡道平面,980000,39.42,地下一樓
RPQNMLTJJIGGFAV66CB,坡道平面,980000,36.93,地下一樓
RPPNMLTJJIGGFAV56CB,坡道平面,880000,35.83,地下二樓
RPPNMLQKJIGGFAV98CB,坡道平面,880000,28.61,地下二樓
