編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLTJKIGGFAW96DA,2,100.90,集合住宅,鋼筋混凝土造,108年6月24日,五層,一層 陽台,全筆移轉
RPRNMLTJKIGGFAW96DA,2,12.63,共有部分：本共有部分之項目有無障礙電梯、梯間及梯廳等３項。,鋼筋混凝土造,108年6月24日,五層,,持分移轉
RPUNMLMJJIGGFAW09DA,9,80.96,集合住宅,鋼筋混凝土造,102年3月19日,三層,三層 陽台 雨遮,全筆移轉
RPUNMLMJJIGGFAW09DA,9,9.39,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,102年3月19日,三層,,持分移轉
RPQNMLLJKIGGFAW68DA,4,41.79,集合住宅,鋼筋混凝土造,107年3月30日,三層,一層 陽台,全筆移轉
RPQNMLLJKIGGFAW68DA,4,2.13,共有部分：本共有部分之項目有梯間、梯廳及無障礙坡道等３項。,鋼筋混凝土造,107年3月30日,三層,,持分移轉
RPSNMLTJJIGGFAW96DA,,124.59,集合住宅,鋼筋混凝土造,110年7月8日,四層,一層 陽台,全筆移轉
RPSNMLTJJIGGFAW96DA,,21.04,集合住宅：本共有部分之項目計有儲藏、無障礙電梯、梯廳、樓梯間、水箱等５項。,鋼筋混凝土造,110年7月8日,四層,,持分移轉
RPUNMLKKJIGGFAW98DA,5,1413.87,畜牧設施（室內養雞場）,鋼筋混凝土構造，鋼鐵構造有牆,106年5月5日,一層,一層,全筆移轉
RPPNMLNJJIGGFAW68DA,1,91.74,集合住宅,鋼筋混凝土造,110年4月29日,五層,二層 陽台,全筆移轉
RPPNMLNJJIGGFAW68DA,1,15.69,店鋪、集合住宅、共有部分之項目有梯廳、十人份無障礙電梯（防煙）、機道、水箱、機械房等５項。,鋼筋混凝土造,110年4月29日,五層,,持分移轉
RPVNMLMJJIGGFAW56DA,4,49.42,集合住宅,鋼筋混凝土造,106年10月30日,三層,二層 陽台,全筆移轉
RPVNMLMJJIGGFAW56DA,4,6.00,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,106年10月30日,三層,,持分移轉
RPQNMLPKJIGGFAW09DA,4,49.26,集合住宅,鋼筋混凝土造,106年10月30日,三層,三層 陽台,全筆移轉
RPQNMLPKJIGGFAW09DA,4,5.99,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,106年10月30日,三層,,持分移轉
RPXNMLOLJIGGFAW17DA,27,195.86,住家用,鋼筋混凝土加強磚造,83年11月4日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLRKJIGGFAW96EA,1,63.44,集合住宅,鋼筋混凝土造,109年12月23日,五層,二層 陽台,全筆移轉
RPTPMLQKJIGGFAW17EA,24,430.65,住家用,鋼筋混凝土加強磚造,86年7月25日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPSNMLRKJIGGFAW96EA,1,13.46,集合住宅：本共有部分之項目計有安全梯、梯廳、梯坑、無障礙通路、電信機房、樓梯間、水箱等七項。,鋼筋混凝土造,109年12月23日,五層,,持分移轉
RPRPMLQKJIGGFAW96EA,6,21.24,集合住宅,鋼筋混凝土造,104年7月22日,三層,二層 陽台,全筆移轉
RPRPMLQKJIGGFAW96EA,6,10.88,共有部分：本共有部分之項目計有：消防水箱、泵浦室、電信室、台電配電室、樓梯間、電梯間、停車空間等七項。,鋼筋混凝土造,104年7月22日,三層,,持分移轉
RPRPMLQKJIGGFAW96EA,6,8.55,共有部分：本共有部分之項目計有：樓梯間、門廊、走廊、電梯間等四項。,鋼筋混凝土造,104年7月22日,三層,,持分移轉
RPPNMLOLJIGGFAW98DA,,86.10,集合住宅,鋼筋混凝土造,110年6月11日,五層,四層 陽台,全筆移轉
RPPNMLOLJIGGFAW98DA,,20.38,集合住宅：本共有部分項目有電訊室、機電空間、梯廳、門廳等４項。,鋼筋混凝土造,110年6月11日,五層,,持分移轉
RPPNMLMLJIGGFAW78DA,2,70.80,集合住宅,鋼筋混凝土造,108年11月25日,五層,二層 陽台,全筆移轉
RPPNMLMLJIGGFAW78DA,2,16.79,集合住宅：本共有部分之項目計有電梯、梯廳、安全梯、梯間、水箱等５項。,鋼筋混凝土造,108年11月25日,五層,,持分移轉
RPUNMLSKJIGGFAW17DA,1,78.73,集合住宅,鋼筋混凝土造,109年9月4日,四層,一層,全筆移轉
RPUNMLSKJIGGFAW17DA,1,11.07,集合住宅、本共有部分之項目有梯間、機房等二項。,鋼筋混凝土造,109年9月4日,四層,,持分移轉
RPXNMLQLJIGGFAW37DA,3,97.59,集合住宅,鋼筋混凝土造,107年10月26日,七層,三層 陽台 雨遮,全筆移轉
SPXNMLQLJIGGFAW47DA,3,32.86,集合住宅,鋼筋混凝土造,107年10月26日,七層,三層 陽台,全筆移轉
RPXNMLQLJIGGFAW37DA,3,41.91,共有部分：本共有部分之項目有發電機房、垃圾及資源回收空間、不鏽鋼水箱、電信機房、無障礙樓梯、無障礙電梯、車道、防空避難室兼停車空間、台電配電室、梯廳及機房等１１項。,鋼筋混凝土造,107年10月26日,七層,,持分移轉
SPXNMLQLJIGGFAW47DA,3,21.66,共有部分：本共有部分之項目有發電機房、垃圾及資源回收空間、不鏽鋼水箱、電信機房、無障礙樓梯、無障礙電梯、車道、防空避難室兼停車空間、台電配電室、梯廳及機房等１１項。,鋼筋混凝土造,107年10月26日,七層,,持分移轉
SPXNMLQLJIGGFAW47DA,3,13.75,共有部分：本共有部分之項目有防空避難室兼停車空間１項。,鋼筋混凝土造,107年10月26日,七層,,持分移轉
RPVNMLQLJIGGFAW17DA,13,28.91,集合住宅,鋼筋混凝土造,98年4月13日,五層,三層 陽台,全筆移轉
RPVNMLQLJIGGFAW17DA,13,9.93,樓梯間、水箱。,鋼筋混凝土造,98年4月13日,五層,,持分移轉
RPTNMLTLJIGGFAW27DA,6,116.51,住家用,鋼筋混凝土造,104年8月5日,三層,一層 二層 三層 陽台,持分移轉
RPTNMLKKJIGGFAW88DA,2,91.04,集合住宅,鋼筋混凝土造,109年4月13日,三層,二層 陽台,全筆移轉
RPTNMLKKJIGGFAW88DA,2,14.40,集合住宅、本共有部分之項目計有機房、水箱機房、梯廳、電梯、門廳（管委會使用空間）、停車空間、車道、無障礙通路等八項。,鋼筋混凝土造,109年4月13日,三層,,持分移轉
RPSNMLNJKIGGFAW09DA,7,159.10,住家用,鋼筋混凝土造,103年12月15日,三層,一層 二層 三層 陽台,全筆移轉
RPTOMLOLJIGGFAW86DA,7,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項,全筆移轉
RPTOMLOLJIGGFAW86DA,7,23.07,共有部分：本共有部分之項目有車道、機房二項。,鋼筋混凝土造,103年6月23日,三層,,持分移轉
RPQNMLQLJIGGFAW66DA,3,189.88,集合住宅,鋼筋混凝土造,107年5月14日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLTLJIGGFAW17DA,6,28.63,集合住宅,鋼筋混凝土造,104年11月25日,三層,二層 陽台,全筆移轉
RPQNMLQLJIGGFAW66DA,3,73.20,共有部分：本共有部分之項目計有台電配電場所、配電場所、電表箱空間、電信機房、消防幫浦室、緊急發電機室、水箱、停車空間、污水池、管理室、車道、公共廁所等１２項。,鋼筋混凝土造,107年5月14日,三層,,持分移轉
RPSNMLTLJIGGFAW17DA,6,3.84,共有部分：本共有部分之項目有樓梯間及走廊等二項。,鋼筋混凝土造,104年11月25日,三層,,持分移轉
RPVNMLRKJIGGFAW17DA,6,50.40,集合住宅,鋼筋混凝土造,104年7月16日,三層,三層 陽台 雨遮,全筆移轉
RPVNMLRKJIGGFAW17DA,6,9.56,共有部分：本共有部分之項目有樓梯間、機電空間、雨遮等三項。,鋼筋混凝土造,104年7月16日,三層,,持分移轉
RPTNMLPKJIGGFAW76DA,,90.31,集合住宅,鋼筋混凝土造,110年7月23日,五層,二層 陽台,全筆移轉
RPTNMLPKJIGGFAW76DA,,14.76,店舖、集合住宅：本共有部分之項目計有梯廳、安全梯、無障礙電梯、梯間等四項。,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPQNMLTKIIGGFAW76DA,,81.77,集合住宅,鋼筋混凝土造,110年4月30日,五層,三層 陽台,全筆移轉
RPQNMLTKIIGGFAW76DA,,14.23,集合住宅：本共有部分之項目有樓梯間、電信室等２項。,鋼筋混凝土造,110年4月30日,五層,,持分移轉
RPRNMLLJIIGGFAW58DA,3,74.31,集合住宅,鋼筋混凝土造,107年8月17日,六層,五層 陽台 雨遮,全筆移轉
RPRNMLLJIIGGFAW58DA,3,28.91,共有部分：本共有部分之項目有防空避難設備、安全梯（無障礙樓梯）、梯廳、無障礙電梯、機械房、停車空間、室內通路等７項。,鋼筋混凝土造,107年8月17日,六層,,持分移轉
RPRNMLNKIIGGFAW88DA,3,99.37,集合住宅,鋼筋混凝土造,107年12月11日,七層,七層 陽台,全筆移轉
RPRNMLNKIIGGFAW88DA,3,49.41,共有部分：本共有部分之項目有台電配電室、消防機房、電信機房、發電機室、無障礙樓梯、梯廳、無障礙電梯、防空避難室兼停車空間、車道、水箱、資源回收區、機械室、外廊及門廳等１４項。,鋼筋混凝土造,107年12月11日,七層,,持分移轉
RPTNMLTKIIGGFAW07DA,1,48.97,集合住宅,鋼筋混凝土造,109年6月12日,四層,四層 陽台,全筆移轉
RPTNMLTKIIGGFAW07DA,1,13.48,集合住宅：本共有部分之項目計有無障礙電梯、梯廳、樓梯間、水塔間等４項。,鋼筋混凝土造,109年6月12日,四層,,持分移轉
RPOOMLMLIIGGFAW78EA,1,63.44,集合住宅,鋼筋混凝土造,109年12月23日,五層,三層 陽台,全筆移轉
RPOOMLMLIIGGFAW78EA,1,13.46,集合住宅：本共有部分之項目計有安全梯、梯廳、梯坑、無障礙通路、電信機房、樓梯間、水箱等七項。,鋼筋混凝土造,109年12月23日,五層,,持分移轉
RPQNMLRLIIGGFAW66DA,16,188.02,住家用,鋼筋混凝土造,94年4月26日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPSNMLTLIIGGFAW07DA,3,81.70,集合住宅,鋼筋混凝土造,107年12月10日,五層,四層 陽台,全筆移轉
RPSNMLTLIIGGFAW07DA,3,17.27,共有部分：本共有部分之項目有梯間及無障礙電梯等２項。,鋼筋混凝土造,107年12月10日,五層,,持分移轉
RPQNMLSJIIGGFAW56DA,,90.31,集合住宅,鋼筋混凝土造,110年7月23日,五層,四層 陽台,全筆移轉
RPQNMLSJIIGGFAW56DA,,14.76,店舖、集合住宅：本共有部分之項目計有梯廳、安全梯、無障礙電梯、梯間等四項。,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPRNMLLLIIGGFAW78DA,3,124.53,集合住宅,鋼筋混凝土造,107年9月28日,三層,二層 陽台,全筆移轉
RPRNMLLLIIGGFAW78DA,3,35.38,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,,持分移轉
RPOOMLQJIIGGFAW88DA,,90.31,集合住宅,鋼筋混凝土造,110年7月23日,五層,四層 陽台,全筆移轉
RPOOMLQJIIGGFAW88DA,,14.76,店舖、集合住宅：本共有部分之項目計有梯廳、安全梯、無障礙電梯、梯間等四項。,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPRNMLNJJIGGFAW98EA,1,64.03,集合住宅,鋼筋混凝土造,109年12月23日,五層,三層 陽台,全筆移轉
RPRNMLNJJIGGFAW98EA,1,13.60,集合住宅：本共有部分之項目計有安全梯、梯廳、梯坑、無障礙通路、電信機房、樓梯間、水箱等七項。,鋼筋混凝土造,109年12月23日,五層,,持分移轉
RPQOMLQJIIGGFAW09DA,,90.31,集合住宅,鋼筋混凝土造,110年7月23日,五層,三層 陽台,全筆移轉
RPQOMLQJIIGGFAW09DA,,14.76,店舖、集合住宅：本共有部分之項目計有梯廳、安全梯、無障礙電梯、梯間等四項。,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPPNMLPKIIGGFAW88DA,9,167.16,集合住宅,鋼筋混凝土造,102年1月23日,1,一層,全筆移轉
RPPNMLPKIIGGFAW88DA,9,12.84,共有部分：本共有部分之項目計有停車空間、蓄水池、機房、樓梯間等四項。,鋼筋混凝土造,102年1月23日,三層,,持分移轉
RPTNMLOJJIGGFAW56DA,5,77.27,集合住宅,鋼筋混凝土造,106年3月24日,三層,三層 陽台,全筆移轉
RPTNMLOJJIGGFAW56DA,5,18.83,共有部分：本共有部分之項有梯間、無障礙電梯、電梯機房等３項。,鋼筋混凝土造,106年3月24日,三層,,持分移轉
RPQNMLLJIIGGFAW48DA,1,99.33,集合住宅,鋼筋混凝土造,110年3月12日,五層,一層 陽台,全筆移轉
RPQNMLLJIIGGFAW48DA,1,19.06,集合住宅：本共有部分之項目有無障礙通路、梯廳、水箱等３項。,鋼筋混凝土造,110年3月12日,五層,,持分移轉
RPPNMLSJJIGGFAW66EA,2,39.76,旅館,鋼筋混凝土造,109年4月8日,十層,二層 陽台 雨遮,全筆移轉
RPPNMLSJJIGGFAW66EA,2,20.42,店舖、集合住宅、本建物共有部分之項目有車道、排風機房、緊急昇降機、客梯兼無障礙電梯、廢水池、消防幫浦室、蓄水池、甲梯、進風機房、防空避難室兼停車空間、電信機房、乙梯、梯廳、汙物處理室、台電受電室、設備空間、機械室、停車空間、迴轉空間、發電機室、排煙室、消防設備空間、雨遮、陽台、管委會空間等共計２５項。,鋼筋混凝土造,109年4月8日,十層,,持分移轉
RPUNMLOJJIGGFAW66DA,6,43.27,集合住宅,鋼筋混凝土造,104年4月29日,三層,二層 陽台 雨遮,全筆移轉
RPUNMLOJJIGGFAW66DA,6,13.80,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,,持分移轉
RPQNMLNJJIGGFAW78DA,6,95.07,集合住宅,鋼筋混凝土造,104年6月9日,三層,二層 陽台 雨遮,全筆移轉
RPQNMLNJJIGGFAW78DA,6,16.29,共有部分：本共有部分之項目計有樓梯間、電信機房等２項。,鋼筋混凝土造,104年6月9日,三層,,持分移轉
RPQNMLSJJIGGFAW66DA,6,188.93,集合住宅,鋼筋混凝土造,104年4月30日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLKKJIGGFAW58DA,15,255.86,住家用,鋼筋混凝土造,95年8月22日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLKKJIGGFAW68DA,1,94.30,集合住宅,鋼筋混凝土造,110年2月9日,六層,二層 陽台,全筆移轉
RPRNMLKKJIGGFAW68DA,1,47.61,集合住宅：本共有部分之項目計有滯洪池、電信室、梯廳、水箱、緊急發電室、消防幫浦室、消防水箱、廢水池、台電配電場所、受電箱、電梯空間、停車位等１２項。,鋼筋混凝土造,110年2月9日,六層,,持分移轉
RPQNMLMKJIGGFAW78DA,5,85.63,集合住宅,鋼筋混凝土造,106年3月3日,三層,二層 陽台,全筆移轉
RPQNMLMKJIGGFAW78DA,5,58.75,共有部分：本共有部分之項目計有車道、台電機房、發電機室、電信機房、消防水池、消防泵浦室、水箱、停車空間、梯間等９項。,鋼筋混凝土造,106年3月3日,三層,,持分移轉
RPWNMLQJIIGGFAW96DA,,90.31,集合住宅,鋼筋混凝土造,110年7月23日,五層,四層 陽台,全筆移轉
RPWNMLQJIIGGFAW96DA,,14.76,店舖、集合住宅：本共有部分之項目計有梯廳、安全梯、無障礙電梯、梯間等四項。,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPUNMLLJIIGGFAW88DA,3,205.48,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台,全筆移轉
RPUNMLLJIIGGFAW88DA,3,47.79,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,,持分移轉
RPSNMLQJIIGGFAW56DA,,90.31,集合住宅,鋼筋混凝土造,110年7月23日,五層,二層 陽台,全筆移轉
RPSNMLQJIIGGFAW56DA,,14.76,店舖、集合住宅：本共有部分之項目計有梯廳、安全梯、無障礙電梯、梯間等四項。,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPUNMLOJIIGGFAW56DA,7,21.02,集合住宅,鋼筋混凝土造,103年10月16日,三層,二層 陽台,全筆移轉
RPUNMLOJIIGGFAW56DA,7,21.40,集合住宅,鋼筋混凝土造,103年10月16日,三層,二層 陽台,全筆移轉
RPUNMLOJIIGGFAW56DA,7,24.34,集合住宅,鋼筋混凝土造,103年10月16日,三層,二層 陽台,全筆移轉
RPUNMLOJIIGGFAW56DA,7,3.24,共有部分：本共有部分之項目計有樓梯間、走廊等二項。,鋼筋混凝土造,103年10月16日,三層,,持分移轉
RPUNMLOJIIGGFAW56DA,7,3.30,共有部分：本共有部分之項目計有樓梯間、走廊等二項。,鋼筋混凝土造,103年10月16日,三層,,持分移轉
RPUNMLOJIIGGFAW56DA,7,3.74,共有部分：本共有部分之項目計有樓梯間、走廊等二項。,鋼筋混凝土造,103年10月16日,三層,,持分移轉
RPUNMLQJIIGGFAW76DA,,90.31,集合住宅,鋼筋混凝土造,110年7月23日,五層,四層 陽台,全筆移轉
RPUNMLQJIIGGFAW76DA,,14.76,店舖、集合住宅：本共有部分之項目計有梯廳、安全梯、無障礙電梯、梯間等四項。,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPVNMLPKJIGGFAW96DA,1,64.03,集合住宅,鋼筋混凝土造,109年12月23日,五層,二層 陽台,全筆移轉
RPVNMLPKJIGGFAW96DA,1,13.60,集合住宅：本共有部分之項目計有安全梯、梯廳、梯坑、無障礙通路、電信機房、樓梯間、水箱等七項。,鋼筋混凝土造,109年12月23日,五層,,持分移轉
RPQNMLPLIIGGFAW09DA,5,51.98,集合住宅,鋼筋混凝土造,105年6月17日,七層,二層 陽台 雨遮,全筆移轉
RPQNMLPLIIGGFAW09DA,5,20.61,共有部分：本共有部分之項目有梯間、防空避難室兼停車空間、消防水池、機電消防室、台電配電室、雨遮、汽車升降機房、汽車昇降道、清水池、電信室、車道、外廊、水錶室、水箱、電梯機房等１５項。,鋼筋混凝土造,105年6月17日,七層,,持分移轉
RPUNMLMLIIGGFAW56DA,1,74.48,集合住宅,鋼筋混凝土造,109年11月20日,九層,七層 陽台 雨遮,全筆移轉
RPSNMLMLIIGGFAW98DA,1,56.40,集合住宅,鋼筋混凝土造,109年11月20日,九層,五層 陽台 雨遮,全筆移轉
RPUNMLMLIIGGFAW56DA,1,26.85,辦公室、集合住宅、本共有部分之項目有台電配電室、機電消防室、無障礙安全梯、消防水池、防空避難室兼停車空間、電信室、清水池、環保區、管委會使用空間、走廊兼梯廳、安全梯、梯廳、雨遮、電梯機房、水箱、水錶室等計１６項。,鋼筋混凝土造,109年11月20日,九層,,持分移轉
RPSNMLMLIIGGFAW98DA,1,20.38,辦公室、集合住宅、本共有部分之項目有台電配電室、機電消防室、無障礙安全梯、消防水池、防空避難室兼停車空間、電信室、清水池、環保區、管委會使用空間、走廊兼梯廳、安全梯、梯廳、雨遮、電梯機房、水箱、水錶室等計１６項。,鋼筋混凝土造,109年11月20日,九層,,持分移轉
RPQNMLSLIIGGFAW76DA,1,82.50,集合住宅,鋼筋混凝土造,109年9月4日,四層,二層 陽台,全筆移轉
RPQNMLSLIIGGFAW76DA,1,11.07,集合住宅、本共有部分之項目有梯間、機房等二項。,鋼筋混凝土造,109年9月4日,四層,,持分移轉
RPRNMLTKIIGGFAW86DA,4,49.42,集合住宅,鋼筋混凝土造,106年10月30日,三層,三層 陽台,全筆移轉
RPRNMLTKIIGGFAW86DA,4,6.00,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,106年10月30日,三層,,持分移轉
RPTNMLQLIIGGFAW86DA,8,145.71,集合住宅,鋼筋混凝土造,103年1月27日,三層,一層 二層 三層 陽台,全筆移轉
