編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSOMLQKJIGGFAX96DA,40,91.12,住家用,鋼筋混凝土加強磚造,70年6月20日,二層,一層 二層 電梯樓梯間,全筆移轉
RPSNMLQKJIGGFAX86DA,41,106.60,住家用,鋼筋混凝土加強磚造,69年9月13日,二層,一層 二層 電梯樓梯間,全筆移轉
RPOOMLKKJIGGFAX58DA,38,111.15,農民住宅,鋼筋混凝土加強磚造,73年2月20日,二層,一層 二層 電梯樓梯間,全筆移轉
RPOOMLTKJIGGFAX86DA,21,78.28,住家用,加強磚造,90年2月15日,一層,一層 電梯樓梯間,全筆移轉
RPQNMLQKJIGGFAX66DA,4,359.07,老人養護中心、消防水池,鋼筋混凝土造,106年11月16日,一層,一層 地下一層 見其他登記事項,持分移轉
RPUNMLKMJIGGFAX66DA,26,102.65,住家用,鋼筋混凝土造,85年2月2日,八層,五層 陽台,全筆移轉
RPUNMLKMJIGGFAX66DA,26,16.18,避難室、停車空間,鋼筋混凝土造,85年2月2日,八層,,持分移轉
RPUNMLKMJIGGFAX66DA,26,12.33,電氣室、台電受電室、電樓梯間,鋼筋混凝土造,85年2月2日,八層,,持分移轉
RPUNMLKMJIGGFAX66DA,26,1.39,門廊、門廳,鋼筋混凝土造,85年2月2日,八層,,持分移轉
RPVNMLTKJIGGFAX47DA,15,105.92,集合住宅,鋼筋混凝土造,95年7月10日,七層,一層 陽台,全筆移轉
RPVNMLTKJIGGFAX47DA,15,68.62,共用部份,鋼筋混凝土造,95年7月10日,十四層,,持分移轉
RPRNMLKKJIGGFAX78DA,43,190.80,住商用,鋼筋混凝土造,68年1月23日,四層,一層 二層 三層 四層 地下層,全筆移轉
RPVNMLKMJIGGFAX76DA,7,170.13,住家用,鋼筋混凝土造,104年3月16日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
