編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLLKKHHGFAA37EA,,68.61,住家用,鋼筋混凝土造,,四層,一層 平台,全筆移轉
RPUPMLSJKHHGFCA08EA,15,30.65,共有部分,鋼筋混凝土造,95年11月10日,十一層,,持分移轉
RPRNMLPKKHHGFBA17DA,10,.05,一般零售業甲組、一般零售業乙組,鋼筋混凝土造,101年5月30日,十五層,一層,持分移轉
RPRNMLPKKHHGFBA17DA,10,54.38,住家用,鋼筋混凝土造,101年5月30日,十五層,九層 雨遮,全筆移轉
RPRNMLPKKHHGFBA17DA,10,.00,本共有部分之項目有陽台、機械停車等候空間、出入口雨遮、大廳、排煙室、進排風管道、特別安全梯Ａ、戶外安全梯Ｂ、梯廳兼排煙室、緊急昇降機、行動不便昇降機、管委會使用空間、通道、一般安全梯Ｃ、機車昇降機、騎樓、雨遮、水錶區、水箱、梯間、樓梯間、消防水箱、電梯機房、一般安全梯Ｄ、台電配電室、防空避難室兼停車空間、電錶室、電信機房、緊急發電機室、消防泵浦室、消防水池等３１項,鋼筋混凝土造,101年5月30日,十五層,,持分移轉
RPRNMLPKKHHGFBA17DA,10,14.37,本共有部分之項目有陽台、機械停車等候空間、出入口雨遮、大廳、排煙室、進排風管道、特別安全梯Ａ、戶外安全梯Ｂ、梯廳兼排煙室、緊急昇降機、行動不便昇降機、管委會使用空間、通道、一般安全梯Ｃ、機車昇降機、騎樓、雨遮、水錶區、水箱、梯間、樓梯間、消防水箱、電梯機房、一般安全梯Ｄ、台電配電室、防空避難室兼停車空間、電錶室、電信機房、緊急發電機室、消防泵浦室、消防水池等３１項,鋼筋混凝土造,101年5月30日,十五層,,持分移轉
RPRNMLPKKHHGFBA17DA,10,15.39,本共有部分之項目有排煙室、特別安全梯Ａ、進排風管道、戶外安全梯Ｂ、梯廳兼排煙室、緊急昇降機、行動不便昇降機、雨遮等８項,鋼筋混凝土造,101年5月30日,十五層,,持分移轉
RPRNMLMKKHHGFEA17DA,9,95.95,住家用,鋼筋混凝土造,102年3月12日,十三層,九層 陽台 雨遮,全筆移轉
RPRNMLMKKHHGFEA17DA,9,39.30,本共有部分為壹層梯廳、管理員室，屋頂突出物貳層機械室，屋頂突出物參層水箱，地下壹層台電受電室、電氣室、電信機房，地下貳層水箱、進風管道、排風管道、防空避難室兼停車空間、鋼瓶室、汽車升降機、消防泵浦室、發電機室、機車停車位等１６項。,鋼筋混凝土造,102年3月12日,十三層,,持分移轉
RPRNMLMKKHHGFEA17DA,9,8.20,本共有部分為貳至拾層梯廳等１項。,鋼筋混凝土造,102年3月12日,十三層,,持分移轉
RPSNMLQKKHHGFFA87EA,43,29.86,防空避難室、停車場、商場。,鋼筋混凝土造,68年1月15日,十四層,避難室兼停車場 見使用執照,持分移轉
RPOPMLQKKHHGFBA27EA,39,26.55,見使用執照,鋼筋混凝土造,71年9月8日,十一層,地下二層,持分移轉
RPPNMLRKKHHGFAA07DA,14,.07,一般事務所,鋼筋混凝土造,97年1月3日,十二層,一層,持分移轉
RPPNMLRKKHHGFAA07DA,14,.00,共有部分,鋼筋混凝土造,97年1月3日,十二層,,持分移轉
RPPNMLRKKHHGFAA07DA,14,16.81,共有部分,鋼筋混凝土造,97年1月3日,十二層,,持分移轉
RPVOMLSKKHHGFBA08EA,53,21.85,住家用,加強磚造,58年3月25日,四層,四層,持分移轉
RPRPMLQKKHHGFCA67EA,20,.18,商業用,鋼筋混凝土造,90年8月27日,十層,一層,持分移轉
RPRPMLQKKHHGFCA67EA,20,23.68,住家用,鋼筋混凝土造,90年8月27日,十層,六層 陽台 雨遮,全筆移轉
RPRPMLQKKHHGFCA67EA,20,.11,共有部分,鋼筋混凝土造,90年8月27日,十層,,持分移轉
RPRPMLQKKHHGFCA67EA,20,14.93,共有部分,鋼筋混凝土造,90年8月27日,十層,,持分移轉
RPPPMLRKKHHGFDA57DA,40,148.98,商業用,鋼筋混凝土造,71年7月7日,十六層,八層 陽台,全筆移轉
RPPPMLRKKHHGFDA57DA,40,26.97,共有部分,鋼筋混凝土造,71年7月7日,十六層,,持分移轉
RPPPMLRKKHHGFDA57DA,40,6.50,共有部分,鋼筋混凝土造,71年7月7日,十六層,,持分移轉
RPPNMLOKKHHGFFA37EA,16,1.88,停車空間,鋼筋混凝土造,95年4月6日,十二層,一層,持分移轉
RPPNMLOKKHHGFFA37EA,16,.07,共有部分,鋼筋混凝土造,95年4月6日,十二層,,持分移轉
RPXNMLLLKHHGFCA67EA,38,58.66,住家用,鋼筋混凝土造,73年4月6日,十二層,十一層 陽台,全筆移轉
RPXNMLLLKHHGFCA67EA,38,42.25,住家用,鋼筋混凝土造,73年4月6日,十二層,十一層 陽台,全筆移轉
RPXNMLLLKHHGFCA67EA,38,18.24,共有部分,鋼筋混凝土造,73年4月6日,十二層,,持分移轉
RPXNMLLLKHHGFCA67EA,38,13.00,共有部分,鋼筋混凝土造,73年4月6日,十二層,,持分移轉
RPTRMLLLKHHGFEA87EA,49,94.30,住家用,鋼筋混凝土造,62年1月8日,四層,一層,全筆移轉
