編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLLKJIGGFBB76CC,太原段,18.57,都市：住,,,,01400004
RPTOMLLKJIGGFBB17CC,陳平段,79.00,都市：住,,,,31500000
RPWRMLLKJIGGFBB77CC,北屯段,51.00,都市：商,,,,00290016
RPXRMLLKJIGGFBB87CC,北屯段,33.20,都市：住,,,,00410082
RPOSMLLKJIGGFBB07CC,東新段,40.04,都市：住,,,,01340001
RPORMLLKJIGGFBB96CC,太祥段,17.44,都市：住,,,,01000000
RPOTMLLKJIGGFBB17CC,乾溝子段,16.17,都市：住,,,,01700049
RPOTMLLKJIGGFBB17CC,乾溝子段,.46,都市：住,,,,01730011
RPTNMLLKJIGGFCB17CC,國安段,.00,都市：住,,,,01040002
RPPTMLLKJIGGFBB27CC,乾溝子段,10.02,都市：住,,,,01700049
RPPTMLLKJIGGFBB27CC,乾溝子段,.29,都市：住,,,,01730011
RPTNMLLKJIGGFCB17CC,國安段,.00,都市：住,,,,01040003
RPTNMLLKJIGGFAB96CC,大益段,196.00,都市：商,,,,01440000
RPSNMLLKJIGGFAB86CC,中華段三小段,1.65,都市：住,,,,00020021
RPTPMLLKJIGGFCB37CC,楓樹段,92.45,都市：住,,,,18430005
RPOOMLLKJIGGFAB56CC,樹子腳段,.00,都市：其他:市場用地,,,,13000015
RPXNMLLKJIGGFAB37CC,中華段三小段,1.65,都市：住,,,,00020021
RPWNMLLKJIGGFAB27CC,公館段,1.21,都市：商,,,,00630001
RPSOMLLKJIGGFAB96CC,中華段三小段,1.95,都市：住,,,,00020021
RPSNMLLKJIGGFDB17CC,西湳北段,708.95,都市：農,,,,09110004
RPSNMLLKJIGGFDB17CC,西湳北段,756.70,都市：農,,,,09110009
RPUNMLLKJIGGFDB37CC,豐圳段,22.94,都市：住,,,,04630000
RPUNMLLKJIGGFHB77CC,家興段,22.76,都市：住,,,,08790000
RPSNMLLKJIGGFKB87CC,福安段,79.25,都市：住,,,,08260000
RPRQMLMKJIGGFIB97CC,大忠段,.00,都市：商,,,,01110000
RPTOMLMKJIGGFHB87CC,甘潭段,12.21,都市：住,,,,01140000
RPROMLMKJIGGFFB47CC,犁份東段,34.23,都市：農,,,,03210000
RPXOMLMKJIGGFAB57CC,中華段三小段,1.98,都市：住,,,,00020021
RPVOMLMKJIGGFAB37CC,東勢子段,17.41,都市：住,,,,00420000
RPUOMLMKJIGGFAB27CC,公館段,1.26,都市：商,,,,00630001
RPOPMLMKJIGGFAB76CC,中華段三小段,1.95,都市：住,,,,00020021
RPPOMLMKJIGGFAB76CC,平等段二小段,4.74,都市：商,,,,00080000
RPTOMLMKJIGGFAB17CC,旱溪段,89.00,都市：住,,,,01240071
RPWNMLMKJIGGFAB37CC,三民段六小段,.00,都市：住,,,,00050000
RPQPMLMKJIGGFAB96CC,中華段三小段,1.65,都市：住,,,,00020021
RPPOMLMKJIGGFCB96CC,大進段,9.18,都市：住,,,,00960000
RPPPMLMKJIGGFAB86CC,中華段三小段,1.50,都市：住,,,,00020021
RPQPMLMKJIGGFCB17CC,田心段,214.00,都市：住,,,,08770011
RPUOMLMKJIGGFCB47CC,中仁段,11.86,都市：住,,,,03320000
RPWOMLMKJIGGFCB67CC,國安段,26.03,都市：住,,,,05990000
RPVPMLMKJIGGFCB67CC,田心段,214.00,都市：住,,,,08770011
RPQQMLMKJIGGFCB27CC,福星段,.00,都市：住,,,,04910000
RPRPMLMKJIGGFCB27CC,大墩段,84.00,都市：住,,,,00670007
RPOSMLMKJIGGFCB27CC,順和段,12.62,都市：住,,,,03160000
RPRPMLMKJIGGFCB27CC,大墩段,8.00,都市：住,,,,00670009
RPRPMLMKJIGGFCB27CC,大墩段,354.00,都市：住,,,,00670010
RPRQMLMKJIGGFCB37CC,何安段,.00,都市：住,,,,09140000
RPRQMLMKJIGGFCB37CC,何安段,.00,都市：商,,,,09150000
RPQOMLMKJIGGFBB96CC,仁美段,95.00,都市：住,,,,07570000
RPVNMLMKJIGGFBB37CC,東光段,.00,都市：商,,,,01950001
RPOPMLMKJIGGFBB86CC,賴厝廍段,24.60,都市：住,,,,00540000
RPTOMLMKJIGGFBB27CC,東峰段,.00,都市：住,,,,01580000
RPXOMLMKJIGGFBB67CC,仁美段,.65,都市：商,,,,17450000
RPTPMLMKJIGGFBB37CC,文北段,.00,都市：住,,,,01480000
RPUOMLMKJIGGFBB37CC,東峰段,.00,都市：住,,,,01580000
RPPRMLMKJIGGFBB17CC,昌平段,1014.32,都市：住,,,,02730000
RPUPMLMKJIGGFBB47CC,東光段,.00,都市：住,,,,03160000
RPTNMLNKJIGGFFB67CC,市鎮北段,15.92,都市：其他:其他,,,,02380000
RPSNMLNKJIGGFFB57CC,市鎮北段,19.58,都市：其他:其他,,,,02950000
RPUNMLNKJIGGFFB77CC,市鎮北段,22.56,都市：其他:其他,,,,02950000
RPUOMLPKJIGGFFB08CC,市鎮北段,17.24,都市：商,,,,02950000
RPPRMLPKJIGGFFB87CC,晉江北段,8.98,都市：住,,,,01080000
RPSNMLPKJIGGFHB97CC,大榮段,.00,都市：住,,,,05870000
RPXNMLPKJIGGFHB48CC,自強段,49.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01070021
RPTNMLPKJIGGFDB67CC,新水源段,152.32,都市：工,,,,02470000
RPSNMLPKJIGGFAB27CC,東勢子段,.00,都市：住,,,,00240001
RPRPMLPKJIGGFFB87CC,大同段,19.44,都市：商,,,,11560000
RPWNMLPKJIGGFAB67CC,土庫段,.00,都市：住,,,,00860000
RPTNMLPKJIGGFAB37CC,樹子腳段,.00,都市：住,,,,10410000
RPXNMLPKJIGGFIB58CC,美群段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00080000
RPOPMLPKJIGGFIB87CC,霧峰段北溝小段,159.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00450440
RPRSMLPKJIGGFIB48CC,北新段,.00,都市：住,,,,10410000
RPUOMLPKJIGGFBB67CC,錦村段,.00,都市：住,,,,01160000
RPVOMLPKJIGGFBB77CC,賴厝廍段,75.00,都市：住,,,,01520046
RPWOMLPKJIGGFBB87CC,水湳段,.00,都市：住,,,,07290000
RPSQMLPKJIGGFBB67CC,賴厝廍段,4.43,都市：住,,,,00540000
RPSOMLPKJIGGFJB28CC,太平段,38.06,都市：住,,,,05810000
RPTQMLPKJIGGFBB77CC,長安段,67.00,都市：住,,,,05780000
RPPOMLPKJIGGFCB27CC,下石碑段,.00,都市：住,,,,09530002
RPWPMLPKJIGGFCB08CC,下石碑段,30.35,都市：住,,,,16910000
RPQQMLPKJIGGFCB57CC,大進段,8.24,都市：住,,,,10100000
RPQRMLPKJIGGFBB57CC,水源段,5.43,都市：住,,,,03200038
RPRRMLPKJIGGFCB77CC,上石碑段,8.11,都市：商,,,,10390046
RPSRMLPKJIGGFCB87CC,國安段,7.11,都市：住,,,,05930491
