鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安樂區,房地(土地+建物),基隆市安樂區基金一路３７９巷２３號,672.66,工,,,1101106,土地2建物1車位0,見其他登記事項,2,廠辦,廠房,鋼筋混凝土造,0770621,307.3,0,0,0,無,無,無,95000,309,,0.0,0,一樓外空地在契約中給予承租方兩個車位的使用權. 每個月出租方開立租金發票給承租方租金內含5%營業稅稅金部分由屋主自行繳納,RPXQMLLKJIGGFDC08CC
中正區,房地(土地+建物),基隆市中正區中正路７３０號１樓,26.0,商,,,1101022,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0590218,87.19,0,0,0,無,無,無,26169,300,,0.0,0,自2021年11月10日至2021年12月9日為本租賃物之免租金裝修期,RPSPMLMKJIGGFDC67DC
安樂區,房地(土地+建物),基隆市安樂區樂一路９６號２樓,22.59,住,,,1101111,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760808,83.83,3,1,2,有,無,有,10000,119,,0.0,0,,RPUOMLPKJIGGFDC97CC
信義區,房地(土地+建物),基隆市信義區東信路１４７號,17.0,商,,,1101102,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0730613,98.77,0,0,0,無,無,無,13000,132,,0.0,0,此案沒有租夾層，只租一層跟地下層。為好友不動產經紀有限公司基隆成功營業處承辦。,RPPOMLQKJIGGFDC57CC
仁愛區,建物,基隆市仁愛區獅球路１３９之８號,0.0,住,,,1101023,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660113,68.95,3,1,1,有,無,有,7000,102,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPOPMLQKJIGGFDC57CC
中山區,建物,基隆市中山區安一路３１號４樓,0.0,商,,,1101019,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831125,73.17,2,1,1,有,無,有,10000,137,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPPPMLQKJIGGFDC67CC
暖暖區,建物,基隆市暖暖區碇內街３５１號,0.0,住,,,1101019,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,108.34,3,1,2,有,無,有,11000,102,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPRPMLQKJIGGFDC87CC
安樂區,建物,基隆市安樂區基金一路１２１巷１４之６號１樓,0.0,其他,,,1101023,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850930,82.78,3,2,2,有,無,有,10000,121,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPQOMLRKJIGGFDC77CC
安樂區,建物,基隆市安樂區中和路８５巷２３號８樓之２,0.0,其他,,,1101019,土地0建物1車位0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,41.7,2,1,1,有,有,有,8000,192,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPROMLRKJIGGFDC87CC
七堵區,建物,基隆市七堵區明德二路１１號２樓,0.0,住,,,1101023,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070914,64.27,3,1,2,有,有,有,12000,187,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPSOMLRKJIGGFDC97CC
安樂區,房地(土地+建物),基隆市安樂區基金一路１１２巷１１０弄１５之８號２樓,26.84,住,,,1101114,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851107,116.46000000000001,3,2,1,有,有,有,9800,84,,0.0,0,,RPXNMLTKJIGGFDC58CC
仁愛區,房地(土地+建物),基隆市仁愛區愛四路８６號,88.0,商,,,1100929,土地2建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0830715,94.01,0,0,0,無,無,無,80000,851,,0.0,0,,RPQOMLMLJIGGFDC37CC
中山區,建物,基隆市中山區復興路２５９巷２５之２號２樓,0.0,住,,,1101105,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830930,72.51,2,1,1,有,無,有,7000,97,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPSPMLKMJIGGFDC57CC
信義區,建物,基隆市信義區東信路３５巷３號,0.0,住,,,1101105,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0601007,68.62,2,1,1,有,無,有,12000,175,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPTPMLKMJIGGFDC67CC
安樂區,建物,基隆市安樂區安和二街１４之１號９樓,0.0,其他,,,1101105,土地0建物1車位0,九層,16,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0850120,91.56,3,2,2,有,有,有,15000,164,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPUPMLKMJIGGFDC77CC
