編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUOMLPKJIGGFDC97CC,34,83.83,住家用,鋼筋混凝土造,76年8月8日,五層,,
RPSPMLMKJIGGFDC67DC,52,87.19,住商用,鋼筋混凝土造,59年2月18日,四層,,
RPPOMLQKJIGGFDC57CC,37,98.77,商業用,鋼筋混凝土造,73年6月13日,五層,,
RPSOMLRKJIGGFDC97CC,3,64.27,集合住宅,鋼筋混凝土造,107年9月14日,五層,,
RPROMLRKJIGGFDC87CC,24,41.70,住家用,鋼筋混凝土造,86年5月8日,十一層,,
RPXQMLLKJIGGFDC08CC,33,307.30,廠房,鋼筋混凝土造,77年6月21日,二層,,
RPRPMLQKJIGGFDC87CC,26,108.34,住家用,鋼筋混凝土造,84年5月17日,六層,,
RPSPMLKMJIGGFDC57CC,27,72.51,住家用,鋼筋混凝土造,83年9月30日,五層,,
RPQOMLMLJIGGFDC37CC,27,94.01,商業用,鋼筋混凝土造,83年7月15日,五層,,
RPOPMLQKJIGGFDC57CC,45,68.95,住家用,鋼筋混凝土加強磚造,66年1月13日,五層,,
RPXNMLTKJIGGFDC58CC,25,103.17,住家用,鋼筋混凝土造,85年11月7日,七層,,
RPXNMLTKJIGGFDC58CC,25,6.15,共用部份,鋼筋混凝土造,85年11月7日,七層,,
RPXNMLTKJIGGFDC58CC,25,6.50,共用部份,鋼筋混凝土造,85年11月7日,七層,,
RPXNMLTKJIGGFDC58CC,25,.64,共用部份,鋼筋混凝土造,85年11月7日,七層,,
RPTPMLKMJIGGFDC67CC,50,68.62,住家用,加強磚造,60年10月7日,三層,,
RPPPMLQKJIGGFDC67CC,27,73.17,住家用,鋼筋混凝土造,83年11月25日,五層,,
RPQOMLRKJIGGFDC77CC,25,82.78,住家用,鋼筋混凝土造,85年9月30日,五層,,
RPUPMLKMJIGGFDC77CC,26,91.56,國民住宅,鋼筋混凝土造,85年1月20日,十六層,,
RPXPMLKMJIGGFDC08CC,23,101.54,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPVPMLKMJIGGFDC87CC,27,129.49,住家用,鋼筋混凝土造,84年3月22日,七層,,
RPPPMLLJKIGGFDC17CC,24,70.77,住家用,鋼筋混凝土造,86年5月8日,十一層,,
RPSPMLLJKIGGFDC47CC,41,78.25,住家用,鋼筋混凝土造,69年10月22日,四層,,
RPQPMLLJKIGGFDC27CC,2,65.96,集合住宅,鋼筋混凝土造,108年9月25日,七層,,
RPTPMLLJKIGGFDC57CC,52,72.94,住家用,加強磚造,58年9月30日,四層,,
RPVPMLLJKIGGFDC77CC,5,55.29,集合住宅,鋼筋混凝土造,105年10月7日,七層,,
RPRPMLLJKIGGFDC37CC,8,104.58,集合住宅,鋼筋混凝土造,102年12月4日,十三層,,
RPOPMLLJKIGGFDC07CC,26,110.81,住家用,鋼筋混凝土造,84年5月15日,七層,,
RPUPMLLJKIGGFDC67CC,24,24.92,住家用,鋼筋混凝土造,86年6月23日,九層,,
RPWNMLMJKIGGFDC77CC,22,68.79,住家用,鋼筋混凝土造,89年2月2日,七層,,
RPXNMLMJKIGGFDC87CC,26,74.53,住家用,鋼筋混凝土造,85年2月17日,十層,,
RPUOMLMJKIGGFDC67CC,22,84.80,住家用,鋼筋混凝土造,88年12月31日,十四層,,
RPWOMLMJKIGGFDC87CC,32,93.60,住家用,鋼筋混凝土造,79年4月24日,五層,,
RPXPMLMJKIGGFDC08CC,27,30.31,住家用,鋼筋混凝土造,84年1月27日,十層,,
RPSOMLMJKIGGFDC47CC,35,82.45,住家用,鋼筋混凝土造,76年3月23日,五層,,
RPQOMLMJKIGGFDC27CC,26,52.52,住家用,鋼筋混凝土造,84年8月1日,十二層,,
RPPQMLMJKIGGFDC37CC,28,110.70,住家用,鋼筋混凝土造,82年10月23日,七層,,
RPRQMLMJKIGGFDC57CC,22,64.46,住家用,鋼筋混凝土造,88年12月31日,十二層,,
RPTQMLMJKIGGFDC77CC,26,69.05,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPWQMLMJKIGGFDC08CC,39,99.41,國民住宅,鋼筋混凝土造,71年12月20日,五層,,
RPUQMLMJKIGGFDC87CC,39,98.36,國民住宅,鋼筋混凝土造,71年6月24日,五層,,
RPPRMLMJKIGGFDC47CC,47,60.90,住家用,鋼筋混凝土加強磚造,64年2月15日,四層,,
RPRRMLMJKIGGFDC67CC,39,72.33,住家用,鋼筋混凝土造,71年9月15日,四層,,
RPORMLMJKIGGFDC37CC,28,64.40,住家用,鋼筋混凝土造,83年2月24日,五層,,
RPTRMLMJKIGGFDC87CC,40,57.10,住家用,鋼筋混凝土造,71年2月23日,三層,,
RPQRMLMJKIGGFDC57CC,6,62.84,集合住宅,鋼筋混凝土造,104年10月20日,十四層,,
