鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,房地(土地+建物),臺南市中西區臨安路一段 ２４２ 號,70.0,住,,,1101110,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0580805,105.42,5,2,3,有,無,無,22000,209,,0.0,0,,RPTNMLLKJIGGFAD17CC
安平區,建物,臺南市安平區國平北路１２３號十樓之１２,0.0,商,,,1101108,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100503,84.08,2,2,1,有,有,有,21000,250,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫，租金不含管理費,RPUNMLLKJIGGFAD27CC
北區,建物,臺南市北區富北街８３號,0.0,商,,,1101105,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住宅、店舖、辦公室,鋼筋混凝土構造,1080422,11.5,1,0,1,有,無,有,6500,565,,0.0,0,,RPRPMLLKJIGGFAD17CC
南區,建物,臺南市南區鯤鯓路２３２巷３８號,0.0,住,,,1101026,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0690812,77.2,4,2,2,有,無,有,13000,168,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫，租金不含管理費,RPPNMLLKJIGGFCD96CC
南區,建物,臺南市南區興昌路７６巷１號１３樓之２,0.0,住,,,1101106,土地0建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1080823,121.51,2,2,1,有,有,有,25000,206,坡道平面,31.74,0,,RPRNMLLKJIGGFCD17CC
東區,建物,臺南市東區崇德二街６巷２４號４樓,0.0,住,,,1101110,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830117,66.16,2,2,1,有,有,有,11300,171,,0.0,0,,RPXNMLLKJIGGFCD77CC
東區,建物,臺南市東區東門路一段８４號之５六樓之１,0.0,住,,,1101101,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800122,23.46,1,0,1,有,有,有,4500,192,,0.0,0,,RPROMLLKJIGGFCD27CC
東區,建物,臺南市東區民族路一段１７巷３０號,0.0,住,,,1101109,土地0建物0車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701109,19.8,1,0,1,有,無,有,5500,278,,0.0,0,部分承租,RPUOMLLKJIGGFCD57CC
安南區,建物,臺南市安南區長溪路一段１６８巷１５５弄１號,0.0,住,,,1101101,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0811210,182.34,3,2,3,有,無,有,16000,88,,0.0,0,,RPQNMLLKJIGGFBD96CC
