編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNJLHHGFHE18DA,中正段,5463.79,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11250000
RPPOMLNJLHHGFFE67DA,海城段,181.73,都市：其他:道路用地,10,6,持分移轉,07380000
RPPOMLNJLHHGFFE67DA,海城段,107.24,都市：其他:道路用地,10,6,持分移轉,08370000
RPQOMLNJLHHGFFE77DA,海城段,121.15,都市：其他:道路用地,10,4,持分移轉,07380000
RPQOMLNJLHHGFFE77DA,海城段,71.50,都市：其他:道路用地,10,4,持分移轉,08370000
RPPOMLRJLHHGFLE78EA,鳳芸段,1.00,都市：其他:住宅區,1,1,全筆移轉,02030007
RPPOMLRJLHHGFLE78EA,鳳芸段,52.00,都市：其他:住宅區,1,1,全筆移轉,02050008
RPQOMLRJLHHGFFE28EA,四村段,5.89,都市：其他:商業區,90,4,持分移轉,02590000
RPQOMLRJLHHGFFE28EA,四村段,44.71,都市：其他:商業區,15,4,持分移轉,02680000
RPQOMLRJLHHGFFE28EA,四村段,14.34,都市：其他:商業區,3,1,持分移轉,02690000
RPRNMLTJKHHGFFE28DA,橫山段,22.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09760001
RPSOMLRJKHHGFDE08DA,鼎中段,12.86,都市：其他:道路用地,630,80,持分移轉,04950000
RPSOMLRJKHHGFDE08DA,鼎中段,127.84,都市：其他:道路用地,210,80,持分移轉,04970000
RPVOMLLKKHHGFLE68DA,港子埔段,74.00,都市：其他:住宅區,1,1,全筆移轉,11360009
RPROMLLKKHHGFFE67DA,文化段,18.40,都市：其他:第一種商業區,5,1,持分移轉,03260000
RPQPMLQKKHHGFCE87DA,愛群段,16.18,都市：其他:第五種商業區,10000,80,持分移轉,24630000
RPXNMLQKKHHGFFE68DA,安西段,146.59,都市：其他:甲種工業區,3,2,持分移轉,07660000
RPWNMLOJLHHGFKE88DA,紫蝶段,16.93,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,11640001
RPWNMLOJLHHGFKE88DA,紫蝶段,13.97,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,11760000
RPPNMLPKKHHGFKE28DA,龍肚段,1935.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,56400000
RPQNMLSJLHHGFKE68DA,復興段,230.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01210000
RPXNMLOJLHHGFKE98DA,紫蝶段,7.03,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,12440002
RPVNMLOJLHHGFKE78DA,紫蝶段,73.91,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,11620002
RPVNMLOJLHHGFKE78DA,紫蝶段,1.40,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,11820000
RPVNMLOJLHHGFKE78DA,紫蝶段,38.48,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,11840000
RPVNMLOJLHHGFKE78DA,紫蝶段,368.21,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,11870002
RPPOMLPKKHHGFCE57DA,鎮昌段,125.00,都市：其他:第四種住宅區,1,1,全筆移轉,02930188
RPRNMLRKKHHGFFE18DA,大仁段,95.50,都市：其他:道路用地,2,1,持分移轉,22950006
RPPNMLTJKHHGFJE48DA,北蓮段,13.34,都市：其他:住宅區,10000,101,持分移轉,05240000
RPWNMLPKKHHGFJE88DA,中興段,54.73,都市：其他:住宅區,1,1,全筆移轉,03060000
RPTNMLSKKHHGFLE09DA,義和段,54.31,都市：其他:住宅區,5,1,持分移轉,04370000
RPUNMLQKKHHGFLE98DA,三隆段,3.94,都市：其他:道路用地,972,54,持分移轉,02520000
RPUNMLQKKHHGFLE98DA,三隆段,37.60,都市：其他:商業區,972,54,持分移轉,02530000
RPUNMLQKKHHGFLE98DA,三隆段,3.92,都市：其他:道路用地,108,6,持分移轉,02540000
RPSNMLSKKHHGFFE48EA,嘉興段,13.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,22270001
RPQNMLOKKHHGFKE28DA,和平段,300.60,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01020000
RPTQMLRJKHHGFDE38DA,三塊厝段一小段,1.08,都市：其他:第四種商業區,10000,140,持分移轉,06220008
RPTQMLRJKHHGFDE38DA,三塊厝段一小段,2.86,都市：其他:第四種商業區,10000,140,持分移轉,06220009
RPTQMLRJKHHGFDE38DA,三塊厝段一小段,.15,都市：其他:第四種商業區,10000,140,持分移轉,06220016
RPTQMLRJKHHGFDE38DA,三塊厝段一小段,1.04,都市：其他:第四種商業區,10000,140,持分移轉,06220047
RPTQMLRJKHHGFDE38DA,三塊厝段一小段,1.86,都市：其他:第四種商業區,10000,140,持分移轉,06220049
RPTQMLRJKHHGFDE38DA,三塊厝段一小段,.17,都市：其他:第四種商業區,10000,140,持分移轉,06220058
RPXNMLRKKHHGFBE48EA,新興段二小段,64.00,都市：其他:第五種商業區,1,1,全筆移轉,09290000
RPXNMLMJLHHGFLE88DA,鳳芸段,9.11,都市：其他:道路用地,85880,2048,持分移轉,06240000
RPRNMLLLKHHGFJE18EA,保萣段,705.76,非都市：一般農業區 ; 非都市編定：農牧用地,192,23,持分移轉,00380000
RPXNMLMJLHHGFLE88DA,鳳芸段,35.00,都市：其他:道路用地,1,1,全筆移轉,06340000
RPXNMLMJLHHGFLE88DA,鳳芸段,104.00,都市：其他:住宅區,1,1,全筆移轉,06350000
SPRNMLPKKHHGFHE28DA,十張犂段一小段,2858.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01931153
RPOPMLLKKHHGFFE47DA,興樹段,14.34,都市：其他:住宅區,1600,29,持分移轉,01380000
RPOPMLLKKHHGFFE47DA,興樹段,.46,都市：其他:住宅區,1600,29,持分移轉,01570000
RPQNMLRKKHHGFHE28DA,新大林段,30.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,25,持分移轉,04910000
RPRNMLPKKHHGFHE18DA,十張犂段一小段,2858.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01931153
RPPQMLQKKHHGFCE87DA,店鎮段一小段,21.09,都市：其他:第四種商業區,10000,374,持分移轉,12300000
RPPPMLLKKHHGFFE57DA,興樹段,7.79,都市：其他:住宅區,2180,9,持分移轉,01320000
RPPNMLPKKHHGFHE97DA,十張犂段一小段,2858.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01930618
RPPOMLPKKHHGFLE48DA,鳳芸段,73.00,都市：其他:住宅區,1,1,全筆移轉,05810000
