編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLLKJIGGFAE27CC,3,68.68,集合住宅,鋼筋混凝土,107年7月12日,十五層,,
RPTNMLLKJIGGFAE27CC,3,31.01,防空避難室兼停車空間，管委會使用空間，梯間，門廳兼梯廳，停車空間，車道，門廊，樓梯間，樓梯間＋昇降機間，水箱＋機械室等１０項。,鋼筋混凝土,107年7月12日,十五層,,
RPQNMLLKJIGGFBE07CC,25,180.11,住商用,鋼筋混凝土造,86年4月21日,三十五層,,
RPQNMLLKJIGGFBE07CC,25,183.43,住商用,鋼筋混凝土造,86年4月21日,三十五層,,
RPWNMLLKJIGGFAE57CC,3,143.39,集合住宅,鋼筋混凝土,107年12月13日,二十九層,,
RPWNMLLKJIGGFAE57CC,3,79.76,本共有部分之項目有停車空間、防空避難室兼停車空間、樓梯間、頂蓋型廣場式開放空間、出入口緩衝空間、管理委員會使用空間、中繼水箱、防災中心、車道、管理員室、公共服務空間、門廊、門廳兼梯廳、機電管道、機械室、水箱等項。,鋼筋混凝土,107年12月13日,二十九層,,
RPUNMLLKJIGGFCE57CC,59,94.72,住家用,加強磚造,51年5月8日,二層,,
RPRNMLLKJIGGFBE17CC,30,124.95,住家用,鋼筋混凝土造,81年4月9日,十四層,,
RPRNMLLKJIGGFBE17CC,30,59.78,見使用執照,鋼筋混凝土造,81年4月9日,十四層,,
RPOOMLLKJIGGFDE17CC,1,42.66,集合住宅,鋼筋混凝土造,109年11月2日,二十六層,,
RPOOMLLKJIGGFDE17CC,1,23.34,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、門廳兼梯廳、樓梯間、儲藏室、防災中心、車道、陽台、梯廳、中繼水箱、機械室及水箱等項。,鋼筋混凝土造,109年11月2日,二十六層,,
RPVNMLLKJIGGFEE87CC,1,95.31,集合住宅,鋼筋混凝土造,109年9月4日,二十三層,,
RPVNMLLKJIGGFEE87CC,1,81.41,本共有部分之項目有停車空間、防空避難室兼停車空間、防災中心、中繼水箱、樓梯間等５項。,鋼筋混凝土造,109年9月4日,二十三層,,
RPRNMLLKJIGGFDE37CC,12,89.57,住家用,鋼筋混凝土造,98年7月10日,十五層,,
RPRNMLLKJIGGFDE37CC,12,62.97,防空避難室兼停車空間、停車空間、車道、電樓梯間、管理員室、管理委員會使用空間等,鋼筋混凝土造,98年7月10日,十五層,,
RPPOMLLKJIGGFEE37CC,1,53.55,集合住宅,鋼筋混凝土,109年9月23日,十五層,,
RPPOMLLKJIGGFEE37CC,1,54.56,本共有部分之項目有防空避難室兼停車空間、門廊、公共服務空間、門廳、樓梯間、車道、機械室、水箱等８項。,鋼筋混凝土,109年9月23日,十五層,,
RPPPMLLKJIGGFEE47CC,20,144.17,住家用,鋼筋混凝土結構造,90年6月26日,十四層,,
RPQOMLLKJIGGFEE47CC,1,44.91,集合住宅,鋼筋混凝土,109年6月11日,二十三層,,
RPQOMLLKJIGGFEE47CC,1,22.15,本共有部分之項目有防空避難室兼停車空間、公共梯間、頂蓋型開放空間、門廊、防災中心、緩衝空間、車道、停車空間、管委會使用空間、交誼室、樓梯間、中繼設備、機械室、水箱等１４項。,鋼筋混凝土,109年6月11日,二十三層,,
RPUNMLLKJIGGFGE97CC,44,130.54,住商用,鋼筋混凝土造,66年7月30日,三層,,
RPTNMLMKJIGGFIE18CC,24,103.97,住家用,鋼筋混凝土造,86年12月20日,十二層,,
RPTNMLMKJIGGFIE18CC,24,25.43,防空避難室兼停車空間樓梯間及在區中心,鋼筋混凝土造,86年12月20日,,,
RPXNMLMKJIGGFIE58CC,31,46.19,住家用,鋼筋混凝土造,79年9月20日,七層,,
RPXNMLMKJIGGFIE58CC,31,15.36,共有部份,鋼筋混凝土造,79年9月20日,地下層,,
RPVPMLMKJIGGFIE58CC,4,58.64,店舖、住宅,鋼筋混凝土,106年10月16日,五層,,
RPROMLMKJIGGFGE87CC,42,64.80,住商用,鋼筋混凝土造,68年10月10日,五層,,
RPTOMLMKJIGGFGE08CC,4,52.69,集合住宅,鋼筋混凝土,106年8月3日,十五層,,
RPTOMLMKJIGGFGE08CC,4,39.97,本共有部分之項目有防空避難室兼停車空間，車道，門廊，樓梯間，公共服務空間，頂蓋型開放空間，門廳，機械室，水箱等項。,鋼筋混凝土,106年8月3日,十五層,,
RPWOMLMKJIGGFGE38CC,8,97.93,集合住宅,鋼筋混凝土,102年9月1日,十五層,,
RPWOMLMKJIGGFGE38CC,8,69.40,本共有部分之項目有停車空間，防空避難室兼停車空間，公共服務空間，門廳，門廊，管理委員使用空間，頂蓋型開放空間，樓梯間，機械室，水箱等１０項。,鋼筋混凝土,102年9月1日,十五層,,
RPUPMLMKJIGGFGE28CC,38,340.09,住商用,鋼筋混凝土造,73年4月20日,三層,,
RPUOMLMKJIGGFJE48CC,43,162.50,住商用,鋼筋混凝土造,67年11月6日,二層,,
RPOPMLMKJIGGFGE67CC,26,73.76,住家用,鋼筋混凝土造,84年8月29日,十二層,,
RPOPMLMKJIGGFGE67CC,26,28.32,共有部份,鋼筋混凝土造,84年8月29日,十二層,,
RPWNMLMKJIGGFJE58CC,30,133.02,住家用,鋼筋混凝土造,80年9月18日,三層,,
RPWNMLMKJIGGFEE08CC,8,132.12,住家用,鋼筋混凝土造,102年9月12日,二十七層,,
RPWNMLMKJIGGFEE08CC,8,86.89,本共有部分之項目有防空避難室兼停車空間、外廊、防災中心、車道、頂蓋型開放空間、出入口緩衝空間、管委會使用空間、電樓梯間、樓梯間、機械室、水箱、中繼水箱等１２項。,鋼筋混凝土造,102年9月12日,二十七層,,
RPSPMLMKJIGGFEE87CC,2,64.78,集合住宅,鋼筋混凝土,109年1月20日,二十層,,
RPSPMLMKJIGGFEE87CC,2,34.92,本共有部分之項目有防空避難室兼停車空間、樓梯間、門廳兼梯廳、防災中心、管委會使用空間、車道、中繼水箱、機械室、水箱等９項。,鋼筋混凝土,109年1月20日,二十層,,
RPXPMLMKJIGGFEE38CC,45,84.00,,加強磚造,66年4月4日,二層,,
RPUPMLMKJIGGFEE08CC,8,102.72,住家用,鋼筋混凝土造,102年11月11日,十五層,,
RPUPMLMKJIGGFEE08CC,8,51.78,本共有部分之項目有防空避難室兼停車空間、停車空間、騎樓、管理委員會使用空間、門廳、梯間、門廊、車道面積、陽台、樓梯間、水箱、機械室等１２項。,鋼筋混凝土造,102年11月11日,十五層,,
RPPQMLMKJIGGFEE67CC,13,52.80,住家用,鋼筋混凝土造,97年9月12日,十五層,,
RPPQMLMKJIGGFEE67CC,13,27.02,共有部份,鋼筋混凝土造,97年9月12日,十五層,,
RPVQMLMKJIGGFEE28CC,1,160.79,店舖、集合住宅,鋼筋混凝土,109年9月23日,十五層,,
RPVPMLMKJIGGFEE18CC,21,136.80,住家用,鋼筋混凝土結構造,89年7月3日,二十九層,,
RPVPMLMKJIGGFEE18CC,21,23.49,見使用執照,見使用執照,89年7月3日,二十九層,,
RPTQMLMKJIGGFEE08CC,26,27.73,住商用,鋼筋混凝土造,84年11月3日,十一層,,
RPVPMLMKJIGGFEE18CC,21,46.21,見使用執照,見使用執照,89年7月3日,二十九層,,
RPTNMLMKJIGGFDE67CC,29,220.79,見使用執照,鋼骨鋼筋混凝土造,81年8月21日,五十層,,
RPTNMLMKJIGGFDE67CC,29,183.65,見使用執照,鋼骨鋼筋混凝土造,81年8月21日,五十層,,
RPSQMLMKJIGGFEE97CC,16,60.00,住家用,鋼筋混凝土造,94年11月14日,十五層,,
RPSQMLMKJIGGFEE97CC,16,25.12,電樓梯間，屋頂突出物，管理委員會，頂蓋型開放空間，避難室，停車空間,鋼筋混凝土造,94年11月14日,十五層,,
RPSNMLMKJIGGFDE57CC,23,149.33,住家用,鋼筋混凝土造,87年5月1日,二十六層,,
RPSNMLMKJIGGFDE57CC,23,100.81,見使用執照,鋼筋混凝土造,87年5月1日,二十六層,,
RPWNMLMKJIGGFDE97CC,47,92.35,,鋼筋混凝土造,64年3月14日,四層,,
RPPOMLMKJIGGFDE37CC,37,187.04,,鋼筋混凝土造,74年2月15日,三層,,
RPOOMLMKJIGGFDE27CC,6,50.23,集合住宅,鋼筋混凝土造,105年4月6日,十五層,,
RPOOMLMKJIGGFDE27CC,6,26.15,本共有部分之項目有騎樓、門廊、管委會使用空間、門廳兼梯廳、防空避難室兼停車空間、樓梯間、水箱及機械室等項,鋼筋混凝土造,105年4月6日,十五層,,
RPSNMLMKJIGGFCE47CC,3,123.41,集合住宅,鋼筋混凝土,107年11月2日,二十九層,,
RPSNMLMKJIGGFCE47CC,3,82.95,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會使用空間、防災中心、垃圾暫存空間、出入口緩衝空間、門廊、樓梯間、車道、中繼室、機械室、水箱等１２項。,鋼筋混凝土,107年11月2日,二十九層,,
RPPOMLMKJIGGFCE27CC,6,60.33,集合住宅,鋼筋混凝土造,104年7月8日,十五層,,
RPPOMLMKJIGGFCE27CC,6,69.65,本共有部分之項目有防空避難室兼停車空間、騎樓、門廳、供管委會使用空間、６米基地內通路、樓梯間、水箱及機械室等８項。,鋼筋混凝土造,104年7月8日,十五層,,
RPWNMLMKJIGGFCE87CC,25,324.46,住商用,鋼筋混凝土造,86年1月10日,九層,,
RPSOMLMKJIGGFCE57CC,15,56.57,住家用,鋼筋混凝土造,95年6月14日,十五層,,
RPOPMLMKJIGGFCE27CC,15,207.46,住家用,鋼筋混凝土造,95年12月14日,五層,,
RPWNMLMKJIGGFCE87CC,25,77.63,見使用執照,鋼筋混凝土造,86年1月10日,九層,,
RPSOMLMKJIGGFCE57CC,15,40.45,共有部分,鋼筋混凝土造,95年6月14日,十五層,,
RPSPMLMKJIGGFCE67CC,27,279.00,工業用,鋼筋混凝土造,83年9月16日,四層,,
RPTNMLMKJIGGFBE47CC,2,72.08,集合住宅,鋼筋混凝土,108年10月14日,十五層,,
RPTNMLMKJIGGFBE47CC,2,44.34,共有部份,鋼筋混凝土,108年10月14日,十五層,,
RPVNMLMKJIGGFBE67CC,5,53.98,住家用,鋼筋混凝土造,105年11月25日,十五層,,
RPVNMLMKJIGGFBE67CC,5,28.47,共有部份,鋼筋混凝土造,105年11月25日,十五層,,
RPQOMLMKJIGGFBE27CC,5,205.88,住家用,鋼筋混凝土造,105年12月13日,二十二層,,
RPQOMLMKJIGGFBE27CC,5,174.01,共有部份,鋼筋混凝土造,105年12月13日,二十二層,,
RPSPMLMKJIGGFBE57CC,3,60.37,集合住宅,鋼筋混凝土造,108年2月15日,五層,,
RPOPMLMKJIGGFBE17CC,20,150.01,住家用,鋼骨鋼筋混凝土造,91年3月1日,二十六層,,
RPOPMLMKJIGGFBE17CC,20,77.78,防空避難室，停車空間，門廊，門廳，樓梯間,鋼骨鋼筋混凝土造,91年3月1日,二十六層,,
RPPOMLMKJIGGFAE07CC,15,169.18,住家用,鋼筋混凝土造,95年12月5日,十九層,,
RPPOMLMKJIGGFAE07CC,15,97.42,防空避難室兼停車空間、頂蓋型沿街步道式開放空間、門廳、雨遮、屋頂突出物、頂蓋型廣場式開放空間、陽台、管理員室、門廊、中繼水箱、管理委員會使用空間,鋼筋混凝土造,95年12月5日,十九層,,
RPQOMLMKJIGGFAE17CC,8,167.15,住家用,鋼筋混凝土造,102年5月22日,二十四層,,
RPQOMLMKJIGGFAE17CC,8,86.59,本共有部分之項目有樓梯間、防空避難室兼停車空間、車道、門廊、廁所、管委會使用空間、防災中心、景觀水池、出入口衝空間、機械室、水箱等１１項。,鋼筋混凝土造,102年5月22日,二十四層,,
RPOOMLMKJIGGFAE96CC,3,143.39,集合住宅,鋼筋混凝土,107年12月13日,二十九層,,
RPOOMLMKJIGGFAE96CC,3,79.76,本共有部分之項目有停車空間、防空避難室兼停車空間、樓梯間、頂蓋型廣場式開放空間、出入口緩衝空間、管理委員會使用空間、中繼水箱、防災中心、車道、管理員室、公共服務空間、門廊、門廳兼梯廳、機電管道、機械室、水箱等項。,鋼筋混凝土,107年12月13日,二十九層,,
RPXNMLMKJIGGFAE77CC,26,54.83,住家用,鋼筋混凝土造,84年10月17日,十一層,,
RPXNMLMKJIGGFAE77CC,26,13.91,見使用執照,鋼筋混凝土造,84年10月17日,十一層,,
RPSOMLMKJIGGFAE37CC,15,92.89,住家用,鋼筋混凝土造,95年10月30日,十五層,,
RPSOMLMKJIGGFAE37CC,15,100.94,防空避難室、停車空間、樓梯間、機械室、水箱、管委會使用空間、梯廳、梯間、門廳、門廊、外廊、管理員室、車道投影、垃圾暫存空間、管道間、游泳池投影,鋼筋混凝土造,95年10月30日,十五層,,
RPSOMLMKJIGGFAE37CC,15,108.72,住家用,鋼筋混凝土造,95年10月30日,十五層,,
RPUOMLMKJIGGFAE57CC,10,99.73,住家用,鋼筋混凝土造,100年10月7日,十五層,,
RPUOMLMKJIGGFAE57CC,10,54.67,見其他登記事項,鋼筋混凝土造,100年10月7日,十五層,,
RPVOMLMKJIGGFAE67CC,,76.96,集合住宅,鋼筋混凝土,110年7月2日,二十六層,,
RPXOMLMKJIGGFAE87CC,16,135.15,住家用,鋼筋混凝土造,94年12月30日,二十七層,,
RPVOMLMKJIGGFAE67CC,,71.97,本共有部分之項目有防空避難室兼停車空間、出入口緩衝空間、梯廳、管理委員會使用空間、車道、樓，電梯間、通用化設計（交誼廳）、管理委員會使用空間（中繼室）、樓梯間、機械室、水箱等１１項。,鋼筋混凝土,110年7月2日,二十六層,,
RPXOMLMKJIGGFAE87CC,16,40.57,共有部份,鋼筋混凝土造,94年12月30日,二十七層,,
RPXOMLMKJIGGFAE87CC,16,14.60,共有部份,鋼筋混凝土造,94年12月30日,二十七層,,
RPPPMLMKJIGGFAE17CC,7,109.37,住家用,鋼筋混凝土造,104年3月23日,十五層,,
RPPPMLMKJIGGFAE17CC,7,45.57,本共有部分之項目有防空避難室兼停車空間、停車空間、門廊、電信室、管理室、門廳、發電機室、車道、污物處理空間、梯間等１０項。,鋼筋混凝土造,104年3月23日,十五層,,
RPPPMLMKJIGGFAE17CC,7,23.24,本共有部分之項目有樓梯間、機械室、水箱、梯間、立體框架水平投影等５項。,鋼筋混凝土造,104年3月23日,十五層,,
RPUPMLMKJIGGFAE67CC,2,61.99,集合住宅,鋼筋混凝土,108年7月15日,十五層,,
RPUPMLMKJIGGFAE67CC,2,35.64,本共有部分之項目有防空避難室兼停車空間、樓梯間、機房、水箱、梯間、管理委員會使用空間、管道間、騎樓、門廳、外廊、車道等項。,鋼筋混凝土,108年7月15日,十五層,,
RPQPMLMKJIGGFAE27CC,2,57.75,集合住宅,鋼筋混凝土,108年7月15日,十五層,,
RPRPMLMKJIGGFAE37CC,17,88.54,住家用,鋼筋混凝土造,93年10月25日,十五層,,
RPSPMLMKJIGGFAE47CC,25,343.33,見使用執照,見使用執照,85年6月15日,一層,,
RPQPMLMKJIGGFAE27CC,2,41.42,本共有部分之項目有防空避難室兼停車空間、樓梯間、機房、水箱、梯間、管理委員會使用空間、管道間、騎樓、門廳、外廊、車道等項。,鋼筋混凝土,108年7月15日,十五層,,
RPRPMLMKJIGGFAE37CC,17,50.76,共有部份,鋼筋混凝土造,93年10月25日,十五層,,
RPRQMLMKJIGGFAE47CC,3,146.66,集合住宅,鋼筋混凝土,107年12月13日,二十九層,,
RPRQMLMKJIGGFAE47CC,3,77.78,本共有部分之項目有停車空間、防空避難室兼停車空間、樓梯間、頂蓋型廣場式開放空間、出入口緩衝空間、管理委員會使用空間、中繼水箱、防災中心、車道、管理員室、公共服務空間、門廊、門廳兼梯廳、機電管道、機械室、水箱等項。,鋼筋混凝土,107年12月13日,二十九層,,
RPOQMLMKJIGGFAE17CC,16,55.68,住家用,鋼筋混凝土造,95年3月27日,十三層,,
RPOQMLMKJIGGFAE17CC,16,24.13,共有部份,鋼筋混凝土造,95年3月27日,十三層,,
RPXNMLPKJIGGFAE08CC,,43.29,集合住宅,鋼筋混凝土,110年7月2日,二十六層,,
RPXNMLPKJIGGFAE08CC,,24.39,本共有部分之項目有防空避難室兼停車空間、出入口緩衝空間、梯廳、管理委員會使用空間、車道、樓，電梯間、通用化設計（交誼廳）、管理委員會使用空間（中繼室）、樓梯間、機械室、水箱等１１項。,鋼筋混凝土,110年7月2日,二十六層,,
RPOOMLPKJIGGFAE27CC,34,119.22,,鋼筋混凝土造,76年12月12日,十二層,,
RPROMLPKJIGGFAE57CC,27,117.39,住家用,鋼筋混凝土造,84年3月26日,十一層,,
RPROMLPKJIGGFAE57CC,27,35.53,見使用執照,鋼筋混凝土造,84年3月26日,十一層,,
RPSOMLPKJIGGFAE67CC,15,274.34,商業用,鋼筋混凝土造,95年8月21日,十四層,,
RPSOMLPKJIGGFAE67CC,15,164.42,共有部份,鋼筋混凝土造,95年8月21日,十四層,,
RPSNMLPKJIGGFBE67CC,25,29.12,住家用,鋼筋混凝土造,85年6月22日,十二層,,
RPSNMLPKJIGGFBE67CC,25,11.42,見使用執照,鋼筋混凝土造,85年6月22日,十二層,,
RPUOMLPKJIGGFAE87CC,16,68.94,住家用,鋼筋混凝土造,95年1月26日,十五層,,
RPUOMLPKJIGGFAE87CC,16,27.72,共有部份,鋼筋混凝土造,95年1月26日,十五層,,
RPVPMLPKJIGGFAE08CC,18,88.29,住家用,鋼筋混凝土造,92年10月22日,十四層,,
RPVPMLPKJIGGFAE08CC,18,37.54,共有部份,鋼筋混凝土造,92年10月22日,十四層,,
RPQQMLPKJIGGFAE67CC,3,167.96,集合住宅,鋼筋混凝土,108年3月28日,二十九層,,
RPQQMLPKJIGGFAE67CC,3,85.66,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、樓梯間、防災中心、中繼室、門廳、門廊、車道空間、梯廳、陽台等１０項。,鋼筋混凝土,108年3月28日,二十九層,,
RPTNMLPKJIGGFCE87CC,53,84.96,住商用,加強磚造,57年7月1日,二層,,
RPUNMLPKJIGGFBE87CC,33,54.32,,鋼筋混凝土造,77年6月23日,十二層,,
RPUNMLPKJIGGFBE87CC,33,9.27,,鋼筋混凝土造,77年6月23日,十二層,,
RPOOMLPKJIGGFCE47CC,28,106.83,住家用,鋼筋混凝土造,82年6月26日,八層,,
RPROMLPKJIGGFCE77CC,25,26.43,住家用,鋼筋混凝土造,86年2月27日,十四層,,
RPROMLPKJIGGFCE77CC,25,11.83,見使用執照,鋼筋混凝土造,86年2月27日,十四層,,
RPRNMLPKJIGGFDE77CC,25,102.00,住家用,鋼筋混凝土造,85年6月26日,二十層,,
RPRNMLPKJIGGFDE77CC,25,17.77,見使用執照,鋼筋混凝土造,85年6月26日,二十層,,
RPSOMLPKJIGGFDE97CC,46,165.96,,鋼筋混凝土造,65年1月5日,三層,,
RPUOMLPKJIGGFDE18CC,26,123.71,住家用,鋼筋混凝土造,84年6月12日,八層,,
RPUOMLPKJIGGFDE18CC,26,38.91,見使用執照,鋼筋混凝土造,84年6月12日,八層,,
RPTOMLPKJIGGFDE08CC,30,109.51,,鋼筋混凝土造,81年3月12日,七層,,
RPTOMLPKJIGGFDE08CC,30,35.99,,鋼筋混凝土造,81年3月12日,七層,,
RPSPMLPKJIGGFDE08CC,42,86.18,,鋼筋混凝土造,68年6月28日,五層,,
RPSNMLPKJIGGFEE97CC,6,56.16,集合住宅,鋼筋混凝土,104年11月12日,十五層,,
RPSNMLPKJIGGFEE97CC,6,29.57,本共有部分之項目有停車空間、防空避難室兼停車空間、門廊、車道、騎樓、樓梯間、管理委員會使用空間、梯廳、昇降機間、水箱、機械室等１１項。,鋼筋混凝土,104年11月12日,十五層,,
RPXOMLPKJIGGFEE58CC,55,113.32,住家用,加強磚造,56年2月2日,二層,,
RPWOMLPKJIGGFIE88CC,31,206.53,住家用,鋼筋混凝土造,79年7月30日,三層,,
RPTNMLPKJIGGFEE08CC,17,82.85,住家用,鋼筋混凝土造,93年12月27日,十三層,,
RPTNMLPKJIGGFEE08CC,17,31.37,見使用執照,鋼筋混凝土造,93年12月27日,十三層,,
RPUPMLPKJIGGFEE38CC,8,59.61,住家用,鋼筋混凝土造,102年5月29日,二十層,,
RPUPMLPKJIGGFEE38CC,8,27.63,本共有部分之項目有防空避難室兼停車空間、停車空間、門廊、梯廳、管理委員會使用空間、中繼水箱、防災中心、車道、保全崗哨、資源環保室、樓梯間、機械室、水箱、共十三項,鋼筋混凝土造,102年5月29日,二十層,,
RPUNMLPKJIGGFGE38CC,43,82.56,住家用,鋼筋混凝土造,68年1月20日,五層,,
RPPPMLPKJIGGFIE28CC,41,86.80,住家用,加強磚造,69年6月5日,二層,,
RPRNMLPKJIGGFLE58CC,41,105.56,住商用,鋼筋混凝土造,69年8月5日,二層,,
RPRNMLQKJIGGFLE68CC,1,64.08,集合住宅,鋼筋混凝土造,110年2月22日,五層,,
RPRNMLQKJIGGFLE68CC,1,21.99,公共設施有：樓梯、管委會使用空間、台電配電室、電信室、停車空間,鋼筋混凝土造,110年2月22日,五層,,
RPXNMLQKJIGGFLE66CC,41,75.53,住商用,加強磚造,70年2月9日,二層,,
RPUNMLQKJIGGFLE98CC,31,237.14,見使用執照,鋼筋混凝土造,79年12月1日,四層,,
RPQOMLQKJIGGFGE18CC,50,100.22,住家用,加強磚造,61年1月5日,二層,,
RPRPMLQKJIGGFEE18CC,32,254.53,住商用,鋼筋混凝土造,79年4月17日,十三層,,
RPRNMLQKJIGGFEE97CC,27,84.89,住家用,鋼筋混凝土造,83年10月14日,十七層,,
RPRNMLQKJIGGFEE97CC,27,21.79,見使用執照,鋼筋混凝土造,83年10月14日,十七層,,
RPROMLQKJIGGFGE28CC,1,53.23,集合住宅,鋼筋混凝土,109年12月10日,二十五層,,
RPROMLQKJIGGFGE28CC,1,28.52,本共有部分之項目有防空避難室兼停車空間，梯間＋交誼廳，防災中心，車道，緩衝空間，樓梯間，中繼水箱，造型框架，機械室，水箱等項。,鋼筋混凝土,109年12月10日,二十五層,,
RPSNMLQKJIGGFGE28CC,1,170.70,集合住宅,鋼筋混凝土造,110年1月4日,十五層,,
RPSPMLQKJIGGFEE28CC,6,60.36,集合住宅,鋼筋混凝土,105年2月24日,十五層,,
RPSPMLQKJIGGFEE28CC,6,33.48,本共有部分之項目有防空避難室兼停車空間、管理委員會使用空間、陽台、門廊、車道、垃圾暫存空間、梯間、樓梯間、機械房、水箱等１０項,鋼筋混凝土,105年2月24日,十五層,,
RPSNMLQKJIGGFEE08CC,28,24.82,住家用,鋼筋混凝土造,83年1月15日,十層,,
RPSNMLQKJIGGFEE08CC,28,8.45,見使用執照,鋼筋混凝土造,83年1月15日,十層,,
RPWPMLQKJIGGFEE68CC,21,105.30,住家用,見使用執照,89年6月23日,十四層,,
RPWPMLQKJIGGFEE68CC,21,55.49,停車空間、門廳、社區服務中心、水箱、機械室、避難室、車道、管理員室、門廊、樓梯間,鋼筋混凝土造,89年6月23日,十四層,,
RPSRMLQKJIGGFEE48CC,7,39.16,店舖、集合住宅,鋼筋混凝土,103年11月25日,十五層,,
RPSRMLQKJIGGFEE48CC,7,26.11,本共有部分之項目有防空避難室兼停車空間、停車空間、頂蓋型開放空間、公共服務空間、門廳、梯間、外廊、樓梯間、機械室、水箱共１０項。,鋼筋混凝土,103年11月25日,十五層,,
RPVNMLQKJIGGFDE28CC,40,30.64,,鋼筋混凝土造,70年6月5日,十二層,,
RPVNMLQKJIGGFDE28CC,40,6.30,,鋼筋混凝土造,70年6月5日,十二層,,
RPROMLQKJIGGFDE97CC,42,70.09,,鋼筋混凝土造,69年4月15日,五層,,
RPSOMLQKJIGGFDE08CC,21,52.89,住商用,鋼筋混凝土造,90年3月8日,十三層,,
RPOOMLQKJIGGFCE57CC,26,159.66,國民住宅,鋼筋混凝土造,85年1月17日,十六層,,
RPSOMLQKJIGGFBE87CC,21,77.55,住家用,鋼筋混凝土造,89年12月22日,七層,,
RPPPMLQKJIGGFCE77CC,1,92.87,集合住宅,鋼筋混凝土,109年6月11日,五層,,
RPPPMLQKJIGGFCE77CC,1,24.50,樓梯間、停車空間、電信室等３項,鋼筋混凝土,109年6月11日,五層,,
RPTOMLQKJIGGFBE97CC,31,114.36,,鋼筋混凝土造,79年7月13日,十二層,,
RPTOMLQKJIGGFBE97CC,31,24.42,,鋼筋混凝土造,79年7月13日,十二層,,
RPVOMLQKJIGGFDE38CC,48,91.36,,加強磚造,62年10月5日,二層,,
RPXOMLQKJIGGFAE28CC,48,118.08,,加強磚造,62年6月19日,二層,,
RPXNMLQKJIGGFAE18CC,35,127.94,,鋼筋混凝土造,75年5月1日,五層,,
RPPPMLQKJIGGFAE57CC,43,74.34,,鋼筋混凝土造,68年2月21日,五層,,
RPOPMLQKJIGGFAE47CC,40,24.34,,鋼筋混凝土造,70年11月24日,十二層,,
RPOPMLQKJIGGFAE47CC,40,5.82,,鋼筋混凝土造,70年11月24日,十二層,,
RPPQMLQKJIGGFAE67CC,15,58.45,住家用,鋼筋混凝土造,95年8月25日,十五層,,
