編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNKJIGGFBF17CB,坡道平面,2300000,25.64,地下三樓
RPTNMLNKJIGGFBF57CB,坡道平面,2500000,26.98,地下一樓
RPPNMLLKJIGGFIF67CB,坡道平面,1800000,27.10,地下一樓
RPXPMLPKJIGGFBF38CB,坡道平面,2650000,22.08,地下二樓
RPOQMLPKJIGGFBF57CB,坡道平面,2650000,22.08,地下二樓
RPPNMLOKJIGGFAF17CB,坡道平面,2200000,31.77,地下一樓
RPPPMLPKJIGGFBF57CB,坡道平面,1800000,33.06,地下四樓
RPQRMLPKJIGGFBF87CB,坡道平面,1900000,33.06,地下三樓
RPTNMLNKJIGGFAF47CB,坡道平面,2000000,31.77,地下三樓
RPTNMLPKJIGGFDF08DB,塔式車位,1400000,2.00,
RPUNMLPKJIGGFDF18DB,塔式車位,1400000,2.00,
RPQOMLPKJIGGFAF47CB,坡道平面,2050000,33.24,地下三樓
RPVNMLPKJIGGFGF48CB,坡道平面,2050000,30.96,地下五樓含以下
RPUNMLPKJIGGFGF38CB,坡道平面,2400000,36.85,地下二樓
RPPOMLPKJIGGFAF37CB,坡道平面,2100000,33.24,地下四樓
RPWNMLPKJIGGFGF58CB,坡道平面,2250000,30.96,地下四樓
RPSSMLPKJIGGFBF18CB,坡道平面,2100000,28.72,地下五樓含以下
RPRPMLPKJIGGFAF67CB,坡道平面,1600000,39.94,地下四樓
RPPNMLQKJIGGFIF18CB,坡道平面,1300000,28.51,地下三樓
RPRNMLQKJIGGFEF97CB,坡道平面,1100000,31.40,地下三樓
RPOPMLRKJIGGFIF48DB,坡道平面,1600000,38.01,地下一樓
RPXPMLRKJIGGFDF78CB,坡道平面,1900000,27.04,地下三樓
RPRNMLQKJIGGFIF38CB,坡道平面,1300000,28.51,地下三樓
RPQQMLRKJIGGFDF18CB,坡道平面,1900000,27.04,地下三樓
RPPNMLRKJIGGFBF57CB,坡道平面,2050000,26.00,地下三樓
RPQNMLRKJIGGFBF67CB,坡道平面,1900000,26.00,地下四樓
RPRNMLRKJIGGFBF77CB,坡道平面,1850000,26.00,地下四樓
RPPPMLRKJIGGFAF67CB,坡道平面,1950000,34.55,地下四樓
RPRPMLRKJIGGFAF87CB,坡道平面,1950000,34.55,地下四樓
RPUPMLRKJIGGFAF18CB,坡道平面,2150000,34.55,地下三樓
RPSPMLRKJIGGFAF97CB,坡道平面,1950000,34.55,地下四樓
RPWPMLRKJIGGFAF38CB,坡道平面,1950000,34.55,地下四樓
RPXPMLRKJIGGFAF48CB,坡道平面,1950000,34.55,地下四樓
RPVPMLRKJIGGFAF28CB,坡道平面,1950000,34.55,地下四樓
RPOQMLRKJIGGFAF67CB,坡道平面,1750000,34.55,地下四樓
RPPQMLRKJIGGFAF77CB,坡道平面,1900000,34.55,地下四樓
RPQQMLRKJIGGFAF87CB,坡道平面,1950000,34.55,地下四樓
RPSQMLRKJIGGFAF08CB,坡道平面,1900000,34.55,地下四樓
RPURMLRKJIGGFAF38CB,坡道平面,2000000,33.02,地下三樓
RPORMLRKJIGGFAF77CB,坡道平面,1900000,30.67,地下三樓
RPVRMLRKJIGGFAF48CB,坡道平面,2200000,31.77,地下一樓
RPUSMLRKJIGGFAF48CB,坡道平面,2100000,31.77,地下二樓
RPQOMLRKJIGGFHF38CB,坡道平面,2200000,25.00,地下一樓
RPTQMLRKJIGGFAF18CB,坡道平面,2050000,34.55,地下三樓
RPRQMLRKJIGGFAF97CB,坡道平面,1950000,34.55,地下三樓
RPROMLRKJIGGFHF48CB,坡道平面,2200000,25.00,地下一樓
RPSOMLRKJIGGFHF58CB,坡道平面,1800000,25.00,地下三樓
RPTOMLRKJIGGFHF68CB,坡道平面,2000000,25.00,地下三樓
RPTNMLRKJIGGFCF08CB,坡道平面,2650000,31.15,地下三樓
RPPNMLRKJIGGFCF67CB,坡道平面,2600000,31.15,地下三樓
RPVOMLRKJIGGFCF38CB,坡道平面,2800000,31.15,地下二樓
