鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉壯六路２５之４號三．四樓,58.95,,特定農業區,甲種建築用地,1110302,土地1建物1車位0,三層，四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860506,142.9,3,2,2,有,無,3300000,23093,,0.0,0,,RPWOMLTJLHHGFBG88EA,104.07,0.0,14.29,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉仁愛路６２號九樓之一,19.91,住,,,1110206,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851014,115.22,3,1,2,有,有,7100000,61621,,0.0,0,增建：陽台其他增建；,RPUNMLOKKHHGFBG97DA,69.9,0.0,15.76,有,0001
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮新榮路６１之２號,101.27,住,,,1110214,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090501,225.38,4,1,3,有,無,11700000,51912,,0.0,0,,RPQOMLRKKHHGFAG87DA,209.91,0.0,15.47,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉公園路７０巷３９弄９號三樓之二,27.16,都市：其他:健康休閒專用區一,,,1110208,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1060628,82.9,1,1,1,有,有,8000000,96502,,0.0,0,,RPQNMLOKKHHGFBG57DA,34.95,2.67,3.89,有,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路一段１７５號五樓之五,45.92,住,,,1110209,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100714,169.93,3,2,2,有,有,13820000,81328,坡道平面,0.0,1600000,,RPUNMLLLKHHGFBG77DA,95.43,0.0,9.67,有,0002
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮光華街１８號五樓之２,15.05,商,,,1110207,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821105,98.76,3,1,1,有,有,5880000,59538,,0.0,0,,RPTOMLQKKHHGFAG08DA,72.32,0.0,15.74,有,0003
大同鄉,土地,復興一段294地號,236.21,,一般農業區,農牧用地,1110211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,2328,,0.0,0,土增稅由買方負擔費用為25809元含土地增值稅或其他稅費；未登記建物；,RPSOMLTJKHHGFAG18DA,0.0,0.0,0.0,無,
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威南路１９號三樓,26.91,,特定農業區,甲種建築用地,1110214,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840524,104.02000000000001,2,1,1,有,有,2600000,24995,,0.0,0,親友間交易，房屋需再整理親友、員工、共有人或其他特殊關係間之交易；,RPXOMLLLKHHGFAG18EA,48.3,0.0,19.4,有,0004
員山鄉,房地(土地+建物),宜蘭縣員山鄉枕山路１０８之１８號,82.54,,一般農業區,甲種建築用地,1110207,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100503,124.27,2,1,3,有,無,6000000,48282,,0.0,0,,RPQQMLMLKHHGFBG77DA,110.03,0.0,14.24,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路１６９號六樓之一,33.34,住,,,1110213,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970625,135.64000000000001,2,2,2,有,有,13080000,96432,,0.0,0,,RPROMLLLKHHGFBG57DA,64.9,0.0,11.53,有,0005
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮隘界路２９０巷３７弄１之１號,45.91,住,,,1110206,土地1建物1車位0,全,四層,透天厝,其他,鋼筋混凝土造,0840315,103.05,3,2,2,有,無,3100000,30082,,0.0,0,,RPTOMLMLKHHGFAG77DA,89.37,0.0,13.68,無,0006
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中正路６８號,86.0,商,,,1110218,土地2建物2車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0611020,185.81,7,1,3,有,無,17800000,95797,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNLKHHGFAG08EA,185.81,0.0,0.0,無,0007
冬山鄉,土地,小南澳段20-1地號,156.2,,一般農業區,甲種建築用地,1110207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1265220,8100,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLOKKHHGFAG67DA,0.0,0.0,0.0,無,
宜蘭市,土地,凱旋二段750地號,73.21,農,,,1110211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2436000,33274,,0.0,0,,RPPOMLMLKHHGFBG47DA,0.0,0.0,0.0,無,0008
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉順和路２１之５７號,98.65,,特定農業區,甲種建築用地,1110208,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1091029,166.51,4,2,5,有,無,7850000,47144,,0.0,0,本案無償贈與壯圍鄉五權段804地號、853地號、853-2地號、853-3地號之部份持分。,RPOOMLNLKHHGFBG47DA,159.38,0.0,7.13,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市建軍路１８之１號,18.85,住,,,1110211,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840128,102.09,3,2,2,有,有,4380000,42903,,0.0,0,,RPXNMLLJLHHGFBG97DA,65.3,11.88,0.0,有,0009
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市吉祥路８８巷１號十樓之一,45.3,商,,,1110205,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070123,217.23000000000002,4,2,2,有,有,13200000,60765,坡道平面,0.0,0,,RPSOMLLJLHHGFBG57DA,108.77,8.96,10.03,有,0010
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉玉龍路一段５７號二樓,160.22,,特定農業區,甲種建築用地,1110211,土地4建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050527,159.42000000000002,3,2,2,有,無,6500000,40773,,0.0,0,陽台外推；,RPPNMLLJLHHGFBG17DA,112.15,0.0,12.72,有,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉古結路１０９之５號,2235.0,,特定農業區,農牧用地,1110208,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,1040408,398.16,5,3,6,有,無,29280000,73538,,0.0,0,,RPRNMLRLKHHGFBG08DA,386.63,0.0,11.53,有,
蘇澳鎮,土地,保安段733地號,82.3,住,,,1110211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2810000,34143,,0.0,0,未登記建物；,RPQPMLPLKHHGFAG87DA,0.0,0.0,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮北投街３６巷１３６號,89.59,,特定農業區,甲種建築用地,1110208,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0871110,222.59,4,2,3,有,有,11080000,49778,,0.0,0,,RPVNMLLJLHHGFAG67DA,181.35,18.69,0.0,無,0011
