編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMKJIGGFBG27CB,吉祥二段,71.97,都市：農,10000,1110,持分移轉,05450000
RPQNMLMKJIGGFBG27CB,吉祥二段,2.84,都市：農,15,1,持分移轉,05430002
RPQNMLMKJIGGFBG27CB,吉祥二段,43.97,都市：農,1,1,全筆移轉,05430001
RPOOMLSKJIGGFAG67CB,水源段,80.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08280007
RPOOMLSKJIGGFAG67CB,水源段,25.97,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08280031
RPQNMLTKJIGGFBG97CB,大福一段,90.26,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890003
RPQNMLTKJIGGFBG97CB,大福一段,15.70,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890014
RPPNMLRKJIGGFBG67CB,中興段,14.18,都市：住,1,1,全筆移轉,01250059
RPPNMLRKJIGGFBG67CB,中興段,61.21,都市：住,1,1,全筆移轉,01250098
RPVNMLTKJIGGFAG38CB,義德段,49.70,都市：住,90862,4970,持分移轉,04190029
RPWNMLTKJIGGFBG58CB,大福一段,82.56,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890002
RPWNMLTKJIGGFBG58CB,大福一段,21.81,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890015
RPVNMLTKJIGGFAG38CB,義德段,.85,都市：住,2308,85,持分移轉,04190015
RPTNMLTKJIGGFBG28CB,大福一段,84.87,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890029
RPTNMLTKJIGGFBG28CB,大福一段,14.10,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890020
RPWNMLTKJIGGFAG48CB,義德段,49.70,都市：住,90862,4970,持分移轉,04190029
RPWNMLTKJIGGFAG48CB,義德段,.85,都市：住,2308,85,持分移轉,04190015
RPTNMLTKJIGGFAG18CB,義成一段,39.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,386,持分移轉,03640000
RPTNMLTKJIGGFAG18CB,義成一段,4.16,非都市：特定農業區 ; 非都市編定：農牧用地,43282,416,持分移轉,03630000
RPXNMLTKJIGGFBG68CB,大福一段,84.23,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890030
RPXNMLTKJIGGFBG68CB,大福一段,14.86,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890019
RPOOMLTKJIGGFBG87CB,大福一段,78.11,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890031
