編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLLKJIGGFBG57CC,外員段,.00,都市：住,,,,03750001
RPOOMLLKJIGGFBG17CC,金六結三段,.00,都市：住,,,,01520000
RPPNMLMLJIGGFAG27CC,國華段,.00,都市：住,,,,02730000
RPOOMLLKJIGGFBG17CC,金六結三段,.00,都市：住,,,,01530000
RPROMLMKJIGGFAG47CC,北成一段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,04160000
RPPOMLLKJIGGFBG27CC,義結段,.00,都市：住,,,,01540000
RPUNMLRKJIGGFBG28CC,忠義段,.00,都市：住,,,,05470000
RPVOMLSKJIGGFBG58CC,新生段,.00,都市：商,,,,02420000
RPUNMLRKJIGGFBG28CC,忠義段,.00,都市：住,,,,05490000
RPVOMLSKJIGGFBG58CC,新生段,.00,都市：其他:道路用地,,,,02420001
RPTOMLTKJIGGFAG38CC,義成三段,99.75,都市：住,,,,06420036
RPTOMLTKJIGGFAG38CC,義成三段,13.92,都市：住,,,,06420053
RPVOMLMLJIGGFBG08CC,女中段,.00,都市：其他:道路用地,,,,02420000
RPVOMLMLJIGGFBG08CC,女中段,.00,都市：住,,,,02430000
RPWNMLNLJIGGFBG18CC,公園段,.00,都市：其他:健康休閒專區四,,,,01130000
RPXNMLNLJIGGFBG28CC,湯仔城段,.00,都市：商,,,,00800000
RPXNMLNLJIGGFBG28CC,湯仔城段,.00,都市：商,,,,00840000
RPTNMLOLJIGGFBG97CC,金六結段六結小段,.00,都市：住,,,,00080028
RPVOMLPKJIGGFBG28CC,乾門一段,.00,都市：商,,,,05080000
RPUNMLOLJIGGFBG08CC,珍子滿力段擺厘小段,.00,都市：住,,,,01350004
RPSNMLQLJIGGFAG97CC,羅莊段,16.09,都市：住,,,,00380000
RPUNMLQLJIGGFAG18CC,公正段,.00,都市：住,,,,06640000
RPRNMLOLJIGGFAG67CC,東和段,98.90,都市：住,,,,05700000
RPOOMLPLJIGGFBG67CC,金六結段金結小段,.00,都市：住,,,,00290000
RPSNMLOJKIGGFBG77CC,金六結二段,.00,都市：住,,,,13150000
RPPQMLNJKIGGFBG67CC,珍子滿力段擺厘小段,.00,都市：住,,,,01320002
RPTQMLNJKIGGFBG08CC,農權段,.00,都市：住,,,,03610000
RPRNMLOJKIGGFBG67CC,金六結三段,.00,都市：住,,,,05790000
RPSOMLNJKIGGFBG77CC,巽門二段,.00,都市：商,,,,04700000
RPQQMLNJKIGGFBG77CC,金六結段六結小段,.00,都市：住,,,,00060014
