鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
楊梅區,土地,草湳坡段埔心小段20-11地號,671.0,住,,,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,58412000,87052,,0.0,0,政府機關標讓售；,RPOOMLOJLHHGFDH77DA,0.0,0.0,0.0,無,
龜山區,土地,兔子坑段751地號,601.27,,山坡地保育區,農牧用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,842500,1401,,0.0,0,未登記建物；,RPVSMLMJLHHGFHH09DA,0.0,0.0,0.0,無,
龜山區,土地,兔子坑段751-1地號,200.42,,山坡地保育區,農牧用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280833,1401,,0.0,0,,RPWSMLMJLHHGFHH56DA,0.0,0.0,0.0,無,
龜山區,土地,兔子坑段751-2地號,601.27,,山坡地保育區,農牧用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,842500,1401,,0.0,0,,RPXSMLMJLHHGFHH66DA,0.0,0.0,0.0,無,
龜山區,土地,兔子坑段751-3地號,601.27,,山坡地保育區,農牧用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,842500,1401,,0.0,0,,RPQTMLMJLHHGFHH68DA,0.0,0.0,0.0,無,
龜山區,土地,兔子坑段751-4地號,200.43,,山坡地保育區,農牧用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280833,1401,,0.0,0,,RPRTMLMJLHHGFHH78DA,0.0,0.0,0.0,無,
龜山區,土地,兔子坑段751-5地號,200.42,,山坡地保育區,農牧用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280833,1401,,0.0,0,,RPSTMLMJLHHGFHH88DA,0.0,0.0,0.0,無,
八德區,土地,龍友段898地號,508.02,,,,1110303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10394481,20461,,0.0,0,包含公共設施保留地用地；,RPPOMLSJLHHGFFH58EA,0.0,0.0,0.0,無,
平鎮區,土地,新北段1010地號,18.16,,特定農業區,水利用地,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,101701,5600,,0.0,0,,RPQNMLMJLHHGFGH97DA,0.0,0.0,0.0,無,
桃園區,土地,桃園段武陵小段107-97地號,2.78,商,,,1110211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,514600,185108,,0.0,0,,RPQNMLSJKHHGFAH97EA,0.0,0.0,0.0,無,
桃園區,車位,桃園市桃園區東國街８９號地下一樓,1.81,都市：其他:停車場用地,,,1110214,土地1建物1車位0,地下一層,八層,其他,超級市場﹐停車場,鋼筋混凝土造,0810926,15.63,0,0,0,無,無,1200000,,,0.0,0,,RPROMLOKKHHGFAH87EA,0.0,0.0,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區福源街７３巷７號三樓,53.74,,山坡地保育區,丙種建築用地,1110208,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841026,118.5,3,2,2,有,無,2000000,16878,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUQMLSJKHHGFHH66DA,83.42,0.0,9.62,無,
龜山區,土地,山福段341地號,23.65,都市：其他:道路用地,,,1110208,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,572000,24186,,0.0,0,,RPPNMLNKKHHGFHH08DA,0.0,0.0,0.0,無,00001
桃園區,房地(土地+建物),桃園市桃園區永樂街８１之２號,3.6,商,,,1110208,土地2建物1車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0801126,21.53,1,1,1,有,無,1500000,69670,,0.0,0,,RPORMLSJKHHGFAH08DA,11.61,0.0,0.0,有,
龍潭區,房地(土地+建物),桃園市龍潭區中興路３３６巷１８弄２２號,150.47,,鄉村區,乙種建築用地,1110209,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0960209,196.78,4,2,2,有,無,7500000,38114,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLQKKHHGFCH28DA,189.89,0.0,6.89,無,
平鎮區,土地,六和段70地號,95.17,農,,,1110209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,8406,,0.0,0,,RPUOMLTJKHHGFGH09DA,0.0,0.0,0.0,無,00002
蘆竹區,房地(土地+建物),桃園市蘆竹區南崁路二段２７９號四樓之２,20.0,工,,,1110207,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0821104,108.78999999999999,3,1,1,有,有,4000000,36768,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLPKKHHGFEH58EA,77.81,0.77,8.75,有,
八德區,土地,大庄段1504-5地號,32.08,,特定農業區,農牧用地,1110210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,436000,13591,,0.0,0,急買急賣；,RPRNMLRKKHHGFFH58EA,0.0,0.0,0.0,無,00003
八德區,房地(土地+建物),桃園市八德區豐田七街５６號,57.83,住,,,1110214,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100721,197.7,4,3,5,有,有,18500000,93576,,0.0,0,,RPSNMLMLKHHGFFH28EA,174.73,0.0,22.97,無,
蘆竹區,土地,蘆興段85地號,42.33,農,,,1110207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1868800,44148,,0.0,0,,RPPQMLOKKHHGFEH18DA,0.0,0.0,0.0,無,
蘆竹區,土地,蘆興段84地號,77.18,農,,,1110207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3401800,44076,,0.0,0,,RPQQMLOKKHHGFEH28DA,0.0,0.0,0.0,無,
龍潭區,房地(土地+建物)+車位,桃園市龍潭區龍華路４７９巷３９號三樓,56.75,農,,,1110207,土地2建物1車位2,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091104,251.05,3,2,2,有,有,11850000,62011,坡道平面,93.82,2100000,住宅區土地價款:467萬元農業區土地價款:7萬元,RPXNMLRJKHHGFCH68DA,100.93,0.0,9.09,有,
觀音區,房地(土地+建物),桃園市觀音區長春街１４０號三樓,16.63,,工業區,丁種建築用地,1110207,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061229,69.28,2,2,2,有,有,3400000,49076,,0.0,0,,RPPNMLQKKHHGFBH77DA,46.04,0.0,5.41,有,00004
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段２５６號十八樓,60.7,住,,,1110203,土地1建物1車位3,十八層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081212,492.51,4,2,4,有,有,54040000,117386,坡道平面,78.15,5400000,,RPOTMLQKKHHGFAH18DA,244.16,0.0,26.66,有,
觀音區,土地,濱海段289地號,29.21,,一般農業區,甲種建築用地,1110212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,265122,9076,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRTMLOKKHHGFBH38DA,0.0,0.0,0.0,無,
中壢區,車位,桃園市中壢區慈惠三街１５８巷６號地下一、二層,2.16,住,,,1110211,土地1建物1車位1,地下一層，地下二層,十五層,其他,停車場、防空避難室,鋼筋混凝土造,0791127,32.68,0,0,0,有,有,1100000,,坡道平面,32.68,1100000,僅車位交易；,RPWNMLSKKHHGFBH68DA,0.0,0.0,0.0,有,00005
