編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKJIGGFAI27CB,湖子內段興安小段,154.37,都市：住,1,1,全筆移轉,03480000
RPPNMLRKJIGGFAI77CB,湖東段,1.00,都市：住,100000,4545,持分移轉,00750000
RPPNMLRKJIGGFAI77CB,湖東段,33.67,都市：住,100000,5697,持分移轉,00760000
RPPNMLQKJIGGFAI67CB,劉厝段,102.00,都市：住,1,1,全筆移轉,00180136
RPPNMLQKJIGGFAI67CB,劉厝段,.16,都市：住,74,1,持分移轉,00180006
RPPNMLQKJIGGFAI67CB,劉厝段,15.79,都市：住,460,8,持分移轉,00230007
RPUNMLPKJIGGFAI08CB,頂庄段,31.50,都市：住,100000,5276,持分移轉,06430000
RPQNMLRKJIGGFAI87CB,湖東段,1.00,都市：住,100000,4545,持分移轉,00750000
RPQNMLRKJIGGFAI87CB,湖東段,33.67,都市：住,100000,5697,持分移轉,00760000
RPSNMLRKJIGGFAI08CB,湖東段,1.00,都市：住,100000,4545,持分移轉,00750000
RPSNMLRKJIGGFAI08CB,湖東段,33.67,都市：住,100000,5697,持分移轉,00760000
RPVNMLTKJIGGFAI58CB,遠東段,29.40,都市：住,100000,780,持分移轉,00640000
RPUNMLTKJIGGFAI48CB,湖內段,4.52,都市：住,92,1,持分移轉,09690024
RPUNMLTKJIGGFAI48CB,湖內段,.02,都市：住,92,1,持分移轉,09690026
RPUNMLTKJIGGFAI48CB,湖內段,.14,都市：住,160,1,持分移轉,09250000
RPUNMLTKJIGGFAI48CB,湖內段,3.00,都市：住,640,3,持分移轉,09700000
RPUNMLTKJIGGFAI48CB,湖內段,.01,都市：住,640,3,持分移轉,09700001
RPUNMLTKJIGGFAI48CB,湖內段,5.25,都市：住,100000,1385,持分移轉,09260000
RPUNMLTKJIGGFAI48CB,湖內段,.01,都市：住,100000,1385,持分移轉,09260001
RPUNMLTKJIGGFAI48CB,湖內段,21.04,都市：住,100000,1385,持分移轉,09690001
RPUNMLTKJIGGFAI48CB,湖內段,.01,都市：住,100000,1385,持分移轉,09690025
RPXNMLTKJIGGFAI78CB,遠東段,29.36,都市：住,100000,779,持分移轉,00640000
RPVOMLTKJIGGFAI68CB,湖東段,1.00,都市：住,100000,4545,持分移轉,00750000
RPVOMLTKJIGGFAI68CB,湖東段,24.41,都市：住,100000,4130,持分移轉,00760000
RPQNMLQLJIGGFAI87CB,盧厝段,30.01,都市：住,166600,3001,持分移轉,04110000
RPQNMLQLJIGGFAI87CB,盧厝段,10.52,都市：住,83100,1052,持分移轉,04110007
RPWNMLTKJIGGFAI68CB,遠東段,21.60,都市：住,100000,573,持分移轉,00640000
RPRNMLQLJIGGFAI97CB,盧厝段,10.52,都市：住,83100,1052,持分移轉,04110007
RPRNMLQLJIGGFAI97CB,盧厝段,105.00,都市：住,1,1,全筆移轉,04110004
RPXNMLQLJIGGFAI58CB,湖子內段新民小段,29.42,都市：住,100000,1339,持分移轉,00100000
RPPOMLQLJIGGFAI87CB,湖子內段新民小段,36.39,都市：住,100000,1656,持分移轉,00100000
RPQNMLTLJIGGFAI18CB,劉厝段,15.79,都市：住,460,8,持分移轉,00230007
RPQNMLTLJIGGFAI18CB,劉厝段,98.00,都市：住,1,1,全筆移轉,00230027
RPQNMLTLJIGGFAI18CB,劉厝段,.16,都市：住,74,1,持分移轉,00180006
RPRNMLTLJIGGFAI28CB,遠東段,21.60,都市：住,100000,573,持分移轉,00640000
RPSNMLTLJIGGFAI38CB,遠東段,29.74,都市：住,100000,789,持分移轉,00640000
RPPNMLMJKIGGFAI27CB,湖子內段新民小段,36.19,都市：住,10000,221,持分移轉,02440000
RPPNMLTLJIGGFAI08CB,湖內段,4.52,都市：住,92,1,持分移轉,09690024
RPPNMLTLJIGGFAI08CB,湖內段,.02,都市：住,92,1,持分移轉,09690026
RPPNMLTLJIGGFAI08CB,湖內段,.14,都市：住,160,1,持分移轉,09250000
RPTNMLTLJIGGFAI48CB,遠東段,21.60,都市：住,100000,573,持分移轉,00640000
RPPNMLTLJIGGFAI08CB,湖內段,3.00,都市：住,640,3,持分移轉,09700000
RPPNMLTLJIGGFAI08CB,湖內段,.01,都市：住,640,3,持分移轉,09700001
RPPNMLTLJIGGFAI08CB,湖內段,4.56,都市：住,100000,1204,持分移轉,09260000
RPPNMLTLJIGGFAI08CB,湖內段,.01,都市：住,100000,1204,持分移轉,09260001
RPPNMLTLJIGGFAI08CB,湖內段,18.29,都市：住,100000,1204,持分移轉,09690001
RPPNMLTLJIGGFAI08CB,湖內段,.01,都市：住,100000,1204,持分移轉,09690025
RPRNMLNJKIGGFAI57CB,湖子內段新民小段,86.50,都市：其他:第三種休閒專用區,1,1,全筆移轉,04150037
RPQNMLNJKIGGFAI47CB,湖子內段湖美小段,104.86,都市：其他:第三種休閒專用區,1,1,全筆移轉,05580016
RPQNMLNJKIGGFAI47CB,湖子內段湖美小段,21.91,都市：其他:第三種休閒專用區,14,1,持分移轉,05580000
RPTNMLNJKIGGFAI77CB,下路頭段,38.10,都市：住,100000,3920,持分移轉,00920005
RPSNMLNJKIGGFAI67CB,湖子內段新民小段,33.25,都市：住,10000,203,持分移轉,02440000
RPPOMLQJKIGGFAI77CB,湖子內段興安小段,91.51,都市：住,1,1,全筆移轉,03200006
RPOOMLQJKIGGFAI67CB,湖子內段興安小段,91.49,都市：住,1,1,全筆移轉,03200005
RPRNMLRJKIGGFAI97CB,埤子頭段,12.34,都市：住,192300,1234,持分移轉,03590000
RPRNMLRJKIGGFAI97CB,埤子頭段,8.44,都市：住,193900,844,持分移轉,03590025
RPSNMLRJKIGGFAI08CB,湖東段,1.00,都市：住,100000,4545,持分移轉,00750000
RPSNMLRJKIGGFAI08CB,湖東段,24.41,都市：住,100000,4130,持分移轉,00760000
RPTNMLQJKIGGFAI08CB,彌陀段日新小段,36.15,都市：住,100000,2602,持分移轉,00450000
RPPNMLSJKIGGFAI87CB,湖東段,1.00,都市：住,100000,4545,持分移轉,00750000
RPPNMLSJKIGGFAI87CB,湖東段,28.64,都市：住,100000,4846,持分移轉,00760000
RPTNMLRJKIGGFAI18CB,湖東段,1.00,都市：住,100000,4545,持分移轉,00750000
RPSNMLSJKIGGFAI18CB,湖子內段湖美小段,109.85,都市：住,1,1,全筆移轉,02920001
RPTNMLRJKIGGFAI18CB,湖東段,28.64,都市：住,100000,4846,持分移轉,00760000
RPPNMLTJKIGGFAI97CB,湖東段,1.00,都市：住,100000,4545,持分移轉,00750000
RPPNMLTJKIGGFAI97CB,湖東段,25.72,都市：住,100000,4352,持分移轉,00760000
RPPNMLKKKIGGFAI17CB,湖子內段新民小段,34.01,都市：住,100000,1548,持分移轉,00100000
RPRNMLKKKIGGFAI37CB,湖子內段新民小段,31.05,都市：住,100000,1413,持分移轉,00100000
RPTNMLKKKIGGFAI57CB,盧厝段,10.52,都市：住,83100,1052,持分移轉,04110007
RPTNMLKKKIGGFAI57CB,盧厝段,97.00,都市：住,1,1,全筆移轉,04170043
RPPNMLMKKIGGFAI37CB,盧東段,37.13,都市：農,10000,281,持分移轉,08980000
RPRNMLOKKIGGFAI77CB,盧厝段,10.52,都市：住,83100,1052,持分移轉,04110007
RPRNMLOKKIGGFAI77CB,盧厝段,101.00,都市：住,1,1,全筆移轉,04170034
RPSNMLNKKIGGFAI77CB,湖子內段湖美小段,71.30,都市：其他:第三種休閒專用區,1,1,全筆移轉,05580011
RPSNMLNKKIGGFAI77CB,湖子內段湖美小段,21.91,都市：其他:第三種休閒專用區,14,1,持分移轉,05580000
RPRNMLNKKIGGFAI67CB,盧厝段,30.01,都市：住,166600,3001,持分移轉,04110000
RPRNMLNKKIGGFAI67CB,盧厝段,10.52,都市：住,83100,1052,持分移轉,04110007
RPQNMLOKKIGGFAI67CB,湖子內段興安小段,125.20,都市：住,1,1,全筆移轉,03510006
RPQNMLNKKIGGFAI57CB,湖子內段新民小段,34.03,都市：住,100000,1549,持分移轉,00100000
RPSNMLOKKIGGFAI87CB,盧厝段,21.29,都市：住,166600,2129,持分移轉,04110000
