編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLSKJIGGFAI08CC,28,27.09,住家用,鋼筋混凝土造,82年10月12日,七層,,
RPWOMLMKJIGGFAI18CC,24,95.64,住商用,鋼筋混凝土造,86年12月24日,三層,,
RPVNMLTKJIGGFAI78DC,2,247.80,店鋪、住宅,鋼筋混凝土構造,108年12月31日,四層,,
RPUOMLRKJIGGFAI48CC,3,223.72,住宅、梯間,鋼筋混凝土構造,107年12月12日,三層,,
RPXNMLSKJIGGFAI78CC,24,124.73,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPRNMLOLJIGGFAI87CC,2,179.69,住家用,鋼筋混凝土構造,108年11月4日,四層,,
RPOOMLMLJIGGFAI47CC,39,52.77,住家用,鋼筋混凝土造,71年11月16日,五層,,
RPPOMLMLJIGGFAI57CC,27,132.15,住家用,鋼筋混凝土造,83年12月19日,十四層,,
RPXNMLMLJIGGFAI28CC,28,85.55,住家用,鋼筋混凝土造,82年6月23日,十二層,,
RPWNMLQLJIGGFAI58CC,26,35.03,住家用,鋼筋混凝土造,84年10月13日,八層,,
RPVNMLQLJIGGFAI48CC,28,48.12,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPRNMLTLJIGGFAI38CC,28,40.14,住家用,鋼筋混凝土造,83年3月19日,七層,,
RPUNMLLJKIGGFAI77CC,60,170.43,店舖、住宅,木石磚造,51年3月25日,二層,,
RPUNMLQLJIGGFAI38CC,22,94.68,住家用,鋼筋混凝土造,88年11月29日,十二層,,
RPTNMLTLJIGGFAI58CC,28,46.32,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPUNMLTLJIGGFAI68CC,45,106.02,住家用,鋼筋混凝土造,65年12月4日,二層,,
RPQOMLKMJIGGFAI57CC,18,144.73,証券交易所,鋼筋混凝土造,92年5月12日,十層,,
RPQOMLKMJIGGFAI57CC,18,159.77,証券交易所,鋼筋混凝土造,92年5月12日,十層,,
RPROMLMJKIGGFAI67CC,4,74.51,店舖、集合住宅、停車空間,鋼筋混凝土構造,106年6月28日,十層,,
RPSNMLNJKIGGFAI77CC,28,52.72,住家用,鋼筋混凝土造,82年12月27日,八層,,
RPTNMLRJKIGGFAI28CC,24,243.55,私設騎樓、店舖、辦公室、住房,鋼筋混凝土造,87年3月19日,二十二層,,
RPRNMLQJKIGGFAI97CC,1,133.08,集合住宅,鋼筋混凝土構造,110年3月9日,十五層,,
RPXNMLSJKIGGFAI78CC,26,120.51,住家用,鋼筋混凝土造,85年3月11日,二十層,,
RPVOMLOKKIGGFAI38CC,26,127.84,住家用,鋼筋混凝土造,84年10月4日,十一層,,
RPUOMLOKKIGGFAI28CC,30,121.65,住家用,鋼筋混凝土造,81年5月8日,十二層,,
RPRNMLLKKIGGFAI57CC,24,89.09,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPUNMLQKKIGGFAI38CC,29,78.43,住家用,鋼筋混凝土造,81年9月14日,九層,,
RPRNMLLKKIGGFAI57CC,24,16.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPRNMLLKKIGGFAI57CC,24,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPORMLPKKIGGFAI08CC,62,22.89,商業用,磚造,49年1月1日,一層,,
RPVNMLQKKIGGFAI48CC,29,31.51,住家用,鋼筋混凝土造,82年4月26日,六層,,
RPWNMLQKKIGGFAI58CC,33,43.22,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPWOMLOKKIGGFAI48CC,30,51.82,住家用,鋼筋混凝土造,80年11月2日,八層,,
RPUNMLRJKIGGFAI38CC,24,86.26,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPUNMLRJKIGGFAI38CC,24,15.59,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPUNMLRJKIGGFAI38CC,24,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPSOMLRKKIGGFAI38CC,30,174.87,住商用,鋼筋混凝土造,80年6月27日,十五層,,
RPRNMLMLKIGGFAI77CC,36,98.36,住家用,鋼筋混凝土造,75年4月23日,五層,,
RPXNMLQKKIGGFAI68CC,17,187.93,住家用,鋼筋混凝土造,93年10月28日,十二層,,
RPVOMLRKKIGGFAI68CC,37,41.66,住家用,鋼筋混凝土造,73年11月29日,六層,,
RPUNMLMLKIGGFAI08CC,29,121.48,住家用,鋼筋混凝土造,81年8月24日,七層,,
RPROMLRKKIGGFAI28CC,32,149.66,住家用,鋼筋混凝土造,79年1月12日,七層,,
RPUNMLLLKIGGFAI97CC,19,247.53,辦公室,鋼筋混凝土造,92年5月12日,十層,,
RPSNMLMLKIGGFAI87CC,29,39.51,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPPNMLLLKIGGFAI47CC,44,99.22,住商用,鋼筋混凝土造,67年6月8日,三層,,
RPQNMLLLKIGGFAI57CC,1,93.67,辦公室,鋼筋混凝土構造,110年3月12日,九層,,
RPVNMLMLKIGGFAI18CC,17,213.98,住家用,鋼筋混凝土造,93年10月29日,十四層,,
