鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文發路121巷,35.72,住,,,1101114,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.41,3,2,2,有,無,6980000,44063,坡道平面,22.09,0,建築基地坐落於文發段1216、1216-1兩筆地號，但本戶未持分1216-1，故不列入土地標的清冊。,RPUNMLRKJIGGFBK58CB,文山1號苑,A5號
竹南鎮,房地(土地+建物),苗栗縣竹南鎮仁愛路,87.72,,一般農業區,甲種建築用地,1101112,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.84,4,2,3,有,無,9060000,58137,,0.0,0,,RPTNMLMLJIGGFDK28CB,旭海,B棟7號
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市英才段1076地號,36.52,住,,,1101115,土地1建物1車位1,一層,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,136.64,0,0,0,無,無,12000000,87822,一樓平面,15.0,0,,RPPNMLNLJIGGFBK77CB,尊爵III,1棟B1號
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅里11鄰頂椅七街188號2樓之1,53.83,住,,,1101114,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,見使用執照,,121.89,3,1,2,有,無,6040000,49553,一樓平面,19.85,0,,RPPNMLOLJIGGFDK08CB,龍躍,2B棟188號2F之1號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段41地號,28.29,住,,,1101115,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.64,3,2,2,有,無,10900000,76929,坡道平面,31.6,1050000,,RPVNMLOLJIGGFFK88CB,昌隆廣場-上慶,A2棟07F號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段41地號,18.34,住,,,1101115,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.68,2,2,1,有,無,6800000,70414,坡道平面,31.6,950000,,RPWNMLOLJIGGFFK98CB,昌隆廣場-上慶,A5棟12F號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段41地號,28.29,住,,,1101115,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.34,3,2,2,有,無,10030000,71082,坡道平面,31.6,950000,,RPXNMLOLJIGGFFK09CB,昌隆廣場-上慶,B1棟10F號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段41地號,29.34,住,,,1101115,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.34,3,2,2,有,無,10420000,71669,坡道平面,31.6,1050000,,RPOOMLOLJIGGFFK28CB,昌隆廣場-上慶,B2棟10F號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段41地號,26.72,住,,,1101115,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.3,3,2,2,有,無,9530000,70844,坡道平面,31.6,1050000,,RPPOMLOLJIGGFFK38CB,昌隆廣場-上慶,C2棟06F號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段41地號,26.72,住,,,1101115,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.3,3,2,2,有,無,9500000,71429,坡道平面,31.6,950000,,RPQOMLOLJIGGFFK48CB,昌隆廣場-上慶,C2棟09F號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市仁愛段41地號,27.77,住,,,1101115,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.82,3,2,2,有,無,9480000,68668,坡道平面,31.6,950000,,RPROMLOLJIGGFFK58CB,昌隆廣場-上慶,D3棟07F號
