編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLRKJIGGFFN88CB,一樓平面,900000,19.90,一樓
RPQNMLOKJIGGFDN38CB,坡道機械,1050000,20.83,地下一樓
RPPNMLSKJIGGFDN68CB,坡道機械,700000,13.26,地下一樓
RPPNMLTKJIGGFBN58CB,一樓平面,0,,一樓
RPPNMLQKJIGGFBN28CB,坡道平面,1200000,31.90,地下二樓
RPQNMLTKJIGGFBN68CB,坡道平面,1300000,31.90,地下一樓
RPQNMLTKJIGGFBN68CB,坡道平面,1300000,31.90,地下一樓
RPQNMLQKJIGGFFN78CB,一樓平面,900000,19.90,一樓
RPSNMLMLJIGGFBN28CB,坡道平面,1150000,31.90,地下二樓
RPTNMLOLJIGGFBN58CB,其他,500000,10.50,一樓
RPUNMLOLJIGGFBN68CB,其他,350000,10.50,一樓
RPQNMLOLJIGGFAN18CB,坡道平面,1250000,22.14,地下二樓
RPSNMLOLJIGGFAN38CB,坡道平面,1250000,22.14,地下二樓
RPSNMLOLJIGGFBN48CB,其他,600000,10.50,一樓
RPTNMLOLJIGGFAN48CB,坡道平面,1250000,22.14,地下二樓
RPVNMLOLJIGGFAN68CB,坡道平面,1350000,22.14,地下一樓
RPPNMLPLJIGGFDN48CB,坡道機械,600000,13.26,地下一樓
RPPNMLRLJIGGFDN68CB,坡道平面,1300000,31.34,地下二樓
RPRNMLRLJIGGFDN88CB,坡道機械,900000,20.83,地下一樓
RPQNMLRLJIGGFDN78CB,坡道機械,1050000,20.83,地下一樓
RPUNMLOLJIGGFAN58CB,坡道平面,1250000,22.14,地下二樓
RPPNMLLJKIGGFFN18CB,一樓平面,800000,,一樓
RPPNMLLJKIGGFFN18CB,一樓平面,800000,,一樓
RPQNMLLJKIGGFFN28CB,一樓平面,800000,,一樓
RPRNMLLJKIGGFFN38CB,一樓平面,800000,,一樓
RPQNMLLJKIGGFBN87CB,坡道平面,1100000,31.90,地下二樓
RPPNMLLJKIGGFBN77CB,坡道平面,1150000,31.90,地下二樓
RPRNMLLJKIGGFBN97CB,坡道平面,1150000,31.90,地下二樓
RPTNMLLJKIGGFBN18CB,坡道平面,1150000,31.90,地下二樓
