編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKJIGGFAN08EC,西門口段,240.00,都市：住,,,,04610034
RPOOMLLKJIGGFAN87DC,南興段,71.00,都市：住,,,,03550008
RPTNMLPKJIGGFAN58CC,中山段,.00,都市：住,,,,00130003
RPTNMLRKJIGGFAN88DC,大埔段,34.47,都市：住,,,,02970003
RPTNMLLKJIGGFAN18CC,南郭段南郭小段,.00,都市：住,,,,02370019
RPQNMLRKJIGGFGN09CC,儒雅段,199.49,都市：住,,,,06350003
RPQNMLRKJIGGFGN09CC,儒雅段,6.85,都市：住,,,,06350005
RPQNMLRKJIGGFGN09CC,儒雅段,66.48,都市：住,,,,06350006
RPQNMLRKJIGGFGN09CC,儒雅段,126.06,都市：住,,,,06360007
RPUNMLRKJIGGFAN98DC,大埔段,34.47,都市：住,,,,02970003
RPQNMLQKJIGGFFN88CC,彰興段,83.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04020000
RPQNMLRKJIGGFBN68DC,伸股段,94.15,都市：住,,,,00430034
RPPNMLRKJIGGFGN98CC,儒雅段,654.21,都市：住,,,,06360000
RPPNMLRKJIGGFGN98CC,儒雅段,117.41,都市：住,,,,06360002
RPPNMLRKJIGGFGN98CC,儒雅段,116.71,都市：住,,,,06360003
RPPNMLRKJIGGFGN98CC,儒雅段,2.60,都市：住,,,,06330000
RPPNMLRKJIGGFGN98CC,儒雅段,26.90,都市：住,,,,06350001
RPQNMLSKJIGGFHN66CC,鎮安段,239.41,非都市：特定農業區 ; 非都市編定：農牧用地,,,,01430000
RPVNMLSKJIGGFHN27DC,北勢段,23.14,都市：住,,,,05360010
RPTNMLQLJIGGFHN86CC,羅厝段,364.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,12850000
RPVNMLOLJIGGFAN78CC,莿桐段,100.00,都市：住,,,,11370011
RPQNMLKMJIGGFAN97CC,延和段,.00,都市：住,,,,02560000
RPTNMLNLJIGGFBN58CC,嘉詔段,.00,都市：住,,,,00900000
RPPPMLTLJIGGFAN88CC,三民段,221.00,都市：商,,,,10840000
RPRNMLSJKIGGFGN66CC,新生段,99.00,都市：住,,,,01030006
RPRNMLNJKIGGFGN78CC,儒香段,130.74,都市：住,,,,06690002
RPQNMLSJKIGGFBN68CC,福馬段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00760000
RPPNMLTJKIGGFAN78EC,西門口段,82.00,都市：農,,,,04180008
RPVNMLKKKIGGFAN38CC,中華段,27.83,都市：商,,,,06860000
RPVNMLKKKIGGFAN38CC,中華段,51.42,都市：商,,,,06940000
RPWOMLKKKIGGFAN58CC,大埔段,.00,都市：住,,,,05380020
RPVNMLKKKIGGFAN38CC,中華段,9.98,都市：商,,,,06970000
RPVNMLKKKIGGFAN38CC,中華段,21.47,都市：商,,,,06970001
RPQNMLSJKIGGFBN68CC,福馬段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00830000
RPVNMLKKKIGGFAN38CC,中華段,32.97,都市：商,,,,06980000
RPVNMLKKKIGGFAN38CC,中華段,6.05,都市：商,,,,06990000
RPVNMLKKKIGGFAN38CC,中華段,21.78,都市：商,,,,07020000
RPWNMLPKKIGGFBN09CC,伸股段,71.72,都市：住,,,,02450001
RPWNMLPKKIGGFBN09CC,伸股段,35.14,都市：住,,,,02450005
RPSNMLMLKIGGFHN09CC,湖西段,83.00,都市：住,,,,02540000
RPSOMLNLKIGGFHN66CC,福安段,6.35,都市：住,,,,09240008
RPSNMLMLKIGGFHN09CC,湖西段,91.00,都市：住,,,,02540007
RPSOMLNLKIGGFHN66CC,福安段,33.32,都市：住,,,,09390000
RPSNMLMLKIGGFHN09CC,湖西段,99.00,都市：住,,,,02540008
RPSOMLRKKIGGFDN66DC,仁愛段,.00,都市：住,,,,11760003
RPUOMLNLKIGGFHN96DC,鳳山段,18.12,都市：住,,,,09540000
RPUOMLNLKIGGFHN96DC,鳳山段,3.14,都市：住,,,,09570000
RPPOMLOLKIGGFAN38CC,南郭段南郭小段,.00,都市：住,,,,00030034
RPSNMLNJJHHGFAN18CC,彰泰段,13.32,都市：住,,,,10460000
RPXNMLNJJHHGFAN68CC,大埔段,80.00,都市：住,,,,04600016
RPXNMLNJJHHGFAN68CC,大埔段,9.00,都市：住,,,,04610005
RPOOMLNJJHHGFAN87CC,西勢子段西勢子小段,72.00,都市：商,,,,01510009
RPWNMLNJJHHGFAN58CC,民生段,77.00,都市：住,,,,01900000
RPOOMLNJJHHGFAN87CC,西勢子段西勢子小段,4.00,都市：住,,,,01510015
RPOOMLNJJHHGFAN87CC,西勢子段西勢子小段,16.80,都市：商,,,,01510013
RPVOMLNJJHHGFAN58CC,平和段,123.00,都市：住,,,,00910003
RPVOMLNJJHHGFAN58CC,平和段,123.00,都市：住,,,,00910004
RPUOMLOJJHHGFDN88CC,地政段,19.00,都市：住,,,,02480000
RPQNMLQJJHHGFCN48CC,上林段,1602.00,都市：工,,,,05470027
RPPNMLSJJHHGFDN68CC,豐年段,71.00,都市：住,,,,04400000
RPUNMLRJJHHGFHN86CC,鳳山段,21.25,都市：住,,,,09540000
RPUNMLRJJHHGFHN86CC,鳳山段,3.68,都市：住,,,,09570000
RPQNMLSJJHHGFDN78CC,員林段,113.00,都市：商,,,,05360010
RPUNMLKKJHHGFBN28CC,富貴段,1983.50,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00990001
RPTNMLLKJHHGFAN18CC,民權段,.00,都市：商,,,,01910001
RPSNMLMKJHHGFAN18CC,三民段,397.00,都市：商,,,,03230000
RPOOMLLKJHHGFAN77CC,民權段,34.00,都市：商,,,,09670000
RPOOMLNKJHHGFAN97CC,北口段,917.11,都市：其他:交流道特定區乙建,,,,04510000
RPOOMLNKJHHGFAN97CC,北口段,908.28,都市：其他:交流道特定區乙建,,,,04510001
RPOOMLNKJHHGFAN97CC,北口段,90.41,都市：其他:交流道特定區乙建,,,,04500000
RPSOMLOKJHHGFDN78CC,員林段,48.00,都市：商,,,,01300000
RPOOMLNKJHHGFAN97CC,北口段,92.59,都市：其他:交流道特定區乙建,,,,04500001
RPOOMLNKJHHGFAN97CC,北口段,94.95,都市：其他:交流道特定區乙建,,,,04560000
RPSOMLRKJHHGFHN86CC,太平東段,96.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09520000
RPSOMLRKJHHGFHN86CC,太平東段,21.15,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09550000
RPTOMLRKJHHGFHN96CC,太平東段,89.59,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09520001
RPTNMLSKJHHGFBN98CC,泰平段,1193.11,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08900000
RPTOMLRKJHHGFHN96CC,太平東段,21.15,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09550000
RPRNMLSKJHHGFAN68CC,西門口段,.00,都市：住,,,,00940013
RPPNMLKLJHHGFCN97CC,上林段,2962.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01370003
RPRNMLSKJHHGFAN68CC,西門口段,.00,都市：住,,,,00940017
RPOOMLTKJHHGFAN58CC,民生段,.00,都市：住,,,,01930001
RPVNMLOLJHHGFDN09CC,三條圳段十七份小段,146.00,都市：住,,,,03320000
RPPNMLRLJHHGFCN68CC,上林段,595.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03150007
RPPNMLRLJHHGFCN68CC,上林段,595.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03150008
RPPNMLRLJHHGFCN68CC,上林段,1223.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03150009
RPUNMLRLJHHGFBN09CC,和北段,431.00,都市：工,,,,05550000
RPRNMLQLJHHGFAN58CC,民生段,.00,都市：住,,,,01930001
RPUNMLQLJHHGFAN88CC,民生段,.00,都市：住,,,,01930001
RPRNMLSJKHHGFCN88CC,鹿工段,4640.05,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00560038
RPOOMLRJKHHGFAN38CC,南郭段南郭小段,18.96,都市：住,,,,00050080
RPOOMLRJKHHGFAN38CC,南郭段南郭小段,19.81,都市：住,,,,00050080
