鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.34,住,,,1101112,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.88,3,2,2,有,無,9680000,71135,坡道平面,31.2,1380000,,RPPNMLNKJIGGFAO97CB,海街日記,A3棟11F號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,38.47,住,,,1101113,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.77,4,2,2,有,無,10200000,62833,一樓平面,33.99,1480000,,RPQNMLNKJIGGFAO08CB,海街日記,B5棟3F號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.24,住,,,1101112,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.91,3,2,2,有,無,9600000,72043,一樓平面,31.2,1480000,,RPRNMLNKJIGGFAO18CB,海街日記,B3棟12F號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.61,住,,,1101114,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.25,3,2,2,有,無,8700000,64182,坡道平面,31.2,1380000,,RPPNMLOKJIGGFAO08CB,海街日記,A2棟12F號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.21,住,,,1101114,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.39,3,2,2,有,無,9300000,68164,坡道平面,31.2,1380000,,RPQNMLOKJIGGFAO18CB,海街日記,B1棟12F號
新竹市,房地(土地+建物)+車位,新竹市新竹市西濱路一段,20.17,住,,,1101113,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.98,2,2,2,有,無,7950000,78978,坡道機械,22.65,500000,,RPSNMLQKJIGGFAO68DB,綠光森林30成家,B棟11號
新竹市,房地(土地+建物),新竹市新竹市金雅東街與公道五路四段交叉口,31.75,,鄉村區,乙種建築用地,1101116,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,126.05,0,0,0,無,無,15000000,119000,,0.0,0,,RPOPMLSKJIGGFAO58CB,悅佳蔚來,S2棟1樓號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.61,住,,,1101116,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.65,3,2,2,有,無,7800000,61815,坡道機械,15.6,750000,,RPPNMLKLJIGGFAO77CB,海街日記,A1棟4F號
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷,22.02,住,,,1101117,土地5建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.74,2,1,1,有,無,7500000,109327,其他,6.2,1100000,,RPPNMLLLJIGGFAO87CB,世乾　?,B-4F號
