鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲二路,123.87,住,,,1101111,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,215.54,4,3,5,有,無,13700000,63561,,0.0,0,,RPPNMLNKJIGGFDP48DB,清雲永聖,B棟7號
西螺鎮,房地(土地+建物),雲林縣西螺鎮金府街,81.92,住,,,1101111,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.24,4,3,4,有,無,9500000,59658,,0.0,0,,RPRNMLPKJIGGFCP88EB,悅筑,H棟2號
西螺鎮,房地(土地+建物),雲林縣西螺鎮金府街,81.92,住,,,1101111,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.24,4,3,4,有,無,9500000,59658,,0.0,0,,RPSNMLPKJIGGFCP98EB,悅筑,I棟0號
斗六市,房地(土地+建物)+車位,雲林縣斗六市文化路,30.59,,特定農業區,甲種建築用地,1101114,土地1建物1車位2,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,171.17,3,1,2,有,無,7100000,50855,坡道平面,63.02,1600000,,RPQNMLQKJIGGFAP48CB,璞樸莊園Twin House,B棟B1號
斗六市,房地(土地+建物)+車位,雲林縣斗六市文化路,30.59,,特定農業區,甲種建築用地,1101115,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.66,3,1,2,有,無,6550000,52242,坡道平面,31.51,900000,,RPRNMLQKJIGGFAP58CB,璞樸莊園Twin House,B棟B1號
斗六市,房地(土地+建物)+車位,雲林縣斗六市文化路,31.43,,特定農業區,甲種建築用地,1101115,土地1建物1車位2,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,171.58,3,1,2,有,無,7450000,51296,坡道平面,60.46,1750000,,RPSNMLQKJIGGFAP68CB,璞樸莊園Twin House,B棟B2號
斗六市,房地(土地+建物)+車位,雲林縣斗六市文化路,31.43,,特定農業區,甲種建築用地,1101115,土地1建物1車位2,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,174.14,3,1,2,有,無,7500000,51296,坡道平面,63.02,1800000,,RPTNMLQKJIGGFAP78CB,璞樸莊園Twin House,B棟B2號
斗六市,房地(土地+建物),雲林縣斗六市中興路,77.59,,特定農業區,甲種建築用地,1101114,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,169.16,5,1,4,有,無,7450000,44041,,0.0,0,,RPRNMLRKJIGGFAP78DB,皇瑞臻邸,A13號
土庫鎮,房地(土地+建物),雲林縣土庫鎮石廟里溪心,156.35,,鄉村區,乙種建築用地,1101113,土地3建物1車位0,全,3,透天厝,住家用,見其他登記事項,,170.25,4,1,4,有,無,9000000,52863,,0.0,0,交易總價含下列非屬預售屋價格之費用:含傢俱設備費380000元；,RPRNMLSKJIGGFDP56DB,美麗家園NO.3,B棟10號
斗六市,房地(土地+建物),雲林縣斗六市科?一路,82.16,,工業區,丁種建築用地,1101116,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.66,4,2,5,有,無,7680000,53090,,0.0,0,,RPRNMLSKJIGGFAP78CB,綠邸三期,C棟3號
斗六市,房地(土地+建物),雲林縣斗六市科?一路,82.16,,工業區,丁種建築用地,1101114,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.66,4,2,5,有,無,7680000,53090,,0.0,0,,RPSNMLSKJIGGFAP88CB,綠邸三期,B棟18號
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲二路,120.0,住,,,1101119,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,215.54,4,3,5,有,無,14080000,65324,,0.0,0,,RPPNMLKLJIGGFDP28DB,清雲永聖,B棟11號
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮穎川里11鄰頂南196-8號,92.96,,鄉村區,乙種建築用地,1101119,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.62,4,2,3,有,無,9280000,60409,,0.0,0,,RPQNMLMLJIGGFDP58DB,弘鋆福家,B棟2號
西螺鎮,房地(土地+建物),雲林縣西螺鎮忠孝路,96.38,住,,,1101115,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,158.68,5,2,3,有,無,10080000,63524,,0.0,0,,RPPNMLMLJIGGFCP28CB,鼎富二期,X23棟0號
斗南鎮,房地(土地+建物),雲林縣斗南鎮文安路,71.21,住,,,1101119,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,119.44,3,1,2,有,無,7300000,61119,,0.0,0,,RPRNMLMLJIGGFBP38CB,至善雅園,A棟2號
土庫鎮,房地(土地+建物),雲林縣土庫鎮宮北里5鄰仁和街77號,85.7,住,,,1101114,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,225.82,4,2,3,有,無,11360000,50306,,0.0,0,,RPQNMLMLJIGGFDP48CB,照鴻建設彩虹城三期,A棟3號
古坑鄉,房地(土地+建物)+車位,雲林縣古坑鄉田心村田心路,31.5,,鄉村區,乙種建築用地,1101114,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,119.97,3,2,2,有,無,5380000,46194,其他,10.0,300000,,RPPNMLNLJIGGFAP18CB,亞設高地三期,B棟5號
斗六市,房地(土地+建物)+車位,雲林縣斗六市嘉東中路,36.59,,鄉村區,乙種建築用地,1101118,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.12,3,2,2,有,無,7050000,60123,其他,3.17,680000,,RPQNMLOLJIGGFAP38CB,草嶺建設-沐韻,5D號
斗六市,房地(土地+建物)+車位,雲林縣斗六市公正街,23.03,商,,,1101117,土地5建物1車位1,十層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,200.8,3,2,3,有,無,14200000,73161,坡道平面,23.11,1200000,車位價款為120萬元整含在土地價款為36萬元整含在建物價款為84萬元整.,RPPNMLPLJIGGFAP38CB,公正1號苑,A棟A10-1號
斗六市,房地(土地+建物)+車位,雲林縣斗六市斗六六路與斗六五路交叉口,30.01,住,,,1101115,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.22,3,2,2,有,無,12800000,96726,坡道平面,22.81,1250000,,RPTNMLPLJIGGFAP88DB,青森綠川,D2號
斗六市,房地(土地+建物)+車位,雲林縣斗六市斗六六路與斗六五路交叉口,28.84,住,,,1101116,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.86,3,2,2,有,無,11050000,85615,坡道平面,22.81,1200000,,RPVNMLPLJIGGFAP09DB,青森綠川,D8號
斗六市,房地(土地+建物)+車位,雲林縣斗六市斗六六路與斗六五路交叉口,20.93,住,,,1101118,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.94,2,2,1,有,無,8750000,91423,坡道平面,22.81,1150000,,RPWNMLPLJIGGFAP56DB,青森綠川,C2號
二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路,126.29,住,,,1101119,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,220.52,4,2,5,有,無,11980000,54326,,0.0,0,,RPPNMLQLJIGGFCP68CB,寬庭恆美,C棟11號
二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路,102.3,住,,,1101119,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,204.6,4,2,5,有,無,11180000,54643,,0.0,0,,RPQNMLQLJIGGFCP78CB,寬庭恆美,A棟3號
土庫鎮,房地(土地+建物),雲林縣土庫鎮文興街,123.36,住,,,1101116,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.02,4,2,4,有,無,8700000,49426,,0.0,0,,RPPNMLQLJIGGFDP88DB,幸福天地,A棟19號
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興南路438巷,131.67,住,,,1101112,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,275.04,4,3,5,有,無,21380000,77734,,0.0,0,,RPSNMLRLJIGGFCP09CB,一品居,B棟8號
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興南路438巷,99.71,住,,,1101112,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,195.94,4,3,4,有,無,12800000,65326,,0.0,0,,RPTNMLRLJIGGFCP56CB,一品居,B棟7號
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興南路438巷,94.92,住,,,1101113,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,192.04,4,3,4,有,無,12460000,64882,,0.0,0,,RPUNMLRLJIGGFCP66CB,一品居,A棟2號
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興南路438巷,98.67,住,,,1101115,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,193.9,4,3,4,有,無,12490000,64415,,0.0,0,,RPVNMLRLJIGGFCP76CB,一品居,A棟1號
二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路,102.33,住,,,1101123,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,204.6,4,2,5,有,無,9680000,47312,,0.0,0,,RPPNMLKMJIGGFCP18CB,寬庭恆美,A棟7號
西螺鎮,房地(土地+建物),雲林縣西螺鎮安定,118.55,住,,,1101119,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.51,4,2,4,有,無,7930000,44423,,0.0,0,,RPQNMLKMJIGGFCP28CB,埔心荷雅,B棟11號
西螺鎮,房地(土地+建物),雲林縣西螺鎮安定,84.34,住,,,1101130,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,148.78,4,2,4,有,無,7500000,50410,,0.0,0,,RPRNMLKMJIGGFCP38CB,埔心荷雅,A棟11號
土庫鎮,房地(土地+建物),雲林縣土庫鎮石廟里溪心,116.81,,鄉村區,乙種建築用地,1101130,土地3建物1車位0,全,3,透天厝,住家用,見其他登記事項,,170.25,4,1,4,有,無,7000000,41116,,0.0,0,,RPPNMLKMJIGGFDP38DB,美麗家園NO.3,A棟11號
西螺鎮,房地(土地+建物),雲林縣西螺鎮金府街,81.75,住,,,1101119,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.24,4,3,4,有,無,9500000,59658,,0.0,0,,RPQNMLKMJIGGFCP48EB,悅筑,c棟0號
北港鎮,房地(土地+建物)+車位,雲林縣北港鎮四維街,51.72,住,,,1101127,土地8建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,150.21,3,2,2,有,無,7200000,47933,一樓平面,18.18,0,,RPPNMLKMJIGGFEP38CB,武財天下二期公寓案,E棟5號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,119.96,,鄉村區,乙種建築用地,1101118,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.45,5,2,3,有,無,10000000,61557,,0.0,0,,RPPNMLKMJIGGFAP97CB,薪晴NO.5,H25棟0號
斗六市,房地(土地+建物)+車位,雲林縣斗六市成功路,22.47,商,,,1101121,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,149.76,4,1,2,有,無,10950000,78495,坡道平面,23.0,1000000,車位總價新台幣一百萬元整，已依房屋、土地比例拆款分別計入房屋土地價款內。,RPQNMLKMJIGGFAP08CB,幸福精英匯,D棟9號
斗六市,房地(土地+建物)+車位,雲林縣斗六市文化路,30.88,,特定農業區,甲種建築用地,1101128,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.7,3,1,2,有,無,6450000,51745,坡道平面,31.51,800000,,RPPNMLMJKIGGFAP97CB,璞樸莊園Twin House,B棟B5號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,78.44,,鄉村區,乙種建築用地,1101114,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,151.1,4,2,4,有,無,9600000,63534,,0.0,0,,RPSNMLMJKIGGFAP28CB,雲科莊園,B棟7號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,72.82,,鄉村區,乙種建築用地,1101114,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,151.1,4,2,4,有,無,9400000,62210,,0.0,0,,RPTNMLMJKIGGFAP38CB,雲科莊園,B棟11號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,124.22,,鄉村區,乙種建築用地,1101120,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,154.28,4,2,4,有,無,10600000,68706,,0.0,0,,RPUNMLMJKIGGFAP48CB,雲科莊園,F1棟1號
崙背鄉,房地(土地+建物),雲林縣崙背鄉正義路,150.57,住,,,1101130,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.54,4,2,4,有,無,8300000,51064,,0.0,0,,RPPNMLMJKIGGFCP18CB,三玄真愛七期,B棟2號
斗六市,房地(土地+建物),雲林縣斗六市中興路,89.91,,特定農業區,甲種建築用地,1101127,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,171.68,5,1,4,有,無,7650000,44560,,0.0,0,,RPPNMLMJKIGGFAP08DB,皇瑞臻邸,A5號
斗六市,房地(土地+建物)+車位,雲林縣斗六市豐興路,32.57,,鄉村區,乙種建築用地,1101113,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.48,3,2,2,有,無,6250000,57825,一樓平面,19.23,800000,,RPRNMLMJKIGGFAP28DB,?井澤,B棟3號
斗六市,房地(土地+建物)+車位,雲林縣斗六市豐興路,32.57,,鄉村區,乙種建築用地,1101115,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.48,3,2,2,有,無,6250000,57825,一樓平面,19.23,800000,,RPSNMLMJKIGGFAP38DB,?井澤,B棟3號
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,23.08,商,,,1101112,土地2建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.04,3,2,2,有,無,6280000,55556,,0.0,0,,RPPNMLMJKIGGFBP08CB,合總君悅,C棟05F號
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,17.35,商,,,1101112,土地2建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.82,2,2,1,有,無,4770000,56237,,0.0,0,,RPQNMLMJKIGGFBP18CB,合總君悅,B棟04F號
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,17.71,商,,,1101115,土地2建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.67,2,2,1,有,無,4970000,57344,,0.0,0,,RPRNMLMJKIGGFBP28CB,合總君悅,E棟04F號
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,23.08,商,,,1101122,土地2建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.03,3,2,2,有,無,7800000,59271,坡道平面,29.99,1100000,,RPSNMLMJKIGGFBP38CB,合總君悅,C棟13F號
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,23.08,商,,,1101114,土地2建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.27,3,2,2,有,無,7080000,52790,坡道平面,29.99,1100000,,RPTNMLMJKIGGFBP48CB,合總君悅,A棟02F號
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,15.56,商,,,1101116,土地2建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.26,2,2,1,有,無,5800000,61623,坡道平面,29.99,1100000,,RPVNMLMJKIGGFBP68CB,合總君悅,D棟14F號
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,23.08,商,,,1101117,土地2建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.27,3,2,2,有,無,7300000,53849,坡道平面,29.99,1200000,,RPPNMLNJKIGGFBP18CB,合總君悅,A棟03F號
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,15.56,商,,,1101120,土地2建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.38,2,2,1,有,無,4550000,59571,,0.0,0,,RPQNMLNJKIGGFBP28CB,合總君悅,G棟13F號
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,17.35,商,,,1101120,土地2建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.01,2,2,1,有,無,6200000,60127,坡道平面,27.19,1100000,,RPRNMLNJKIGGFBP38CB,合總君悅,B棟14F號
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,17.35,商,,,1101119,土地2建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.81,2,2,1,有,無,6280000,59892,坡道平面,29.99,1200000,,RPSNMLNJKIGGFBP48CB,合總君悅,B棟13F號
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,17.71,商,,,1101119,土地2建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.67,2,2,1,有,無,4920000,56767,,0.0,0,,RPTNMLNJKIGGFBP58CB,合總君悅,E棟03F號
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,15.56,商,,,1101122,土地2建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.37,2,2,1,有,無,5700000,61534,坡道平面,29.99,1000000,,RPVNMLNJKIGGFBP78CB,合總君悅,F棟11F號
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,15.56,商,,,1101123,土地2建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.38,2,2,1,有,無,4510000,59047,,0.0,0,,RPWNMLNJKIGGFBP88CB,合總君悅,F棟05F號
