鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗六市,建物,雲林縣斗六市太平路７號六樓之６,0.0,商,,,1100925,土地0建物1車位0,六層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831110,44.66,1,1,1,有,無,有,6400,143,,0.0,0,租金含管理費400元/月,RPVNMLPKJIGGFAP98CC
斗六市,建物,雲林縣斗六市中山路１９６號５樓之３,0.0,商,,,1101115,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840903,33.61,1,0,1,有,有,有,7500,223,,0.0,0,雲林縣政府包租代管計畫,RPVOMLQKJIGGFAP56CC
斗六市,房地(土地+建物),雲林縣斗六市成功路１０２號５樓,105.5,住,,,1101113,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850130,101.69999999999999,3,1,2,有,無,有,8000,79,,0.0,0,冷氣機2臺.抽油煙機1件.流理台1件.瓦斯爐1臺.熱水器1臺.桶裝瓦斯1支,RPQNMLQKJIGGFAP68DC
斗六市,建物,雲林縣斗六市中堅西路５７３號,0.0,住,,,1101115,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0840406,13.22,1,0,0,有,無,有,3500,265,,0.0,0,,RPUNMLSKJIGGFAP56CC
斗六市,土地,海豐崙段朱丹灣小段279地號,914.88,住,,,1101110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,70000,77,,0.0,0,,RPOOMLTKJIGGFAP78CC
斗六市,建物,雲林縣斗六市五權街８６號,0.0,住,,,1101122,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830802,105.25,3,2,2,有,無,有,10000,95,,0.0,0,雲林縣政府包租代管計畫,RPSNMLNLJIGGFAP58CC
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮博愛路５１號,181.32,住,,,1101113,土地2建物1車位0,全,1,透天厝,住家用,磚造,0620410,61.13,0,0,0,無,無,無,26000,425,,0.0,0,,RPRNMLNLJIGGFDP88DC
虎尾鎮,土地,明正段521地號,367.1,住,,,1101113,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,19000,52,,0.0,0,,RPSNMLNLJIGGFDP98DC
斗六市,房地(土地+建物)+車位,雲林縣斗六市忠孝路１５３號５樓,29.59,住,,,1101124,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841120,182.41,3,2,2,有,有,有,15000,82,坡道平面,0.0,0,,RPRNMLPLJIGGFAP78DC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路５０巷８２號,115.0,,特定農業區,甲種建築用地,1101201,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951201,16.35,1,0,1,有,無,有,3500,214,,0.0,0,,RPQNMLKKKIGGFAP08CC
斗六市,房地(土地+建物),雲林縣斗六市中山路６０１號,191.06,,一般農業區,甲種建築用地,1101204,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0890808,16.22,1,0,1,有,無,有,4500,277,,0.0,0,,RPRNMLKKKIGGFAP18CC
斗六市,房地(土地+建物),雲林縣斗六市漢口路２２１號,524.38,住,,,1101210,土地1建物1車位0,見其他登記事項,1,店面(店鋪),住家用,鋼骨造有牆,1061124,195.5,0,0,0,無,無,無,55000,281,,0.0,0,租金:第1年至第5年每月新台幣伍萬伍仟元整。第6年至第10年每月新台幣陸萬元整。,RPTNMLNKKIGGFAP68CC
斗六市,建物,雲林縣斗六市安和街７６號５樓,0.0,住,,,1101210,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850818,133.06,3,2,2,有,有,有,13000,98,坡道機械,9.43,0,,RPSNMLOKKIGGFAP68CC
斗六市,房地(土地+建物),雲林縣斗六市公正街３９號九樓之１８,4.66,商,,,1101209,土地1建物1車位0,九層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871030,46.11,1,0,1,有,有,有,6500,141,,0.0,0,,RPPNMLLLKIGGFAP18CC
斗六市,房地(土地+建物),雲林縣斗六市正義一街３號,87.38,住,,,1101219,土地1建物1車位0,全,4,透天厝,店舖、住宅、停車空間,鋼筋混凝土造,1091215,204.04,4,3,5,有,無,有,30000,147,,0.0,0,,RPXOMLLLKIGGFAP09CC
斗六市,房地(土地+建物),雲林縣斗六市雲林路二段４５９號,80.09,住,,,1101214,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0530201,99.78,2,3,3,有,無,有,25000,251,,0.0,0,,RPPPMLLLKIGGFAP38CC
斗六市,房地(土地+建物),雲林縣斗六市明德北路三段２５６號,200.77,住,,,1101222,土地1建物1車位0,全,2,透天厝,倉庫,加強磚造,0641216,340.38,0,0,0,無,無,無,39980,117,,0.0,0,,RPSOMLMLKIGGFAP68CC
斗六市,房地(土地+建物),雲林縣斗六市中山路６０１號,191.06,,一般農業區,甲種建築用地,1101222,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0890808,22.69,1,0,1,有,無,有,5200,229,,0.0,0,,RPVNMLSLKIGGFAP86CC
虎尾鎮,建物,雲林縣虎尾鎮博愛路６３巷１弄３７號１樓,70.81,其他,,,1110101,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0770202,111.32,0,0,0,無,無,有,15000,135,,0.0,0,,RPPOMLNJJHHGFDP58DC
斗六市,建物,雲林縣斗六市城頂街５７號六樓之２,0.0,住,,,1101225,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841229,28.66,1,0,1,有,有,有,5000,174,,0.0,0,雲林縣政府包租代管計畫,RPPNMLPJJHHGFAP28CC
斗六市,房地(土地+建物)+車位,雲林縣斗六市永興路２３１號８樓,31.49,,特定農業區,甲種建築用地,1101126,土地1建物1車位1,見其他登記事項,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850325,206.99,3,2,2,有,有,有,27000,130,一樓平面,0.0,0,,RPRNMLPJJHHGFAP48CC
斗六市,房地(土地+建物),雲林縣斗六市中山路２５８號８樓,15.6,商,,,1101231,土地2建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840730,134.61,3,2,2,有,無,有,17000,126,,0.0,0,,RPSNMLPJJHHGFAP58CC
斗六市,房地(土地+建物),雲林縣斗六市西平路８０號５樓之６,10.02,商,,,1101230,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830918,112.9,3,1,1,有,有,有,12000,106,,0.0,0,租金含管理費,RPQNMLQJJHHGFAP48CC
虎尾鎮,土地,信義段851地號,112.62,商,,,1101229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,43000,382,,0.0,0,,RPUNMLQJJHHGFDP56CC
虎尾鎮,土地,平和厝段136-6地號,60.0,其他,,,1110101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,250,,0.0,0,,RPQOMLMKJHHGFDP58CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路５０巷７８號,88.0,,特定農業區,甲種建築用地,1110111,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951201,15.3,1,0,1,有,無,有,3300,216,,0.0,0,,RPUNMLRKJHHGFAP09CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路４８號,96.0,,特定農業區,甲種建築用地,1110115,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960208,17.71,1,0,1,有,無,有,3300,186,,0.0,0,,RPVNMLRKJHHGFAP56CC
斗六市,房地(土地+建物),雲林縣斗六市江厝里江厝路１００巷３弄１７號２樓,49.12,,鄉村區,乙種建築用地,1101225,土地1建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880926,126.19999999999999,4,2,2,有,有,有,9600,76,,0.0,0,,RPPNMLSKJHHGFAP68CC
