編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLMKJIGGFCT56CC,壽比段,11.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPWNMLLKJIGGFAT09CC,新鐘段,363.63,非都市：一般農業區 ; 非都市編定：農牧用地,,,,16200000
RPWNMLMKJIGGFCT76CC,壽比段,16.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPOOMLMKJIGGFCT68CC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPVNMLMKJIGGFCT66CC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPPOMLMKJIGGFCT78CC,壽比段,10.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPQOMLMKJIGGFCT88CC,壽比段,10.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPROMLMKJIGGFCT98CC,壽比段,10.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPVOMLMKJIGGFCT76CC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPUOMLMKJIGGFCT66CC,壽比段,10.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPXOMLMKJIGGFCT96CC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPWOMLMKJIGGFCT86CC,壽比段,10.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPPPMLMKJIGGFCT88CC,壽比段,10.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPQPMLMKJIGGFCT98CC,壽比段,5.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPSOMLMKJIGGFCT09CC,壽比段,10.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPOPMLMKJIGGFCT78CC,壽比段,10.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPRPMLMKJIGGFCT09CC,壽比段,5.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPSPMLMKJIGGFCT56CC,壽比段,6.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPTPMLMKJIGGFCT66CC,壽比段,5.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPUPMLMKJIGGFCT76CC,壽比段,5.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPVPMLMKJIGGFCT86CC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPPQMLMKJIGGFCT98CC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPXPMLMKJIGGFCT07CC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPWPMLMKJIGGFCT96CC,壽比段,10.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPQQMLMKJIGGFCT09CC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPSQMLMKJIGGFCT66CC,壽比段,11.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPTQMLMKJIGGFCT76CC,壽比段,6.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPUQMLMKJIGGFCT86CC,壽比段,5.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPRQMLMKJIGGFCT56CC,壽比段,10.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPWQMLMKJIGGFCT07CC,壽比段,5.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
