鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
鹿野鄉,土地,龍田段133-5地號,373.54,,,,1110207,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,17401,,0.0,0,龍田段133-5地號交易價格為6375000元整龍田段133-1.134.135.137-1及138-1地號交易價格為125000元整包含公共設施保留地用地；,RPQNMLLKKHHGFCV88DA,0.0,0.0,0.0,無,001
東河鄉,土地,那界段622-1地號,32.75,,風景區,丙種建築用地,1110208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,399878,12210,,0.0,0,,RPPNMLSJKHHGFBV66DA,0.0,0.0,0.0,無,002
延平鄉,土地,新武陵段122地號,620.48,,鄉村區,乙種建築用地,1110209,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,1692,,0.0,0,2份私契同時過戶，金額加總為新台幣壹佰零伍萬元整。未登記建物；,RPPNMLTJKHHGFCV86DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣臺東市岩灣路５０巷４５９號四樓,72.67,住,,,1110207,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950310,203.26999999999998,3,2,2,有,有,3151730,15505,,0.0,0,政府機關標讓售；,RPPNMLOKKHHGFAV88DA,113.98,0.0,10.85,有,
台東市,土地,豐年段1079-24地號,6.23,都市：其他:道路用地,,,1110211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,16051,,0.0,0,,RPPNMLLKKHHGFAV58DA,0.0,0.0,0.0,無,
卑南鄉,土地,初鹿段3991地號,1760.0,,特定農業區,農牧用地,1110211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2930000,1665,,0.0,0,,RPTNMLLKKHHGFAV98DA,0.0,0.0,0.0,無,003
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５７號六樓之２,6.98,商,,,1110208,土地2建物1車位0,六層,九層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830427,69.53,1,0,1,有,有,1000000,14382,,0.0,0,含傢俱設備費；,RPSNMLSJKHHGFDV17DA,26.86,0.0,2.89,有,
長濱鄉,土地,田組段599地號,169.95,,風景區,農牧用地,1110210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,1765,,0.0,0,,RPRNMLLKKHHGFBV88DA,0.0,0.0,0.0,無,004
台東市,房地(土地+建物)+車位,臺東縣臺東市岩灣路５０巷４３６號二樓,79.3,住,,,1110209,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950310,190.82,3,2,2,有,有,2988036,15659,坡道平面,0.0,0,政府機關標讓售；,RPPNMLKKKHHGFAV48DA,94.89,0.0,13.47,有,
台東市,房地(土地+建物)+車位,臺東縣臺東市岩灣路５０巷４４０號二樓,79.3,住,,,1110209,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950310,190.82,3,2,2,有,有,2988036,15659,坡道平面,0.0,0,政府機關標讓售；,RPQNMLKKKHHGFAV58DA,94.89,0.0,13.47,有,
台東市,房地(土地+建物)+車位,臺東縣臺東市岩灣路５０巷４３２號八樓,91.4,住,,,1110209,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950310,219.87,4,2,2,有,有,3443053,15659,坡道平面,0.0,0,政府機關標讓售；,RPRNMLKKKHHGFAV68DA,113.98,0.0,10.85,有,
台東市,房地(土地+建物)+車位,臺東縣臺東市岩灣路５０巷４４８號四樓,79.3,住,,,1110209,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950310,190.82,3,2,2,有,有,2988036,15659,坡道平面,0.0,0,政府機關標讓售；,RPSNMLKKKHHGFAV78DA,94.89,0.0,13.47,有,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉利里武街１２巷１７號,130.29,住,,,1110207,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860211,128.36,4,2,2,有,無,3350000,26098,,0.0,0,其他增建；,RPPNMLRJKHHGFDV76DA,128.36,0.0,0.0,無,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５７號八樓之１,6.98,商,,,1110209,土地2建物1車位0,八層,九層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830427,69.53,1,0,1,有,無,900000,12944,,0.0,0,,RPPNMLTJKHHGFDV96DA,27.18,0.0,2.57,有,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路３０之１號十三樓之３０,6.53,商,,,1110211,土地1建物1車位0,十三層,十五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0870306,49.199999999999996,1,1,1,有,有,950000,19309,,0.0,0,,RPPNMLSKKHHGFDV96DA,30.45,0.0,4.85,有,005
台東市,土地,台東段159-4地號,271.0,住,,,1110214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16389990,60480,,0.0,0,政府機關標讓售；,RPQOMLRKKHHGFAV76DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣臺東市中華路二段７８４巷９１之１號,208.26,,特定農業區,甲種建築用地,1110214,土地1建物1車位0,全,四層,透天厝,住家用,ＲＣ造,1101126,250.05,4,3,5,有,無,15200000,60788,,0.0,0,,RPUOMLOKKHHGFAV86DA,219.79,30.26,0.0,無,
成功鎮,土地,忠仁段123地號,278.69,住,,,1110209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4531499,16260,,0.0,0,政府機關標讓售；,RPTNMLNLKHHGFBV76DA,0.0,0.0,0.0,無,
關山鎮,土地,德高段736地號,299.08,,鄉村區,乙種建築用地,1110214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,2675,,0.0,0,原住民保留地未登記建物；,RPPNMLNLKHHGFCV09DA,0.0,0.0,0.0,無,
太麻里鄉,土地,泰和段399地號,4190.0,,山坡地保育區,農牧用地,1110209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,124,,0.0,0,,RPPNMLNLKHHGFDV56DA,0.0,0.0,0.0,無,
