鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
台東市,房地(土地+建物)+車位,臺東縣臺東市杭州街229號對街臺東市臺東段1833地號,24.11,商,,,1101111,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.16,3,2,2,有,無,9920000,67187,坡道平面,28.61,880000,,RPQNMLQKJIGGFAV09CB,東美館,F棟14號
台東市,房地(土地+建物)+車位,臺東縣臺東市柳州街275巷54號旁臺東市常德段726地號,27.53,商,,,1101116,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.62,3,2,2,有,無,7940000,57148,坡道平面,35.83,980000,,RPPNMLMLJIGGFAV68CB,漢陽琚,C棟11號
台東市,房地(土地+建物),臺東縣臺東市衡陽路158-1號旁,126.3,住,,,1101122,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,247.42,5,2,5,有,無,13900000,56180,,0.0,0,,RPSNMLTLJIGGFAV17DB,台東市豐谷段690地號等3筆土地住宅新建工程,A棟2號
台東市,房地(土地+建物),臺東縣臺東市豐年段950-15地號,79.39,住,,,1101113,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,150.8,5,1,3,有,無,8900000,59019,,0.0,0,,RPPNMLMJKIGGFAV58CB,三銳大和,B棟11號
台東市,房地(土地+建物),臺東縣臺東市豐年段950-14地號,77.51,住,,,1101115,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,150.8,5,1,3,有,無,8600000,57029,,0.0,0,,RPQNMLMJKIGGFAV68CB,三銳大和,B棟13號
台東市,房地(土地+建物),臺東縣臺東市永福路190號旁常德段715地號,19.72,商,,,1101206,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.66,2,2,1,有,無,4560000,52019,,0.0,0,,RPPNMLSJKIGGFAV56CB,漢陽邸,B棟2號
台東市,房地(土地+建物),臺東縣臺東市永福路190號旁常德段715地號,19.39,商,,,1101205,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.26,2,2,1,有,無,4530000,52516,,0.0,0,,RPQNMLSJKIGGFAV66CB,漢陽邸,D棟2號
台東市,房地(土地+建物)+車位,臺東縣臺東市永福路190號旁常德段715地號,18.94,商,,,1101206,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.63,2,2,1,有,無,5620000,55100,坡道平面,39.42,980000,,RPSNMLTJKIGGFAV96CB,漢陽邸,C棟6號
台東市,房地(土地+建物)+車位,臺東縣臺東市永福路190號旁常德段715地號,18.94,商,,,1101208,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.63,2,2,1,有,無,5440000,54744,坡道平面,39.42,830000,,RPTNMLTJKIGGFAV07CB,漢陽邸,C棟5號
