編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNJLHHGFAW09DA,中五劃段,702.88,都市：其他:農業區,1,1,全筆移轉,01570000
RPTNMLKKKHHGFAW98DA,寧湖一劃段,16.87,都市：其他:自然村專用區,100000,1886,持分移轉,05820000
RPUNMLRKKHHGFAW17DA,羅劃測段,42.43,都市：其他:自然村專用區,100000,8252,持分移轉,01970000
RPQNMLLKKHHGFAW78DA,歐厝段,695.86,都市：其他:農業區,1,1,全筆移轉,05330000
RPQNMLLKKHHGFAW78DA,歐厝段,135.74,都市：其他:農業區,1,1,全筆移轉,07110000
RPTNMLOKKHHGFAW76DA,榜林村測段,40.63,都市：其他:自然村專用區,1,1,全筆移轉,00410000
RPQNMLLKKHHGFAW78DA,歐厝段,821.45,都市：其他:農業區,1,1,全筆移轉,07740000
RPQNMLLKKHHGFAW78DA,歐厝段,365.05,都市：其他:農業區,1,1,全筆移轉,07790000
RPPNMLLKKHHGFAW68DA,舊金城段,189.00,都市：其他:農業區,1,1,全筆移轉,06190000
RPXNMLSJKHHGFAW47DA,榮湖段,123.47,都市：其他:公園用地,1,1,全筆移轉,09780001
RPXNMLSJKHHGFAW47DA,太武段,157.63,都市：其他:綠地,1,1,全筆移轉,12760000
RPXNMLSJKHHGFAW47DA,太武段,5.21,都市：其他:道路用地,1,1,全筆移轉,12760001
RPPNMLSKKHHGFAW76DA,城西段,30.55,都市：其他:第二種商業區,2,1,持分移轉,02530000
RPRNMLQKKHHGFAW76DA,寧古劃段,514.00,都市：其他:國家公園區,1,1,全筆移轉,10170000
RPRNMLQKKHHGFAW76DA,寧古劃段,500.00,都市：其他:國家公園區,1,1,全筆移轉,10250000
RPUNMLOKKHHGFAW86DA,湖前段,180.50,都市：其他:自然村專用區,7,2,持分移轉,09060000
RPUNMLOKKHHGFAW86DA,湖前段,2.20,都市：其他:自然村專用區,7,2,持分移轉,09060003
RPQNMLPKKHHGFAW56DA,蜈蚣山段,606.06,都市：其他:國家公園區,1,1,全筆移轉,00830000
RPQNMLPKKHHGFAW56DA,蜈蚣山段,278.52,都市：其他:國家公園區,1,1,全筆移轉,01400000
RPQNMLPKKHHGFAW56DA,蜈蚣山段,215.08,都市：其他:國家公園區,1,1,全筆移轉,01410000
RPQNMLPKKHHGFAW56DA,蜈蚣山段,117.33,都市：其他:國家公園區,1,1,全筆移轉,01420000
RPQNMLPKKHHGFAW56DA,蜈蚣山段,243.02,都市：其他:國家公園區,1,1,全筆移轉,01570000
RPQNMLPKKHHGFAW56DA,蜈蚣山段,262.29,都市：其他:國家公園區,1,1,全筆移轉,02490000
RPTNMLSKKHHGFAW17DA,大洋段,371.18,都市：其他:保護區,2,1,持分移轉,01850000
