鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
,車位,澎湖縣馬公市文康街,0.0,,,,1101114,土地0建物0車位1,地下二層,14,住宅大樓(11層含以上有電梯),停車空間,鋼筋混凝土造,,0.0,0,0,0,無,無,650000,,升降機械,12.38,650000,,RPXNMLPKJIGGFAX37DB,文康首席,B2棟41號
馬公市,房地(土地+建物),澎湖縣馬公市文康街,8.09,商,,,1101115,土地13建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.05,1,2,1,有,無,5750000,83273,,0.0,0,,RPPNMLQKJIGGFAX66DB,文康首席,A7棟8F號
馬公市,房地(土地+建物),澎湖縣馬公市文康街,9.97,商,,,1101115,土地13建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.19,1,2,1,有,無,7400000,86865,,0.0,0,,RPQNMLQKJIGGFAX76DB,文康首席,A10棟8F號
馬公市,房地(土地+建物),澎湖縣馬公市文康街,18.08,商,,,1101115,土地13建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.49,3,2,2,有,無,14250000,92239,,0.0,0,,RPRNMLQKJIGGFAX86DB,文康首席,A1棟8F號
,車位,澎湖縣馬公市文康街,0.0,,,,1101115,土地0建物0車位1,地下二層,14,住宅大樓(11層含以上有電梯),停車空間,鋼筋混凝土造,,0.0,0,0,0,無,無,650000,,升降機械,12.38,650000,,RPSNMLQKJIGGFAX96DB,文康首席,B2棟40號
馬公市,房地(土地+建物),澎湖縣馬公市文康街,12.49,商,,,1101114,土地13建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.62,2,2,1,有,無,10220000,95854,,0.0,0,,RPPNMLQKJIGGFAX56CB,文康首席,A8棟13F號
馬公市,房地(土地+建物),澎湖縣馬公市石泉里石泉,17.78,,鄉村區,乙種建築用地,1101217,土地1建物1車位0,五層,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,66.14,2,1,2,有,無,3850000,58210,,0.0,0,,RPPNMLPKJHHGFAX56DB,泰然頤和,A7棟0號
馬公市,房地(土地+建物),澎湖縣馬公市石泉里石泉,18.15,,鄉村區,乙種建築用地,1101220,土地1建物1車位0,八層,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,114.5,2,1,2,有,無,4150000,36245,,0.0,0,,RPPNMLRKJHHGFAX76DB,泰然頤和,A2棟0號
馬公市,房地(土地+建物),澎湖縣馬公市石泉里石泉,19.72,,鄉村區,乙種建築用地,1101220,土地1建物1車位0,四層,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,124.97,2,1,2,有,無,4250000,34008,,0.0,0,,RPQNMLRKJHHGFAX86DB,泰然頤和,A1棟0號
