編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLOKKHHGFEA97CB,天母段一小段,6.25,都市：住,10000,137,持分移轉,02300000
RPXNMLOKKHHGFEA97CB,天母段一小段,6.22,都市：住,10000,137,持分移轉,02310000
RPVNMLQKKHHGFAA67DB,景美段五小段,3.79,都市：商,100000,329,持分移轉,03410000
RPPOMLQKKHHGFAA17DB,景美段五小段,6.38,都市：商,100000,553,持分移轉,03410000
RPPNMLPKKHHGFAA96DB,木柵段三小段,8.04,都市：商,100000,264,持分移轉,01250000
RPSNMLOKKHHGFEA47CB,振興段四小段,.85,都市：商,100000,545,持分移轉,01660002
RPSNMLOKKHHGFEA47CB,振興段四小段,.04,都市：商,100000,545,持分移轉,01680003
RPSNMLOKKHHGFEA47CB,振興段四小段,.50,都市：商,100000,545,持分移轉,01680004
RPSNMLOKKHHGFEA47CB,振興段四小段,.04,都市：商,100000,545,持分移轉,01680005
RPSNMLOKKHHGFEA47CB,振興段四小段,.35,都市：商,100000,545,持分移轉,01830000
RPSNMLOKKHHGFEA47CB,振興段四小段,.71,都市：商,100000,545,持分移轉,02150000
RPSNMLOKKHHGFEA47CB,振興段四小段,.63,都市：商,100000,545,持分移轉,02220000
RPSNMLOKKHHGFEA47CB,振興段四小段,.15,都市：商,100000,545,持分移轉,02230000
RPSNMLOKKHHGFEA47CB,振興段四小段,.59,都市：商,100000,545,持分移轉,02240000
RPSNMLOKKHHGFEA47CB,振興段四小段,.53,都市：商,100000,545,持分移轉,02250000
RPSNMLOKKHHGFEA47CB,振興段四小段,.52,都市：商,100000,545,持分移轉,02260000
RPSNMLOKKHHGFEA47CB,振興段四小段,.07,都市：商,100000,545,持分移轉,02270000
RPSNMLOKKHHGFEA47CB,振興段四小段,.60,都市：商,100000,545,持分移轉,02280000
RPSNMLOKKHHGFEA47CB,振興段四小段,.45,都市：商,100000,545,持分移轉,02290000
RPSNMLOKKHHGFEA47CB,振興段四小段,.04,都市：商,100000,545,持分移轉,02300000
RPSNMLOKKHHGFEA47CB,振興段四小段,.53,都市：商,100000,545,持分移轉,02310000
RPSNMLOKKHHGFEA47CB,振興段四小段,.71,都市：商,100000,545,持分移轉,02320000
RPSNMLOKKHHGFEA47CB,振興段四小段,.03,都市：商,100000,545,持分移轉,02330000
RPSNMLOKKHHGFEA47CB,振興段四小段,.17,都市：商,100000,545,持分移轉,02340000
RPSNMLOKKHHGFEA47CB,振興段四小段,.04,都市：商,100000,545,持分移轉,02350000
RPSNMLOKKHHGFEA47CB,振興段四小段,.51,都市：商,100000,545,持分移轉,02360000
RPSNMLOKKHHGFEA47CB,振興段四小段,2.13,都市：商,100000,545,持分移轉,02470000
RPSNMLOKKHHGFEA47CB,振興段四小段,.62,都市：商,100000,545,持分移轉,02510000
RPSNMLOKKHHGFEA47CB,振興段四小段,.52,都市：商,100000,545,持分移轉,02540000
RPSNMLOKKHHGFEA47CB,振興段四小段,.52,都市：商,100000,545,持分移轉,02550000
RPSNMLOKKHHGFEA47CB,振興段四小段,.51,都市：商,100000,545,持分移轉,02560000
RPSNMLOKKHHGFEA47CB,振興段四小段,.55,都市：商,100000,545,持分移轉,02570000
RPSNMLOKKHHGFEA47CB,振興段四小段,.54,都市：商,100000,545,持分移轉,02580000
RPSNMLOKKHHGFEA47CB,振興段四小段,.63,都市：商,100000,545,持分移轉,02590000
RPSNMLOKKHHGFEA47CB,振興段四小段,.65,都市：商,100000,545,持分移轉,02600000
RPSNMLOKKHHGFEA47CB,振興段四小段,.57,都市：商,100000,545,持分移轉,02610000
RPSNMLOKKHHGFEA47CB,振興段四小段,.69,都市：商,100000,545,持分移轉,02620000
RPSNMLOKKHHGFEA47CB,振興段四小段,.44,都市：商,100000,545,持分移轉,02640001
RPSNMLOKKHHGFEA47CB,振興段四小段,.18,都市：商,100000,545,持分移轉,02660001
RPSOMLQKKHHGFAA47DB,景美段五小段,7.18,都市：商,100000,623,持分移轉,03410000
RPXNMLQKKHHGFAA87DB,景美段五小段,4.01,都市：商,100000,348,持分移轉,03410000
RPQOMLQKKHHGFAA27DB,景美段五小段,7.18,都市：商,100000,623,持分移轉,03410000
RPTOMLQKKHHGFAA57DB,景美段五小段,5.85,都市：商,100000,507,持分移轉,03410000
RPVOMLQKKHHGFAA77DB,景美段五小段,4.09,都市：商,100000,355,持分移轉,03410000
RPUOMLQKKHHGFAA67DB,景美段五小段,4.01,都市：商,100000,348,持分移轉,03410000
RPXOMLQKKHHGFAA97DB,景美段五小段,4.01,都市：商,100000,348,持分移轉,03410000
RPPPMLQKKHHGFAA27DB,景美段五小段,4.04,都市：商,100000,350,持分移轉,03410000
RPWOMLQKKHHGFAA87DB,景美段五小段,4.01,都市：商,100000,348,持分移轉,03410000
RPOPMLQKKHHGFAA17DB,景美段五小段,5.85,都市：商,100000,507,持分移轉,03410000
RPPNMLQKKHHGFEA57EB,陽明段二小段,4.79,都市：商,10000,255,持分移轉,05190000
RPPNMLQKKHHGFEA57EB,陽明段二小段,4.72,都市：商,10000,255,持分移轉,05210000
RPPNMLRKKHHGFAA17DB,景美段五小段,4.01,都市：商,100000,348,持分移轉,03410000
RPRNMLRKKHHGFAA37DB,景美段五小段,7.18,都市：商,100000,623,持分移轉,03410000
RPRNMLRKKHHGFDA57CB,南港段三小段,.44,都市：住,100000,164,持分移轉,00720001
RPRNMLRKKHHGFDA57CB,南港段三小段,.46,都市：住,100000,164,持分移轉,00730000
RPRNMLRKKHHGFDA57CB,南港段三小段,8.11,都市：住,100000,164,持分移轉,00790000
RPRNMLRKKHHGFDA57CB,南港段三小段,.34,都市：住,100000,164,持分移轉,00790005
RPRNMLRKKHHGFDA57CB,南港段三小段,.24,都市：住,100000,164,持分移轉,00790006
RPRNMLRKKHHGFDA57CB,南港段三小段,.00,都市：住,100000,164,持分移轉,00800004
RPRNMLRKKHHGFDA57CB,南港段三小段,.24,都市：住,100000,164,持分移轉,00800007
RPQNMLRKKHHGFAA27DB,景美段五小段,6.46,都市：商,100000,560,持分移轉,03410000
RPSNMLRKKHHGFDA67CB,南港段三小段,.44,都市：住,100000,164,持分移轉,00720001
RPSNMLRKKHHGFDA67CB,南港段三小段,.46,都市：住,100000,164,持分移轉,00730000
RPSNMLRKKHHGFDA67CB,南港段三小段,8.11,都市：住,100000,164,持分移轉,00790000
RPSNMLRKKHHGFDA67CB,南港段三小段,.34,都市：住,100000,164,持分移轉,00790005
RPSNMLRKKHHGFDA67CB,南港段三小段,.24,都市：住,100000,164,持分移轉,00790006
RPSNMLRKKHHGFDA67CB,南港段三小段,.00,都市：住,100000,164,持分移轉,00800004
RPSNMLRKKHHGFDA67CB,南港段三小段,.24,都市：住,100000,164,持分移轉,00800007
RPQNMLSKKHHGFDA57CB,玉成段五小段,.52,都市：住,100000,1472,持分移轉,00010000
RPQNMLSKKHHGFDA57CB,玉成段五小段,.83,都市：住,100000,1472,持分移轉,00010003
RPQNMLSKKHHGFDA57CB,玉成段五小段,.14,都市：住,100000,1472,持分移轉,00010004
RPQNMLSKKHHGFDA57CB,玉成段五小段,.06,都市：住,100000,1472,持分移轉,00010005
RPQNMLSKKHHGFDA57CB,玉成段五小段,.20,都市：住,100000,1472,持分移轉,00010006
RPQNMLSKKHHGFDA57CB,玉成段五小段,.03,都市：住,100000,1472,持分移轉,00010007
RPQNMLSKKHHGFDA57CB,玉成段五小段,.43,都市：住,100000,1472,持分移轉,00020000
RPQNMLSKKHHGFDA57CB,玉成段五小段,.81,都市：住,100000,1472,持分移轉,00020003
RPQNMLSKKHHGFDA57CB,玉成段五小段,.66,都市：住,100000,1472,持分移轉,00020004
RPQNMLSKKHHGFDA57CB,玉成段五小段,1.68,都市：住,100000,1472,持分移轉,00210002
RPQNMLSKKHHGFDA57CB,玉成段五小段,2.52,都市：住,100000,1472,持分移轉,00220000
RPQNMLSKKHHGFDA57CB,玉成段五小段,9.67,都市：住,100000,1472,持分移轉,00220001
RPQNMLSKKHHGFDA57CB,玉成段五小段,11.04,都市：住,100000,1472,持分移轉,00230000
RPSNMLSKKHHGFBA57CB,漢中段三小段,.16,都市：商,100000,1489,持分移轉,09250000
RPSNMLSKKHHGFBA57CB,漢中段三小段,.55,都市：商,100000,1489,持分移轉,09260000
RPSNMLSKKHHGFBA57CB,漢中段三小段,.86,都市：商,100000,1489,持分移轉,09270000
RPSNMLSKKHHGFBA57CB,漢中段三小段,.67,都市：商,100000,1489,持分移轉,09280000
RPSNMLSKKHHGFBA57CB,漢中段三小段,.21,都市：商,100000,1489,持分移轉,09290000
RPSNMLSKKHHGFBA57CB,漢中段三小段,.22,都市：商,100000,1489,持分移轉,09300000
