編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLKKNHHGFAD96DA,坡道平面,0,24.22,地下一樓
RPWQMLQKNHHGFAD58DA,坡道平面,0,,地下二樓
RPROMLKKNHHGFID08DA,坡道平面,1700000,32.65,地下一樓
RPXNMLRKNHHGFHD56DA,坡道平面,0,27.88,地下二樓
RPQPMLQKNHHGFAD87DA,坡道平面,0,,地下一樓
RPPPMLTKNHHGFAD08DA,坡道平面,0,44.77,地下二樓
RPPPMLTKNHHGFAD08DA,坡道平面,0,44.77,地下二樓
RPUOMLRKNHHGFCD48DA,升降機械,0,,地下三樓
RPUOMLRKNHHGFCD48DA,升降機械,0,,地下三樓
RPPQMLKLNHHGFCD57DA,升降平面,0,,地下一樓
RPXOMLNLNHHGFAD28DA,坡道平面,0,,地下三樓
RPSOMLLKNHHGFCD67DA,坡道平面,0,45.63,地下三樓
RPPOMLSKNHHGFID68DA,坡道平面,0,23.08,地下一樓
RPWNMLOLNHHGFKD56DA,升降平面,0,,地下一樓
RPWNMLPLNHHGFAD28DA,坡道平面,0,24.22,地下三樓
RPWNMLPLNHHGFAD28DA,坡道平面,0,24.22,地下三樓
RPUWMLOLNHHGFBD98DA,坡道平面,0,,地下二樓
RPOPMLOLNHHGFCD87EA,坡道平面,0,,無固定樓層
RPSOMLMKNHHGFCD77DA,坡道平面,0,,地下二樓
RPPPMLNKNHHGFKD48DA,坡道平面,0,22.39,地下二樓
RPSPMLQLNHHGFKD56DA,坡道平面,0,,地下一樓
RPRSMLLKNHHGFAD77DA,一樓平面,0,,一樓
RPWNMLRKNHHGFCD58DA,坡道平面,0,,地下二樓
RPSQMLQLNHHGFKD66DA,坡道機械,0,,地下二樓
RPTPMLKKNHHGFAD57DA,升降平面,0,,地下一樓
RPUOMLOLNHHGFKD09DA,坡道機械,380000,5.00,地下三樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPVOMLQLNHHGFCD68EA,坡道平面,0,40.38,地下二樓
RPROMLKMNHHGFAD47DA,坡道平面,0,21.52,地下一樓
RPSSMLLKNHHGFAD87DA,一樓平面,0,,一樓
RPSOMLQLNHHGFCD28DA,坡道平面,0,27.82,地下二樓
RPPNMLPKNHHGFCD67DA,坡道機械,0,27.39,地下三樓
RPTRMLRLNHHGFAD58DA,坡道平面,0,32.55,地下二樓
RPQPMLKMNHHGFAD47DA,其他,920000,5.56,一樓
RPPOMLSKNHHGFAD87DA,坡道平面,0,,地下一樓
RPRQMLNLNHHGFKD88DA,坡道平面,0,22.39,地下二樓
RPXNMLLJOHHGFAD87DA,升降機械,0,23.34,地下三樓
RPSNMLOLNHHGFAD77DA,其他,0,12.05,一樓
RPUOMLKLNHHGFBD77DA,坡道機械,0,,地下二樓
RPSNMLNLNHHGFDD97DA,一樓平面,0,19.86,一樓
RPUNMLMJOHHGFAD67DA,坡道機械,0,10.50,地下一樓
RPSPMLMKNHHGFAD67DA,坡道平面,1200000,36.36,地下四樓
RPTNMLLJOHHGFCD67DA,升降機械,0,9.83,地下一樓
RPRPMLLJOHHGFCD67DA,坡道平面,0,,地下四樓
RPOOMLMJOHHGFAD17DA,坡道平面,1680000,32.44,地下二樓
RPRNMLPLNHHGFDD08DA,升降機械,0,,地下一樓
RPRNMLQJOHHGFAD77DA,坡道平面,0,,地下三樓
RPPOMLOLNHHGFHD28DA,坡道平面,0,,地下一樓
RPQNMLNLNHHGFAD47DA,坡道平面,0,,地下一樓
RPQNMLLJOHHGFDD47DA,其他,0,6.75,一樓
RPOQMLLMNHHGFAD47DA,升降平面,0,,地下一樓
RPWOMLLMNHHGFBD18DA,一樓平面,0,19.02,一樓
RPPPMLQJOHHGFAD77DA,坡道平面,0,,地下一樓
RPROMLLMNHHGFCD77DA,升降機械,0,,地下一樓
RPWNMLQKNHHGFAD28DA,坡道平面,0,34.26,地下一樓
RPOPMLLMNHHGFBD47DA,一樓平面,0,17.50,一樓
RPPNMLTJOHHGFCD08DA,坡道平面,0,,地下一樓
RPRNMLSJOHHGFGD58DA,一樓平面,900000,23.72,一樓
RPQQMLRJOHHGFAD08DA,坡道平面,1400000,23.58,地下五樓含以下
RPQQMLRJOHHGFAD08DA,坡道平面,1400000,23.58,地下五樓含以下
RPPPMLLMNHHGFCD67DA,坡道機械,0,,地下一樓
RPROMLLMNHHGFBD67DA,一樓平面,0,17.50,一樓
RPVOMLLMNHHGFBD08DA,一樓平面,0,17.50,一樓
RPSOMLLMNHHGFBD77DA,一樓平面,0,17.50,一樓
RPVQMLLMNHHGFID98DA,一樓平面,0,,一樓
RPWNMLQJOHHGFAD28DA,升降機械,0,,地下一樓
RPQNMLRJOHHGFGD38DA,一樓平面,800000,6.61,一樓
RPTNMLRJNHHGFAD97DA,坡道機械,0,13.17,地下一樓
RPSNMLQLNHHGFAD97DA,坡道平面,0,27.74,地下二樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPTNMLSJOHHGFBD28DA,坡道平面,0,,地下一樓
RPSOMLMJOHHGFAD57DA,坡道平面,0,33.38,地下三樓
RPSOMLSKMHHGFCD28DA,坡道平面,0,,地下二樓
RPPNMLKLMHHGFDD27DA,升降機械,0,,地下一樓
RPSOMLLKMHHGFAD37DA,坡道機械,1000000,11.17,地下三樓
RPVNMLMLMHHGFHD48DA,坡道平面,0,,地下一樓
RPPNMLOLMHHGFDD67DA,坡道機械,0,,地下一樓
RPPNMLOLMHHGFDD67DA,坡道機械,0,,地下一樓
RPPNMLPLMHHGFAD47DA,坡道平面,0,,地下一樓
RPQPMLKLMHHGFAD27DA,坡道平面,1000000,,地下二樓
RPWOMLPLMHHGFHD98DA,坡道平面,0,23.03,地下三樓
RPPNMLRLMHHGFBD77DA,一樓平面,0,,一樓
RPROMLQLMHHGFAD87DA,升降機械,0,,地下一樓
RPQOMLQLMHHGFAD77DA,坡道平面,0,33.13,地下一樓
RPQOMLQLMHHGFAD77DA,坡道平面,0,33.13,地下一樓
RPOOMLPLMHHGFAD47DA,坡道平面,1000000,,地下二樓
RPOQMLPLMHHGFAD67DA,坡道平面,1000000,26.65,地下一樓
RPWNMLSLMHHGFHD56DA,坡道平面,0,26.65,地下一樓
RPSOMLLJMHHGFAD27DA,坡道機械,800000,,地下一樓
RPQOMLSLMHHGFAD97DA,升降機械,0,,地下三樓
RPRNMLTLMHHGFID88DA,坡道機械,0,,地下一樓
RPQNMLTLMHHGFID78DA,一樓平面,0,,一樓
RPPNMLLKMHHGFBD07DA,坡道機械,0,,地下二樓
RPWOMLSLMHHGFHD66DA,一樓平面,0,,一樓
RPVNMLNJNHHGFKD78DA,坡道機械,600000,12.23,地下二樓
RPVNMLNJNHHGFKD78DA,坡道機械,600000,12.23,地下二樓
RPVOMLSLMHHGFBD58DA,坡道機械,0,,地下一樓
RPSNMLOJMHHGFCD67DA,一樓平面,1500000,27.05,一樓
RPXNMLPKMHHGFKD56DA,坡道平面,0,,地下一樓
RPTNMLTLMHHGFBD38DA,坡道平面,0,,地下二樓
SPTNMLTLMHHGFBD48DA,坡道平面,800000,,地下二樓
RPOOMLSLMHHGFAD77DA,坡道平面,0,,地下一樓
RPRPMLTLMHHGFAD28DA,坡道平面,1750000,36.30,地下三樓
RPSNMLNJMHHGFAD37DA,坡道平面,1000000,,地下二樓
RPSPMLLLMHHGFAD57DA,坡道機械,0,11.17,地下三樓
RPVOMLSJMHHGFKD66DA,坡道機械,0,,地下一樓
RPRNMLQJNHHGFHD38DA,坡道平面,0,27.88,地下二樓
RPSNMLOJNHHGFCD77DA,坡道機械,0,13.82,地下二樓
RPWOMLOJNHHGFHD78DA,坡道平面,0,23.32,地下一樓
RPPPMLPJNHHGFAD67EA,坡道機械,1100000,23.36,地下三樓
RPTOMLLKMHHGFKD48DA,坡道平面,0,25.59,地下一樓
RPSNMLQLMHHGFAD87DA,坡道平面,0,,地下一樓
RPRNMLNJNHHGFID18DA,坡道機械,0,,地下一樓
RPSVMLQJNHHGFAD68EA,升降機械,0,,地下二樓
RPSVMLQJNHHGFAD68EA,升降機械,0,,地下二樓
RPVOMLQJNHHGFCD48EA,坡道平面,0,,地下一樓
RPQNMLOJNHHGFID18DA,坡道平面,1600000,32.65,地下二樓
RPSPMLPJNHHGFAD87DA,坡道平面,0,,地下三樓
RPOPMLNJNHHGFCD47DA,坡道機械,0,,地下二樓
RPWUMLOJNHHGFAD68DA,坡道平面,1500000,32.55,地下四樓
RPPNMLPJNHHGFHD08DA,坡道平面,0,,地下一樓
RPPOMLKLMHHGFKD08DA,坡道平面,0,,地下二樓
RPPPMLLKNHHGFAD27DA,坡道機械,0,16.66,地下四樓
RPRNMLRJNHHGFAD77DA,一樓平面,0,,一樓
RPXPMLTKMHHGFAD78DA,坡道平面,0,,地下二樓
RPUNMLTJNHHGFKD66DA,坡道平面,0,40.45,地下二樓
