鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮海山東路,14.55,住,,,1110211,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.81,1,1,1,有,無,3730000,59927,坡道平面,31.58,600000,,RPUNMLLKKHHGFAG57CB,The Aries 牡羊座,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮海山東路,16.37,住,,,1110213,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.59,1,1,1,有,無,3750000,53381,坡道平面,31.58,600000,,RPRNMLOKKHHGFAG57CB,The Aries 牡羊座,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮海山東路,14.55,住,,,1110213,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,52.23,1,1,1,有,無,3050000,58396,,0.0,0,,RPSNMLOKKHHGFAG67CB,The Aries 牡羊座,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮海山東路,29.7,住,,,1110211,土地1建物1車位1,一層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.69,2,1,1,有,無,9560000,82719,一樓平面,31.58,700000,,RPUNMLOKKHHGFAG87CB,The Aries 牡羊座,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮海山東路,14.55,住,,,1110212,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.81,1,1,1,有,無,3730000,59927,坡道平面,31.58,600000,,RPWNMLOKKHHGFAG08CB,The Aries 牡羊座,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路二段,31.73,住,,,1110213,土地4建物1車位1,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,69.0,1,1,1,有,無,5560000,84825,一樓平面,17.6,1200000,,RPWNMLOKKHHGFBG18CB,碧城上晴,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路二段,39.04,農,,,1110212,土地4建物1車位0,二層,3,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.0,2,2,1,有,無,6880000,80000,,0.0,0,,RPXNMLOKKHHGFBG28CB,碧城上晴,
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉同新路,41.64,,特定農業區,甲種建築用地,1110212,土地1建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.09,2,2,1,有,無,5700000,53013,坡道平面,15.0,500000,,RPRNMLPKKHHGFBG77CB,豫呈桐樂,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉義興街,26.44,住,,,1110211,土地4建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.61,2,2,1,有,無,6280000,72509,,0.0,0,,RPTNMLQKKHHGFBG08CB,礁曦,
