編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLOKKHHGFAG08CB,坡道平面,600000,31.58,地下二樓
RPUNMLLKKHHGFAG57CB,坡道平面,600000,31.58,地下一樓
RPWNMLOKKHHGFBG18CB,一樓平面,1200000,17.60,一樓
RPRNMLOKKHHGFAG57CB,坡道平面,600000,31.58,地下一樓
RPUNMLOKKHHGFAG87CB,一樓平面,700000,31.58,一樓
RPRNMLPKKHHGFBG77CB,坡道平面,500000,15.00,一樓
RPUNMLQKKHHGFBG18CB,坡道平面,1150000,29.45,地下一樓
RPVNMLQKKHHGFBG28CB,坡道平面,1150000,29.45,地下一樓
RPXNMLQKKHHGFAG38CB,升降平面,1150000,26.28,地下一樓
RPPNMLRKKHHGFAG67CB,坡道平面,700000,31.58,地下一樓
RPQOMLQKKHHGFAG77CB,升降平面,1150000,26.28,地下一樓
RPQNMLRKKHHGFBG87CB,坡道平面,600000,32.75,地下一樓
RPRNMLRKKHHGFBG97CB,坡道平面,1150000,29.45,地下一樓
RPVNMLKLKHHGFAG67CB,坡道平面,700000,31.58,地下一樓
RPXNMLKLKHHGFAG87CB,坡道平面,600000,31.58,地下二樓
RPWNMLKLKHHGFAG77CB,坡道平面,600000,31.58,地下一樓
RPTNMLKLKHHGFAG47CB,坡道平面,600000,31.58,地下一樓
RPQOMLKLKHHGFAG27CB,一樓平面,700000,31.58,一樓
RPUNMLLLKHHGFAG67CB,坡道平面,600000,31.58,地下二樓
RPPOMLKLKHHGFAG17CB,一樓平面,600000,31.58,一樓
RPSNMLLLKHHGFBG67DB,一樓平面,500000,13.47,一樓
RPSNMLMLKHHGFBG67CB,坡道平面,1150000,29.45,地下一樓
RPRNMLMLKHHGFAG47CB,一樓平面,300000,26.12,一樓
RPRNMLOLKHHGFAG67CB,坡道平面,600000,31.58,地下二樓
RPQNMLOLKHHGFAG57CB,坡道平面,600000,31.58,地下一樓
RPPNMLOLKHHGFAG47CB,坡道平面,600000,31.58,地下一樓
RPPNMLPLKHHGFAG57CB,坡道平面,700000,31.58,地下二樓
RPUNMLNLKHHGFAG87CB,升降平面,1150000,26.28,地下一樓
RPRNMLPLKHHGFAG77CB,坡道平面,600000,31.58,地下二樓
RPPNMLRLKHHGFAG77CB,坡道平面,600000,31.58,地下二樓
RPUNMLPLKHHGFAG08CB,一樓平面,0,,一樓
RPUNMLMJLHHGFAG67CB,一樓平面,0,11.32,一樓
RPQNMLNJLHHGFAG37CB,坡道平面,600000,31.58,地下一樓
RPTNMLMJLHHGFAG57CB,一樓平面,0,11.32,一樓
RPRNMLNJLHHGFBG57CB,一樓平面,1200000,13.75,一樓
RPXNMLNJLHHGFBG18CB,一樓平面,1200000,13.75,一樓
RPOOMLNJLHHGFBG37CB,一樓平面,1200000,13.75,一樓
RPQNMLOJLHHGFBG57CB,一樓平面,600000,13.75,一樓
RPVOMLNJLHHGFBG08CB,一樓平面,600000,13.75,一樓
RPSNMLOJLHHGFBG77CB,坡道平面,1150000,29.45,地下一樓
RPRNMLOJLHHGFAG57CB,升降平面,1150000,26.28,地下一樓
RPRNMLPJLHHGFAG67CB,一樓平面,0,13.75,一樓
RPUNMLPJLHHGFAG97CB,一樓平面,0,13.75,一樓
RPPNMLSJLHHGFBG87CB,一樓平面,0,13.72,一樓
RPRNMLRJLHHGFAG87CB,一樓平面,0,,一樓
RPRNMLSJLHHGFAG97CB,坡道平面,600000,31.58,地下一樓
RPSNMLSJLHHGFAG08CB,坡道平面,600000,31.58,地下一樓
RPVNMLSJLHHGFAG38CB,一樓平面,0,13.75,一樓
RPWNMLSJLHHGFAG48CB,一樓平面,0,12.34,一樓
RPPNMLSJLHHGFBG97DB,一樓平面,0,19.32,一樓
RPSOMLSJLHHGFAG18CB,一樓平面,300000,26.12,一樓
RPWNMLTJLHHGFBG68CB,坡道平面,1150000,29.45,地下一樓
RPOOMLTJLHHGFBG97CB,一樓平面,1200000,13.72,一樓
RPRNMLKKLHHGFBG37CB,坡道平面,1150000,29.45,地下一樓
RPWNMLKKLHHGFBG87CB,一樓平面,0,13.72,一樓
RPSNMLLKLHHGFBG57CB,一樓平面,1200000,13.72,一樓
RPVNMLLKLHHGFBG87CB,一樓平面,0,13.72,一樓
RPPNMLLKLHHGFAG17CB,坡道平面,700000,31.58,地下一樓
RPPNMLOKLHHGFBG67DB,一樓平面,900000,13.75,一樓
RPSNMLOKLHHGFBG97DB,一樓平面,900000,13.75,一樓
RPTNMLOKLHHGFBG08DB,一樓平面,900000,13.75,一樓
RPPNMLOKLHHGFBG57CB,一樓平面,0,13.72,一樓
RPQNMLOKLHHGFAG57CB,一樓平面,300000,26.12,一樓
RPUNMLOKLHHGFBG08CB,一樓平面,1200000,13.72,一樓
RPPOMLOKLHHGFBG67CB,一樓平面,1200000,13.72,一樓
RPWOMLOKLHHGFBG38CB,一樓平面,0,13.72,一樓
RPOPMLOKLHHGFBG67CB,一樓平面,0,13.72,一樓
RPPPMLOKLHHGFBG77CB,一樓平面,0,13.72,一樓
RPRNMLPKLHHGFBG87CB,坡道平面,1200000,29.00,地下一樓
RPVNMLPKLHHGFBG28CB,一樓平面,600000,13.75,一樓
RPQQMLQKLHHGFBG18CB,坡道平面,1200000,24.88,地下一樓
RPOQMLQKLHHGFBG97CB,坡道平面,1050000,24.88,地下二樓
RPRQMLQKLHHGFBG28CB,一樓平面,1200000,13.72,一樓
RPXPMLQKLHHGFBG78CB,坡道平面,1200000,24.88,地下一樓
RPPQMLQKLHHGFBG08CB,坡道平面,1200000,24.88,地下一樓
RPWNMLQKLHHGFBG48CB,一樓平面,1400000,24.30,一樓
RPPNMLRKLHHGFAG77CB,一樓平面,700000,18.85,一樓
RPTQMLQKLHHGFBG48CB,坡道平面,1100000,27.00,地下一樓
RPQNMLRKLHHGFAG87CB,一樓平面,700000,18.85,一樓
RPTNMLRKLHHGFAG18CB,一樓平面,700000,18.85,一樓
RPRNMLRKLHHGFBG08CB,一樓平面,0,13.72,一樓
RPQNMLRKLHHGFBG97CB,一樓平面,0,13.72,一樓
RPUNMLSKLHHGFAG38CB,坡道平面,600000,31.58,地下二樓
RPXNMLSKLHHGFAG68CB,坡道平面,600000,31.58,地下一樓
RPVNMLSKLHHGFAG48CB,坡道平面,600000,31.58,地下一樓
RPOOMLSKLHHGFAG87CB,坡道平面,600000,31.58,地下二樓
RPPOMLSKLHHGFAG97CB,坡道平面,600000,31.58,地下二樓
RPQNMLLLLHHGFAG37CB,一樓平面,750000,23.31,一樓
RPQNMLLLLHHGFBG47CB,坡道平面,700000,35.57,地下一樓
RPUNMLLLLHHGFBG87CB,坡道平面,700000,35.57,地下一樓
RPTOMLLLLHHGFBG87CB,坡道平面,1400000,24.88,地下一樓
RPSOMLLLLHHGFBG77CB,坡道平面,1050000,24.88,地下二樓
RPROMLLLLHHGFBG67CB,坡道平面,1150000,29.45,地下一樓
RPPOMLMLLHHGFBG57CB,一樓平面,1000000,24.37,一樓
RPQOMLMLLHHGFBG67CB,一樓平面,400000,13.75,一樓
RPPNMLMLLHHGFAG37CB,一樓平面,0,,一樓
RPWNMLMLLHHGFBG18CB,坡道平面,700000,35.57,地下一樓
RPPNMLNLLHHGFAG47CB,一樓平面,750000,28.76,一樓
RPQNMLNLLHHGFAG57CB,坡道平面,1000000,28.76,地下一樓
RPRNMLNLLHHGFAG67CB,坡道平面,1000000,28.76,地下一樓
RPVNMLNLLHHGFAG08CB,坡道平面,1000000,28.76,地下一樓
RPSOMLNLLHHGFAG87CB,一樓平面,0,13.75,一樓
RPWNMLNLLHHGFAG18CB,坡道平面,1000000,28.76,地下一樓
RPPOMLNLLHHGFAG57CB,坡道平面,1000000,28.76,地下一樓
RPROMLNLLHHGFAG77CB,一樓平面,800000,28.76,一樓
RPXNMLNLLHHGFAG28CB,一樓平面,650000,35.20,一樓
RPQOMLNLLHHGFAG67CB,坡道平面,1000000,28.76,地下一樓
RPWOMLNLLHHGFAG28CB,坡道平面,600000,31.58,地下一樓
RPXOMLNLLHHGFAG38CB,坡道平面,600000,31.58,地下一樓
RPPNMLOLLHHGFAG57CB,一樓平面,0,22.83,一樓
RPSNMLOLLHHGFAG87CB,一樓平面,650000,17.24,一樓
RPOUMLPLLHHGFBG38CB,一樓平面,1200000,13.72,一樓
RPPUMLPLLHHGFBG48CB,一樓平面,1200000,13.72,一樓
RPPNMLRLLHHGFBG97CB,坡道平面,1200000,24.88,地下一樓
RPPNMLQLLHHGFAG77CB,坡道平面,600000,31.58,地下二樓
RPPNMLSLLHHGFAG97CB,一樓平面,0,,一樓
RPPNMLPLLHHGFAG67CB,一樓平面,530000,16.50,一樓
RPSNMLSLLHHGFAG28CB,坡道平面,600000,31.58,地下一樓
RPTNMLSLLHHGFAG38CB,坡道平面,700000,31.58,地下一樓
RPPNMLTLLHHGFAG08CB,一樓平面,0,,一樓
RPSNMLTLLHHGFAG38CB,坡道平面,700000,23.31,地下一樓
RPOOMLSLLHHGFAG97CB,一樓平面,0,,一樓
RPXNMLSLLHHGFAG78CB,一樓平面,0,,一樓
RPSNMLTLLHHGFBG48CB,一樓平面,600000,13.75,一樓
RPVNMLKMLHHGFBG97CB,坡道平面,1050000,29.45,地下一樓
RPQNMLKMLHHGFAG37CB,一樓平面,700000,18.85,一樓
RPRNMLKMLHHGFAG47CB,一樓平面,700000,18.85,一樓
RPTNMLKMLHHGFAG67CB,一樓平面,700000,18.85,一樓
RPSNMLKMLHHGFAG57CB,一樓平面,700000,18.85,一樓
RPVNMLKMLHHGFAG87CB,一樓平面,700000,18.85,一樓
RPOOMLKMLHHGFAG27CB,一樓平面,700000,18.85,一樓
RPXNMLKMLHHGFAG08CB,一樓平面,700000,18.85,一樓
RPSNMLLMLHHGFAG67CB,一樓平面,700000,18.85,一樓
RPRNMLLMLHHGFBG67CB,一樓平面,600000,13.75,一樓
RPSNMLLMLHHGFBG77CB,一樓平面,600000,13.75,一樓
RPPNMLLMLHHGFBG57DB,一樓平面,0,,一樓
RPSNMLLMLHHGFBG87DB,一樓平面,0,,一樓
RPQNMLLMLHHGFBG67DB,一樓平面,0,,一樓
RPRNMLLMLHHGFBG77DB,一樓平面,0,,一樓
RPUNMLLMLHHGFBG08DB,一樓平面,0,,一樓
RPQNMLLJMHHGFBG37CB,一樓平面,800000,,一樓
RPXNMLLJMHHGFBG08CB,一樓平面,500000,15.68,一樓
RPQNMLMJMHHGFAG37CB,坡道平面,600000,31.58,地下一樓
RPTNMLLJMHHGFAG57CB,坡道平面,1000000,28.76,地下一樓
RPPNMLNJMHHGFAG37CB,坡道平面,600000,31.58,地下二樓
RPPNMLPJMHHGFAG57CB,一樓平面,0,,一樓
RPRNMLQJMHHGFBG97CB,一樓平面,0,22.00,一樓
RPQNMLQJMHHGFBG87CB,一樓平面,0,22.00,一樓
RPSNMLQJMHHGFBG08CB,一樓平面,0,22.00,一樓
RPUNMLQJMHHGFBG28CB,一樓平面,0,22.00,一樓
RPTNMLQJMHHGFBG18CB,一樓平面,0,22.00,一樓
RPVNMLQJMHHGFBG38CB,一樓平面,0,22.00,一樓
RPWNMLQJMHHGFBG48CB,一樓平面,0,22.00,一樓
RPOOMLQJMHHGFBG77CB,一樓平面,0,22.00,一樓
RPXNMLQJMHHGFBG58CB,一樓平面,0,22.00,一樓
RPPNMLRJMHHGFBG87CB,一樓平面,500000,15.68,一樓
RPUNMLRJMHHGFBG38CB,一樓平面,900000,,一樓
RPSNMLRJMHHGFBG18CB,坡道平面,1100000,24.37,地下一樓
RPPNMLTJMHHGFAG97CB,一樓平面,0,22.55,一樓
RPPNMLKKMHHGFAG17CB,一樓平面,550000,11.70,一樓
RPXNMLLKMHHGFBG18CB,一樓平面,1200000,13.72,一樓
RPUOMLLKMHHGFBG97CB,一樓平面,1200000,13.72,一樓
RPROMLLKMHHGFBG67CB,一樓平面,1200000,13.72,一樓
RPVQMLLKMHHGFBG28CB,坡道平面,1050000,24.88,地下二樓
RPTQMLLKMHHGFBG08CB,坡道平面,1200000,24.88,地下一樓
RPTQMLLKMHHGFBG08CB,坡道平面,1200000,24.88,地下一樓
RPRNMLLKMHHGFAG47CB,一樓平面,700000,18.85,一樓
RPUQMLLKMHHGFBG18CB,坡道平面,1140000,24.88,地下一樓
RPWQMLLKMHHGFBG38CB,坡道平面,1050000,24.88,地下二樓
RPVNMLLKMHHGFAG87CB,一樓平面,700000,18.85,一樓
