編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPKKHHGFFK48CB,仁愛段,16.76,都市：住,10000,14,持分移轉,00360000
RPSNMLPKKHHGFFK68CB,仁愛段,34.71,都市：住,10000,29,持分移轉,00360000
RPRNMLPKKHHGFFK58CB,仁愛段,23.94,都市：住,10000,20,持分移轉,00360000
RPTNMLPKKHHGFFK78CB,仁愛段,23.94,都市：住,10000,20,持分移轉,00360000
RPOOMLPKKHHGFFK38CB,仁愛段,19.15,都市：住,10000,16,持分移轉,00360000
RPUNMLPKKHHGFFK88CB,仁愛段,23.94,都市：住,10000,20,持分移轉,00360000
RPWNMLPKKHHGFFK09CB,仁愛段,19.15,都市：住,10000,16,持分移轉,00360000
RPPOMLPKKHHGFFK48CB,仁愛段,16.76,都市：住,10000,14,持分移轉,00360000
RPVNMLPKKHHGFFK98CB,仁愛段,19.15,都市：住,10000,16,持分移轉,00360000
RPXNMLPKKHHGFFK56CB,仁愛段,23.94,都市：住,10000,20,持分移轉,00360000
RPSNMLQKKHHGFBK38CB,文發段,35.80,都市：住,100000,1758,持分移轉,12160000
RPQOMLPKKHHGFFK58CB,仁愛段,23.94,都市：住,10000,20,持分移轉,00360000
RPPNMLQKKHHGFBK08CB,文發段,35.80,都市：住,100000,1758,持分移轉,12160000
RPPNMLSKKHHGFDK48CB,新山佳段,64.84,都市：住,1,1,全筆移轉,16750005
RPPNMLSKKHHGFDK48CB,新山佳段,14.66,都市：住,8,1,持分移轉,16750003
RPTNMLSKKHHGFDK88CB,大同段,3.79,都市：商,100000,656,持分移轉,06980000
RPTNMLSKKHHGFDK88CB,大同段,5.83,都市：商,100000,656,持分移轉,06960000
RPTNMLSKKHHGFDK88CB,大同段,7.11,都市：商,100000,656,持分移轉,06970000
RPPNMLRKKHHGFBK18CB,維祥段維祥小段,95.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01670010
RPPNMLRKKHHGFBK18CB,維祥段維祥小段,13.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01670035
RPPNMLRKKHHGFBK18CB,維祥段維祥小段,2.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,17,1,持分移轉,01670046
RPVNMLSKKHHGFDK09CB,大同段,4.16,都市：商,100000,720,持分移轉,06980000
RPVNMLSKKHHGFDK09CB,大同段,6.39,都市：商,100000,720,持分移轉,06960000
RPVNMLSKKHHGFDK09CB,大同段,7.80,都市：商,100000,720,持分移轉,06970000
RPQNMLTKKHHGFBK48CB,頭屋段一小段,23.98,都市：住,10000,234,持分移轉,04590025
RPUNMLSKKHHGFDK98CB,大同段,3.78,都市：商,100000,653,持分移轉,06980000
RPUNMLSKKHHGFDK98CB,大同段,5.80,都市：商,100000,653,持分移轉,06960000
RPUNMLSKKHHGFDK98CB,大同段,7.07,都市：商,100000,653,持分移轉,06970000
RPWNMLSKKHHGFDK56CB,大同段,4.16,都市：商,100000,719,持分移轉,06980000
RPWNMLSKKHHGFDK56CB,大同段,6.39,都市：商,100000,719,持分移轉,06960000
RPWNMLSKKHHGFDK56CB,大同段,7.79,都市：商,100000,719,持分移轉,06970000
RPSNMLTKKHHGFBK68CB,頭屋段一小段,111.73,都市：住,1,1,全筆移轉,04590019
RPQNMLLLKHHGFBK77CB,維新段,10.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,54,持分移轉,00290000
RPQNMLLLKHHGFBK77CB,維新段,1.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,35,持分移轉,00290004
RPQNMLLLKHHGFBK77CB,維新段,.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,35,持分移轉,00320000
RPQNMLLLKHHGFBK77CB,維祥段維祥小段,1.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,35,持分移轉,03540000
RPQNMLLLKHHGFBK77CB,維祥段維祥小段,2.71,非都市：特定農業區 ; 非都市編定：農牧用地,10000,35,持分移轉,03650000
RPPNMLLLKHHGFBK67CB,維新段,10.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,54,持分移轉,00290000
RPPNMLLLKHHGFBK67CB,維新段,1.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,35,持分移轉,00290004
RPPNMLLLKHHGFBK67CB,維新段,.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,35,持分移轉,00320000
RPPNMLLLKHHGFBK67CB,維祥段維祥小段,1.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,35,持分移轉,03540000
RPPNMLLLKHHGFBK67CB,維祥段維祥小段,2.71,非都市：特定農業區 ; 非都市編定：農牧用地,10000,35,持分移轉,03650000
RPSNMLLLKHHGFFK38CB,正興段,25.36,都市：住,100000,1552,持分移轉,13520000
RPSNMLLLKHHGFFK38CB,正興段,.60,都市：住,100000,1552,持分移轉,13550000
RPPNMLLLKHHGFFK08CB,正興段,40.74,都市：住,100000,2493,持分移轉,13520000
RPPNMLLLKHHGFFK08CB,正興段,.97,都市：住,100000,2493,持分移轉,13550000
RPQNMLLLKHHGFFK18CB,正興段,40.74,都市：住,100000,2493,持分移轉,13520000
RPQNMLLLKHHGFFK18CB,正興段,.97,都市：住,100000,2493,持分移轉,13550000
RPXNMLLLKHHGFFK88CB,正興段,34.99,都市：住,100000,2141,持分移轉,13520000
RPTNMLLLKHHGFFK48CB,正興段,35.17,都市：住,100000,2152,持分移轉,13520000
RPXNMLLLKHHGFFK88CB,正興段,.83,都市：住,100000,2141,持分移轉,13550000
RPTNMLLLKHHGFFK48CB,正興段,.84,都市：住,100000,2152,持分移轉,13550000
RPOOMLLLKHHGFFK08CB,正興段,34.99,都市：住,100000,2141,持分移轉,13520000
RPOOMLLLKHHGFFK08CB,正興段,.83,都市：住,100000,2141,持分移轉,13550000
RPVNMLLLKHHGFFK68CB,正興段,25.49,都市：住,100000,1560,持分移轉,13520000
RPVNMLLLKHHGFFK68CB,正興段,.61,都市：住,100000,1560,持分移轉,13550000
RPPOMLLLKHHGFFK18CB,正興段,34.99,都市：住,100000,2141,持分移轉,13520000
RPPOMLLLKHHGFFK18CB,正興段,.83,都市：住,100000,2141,持分移轉,13550000
RPQOMLLLKHHGFFK28CB,正興段,34.99,都市：住,100000,2141,持分移轉,13520000
