鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
埔里鎮,土地,光榮段114地號,11.09,商,,,1110501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,235000,21190,,0.0,0,政府機關標讓售；,RPRNMLQJNHHGFCM78DA,0.0,0.0,0.0,無,
竹山鎮,土地,坪頂段611地號,519.07,,山坡地保育區,農牧用地,1110502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,2890,,0.0,0,,RPPNMLTJNHHGFDM98DA,0.0,0.0,0.0,無,
草屯鎮,土地,茄荖山段580地號,303.45,,山坡地保育區,丙種建築用地,1110503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,11864,,0.0,0,,RPQNMLKKNHHGFBM08DA,0.0,0.0,0.0,無,0001
竹山鎮,土地,桂林段616地號,645.87,都市：其他:墓地用地,,,1110504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5800000,8980,,0.0,0,包含公共設施保留地用地；,RPROMLTJNHHGFDM66DA,0.0,0.0,0.0,無,
竹山鎮,土地,南雲段939地號,19.52,,鄉村區,乙種建築用地,1110504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,18443,,0.0,0,,RPUNMLKKNHHGFDM78EA,0.0,0.0,0.0,無,
埔里鎮,土地,坪仔頂段772地號,64.88,,山坡地保育區,丙種建築用地,1110502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,6165,,0.0,0,,RPROMLMKNHHGFCM58DA,0.0,0.0,0.0,無,0002
埔里鎮,土地,坪仔頂段772地號,64.88,,山坡地保育區,丙種建築用地,1110502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,6936,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLMKNHHGFCM68DA,0.0,0.0,0.0,無,0002
埔里鎮,土地,八股段645-1地號,218.91,,特定農業區,甲種建築用地,1110509,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1880000,8588,,0.0,0,共有人優先承買親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLRKNHHGFCM66DA,0.0,0.0,0.0,無,
草屯鎮,土地,茄荖山段580地號,303.45,,山坡地保育區,丙種建築用地,1110505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3728000,12285,,0.0,0,,RPRNMLNKNHHGFBM48DA,0.0,0.0,0.0,無,0001
