編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLQJNHHGFCM78DA,光榮段,11.09,都市：其他:商業區,1,1,全筆移轉,01140000
RPPNMLTJNHHGFDM98DA,坪頂段,519.07,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06110000
RPUNMLKKNHHGFDM78EA,南雲段,19.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09390000
RPQNMLKKNHHGFBM08DA,茄荖山段,303.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,120,40,持分移轉,05800000
RPROMLTJNHHGFDM66DA,桂林段,645.87,都市：其他:墓地用地,1,1,全筆移轉,06160000
RPUNMLRKNHHGFCM66DA,八股段,181.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06450001
RPUNMLRKNHHGFCM66DA,八股段,18.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,3,1,持分移轉,06450003
RPUNMLRKNHHGFCM66DA,八股段,18.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06480000
RPRNMLNKNHHGFBM48DA,茄荖山段,303.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3,1,持分移轉,05800000
RPPOMLOJNHHGFAM28DA,半山段,8.01,都市：其他:住宅區,9216,48,持分移轉,03900000
RPPOMLOJNHHGFAM28DA,半山段,21.50,都市：其他:住宅區,9216,48,持分移轉,03900010
RPPOMLOJNHHGFAM28DA,半山段,.05,都市：其他:住宅區,9216,48,持分移轉,03900011
RPPOMLOJNHHGFAM28DA,半山段,16.49,都市：其他:住宅區,9216,48,持分移轉,03900012
RPPOMLOJNHHGFAM28DA,半山段,1.57,都市：其他:住宅區,9216,48,持分移轉,03900013
RPPOMLOJNHHGFAM28DA,半山段,1.21,都市：其他:道路用地,9216,48,持分移轉,03900014
RPPOMLOJNHHGFAM28DA,半山段,2.03,都市：其他:道路用地,9216,48,持分移轉,03900015
RPPOMLOJNHHGFAM28DA,半山段,6.01,都市：其他:住宅區,9216,48,持分移轉,03900016
RPPOMLOJNHHGFAM28DA,半山段,.03,都市：其他:人行步道用地,9216,48,持分移轉,03900017
RPPOMLOJNHHGFAM28DA,半山段,10.30,都市：其他:道路用地,9216,48,持分移轉,03900018
RPUNMLQKNHHGFCM56DA,埔里段梅子腳小段,88.00,都市：其他:停車場用地,1,1,全筆移轉,00860027
RPPNMLSKNHHGFEM56EA,環山段,670.94,都市：其他:農業區,1,1,全筆移轉,07090000
RPPNMLSKNHHGFEM56EA,環山段,2.37,都市：其他:河川區,1,1,全筆移轉,07090001
RPPNMLSKNHHGFEM56EA,環山段,106.41,都市：其他:河川區,1,1,全筆移轉,07090002
RPVNMLRKNHHGFCM76DA,水社段,99.00,都市：其他:住宅區,2,1,持分移轉,08520000
RPQNMLMKNHHGFDM48DA,延和段,230.37,都市：其他:綠地用地,8,2,持分移轉,08770000
RPQNMLMKNHHGFDM48DA,延和段,106.97,都市：其他:住宅區,8,2,持分移轉,08780000
RPQNMLTKNHHGFCM09DA,北環段,25.53,都市：其他:住宅區,200000,2864,持分移轉,01300000
RPQNMLMKNHHGFDM48DA,延和段,28.71,都市：其他:住宅區,8,2,持分移轉,08790000
RPUNMLTKNHHGFCM86DA,平靜段,4400.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,05890000
RPOOMLTJNHHGFAM68DA,名山段,158.68,都市：其他:農業區,4000,556,持分移轉,07910000
RPPNMLTKNHHGFDM09DA,圳頭段,212.69,都市：其他:道路用地,3,1,持分移轉,09390000
RPPNMLRKNHHGFDM88DA,中山段,80.00,都市：其他:商業區,1,1,全筆移轉,06580003
RPPNMLRKNHHGFDM88DA,中山段,5.00,都市：其他:商業區,1,1,全筆移轉,06590001
RPPNMLRKNHHGFDM88DA,中山段,9.00,都市：其他:商業區,1,1,全筆移轉,06600000
RPPNMLRKNHHGFDM88DA,中山段,87.00,都市：其他:商業區,1,1,全筆移轉,06700000
RPSNMLQKNHHGFDM09DA,頂城段,193.46,都市：其他:機關用地,1,1,全筆移轉,06820000
RPRNMLSKNHHGFDM56DA,埔頭段,125.00,都市：其他:住宅區,1,1,全筆移轉,02740018
RPRNMLSKNHHGFDM56DA,埔頭段,30.00,都市：其他:住宅區,1,1,全筆移轉,02740042
RPQNMLKLNHHGFDM38DA,紫南段,773.73,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,09280000
RPSNMLTKNHHGFCM66DA,墘溝段,10100.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,14310000
RPTNMLNLNHHGFCM88DA,民生段,70.28,都市：其他:住宅區,1,1,全筆移轉,02930000
RPSNMLKLNHHGFBM38DA,北投埔段,23.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,30000,2110,持分移轉,02560002
RPSNMLKLNHHGFBM38DA,北投埔段,128.67,非都市：特定農業區 ; 非都市編定：甲種建築用地,3,2,持分移轉,02560034
RPRNMLNLNHHGFCM68DA,仁愛段,173.47,都市：其他:住宅區,1,1,全筆移轉,05280000
RPOOMLNLNHHGFCM48DA,双吉段,1015.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07550001
RPPOMLNLNHHGFCM58DA,双吉段,259.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08520001
RPPNMLPLNHHGFCM68DA,南村段,1373.81,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06240000
RPPNMLKLNHHGFAM08EA,平林段,3.85,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13150000
RPPNMLSKNHHGFDM98DA,菩提段,313.67,都市：其他:住宅區,3,1,持分移轉,09830000
RPSOMLMKNHHGFCM68DA,坪仔頂段,64.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉,07720000
RPROMLMKNHHGFCM58DA,坪仔頂段,64.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉,07720000
RPPNMLPLNHHGFEM88DA,南隘寮段,83.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,06260000
RPPNMLQJNHHGFAM38DA,新廍段,62.44,都市：其他:住宅區,1,1,全筆移轉,00670002
RPPNMLNLNHHGFAM28DA,新光段,771.12,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02640000
RPSNMLNJNHHGFBM48DA,新南埔段,135.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,04880000
RPXNMLRKNHHGFBM86DA,平西段,2387.33,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,09040000
RPPNMLOKNHHGFAM28DA,包尾段,154.25,都市：其他:農業區,160,40,持分移轉,05090002
RPPNMLNKNHHGFAM18DA,東新厝段,1670.97,非都市：一般農業區 ; 非都市編定：農牧用地,40000,5145,持分移轉,08090000
RPUNMLQKNHHGFAM98DA,新光段,110.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,600,40,持分移轉,05470000
RPOOMLQKNHHGFAM48DA,新光段,385.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,7,持分移轉,05470000
RPQNMLSKNHHGFAM78DA,永新段,86.30,都市：其他:住宅區,1,1,全筆移轉,08330000
RPQNMLSKNHHGFAM78DA,永新段,19.93,都市：其他:住宅區,10000,297,持分移轉,08450000
RPRNMLQKNHHGFAM68DA,內興段,200.05,都市：其他:農業區,1,1,全筆移轉,10390020
RPRNMLQKNHHGFAM68DA,內興段,53.97,都市：其他:農業區,1,1,全筆移轉,10470016
RPOOMLSKNHHGFAM68DA,半山段,309.46,都市：其他:住宅區,38400,1734,持分移轉,03370000
RPOOMLSKNHHGFAM68DA,半山段,1.63,都市：其他:道路用地,576,20,持分移轉,03370001
RPOOMLSKNHHGFAM68DA,半山段,.68,都市：其他:人行步道用地,384,20,持分移轉,03370002
RPOOMLSKNHHGFAM68DA,半山段,.21,都市：其他:人行步道用地,288,20,持分移轉,03370003
RPOOMLSKNHHGFAM68DA,半山段,13.50,都市：其他:人行步道用地,480,20,持分移轉,03370004
RPOOMLSKNHHGFAM68DA,半山段,3.96,都市：其他:道路用地,384,20,持分移轉,03370005
RPOOMLSKNHHGFAM68DA,半山段,.47,都市：其他:道路用地,384,20,持分移轉,03370006
RPOOMLSKNHHGFAM68DA,半山段,.62,都市：其他:人行步道用地,384,20,持分移轉,03370007
RPQNMLPLNHHGFEM09EA,潭南段,5075.00,非都市：森林區 ; 非都市編定：林業用地,4,1,持分移轉,01190000
RPWNMLRKNHHGFDM96DA,文昌段,1.11,非都市：一般農業區 ; 非都市編定：丙種建築用地,36,1,持分移轉,02930000
RPWNMLRKNHHGFDM96DA,文昌段,5.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,36,1,持分移轉,02940000
RPWNMLRKNHHGFDM96DA,文昌段,118.28,非都市：一般農業區 ; 非都市編定：丙種建築用地,36,1,持分移轉,02970000
RPUNMLPLNHHGFAM09EA,北松嶺段,7.51,都市：其他:住宅區,1,1,全筆移轉,13360003
RPPNMLQLNHHGFCM78DA,埔里段梅子腳小段,151.33,都市：其他:鄰里公園兼兒童遊樂場用地,3,1,持分移轉,01160002
RPRNMLRLNHHGFCM09DA,坪仔頂段,64.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉,07720000
RPSNMLRLNHHGFCM56DA,紅瓦厝段,144.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03950000
RPSNMLRLNHHGFCM56DA,紅瓦厝段,6.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,6,1,持分移轉,03970000
RPPNMLKMNHHGFCM28DA,新福興段,2134.01,非都市：特定專用區 ; 非都市編定：遊憩用地,1,1,全筆移轉,00110000
RPQNMLKMNHHGFCM38DA,水源段,11.65,都市：其他:農業區,21780,900,持分移轉,01210000
RPQNMLKMNHHGFCM38DA,水源段,116.25,都市：其他:農業區,1,1,全筆移轉,01280000
RPRNMLOLNHHGFCM78DA,小埔社段,2290.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01910472
RPRNMLOLNHHGFCM78DA,小埔社段,3864.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01910474
RPRNMLOLNHHGFCM78DA,小埔社段,933.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01910490
RPRNMLOLNHHGFCM78DA,小埔社段,1179.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01910576
RPRNMLOLNHHGFCM78DA,小埔社段,569.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01911547
RPPNMLOJNHHGFBM28DA,新御史段,22.75,都市：其他:住宅區,10000,264,持分移轉,07980000
RPOOMLQLNHHGFCM78DA,埔里段中華小段,91.35,都市：其他:住宅區,1,1,全筆移轉,00910000
RPSNMLMKNHHGFAM38DA,永興段,69.80,都市：其他:農業區,15720,838,持分移轉,00180000
RPSNMLMKNHHGFAM38DA,永興段,86.31,都市：其他:農業區,1,1,全筆移轉,00340000
RPSNMLMKNHHGFAM38DA,永興段,9.38,都市：其他:農業區,15720,838,持分移轉,01060000
RPSNMLMKNHHGFAM38DA,永興段,1.04,都市：其他:道路用地,15720,838,持分移轉,01070000
RPRNMLOLNHHGFDM88DA,大統段,144.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04410000
RPWNMLPLNHHGFDM86DA,內樹皮段,1576.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00070000
RPWNMLPLNHHGFDM86DA,內樹皮段,1470.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00070003
RPWNMLPLNHHGFDM86DA,內樹皮段,490.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00080000
RPWNMLPLNHHGFDM86DA,內樹皮段,255.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00080005
RPRNMLPLNHHGFDM98DA,延祥段,78.27,都市：其他:住宅區,1,1,全筆移轉,01930000
RPPNMLOLNHHGFDM68DA,新初鄉段,20.58,非都市：一般農業區 ; 非都市編定：丙種建築用地,8400,415,持分移轉,06930000
RPUNMLPLNHHGFDM66DA,大丘園段,1472.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02550004
RPQNMLOLNHHGFDM78DA,菩提段,57.00,都市：其他:住宅區,1,1,全筆移轉,12270000
RPQOMLOLNHHGFAM58DA,分水寮段,20054.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,04950037
RPRNMLKLNHHGFAM18DA,永新段,28.31,都市：其他:住宅區,20,1,持分移轉,04560000
RPTOMLOLNHHGFAM88DA,牛運堀段,106.00,都市：其他:住宅區,1,1,全筆移轉,01670023
RPSOMLOLNHHGFAM78DA,永新段,83.61,都市：其他:住宅區,1,1,全筆移轉,04200000
RPQNMLRLNHHGFDM09DA,新勞水坑段,1695.44,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09460000
RPXNMLOLNHHGFBM66DA,土城段,91.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00740002
RPRNMLLMNHHGFCM58DA,水頭段,68.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,30,1,持分移轉,10110004
RPRNMLLMNHHGFCM58DA,水頭段,13.23,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,30,1,持分移轉,10110016
RPPNMLRLNHHGFDM98DA,竹圍子段硘磘小段,153.00,都市：其他:住宅區,1,1,全筆移轉,02660000
RPTNMLKMNHHGFCM68DA,忠實段,32.91,都市：其他:住宅區,100000,1264,持分移轉,06730000
RPQOMLLKNHHGFDM58EA,興產段,142.58,都市：其他:農業區,36,3,持分移轉,00250000
RPPNMLQLNHHGFDM98EA,溫水段,198.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,07710000
RPPNMLQLNHHGFBM78EA,新御史段,306.71,都市：其他:學校用地,324,6,持分移轉,10880011
RPTNMLQLNHHGFAM09EA,北松嶺段,184.97,都市：其他:住宅區,1,1,全筆移轉,13410000
RPQNMLPLNHHGFBM78EA,新興段,297.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06400021
RPQNMLPLNHHGFBM78EA,新興段,38.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,288,18,持分移轉,06400038
RPUNMLQLNHHGFAM56EA,北松嶺段,217.14,都市：其他:住宅區,1,1,全筆移轉,13420000
RPTNMLRLNHHGFAM56EA,八杞仙段,2399.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03110005
RPQNMLLMNHHGFCM48DA,北山坑段,694.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03490003
RPVNMLRLNHHGFAM76EA,牛運堀段,89.00,都市：其他:住宅區,1,1,全筆移轉,04470046
RPQNMLKMNHHGFAM28EA,千秋段,1439.06,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03540000
RPQNMLKMNHHGFAM28EA,千秋段,610.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03550000
RPQNMLKMNHHGFAM28EA,千秋段,604.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03560000
RPQNMLKMNHHGFAM28EA,千秋段,390.78,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03570000
RPQNMLKMNHHGFAM28EA,千秋段,392.01,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03580000
RPPOMLQLNHHGFCM88DA,忠言段,3.34,都市：其他:道路用地,1,1,全筆移轉,01300000
RPPOMLQLNHHGFCM88DA,忠言段,56.54,都市：其他:住宅區,1,1,全筆移轉,01650000
RPPNMLLJOHHGFCM18DA,埔里段信義小段,16.99,都市：其他:住宅區,100000,900,持分移轉,04560000
RPQNMLSKNHHGFEM56DA,和平段,17.49,都市：其他:住宅區,13,1,持分移轉,02450000
RPRNMLMJOHHGFCM48DA,水尾段,19.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04260003
RPQNMLSKNHHGFEM56DA,和平段,111.32,都市：其他:住宅區,1,1,全筆移轉,02450014
RPQNMLLJOHHGFCM28DA,忠實段,29.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,137,持分移轉,01050000
RPPNMLLMNHHGFDM58EA,溫水段,75.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03350000
RPUNMLKMNHHGFAM68EA,新光段,434.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,2,持分移轉,10210000
RPSNMLLKNHHGFCM48DA,大瑪璘段,7.56,非都市：鄉村區 ; 非都市編定：交通用地,5,1,持分移轉,06850000
RPSNMLLKNHHGFCM48DA,大瑪璘段,2.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,06860000
RPSNMLLKNHHGFCM48DA,大瑪璘段,1.26,非都市：鄉村區 ; 非都市編定：交通用地,5,1,持分移轉,06880000
RPSNMLLKNHHGFCM48DA,大瑪璘段,15.71,非都市：鄉村區 ; 非都市編定：交通用地,5,1,持分移轉,06890000
RPSNMLLKNHHGFCM48DA,大瑪璘段,19.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,07010000
