編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLTKKHHGFAO56CB,東光段,7.50,都市：商,10000,115,持分移轉,01170000
RPUNMLTKKHHGFAO56CB,東光段,7.31,都市：商,10000,115,持分移轉,01180000
RPXWMLSKKHHGFAO67CB,武陵段,16.12,都市：住,100000,1337,持分移轉,03070002
RPXWMLSKKHHGFAO67CB,武陵段,1.55,都市：住,100000,1337,持分移轉,03070003
RPXWMLSKKHHGFAO67CB,武陵段,8.89,都市：住,100000,1337,持分移轉,03090003
RPXWMLSKKHHGFAO67CB,武陵段,3.46,都市：住,100000,1337,持分移轉,03090005
RPUWMLSKKHHGFAO37CB,武陵段,15.03,都市：住,100000,1246,持分移轉,03070002
RPXWMLSKKHHGFAO67CB,武陵段,3.82,都市：住,100000,1337,持分移轉,03090007
RPVWMLSKKHHGFAO47CB,武陵段,16.12,都市：住,100000,1337,持分移轉,03070002
RPVWMLSKKHHGFAO47CB,武陵段,1.55,都市：住,100000,1337,持分移轉,03070003
RPVWMLSKKHHGFAO47CB,武陵段,8.89,都市：住,100000,1337,持分移轉,03090003
RPVWMLSKKHHGFAO47CB,武陵段,3.46,都市：住,100000,1337,持分移轉,03090005
RPVWMLSKKHHGFAO47CB,武陵段,3.82,都市：住,100000,1337,持分移轉,03090007
RPUWMLSKKHHGFAO37CB,武陵段,1.45,都市：住,100000,1246,持分移轉,03070003
RPUWMLSKKHHGFAO37CB,武陵段,8.29,都市：住,100000,1246,持分移轉,03090003
RPUWMLSKKHHGFAO37CB,武陵段,3.23,都市：住,100000,1246,持分移轉,03090005
RPUWMLSKKHHGFAO37CB,武陵段,3.56,都市：住,100000,1246,持分移轉,03090007
RPVNMLKLKHHGFAO48CB,中寮段,65.56,都市：住,1,1,全筆移轉,03490011
RPWNMLTKKHHGFAO76CB,東光段,7.50,都市：商,10000,115,持分移轉,01170000
RPVNMLKLKHHGFAO48CB,中寮段,16.78,都市：住,12,1,持分移轉,03490031
RPWNMLTKKHHGFAO76CB,東光段,7.31,都市：商,10000,115,持分移轉,01180000
RPVNMLKLKHHGFAO48CB,中寮段,.26,都市：住,23,1,持分移轉,03490032
RPXNMLTKKHHGFAO86CB,東光段,8.35,都市：商,10000,128,持分移轉,01170000
RPXNMLTKKHHGFAO86CB,東光段,8.14,都市：商,10000,128,持分移轉,01180000
RPSNMLKLKHHGFAO18CB,中寮段,73.44,都市：住,1,1,全筆移轉,03490013
RPOOMLTKKHHGFAO68CB,東光段,7.89,都市：商,10000,121,持分移轉,01170000
RPSNMLKLKHHGFAO18CB,中寮段,16.78,都市：住,12,1,持分移轉,03490031
RPOOMLTKKHHGFAO68CB,東光段,7.70,都市：商,10000,121,持分移轉,01180000
RPSNMLKLKHHGFAO18CB,中寮段,.26,都市：住,23,1,持分移轉,03490032
RPWNMLKLKHHGFAO58CB,中寮段,62.17,都市：住,1,1,全筆移轉,03490010
RPWNMLKLKHHGFAO58CB,中寮段,16.78,都市：住,12,1,持分移轉,03490031
RPWNMLKLKHHGFAO58CB,中寮段,.26,都市：住,23,1,持分移轉,03490032
RPROMLKLKHHGFAO18CB,中寮段,85.42,都市：住,1,1,全筆移轉,03680005
RPPNMLOLKHHGFAO28CB,東光段,8.22,都市：商,10000,126,持分移轉,01170000
RPPNMLOLKHHGFAO28CB,東光段,8.01,都市：商,10000,126,持分移轉,01180000
RPQNMLLLKHHGFAO08CB,中寮段,71.64,都市：住,1,1,全筆移轉,03490019
RPQNMLOLKHHGFAO38CB,東光段,8.02,都市：商,10000,123,持分移轉,01170000
RPQNMLOLKHHGFAO38CB,東光段,7.82,都市：商,10000,123,持分移轉,01180000
RPRNMLMLKHHGFAO28CB,力行段,252.78,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01150048
RPVNMLLLKHHGFAO58CB,士林段,13.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,61,1,持分移轉,00400000
RPVNMLLLKHHGFAO58CB,士林段,59.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00400002
RPRNMLMLKHHGFAO28CB,力行段,31.20,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,10000,125,持分移轉,01150050
RPQNMLMLKHHGFAO18CB,力行段,248.43,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01150047
RPQNMLMLKHHGFAO18CB,力行段,31.20,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,10000,125,持分移轉,01150050
RPPNMLNLKHHGFAO18CB,福林段,36.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3478,持分移轉,07660001
RPPNMLPLKHHGFAO38CB,香村段,144.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02610112
RPPNMLPLKHHGFAO38CB,香村段,25.87,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,16,1,持分移轉,02610043
RPPNMLPLKHHGFAO38CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPPNMLPLKHHGFAO38CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPPNMLPLKHHGFAO38CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPPNMLPLKHHGFAO38CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPPNMLLJLHHGFAO87CB,武陵段,18.66,都市：住,100000,1547,持分移轉,03070002
RPPNMLLJLHHGFAO87CB,武陵段,1.79,都市：住,100000,1547,持分移轉,03070003
RPPNMLLJLHHGFAO87CB,武陵段,10.29,都市：住,100000,1547,持分移轉,03090003
RPPNMLLJLHHGFAO87CB,武陵段,4.01,都市：住,100000,1547,持分移轉,03090005
RPPNMLLJLHHGFAO87CB,武陵段,4.42,都市：住,100000,1547,持分移轉,03090007
RPSNMLPJLHHGFAO58CB,北門段,3.65,都市：商,100000,1809,持分移轉,17660000
RPSNMLPJLHHGFAO58CB,北門段,3.89,都市：商,100000,1809,持分移轉,17670000
RPSNMLPJLHHGFAO58CB,北門段,4.09,都市：商,100000,1809,持分移轉,17680000
RPQNMLNJLHHGFAO18CB,北門段,2.53,都市：商,100000,1254,持分移轉,17660000
RPQNMLNJLHHGFAO18CB,北門段,2.70,都市：商,100000,1254,持分移轉,17670000
RPQNMLNJLHHGFAO18CB,北門段,2.83,都市：商,100000,1254,持分移轉,17680000
RPVOMLLJLHHGFAO68DB,民富段,79.00,都市：住,1,1,全筆移轉,05580095
RPVOMLLJLHHGFAO68DB,民富段,4.00,都市：住,1,1,全筆移轉,05840002
RPPPMLLJLHHGFAO18DB,民富段,74.00,都市：住,1,1,全筆移轉,05580093
RPWNMLPJLHHGFAO98CB,北門段,3.65,都市：商,100000,1809,持分移轉,17660000
RPWNMLPJLHHGFAO98CB,北門段,3.89,都市：商,100000,1809,持分移轉,17670000
RPWNMLPJLHHGFAO98CB,北門段,4.09,都市：商,100000,1809,持分移轉,17680000
RPTNMLPJLHHGFAO68CB,北門段,3.65,都市：商,100000,1809,持分移轉,17660000
RPTNMLPJLHHGFAO68CB,北門段,3.89,都市：商,100000,1809,持分移轉,17670000
RPTNMLPJLHHGFAO68CB,北門段,4.09,都市：商,100000,1809,持分移轉,17680000
RPUNMLPJLHHGFAO78CB,北門段,2.53,都市：商,100000,1254,持分移轉,17660000
