編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLKLNHHGFAP88EA,坡道機械,0,,地下一樓
RPOPMLOLNHHGFAP78DA,坡道平面,0,,地下一樓
RPPNMLKMNHHGFAP38DA,一樓平面,0,13.07,一樓
RPWNMLRLNHHGFAP07DA,一樓平面,0,,一樓
RPWNMLKMNHHGFAP09DA,坡道平面,600000,23.81,地下一樓
RPWOMLMJOHHGFAP66EA,坡道機械,300000,9.60,地下二樓
RPWOMLMJOHHGFAP66EA,坡道機械,300000,9.60,地下二樓
RPPNMLPJOHHGFAP68DA,坡道平面,0,,地下一樓
RPPNMLPJOHHGFAP68DA,坡道平面,0,,地下一樓
RPVNMLMLMHHGFAP09EA,坡道機械,0,,地下一樓
RPPNMLLKMHHGFDP48DA,坡道平面,0,7.50,一樓
RPOPMLTKMHHGFAP56EA,升降機械,0,,地下一樓
RPOOMLPLMHHGFAP68DA,坡道機械,0,,地下一樓
RPWNMLNJNHHGFAP56EA,一樓平面,0,,一樓
RPXNMLOJNHHGFAP76EA,一樓平面,0,,一樓
RPRNMLMJNHHGFBP58DA,升降機械,0,,地下二樓
RPVNMLQKNHHGFAP86EA,一樓平面,0,,一樓
RPRNMLTKNHHGFAP66DA,一樓平面,0,,一樓
RPROMLQKNHHGFAP09DA,一樓平面,0,,一樓
RPPNMLRLNHHGFBP09DA,坡道機械,0,,地下一樓
RPSNMLRLNHHGFAP66DA,坡道機械,0,,地下一樓
RPXNMLRLNHHGFAP17DA,坡道平面,0,,地下一樓
RPQNMLQLNHHGFAP98DA,坡道平面,0,,地下一樓
RPVOMLKMNHHGFAP09DA,一樓平面,0,19.15,一樓
RPPNMLLMNHHGFAP48DA,坡道平面,0,,地下一樓
RPRNMLLKLHHGFDP58DA,升降機械,0,,地下一樓
RPXOMLQKLHHGFAP86DA,坡道平面,600000,23.81,地下一樓
RPQNMLLLLHHGFAP28DA,一樓平面,0,,一樓
RPUNMLTLLHHGFAP96EA,坡道平面,0,,地下二樓
RPSNMLPLLHHGFDP56DA,升降機械,250000,6.46,地下二樓
RPPNMLSLLHHGFDP56DA,坡道平面,0,,地下一樓
RPXNMLTLLHHGFEP57DA,坡道平面,0,,無固定樓層
RPSNMLRJMHHGFAP09EA,坡道機械,0,,地下一樓
RPWOMLOLLHHGFAP66DA,坡道平面,0,,地下一樓
RPTNMLMKMHHGFDP98DA,坡道機械,0,,地下二樓
RPTNMLLKLHHGFDP78DA,升降機械,0,,地下一樓
RPQPMLLKLHHGFAP38DA,坡道平面,0,,地下一樓
RPQNMLQLMHHGFAP88DA,坡道平面,0,,地下一樓
RPWOMLSKMHHGFAP17EA,坡道機械,300000,9.60,地下一樓
RPWOMLSKMHHGFAP17EA,坡道機械,250000,9.60,地下二樓
RPTPMLKMLHHGFAP78DA,坡道平面,0,,地下一樓
RPPNMLMLMHHGFDP68DA,坡道平面,0,14.34,地下一樓
RPPNMLMLMHHGFDP68DA,坡道平面,0,14.34,地下一樓
RPRNMLTJLHHGFAP09EA,一樓平面,0,,一樓
RPTNMLRJLHHGFEP76DA,坡道平面,0,,地下一樓
RPQOMLRKLHHGFAP98EA,坡道平面,0,,地下一樓
RPPNMLOKLHHGFAP38DA,升降機械,0,,地下一樓
RPXNMLPKLHHGFAP66DA,坡道機械,0,,地下一樓
RPTNMLMLLHHGFAP78EA,一樓平面,0,13.07,一樓
RPPOMLTJLHHGFAP88DA,坡道機械,0,,地下二樓
RPRNMLQJMHHGFAP78DA,坡道平面,0,,地下一樓
RPRNMLQJMHHGFAP78DA,坡道平面,0,,地下一樓
RPSOMLPLMHHGFAP09DA,升降機械,0,,地下一樓
RPUNMLSKLHHGFAP66DA,坡道平面,0,30.74,地下一樓
RPSOMLRKLHHGFEP86DA,一樓平面,0,,一樓
RPRNMLSLLHHGFAP09DA,坡道平面,0,,地下一樓
RPPNMLMLMHHGFEP78DA,坡道平面,0,,地下一樓
RPPNMLMLMHHGFEP78DA,坡道平面,0,,地下一樓
RPPNMLMLMHHGFEP78DA,坡道平面,0,,地下一樓
RPPNMLMLMHHGFEP78DA,坡道平面,0,,地下一樓
RPSPMLLJLHHGFAP48DA,坡道平面,600000,23.81,地下一樓
RPOOMLMKMHHGFAP28DA,一樓平面,0,,一樓
RPQNMLRLMHHGFAP98DA,一樓平面,0,,一樓
RPTPMLLJLHHGFAP58DA,坡道平面,600000,23.81,地下一樓
RPXOMLPLLHHGFAP86DA,坡道平面,700000,27.32,地下一樓
RPOOMLSKMHHGFAP88DA,坡道平面,900000,32.35,地下一樓
RPTNMLSKMHHGFAP66DA,坡道平面,900000,32.35,地下一樓
RPQOMLSKMHHGFAP09DA,坡道平面,900000,32.35,地下一樓
RPSOMLSKMHHGFAP66DA,坡道平面,900000,32.35,地下一樓
RPTOMLNKNHHGFAP98DA,坡道平面,900000,32.35,地下一樓
RPTNMLMKNHHGFAP78DA,坡道平面,900000,27.32,地下一樓
RPRNMLMKNHHGFAP58DA,坡道平面,900000,32.35,地下一樓
RPRNMLQKNHHGFAP98DA,坡道平面,900000,32.35,地下一樓
RPQNMLQKNHHGFAP88DA,坡道平面,900000,32.35,地下一樓
RPPNMLMLNHHGFDP78DA,一樓平面,900000,19.86,一樓
RPTNMLQKNHHGFAP56DA,坡道平面,900000,32.35,地下一樓
RPSNMLKLNHHGFAP58DA,坡道平面,900000,32.35,地下一樓
RPPOMLKLNHHGFAP38DA,坡道平面,900000,32.35,地下一樓
RPQNMLMJOHHGFAP48DA,坡道平面,900000,32.35,地下一樓
RPWOMLKLNHHGFAP09DA,坡道平面,900000,32.35,地下一樓
RPPNMLNLNHHGFAP58DA,坡道平面,800000,32.35,地下一樓
RPTNMLMJOHHGFAP78DA,坡道平面,900000,32.35,地下一樓
RPQOMLMJLHHGFAP28DA,坡道平面,600000,23.81,地下一樓
RPPPMLLJLHHGFAP18DA,坡道平面,600000,23.81,地下一樓
RPQNMLOJOHHGFDP98DA,一樓平面,1000000,19.86,一樓
RPSNMLOJOHHGFDP56DA,一樓平面,1000000,19.86,一樓
RPSNMLSKMHHGFDP86DA,坡道平面,750000,29.09,地下一樓
RPUNMLSKMHHGFDP07DA,坡道平面,850000,29.09,地下一樓
RPSNMLPKLHHGFDP09DA,坡道平面,750000,29.09,地下一樓
RPPNMLPLNHHGFDP09DA,坡道平面,800000,29.09,地下一樓
RPRNMLPLNHHGFDP66DA,坡道平面,850000,29.09,地下一樓
RPWQMLPKMHHGFAP96DA,坡道平面,950000,30.52,地下一樓
RPORMLPKMHHGFAP88DA,坡道機械,550000,16.04,地下二樓
RPQOMLOKMHHGFAP68DA,坡道機械,550000,16.04,地下二樓
RPROMLSKMHHGFAP56DA,坡道機械,550000,16.04,地下二樓
RPUPMLLJLHHGFAP68DA,坡道平面,600000,23.81,地下一樓
RPROMLOKMHHGFAP78DA,坡道機械,450000,16.04,地下二樓
RPQOMLPKLHHGFDP98DA,坡道平面,850000,29.09,地下一樓
RPVNMLQLMHHGFAP86EA,一樓平面,0,47.95,一樓
RPWNMLQLMHHGFAP96EA,一樓平面,0,,一樓
RPXNMLQLMHHGFAP07EA,一樓平面,0,47.95,一樓
SPXNMLQLMHHGFAP17EA,一樓平面,0,47.95,一樓
RPSNMLPLNHHGFDP76DA,坡道平面,800000,29.09,地下一樓
RPSNMLSKLHHGFDP76DA,坡道平面,750000,29.09,地下一樓
RPSOMLOKMHHGFAP88DA,坡道機械,550000,16.04,地下二樓
RPUNMLSKLHHGFDP96DA,坡道平面,750000,29.09,地下一樓
RPXNMLSKMHHGFAP07DA,坡道機械,550000,16.04,地下二樓
RPUNMLSKMHHGFAP76DA,坡道平面,850000,30.52,地下一樓
RPSPMLNJNHHGFDP56DA,坡道平面,850000,29.09,地下一樓
RPSPMLNJNHHGFDP56DA,坡道平面,800000,29.09,地下一樓
RPROMLLJLHHGFAP28DA,坡道平面,600000,23.81,地下一樓
RPWOMLLJLHHGFAP78DA,坡道平面,600000,23.81,地下一樓
RPXOMLLJLHHGFAP88DA,坡道平面,600000,23.81,地下一樓
RPWPMLLJLHHGFAP88DA,坡道平面,600000,23.81,地下一樓
RPTOMLLJLHHGFAP48DA,坡道平面,600000,23.81,地下一樓
RPPOMLSKMHHGFAP98DA,坡道機械,450000,16.04,地下二樓
RPUOMLOKMHHGFAP09DA,坡道平面,750000,28.52,地下二樓
RPWOMLOKMHHGFAP66DA,坡道平面,780000,30.52,地下二樓
RPQPMLOKMHHGFAP78DA,坡道平面,750000,28.52,地下二樓
RPSPMLOKMHHGFAP98DA,坡道機械,550000,16.04,地下二樓
RPRQMLOKMHHGFAP98DA,坡道機械,450000,16.04,地下二樓
RPRNMLOJOHHGFDP09DA,一樓平面,1000000,19.86,一樓
RPVOMLOKMHHGFAP56DA,坡道機械,450000,16.04,地下二樓
RPXOMLOKMHHGFAP76DA,坡道機械,450000,16.04,地下二樓
RPRPMLSKMHHGFAP76EA,坡道機械,550000,16.04,地下二樓
RPSNMLPKMHHGFAP88DA,坡道機械,350000,16.04,地下二樓
RPPPMLOKMHHGFAP68DA,坡道平面,880000,30.52,地下一樓
RPRPMLOKMHHGFAP88DA,坡道機械,350000,16.04,地下二樓
RPTQMLOKMHHGFAP56DA,坡道平面,850000,30.52,地下一樓
RPTNMLPKMHHGFAP98DA,坡道機械,450000,16.04,地下二樓
RPTOMLPKMHHGFAP09DA,坡道平面,850000,30.52,地下一樓
RPUOMLPKMHHGFAP56DA,坡道平面,850000,28.52,地下一樓
RPRNMLSKMHHGFDP76DA,坡道平面,800000,29.09,地下一樓
RPTOMLOKMHHGFAP98DA,坡道機械,450000,16.04,地下二樓
RPTPMLOKMHHGFAP09DA,坡道機械,550000,16.04,地下二樓
RPPQMLOKMHHGFAP78DA,坡道機械,350000,16.04,地下二樓
