編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLSJOHHGFET47EA,阿可里央段,9999.96,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,03720000
RPUNMLTJNHHGFBT47EA,舊寮段,179.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05550000
RPVOMLNJNHHGFAT86DA,水源段二小段,106.00,都市：其他:住宅區,1,1,全筆移轉,08160000
RPWNMLSJOHHGFAT47DA,崑崙段,4.19,非都市：一般農業區 ; 非都市編定：甲種建築用地,1000,24,持分移轉,01890000
RPWNMLSJOHHGFAT47DA,崑崙段,63.25,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02040000
RPSNMLKKNHHGFCT09DA,龍門段,784.99,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10300000
RPQNMLMKNHHGFFT86EA,賴家段,1365.69,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06710000
RPRNMLMKNHHGFFT96EA,賴家段,1845.12,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06720000
RPSOMLPJNHHGFAT76DA,新歸來段,22.39,非都市：一般農業區 ; 非都市編定：甲種建築用地,15,3,持分移轉,12630000
RPRNMLNKNHHGFBT66EA,大山段,2226.15,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01930000
RPPNMLRJNHHGFAT56DA,公園段一小段,7.00,都市：其他:商業區,1,1,全筆移轉,00470002
RPPNMLRJNHHGFAT56DA,公園段一小段,26.00,都市：其他:商業區,2,1,持分移轉,00480002
RPPOMLQKNHHGFAT66DA,灰磘段,3.43,都市：其他:商業區,10000,52,持分移轉,03440000
RPSOMLQKNHHGFAT96DA,新社皮段,74.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06030000
RPWOMLQKNHHGFAT37DA,大埔段一小段,37.00,都市：其他:住宅區,1,1,全筆移轉,03940001
RPSNMLQKNHHGFCT07DA,美和段,8.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,45,持分移轉,08870000
RPWNMLQKNHHGFCT47DA,崙新段,168.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01070000
RPROMLNKNHHGFAT56DA,香社段,3827.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08170000
RPTOMLNKNHHGFAT76DA,萬生段,81.00,都市：其他:住宅區,1,1,全筆移轉,07110000
RPPNMLMKNHHGFAT78DA,明正段,24.12,都市：其他:住宅區,10000,99,持分移轉,19430000
RPQNMLRKNHHGFBT96EA,維新段,4.83,,1,1,全筆移轉,01390010
RPPNMLLKNHHGFBT78DA,源興段,963.72,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11220000
RPSNMLNKNHHGFBT66DA,新德段,814.24,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07870000
RPSNMLNKNHHGFBT66DA,新德段,63.27,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07880000
RPRNMLSKNHHGFFT57EA,海鷗段,75.27,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06710001
RPRNMLNKNHHGFET86DA,猪朥束段,1340.00,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,03710000
RPQPMLQKNHHGFAT96EA,花園段,1.43,都市：住,1,1,全筆移轉,09000002
RPTOMLMKNHHGFAT76EA,社上段,171.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09220000
RPSNMLTKNHHGFAT27EA,金城段,51.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,01970000
RPSNMLTKNHHGFAT27EA,金城段,24.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,01980000
RPTNMLTJNHHGFBT27DA,洛陽段,577.63,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10150000
RPPNMLNJNHHGFBT88DA,興中段,3181.00,都市：其他:農業區,1,1,全筆移轉,11030000
RPQNMLMJNHHGFBT88DA,永春段,71.00,都市：其他:住宅區,1,1,全筆移轉,04340000
