編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLOKKHHGFAU09CC,34,225.74,住商用,鋼筋混凝土造,77年4月25日,三層,,
RPPOMLPKKHHGFAU09CC,4,46.11,集合住宅,鋼筋混凝土造,107年4月27日,十二層,,
RPUNMLOKKHHGFAU76CC,32,21.90,住商用,鋼筋混凝土造,79年2月8日,四層,,
RPPOMLPKKHHGFAU09CC,4,10.51,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,,
RPPOMLPKKHHGFAU09CC,4,14.26,共有部份,鋼筋混凝土造,107年4月27日,十二層,,
RPWPMLOLKHHGFAU47EC,47,111.84,住商用,鋼筋混凝土加強磚造,61年10月23日,二層,,
RPWPMLOLKHHGFAU47EC,49,66.62,住商用,鋼筋混凝土造,59年9月24日,三層,,
RPWNMLNLKHHGFAU96CC,2,56.89,集合住宅,鋼筋混凝土造,109年1月2日,八層,,
RPWNMLNLKHHGFAU96CC,2,23.28,本共有部份之項目有防空避難室、停車場、汽車昇降機、昇降機房、電梯、安全梯、梯廳、台電受電室、電信機房、消防機房、機房走道、騎樓、門廊、屋頂突出物等１４項,鋼筋混凝土造,109年1月2日,八層,,
RPWNMLLLKHHGFAU76CC,37,18.71,住家用,鋼筋混凝土加強磚造,74年3月21日,二層,,
RPWNMLSKKHHGFAU37CC,23,41.06,住家用,鋼筋混凝土造,88年2月11日,五層,,
RPWNMLSKKHHGFAU37CC,23,10.97,共有部份,鋼筋混凝土造,88年2月11日,五層,,
RPRNMLMLKHHGFAU98CC,22,14.09,停車空間,鋼筋混凝土造,89年8月7日,十五層,,
RPSOMLSKKHHGFAU07CC,43,92.40,住家用,鋼筋混凝土加強磚造,68年1月24日,二層,,
RPSPMLLLKHHGFAU56CC,42,276.53,商業用,鋼筋混凝土造,69年5月5日,四層,,
RPPNMLPLKHHGFAU09CC,27,64.08,住家用,鋼筋混凝土造,83年8月31日,七層,,
RPPNMLPLKHHGFAU09CC,27,29.92,共有部份,鋼筋混凝土造,83年8月31日,七層,,
RPXNMLLLKHHGFAU86CC,,49.60,住家用,鋼筋混凝土加強磚造,,二層,,
RPWOMLLLKHHGFAU86CC,35,19.85,住家用,鋼筋混凝土造,75年9月30日,二層,,
RPOOMLLJLHHGFAU58CC,37,252.85,住商用,鋼筋混凝土造,73年9月19日,五層,,
RPSPMLPLKHHGFAU96CC,5,69.27,住家用,鋼筋混凝土造,106年7月31日,五層,,
RPQPMLPLKHHGFAU76CC,4,76.31,住家用,鋼筋混凝土造,106年11月24日,五層,,
RPTQMLMJLHHGFAU76CC,22,14.09,停車空間,鋼筋混凝土造,89年8月7日,十五層,,
RPWPMLLJLHHGFAU86CC,14,201.63,住家用,鋼筋混凝土造,96年10月3日,三層,,
RPQNMLSJLHHGFAU76CC,33,91.20,住家用,鋼筋混凝土造,77年11月25日,五層,,
RPQNMLSJLHHGFAU76CC,33,6.14,共有部份,鋼筋混凝土造,77年11月25日,五層,,
RPORMLMJLHHGFAU98CC,19,126.12,住家用,鋼筋混凝土造,91年12月2日,十四層,,
RPVOMLLJLHHGFAU66CC,35,34.38,住家用,鋼筋混凝土造,76年2月23日,五層,,
RPORMLMJLHHGFAU98CC,19,73.42,共有部份,鋼筋混凝土造,91年12月2日,十四層,,
RPVNMLTJLHHGFAU37CC,27,48.89,住家用,鋼筋混凝土造,84年5月18日,五層,,
RPVNMLTJLHHGFAU37CC,27,13.32,共有部份,鋼筋混凝土造,84年5月18日,五層,,
RPSOMLKKLHHGFAU98CC,23,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,,
RPSOMLKKLHHGFAU98CC,23,11.61,共有部份,鋼筋混凝土造,88年4月14日,五層,,
RPSOMLKKLHHGFAU98CC,23,7.56,共有部份,鋼筋混凝土造,88年4月14日,五層,,
RPROMLSJLHHGFAU07DC,44,108.88,住商用,鋼筋混凝土加強磚造,67年8月7日,二層,,
RPWNMLQKLHHGFAU37DC,25,245.15,住商用,鋼筋混凝土造,86年2月22日,四層,,
RPSPMLRKKHHGFAU17DC,56,234.90,住商用,鋼筋混凝土加強磚造,55年6月13日,三層,,
RPSNMLOKLHHGFAU66CC,34,97.36,住家用,鋼筋混凝土造,77年7月20日,二層,,
RPSNMLOKLHHGFAU66CC,34,96.52,住家用,鋼筋混凝土造,77年7月20日,二層,,
RPSNMLOKLHHGFAU66CC,34,97.73,住家用,鋼筋混凝土造,77年7月20日,二層,,
RPVPMLRKLHHGFAU47CC,28,93.79,住家用,鋼筋混凝土造,82年11月16日,七層,,
RPWPMLRKLHHGFAU57CC,43,30.75,住商用,鋼筋混凝土造,67年11月3日,三層,,
RPVPMLRKLHHGFAU47CC,28,15.18,共有部份,鋼筋混凝土造,82年11月16日,七層,,
RPVPMLRKLHHGFAU47CC,28,38.28,共有部份,鋼筋混凝土造,82年11月16日,七層,,
RPPQMLRKLHHGFAU96CC,28,44.16,住家用,鋼筋混凝土造,82年12月14日,五層,,
RPOPMLLKLHHGFAU78CC,35,31.00,住家用,鋼筋混凝土造,76年2月23日,五層,,
RPPQMLRKLHHGFAU96CC,28,9.00,共有部份,鋼筋混凝土造,82年12月14日,五層,,
RPPOMLOLLHHGFAU56CC,16,189.67,住家用,鋼筋混凝土造,95年6月23日,四層,,
RPUNMLOKLHHGFAU86CC,44,241.68,住商用,鋼筋混凝土造,66年11月16日,三層,,
RPWOMLRKLHHGFAU47CC,44,105.72,住商用,鋼筋混凝土造,67年5月18日,二層,,
RPUOMLOKLHHGFAU96CC,13,29.75,住家用,鋼筋混凝土造,97年10月2日,四層,,
RPPOMLLLLHHGFAU88CC,,41.93,集合住宅,鋼筋混凝土造,110年10月8日,五層,,
RPPOMLLLLHHGFAU88CC,,19.29,共有部份,鋼筋混凝土造,110年10月8日,五層,,
RPVOMLPLLHHGFAU27CC,4,37.07,住家用,鋼筋混凝土造,107年5月14日,五層,,
RPUOMLSLLHHGFAU47CC,,83.56,住商用,木造,,一層,,
RPROMLQJMHHGFAU86CC,17,162.70,住商用,鋼筋混凝土造,94年1月24日,四層,,
RPWNMLRJMHHGFAU37CC,24,122.87,住家用,鋼筋混凝土造,87年3月3日,四層,,
RPWNMLRJMHHGFAU37CC,24,46.20,共有部份,鋼筋混凝土造,87年3月3日,四層,,
RPTOMLQJMHHGFAU07CC,36,91.04,商業用,鋼筋混凝土造,75年1月24日,五層,,
RPTOMLQJMHHGFAU07CC,36,9.71,共有部份,鋼筋混凝土造,75年1月24日,五層,,
RPPNMLKMLHHGFAU78CC,17,256.77,住商用,鋼筋混凝土造,93年11月2日,四層,,
RPWNMLLKMHHGFAU86CC,34,249.60,住商用,鋼筋混凝土造,77年7月22日,三層,,
RPRPMLRJMHHGFAU07CC,36,89.24,住家用,鋼筋混凝土造,75年7月16日,五層,,
RPRPMLRJMHHGFAU07CC,36,12.05,共有部份,鋼筋混凝土造,75年7月16日,五層,,
RPRNMLLKMHHGFAU98CC,24,86.24,住商用,鋼筋混凝土造,86年11月25日,五層,,
RPQOMLRJMHHGFAU86CC,26,61.63,住家用,鋼筋混凝土造,85年1月30日,五層,,
RPQOMLRJMHHGFAU86CC,26,9.70,共有部份,鋼筋混凝土造,85年1月30日,五層,,
RPOPMLSJMHHGFAU86CC,27,76.73,住家用,鋼筋混凝土造,84年3月21日,十三層,,
RPOPMLSJMHHGFAU86CC,27,8.42,共有部份,鋼筋混凝土造,84年3月21日,十三層,,
RPOPMLSJMHHGFAU86CC,27,9.58,共有部份,鋼筋混凝土造,84年3月21日,十三層,,
RPSPMLRJMHHGFAU17CC,27,69.84,住家用,鋼筋混凝土造,84年6月30日,七層,,
RPSPMLRJMHHGFAU17CC,27,12.31,共有部份,鋼筋混凝土造,84年6月30日,七層,,
RPSPMLRJMHHGFAU17CC,27,6.05,共有部份,鋼筋混凝土造,84年6月30日,七層,,
RPPOMLLKMHHGFAU88CC,25,92.57,住家用,鋼筋混凝土造,86年8月27日,九層,,
RPSPMLRJMHHGFAU17CC,27,11.20,共有部份,鋼筋混凝土造,84年6月30日,七層,,
RPPOMLLKMHHGFAU88CC,25,15.53,共有部份,鋼筋混凝土造,86年8月27日,九層,,
RPPOMLLKMHHGFAU88CC,25,12.64,共有部份,鋼筋混凝土造,86年8月27日,九層,,
RPPOMLLKMHHGFAU88CC,25,4.15,共有部份,鋼筋混凝土造,86年8月27日,九層,,
RPPPMLSJMHHGFAU96CC,42,305.19,住工用,鋼筋混凝土造,68年11月24日,二層,,
RPOPMLRJMHHGFAU76CC,28,53.44,住家用,鋼筋混凝土造,83年2月2日,七層,,
RPOPMLRJMHHGFAU76CC,,18.16,共有部份,鋼筋混凝土造,,七層,,
RPPOMLRJMHHGFAU76CC,17,268.95,辦公室,鋼筋混凝土造、鋼鐵造有牆,94年4月22日,二層,,
RPWOMLLKMHHGFAU96CC,32,73.23,住商用,鋼筋混凝土造,79年5月24日,七層,,
