編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPJNHHGFAV86DA,光明段,1540.00,都市：其他:農業區,1,1,全筆移轉,06750000
RPQNMLQKNHHGFBV96DA,長光段,5358.38,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,00850001
RPQNMLNKNHHGFCV76DA,豐泉段,109.85,都市：其他:住宅區,1,1,全筆移轉,05870003
RPRNMLNKNHHGFBV76DA,中濱段掃別小段,1690.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,04630000
RPRNMLNKNHHGFBV76DA,中濱段掃別小段,9140.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,04670000
RPQNMLOJNHHGFAV56DA,建興段,3.15,都市：其他:住宅區,10000,50,持分移轉,04120000
RPQNMLOJNHHGFAV56DA,建興段,7.41,都市：其他:住宅區,10000,50,持分移轉,04120002
RPSNMLNJNHHGFDV96DA,秀山段,15.00,都市：其他:出租旅館區,10000,13,持分移轉,07230000
RPSNMLNJNHHGFDV96DA,秀山段,.00,都市：其他:道路用地,10000,13,持分移轉,07230001
RPRNMLPJNHHGFDV07DA,秀山段,15.00,都市：其他:出租旅館區,10000,13,持分移轉,07230000
RPRNMLPJNHHGFDV07DA,秀山段,.00,都市：其他:道路用地,10000,13,持分移轉,07230001
RPPNMLKLNHHGFBV98DA,北都歷段,1441.33,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,00110000
RPQNMLNLNHHGFCV86DA,電光段,5521.83,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05500000
RPWNMLKKNHHGFAV86DA,上岩灣段,72.67,都市：其他:住宅區,100000,1718,持分移轉,01990000
RPUNMLSKNHHGFAV47DA,永和段,103.14,都市：其他:住宅區,1,1,全筆移轉,03300000
RPVNMLLKNHHGFAV86DA,台東段,46.13,都市：其他:住宅區,10000,416,持分移轉,18120000
RPQNMLKLNHHGFAV98DA,利家段,2406.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,71960000
RPRNMLTJNHHGFAV17DA,豐年段,5.00,都市：其他:住宅區,10000,10,持分移轉,00270000
RPSNMLOLNHHGFCV17DA,新興段,1075.46,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00620000
RPSNMLOLNHHGFCV17DA,新興段,1146.47,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00630000
RPQNMLLLNHHGFAV09DA,新中寮段,149.15,都市：其他:道路用地,1,1,全筆移轉,02130000
RPQNMLSJNHHGFAV96DA,中清段,61.12,都市：其他:住宅區,8,1,持分移轉,02120000
