鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
金城鎮,房地(土地+建物),金門縣金城鎮珠浦北路,29.89,住,,,1110212,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.73,3,2,2,有,無,12150000,84534,,0.0,0,,RPPNMLMJLHHGFAW88DB,瑞達高照,A棟0號
金城鎮,房地(土地+建物)+車位,金門縣金城鎮珠浦北路,29.96,住,,,1110212,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.73,3,2,2,有,無,12950000,90099,升降機械,0.0,800000,,RPRNMLMJLHHGFAW09DB,瑞達高照,B棟0號
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉長寮段90-2號,36.88,住,,,1110310,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.5,3,2,2,有,無,5580000,54439,升降機械,0.0,0,,RPPNMLPKLHHGFAW56CB,瓊安學府,A2幢B1棟C2號
金寧鄉,房地(土地+建物),金門縣金寧鄉長寮段90-2號,41.95,住,,,1110329,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.95,3,2,2,有,無,6250000,61912,,0.0,0,,RPPNMLLMLHHGFAW98CB,瓊安學府,A1幢B1棟C1號
金湖鎮,房地(土地+建物),金門縣金湖鎮羅劃測段200，201地號,103.68,住,,,1110321,土地2建物1車位0,全,3,透天厝,住家用,鋼骨混凝土造,,203.57,4,1,5,有,無,10770000,52906,,0.0,0,,RPPNMLLKMHHGFAW88CB,陽光寬庭,B棟04號
金寧鄉,房地(土地+建物),金門縣金寧鄉長寮段90-2號,39.17,住,,,1110407,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.11,3,2,2,有,無,5830000,61949,,0.0,0,,RPPNMLMKMHHGFAW98CB,瓊安學府,A2幢B1棟C3號
金城鎮,房地(土地+建物)+車位,金門縣金城鎮珠浦北路,29.96,住,,,1110404,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.73,3,2,2,有,無,15450000,107493,升降機械,0.0,800000,,RPPNMLSKMHHGFAW07DB,瑞達高照,B棟0號
金城鎮,房地(土地+建物),金門縣金城鎮珠浦北路,29.89,住,,,1110323,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.73,3,2,2,有,無,11500000,80011,,0.0,0,,RPQNMLSKMHHGFAW17DB,瑞達高照,A棟0號
金城鎮,房地(土地+建物),金門縣金城鎮珠浦北路,29.89,住,,,1110331,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.73,3,2,2,有,無,11500000,80011,,0.0,0,,RPRNMLSKMHHGFAW27DB,瑞達高照,B棟0號
金城鎮,房地(土地+建物),金門縣金城鎮珠浦北路,29.89,住,,,1110404,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.73,3,2,2,有,無,12680000,88221,,0.0,0,,RPSNMLSKMHHGFAW37DB,瑞達高照,B棟0號
