編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKLHHGFAW56CB,長寮段,36.88,都市：住,10000,385,持分移轉,00900002
RPPNMLLMLHHGFAW98CB,長寮段,41.95,都市：住,10000,438,持分移轉,00900002
RPRNMLMJLHHGFAW09DB,城西段,29.96,都市：住,10000,417,持分移轉,06390000
RPPNMLSKMHHGFAW07DB,城西段,29.96,都市：住,10000,417,持分移轉,06390000
RPPNMLMJLHHGFAW88DB,城西段,29.89,都市：住,10000,416,持分移轉,06390000
RPPNMLMKMHHGFAW98CB,長寮段,39.17,都市：住,10000,409,持分移轉,00900002
RPPNMLLKMHHGFAW88CB,羅劃測段,54.19,都市：住,100000,5424,持分移轉,02000000
RPPNMLLKMHHGFAW88CB,羅劃測段,49.49,都市：住,100000,5424,持分移轉,02010000
RPQNMLSKMHHGFAW17DB,城西段,29.89,都市：住,10000,416,持分移轉,06390000
RPPNMLQLNHHGFAW96CB,羅劃測段,54.19,都市：住,100000,5424,持分移轉,02000000
RPPNMLQLNHHGFAW96CB,羅劃測段,49.49,都市：住,100000,5424,持分移轉,02010000
RPPNMLLLMHHGFAW98CB,長寮段,39.17,都市：住,10000,409,持分移轉,00900002
RPPNMLKLNHHGFAW98CB,長寮段,41.95,都市：住,10000,438,持分移轉,00900002
RPQNMLKLNHHGFAW09CB,長寮段,41.95,都市：住,10000,438,持分移轉,00900002
RPPNMLPKNHHGFAW86DB,城西段,29.89,都市：住,10000,416,持分移轉,06390000
RPSNMLSKMHHGFAW37DB,城西段,29.89,都市：住,10000,416,持分移轉,06390000
RPRNMLSKMHHGFAW27DB,城西段,29.89,都市：住,10000,416,持分移轉,06390000
