鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
文山區,房地(土地+建物),臺北市文山區景中街,5.77,商,,,1110512,土地1建物1車位0,五層,20,其他,住商用,鋼筋混凝土造,,71.25,0,0,1,有,無,16700000,234386,,0.0,0,,RPPNMLNKNHHGFAA07DB,和暘W,A2-5F號
文山區,房地(土地+建物)+車位,臺北市文山區保儀路,17.93,商,,,1110514,土地1建物1車位2,二十六層,29,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,216.98,0,0,0,無,無,43900000,225200,坡道機械,37.14,3400000,,RPPNMLPKNHHGFAA27DB,天賞大願,A1棟26F號
文山區,房地(土地+建物)+車位,臺北市文山區景中街,6.46,商,,,1110513,土地1建物1車位2,十一層,20,其他,住商用,鋼筋混凝土造,,153.34,0,0,1,有,無,24770000,260080,升降平面,73.48,4000000,,RPPNMLQKNHHGFAA37DB,和暘W,A11-11F號
大安區,房地(土地+建物)+車位,臺北市大安區復興南路二段,16.85,住,,,1110513,土地16建物1車位1,十九層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,184.18,3,1,2,有,無,75860000,488963,坡道平面,39.67,5200000,,RPPNMLQKNHHGFFA77CB,華固大安學府,B1-19F號
大安區,房地(土地+建物)+車位,臺北市大安區復興南路二段,16.89,住,,,1110513,土地16建物1車位1,十九層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,184.25,3,1,2,有,無,78060000,503942,坡道平面,39.67,5200000,,RPQNMLQKNHHGFFA87CB,華固大安學府,B2-19F號
北投區,房地(土地+建物)+車位,臺北市北投區清江里中央南路一段81號,19.92,商,,,1110514,土地36建物1車位3,四層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,308.3,4,2,3,有,無,52550000,208743,坡道平面,89.85,6950000,,RPPNMLQKNHHGFEA67CB,富域,B棟B2-4F號
萬華區,房地(土地+建物),臺北市萬華區糖?里大理街133巷,10.47,其他,,,1110513,土地2建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.34,2,2,1,有,無,15350000,221373,,0.0,0,,RPPNMLQKNHHGFBA37CB,華穗,A4-13F號
萬華區,房地(土地+建物),臺北市萬華區糖?里大理街133巷,11.68,其他,,,1110513,土地2建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.43,2,2,1,有,無,16780000,216712,,0.0,0,,RPRNMLQKNHHGFBA57CB,華穗,A1-8F號
萬華區,房地(土地+建物),臺北市萬華區糖?里大理街133巷,10.47,其他,,,1110513,土地2建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.34,2,2,1,有,無,14400000,207672,,0.0,0,,RPTNMLQKNHHGFBA77CB,華穗,A4-7F號
