鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大肚區,土地,追分段1778地號,2578.0,農,,,1110907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15600000,6051,,0.0,0,,RPTNMLQKQHHGFKB09DA,0.0,0.0,0.0,無,
大甲區,土地,中山段16地號,47.17,住,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,21200,,0.0,0,,RPWNMLLJQHHGFEB18DA,0.0,0.0,0.0,無,
清水區,土地,菁埔北段1191地號,7.95,農,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,131850,16585,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLNJQHHGFFB48DA,0.0,0.0,0.0,無,
清水區,土地,菁埔北段173地號,102.67,農,,,1110801,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1459350,14214,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLNJQHHGFFB58DA,0.0,0.0,0.0,無,
中區,房地(土地+建物),臺中市中區臺灣大道一段３８８號十樓之１,2.55,商,,,1110801,土地5建物1車位0,十層,十二層,套房(1房1廳1衛),辦公用,鋼筋混凝土造,0710630,25.28,1,0,1,有,有,1200000,47468,,0.0,0,,RPPPMLOJQHHGFAB57DA,17.93,0.0,0.0,有,
中區,房地(土地+建物),臺中市中區臺灣大道一段３８８號十樓之２,2.55,商,,,1110801,土地5建物1車位0,十層,十二層,套房(1房1廳1衛),辦公用,鋼筋混凝土造,0710630,24.409999999999997,1,0,1,有,有,1200000,49160,,0.0,0,,RPRPMLOJQHHGFAB77DA,17.06,0.0,0.0,有,00001
西屯區,土地,協安段477-3地號,0.41,都市：其他:河川區,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8815,0,,0.0,0,協議價購；,RPWOMLPJQHHGFCB48DA,0.0,0.0,0.0,無,
霧峰區,土地,南勢西段456地號,84.64,,鄉村區,乙種建築用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,33081,,0.0,0,,RPTOMLLJQHHGFIB38DA,0.0,0.0,0.0,無,00002
西屯區,土地,協安段477-4地號,5.93,都市：其他:河川區,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,127495,21500,,0.0,0,,SPWOMLPJQHHGFCB58DA,0.0,0.0,0.0,無,
新社區,土地,新大南段46地號,9.0,,鄉村區,乙種建築用地,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000,5556,,0.0,0,含土地增值稅或其他稅費；,RPQNMLKKQHHGFGB77DA,0.0,0.0,0.0,無,
太平區,房地(土地+建物),臺中市太平區大興十一街１２５巷１０弄７號,65.46,,鄉村區,乙種建築用地,1110803,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0681016,78.8,5,2,2,有,無,4700000,59645,,0.0,0,前屋主原價買回,RPWNMLSJQHHGFJB76DA,78.8,0.0,0.0,無,00003
后里區,房地(土地+建物),臺中市后里區四村路１５７號五樓,31.8,都市：其他:住宅區,,,1110801,土地4建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060216,81.83000000000001,2,2,2,有,無,7100000,86765,,0.0,0,1.公共設施保留地396地號及397地號土地2筆權利範圍各10000分之882將來以徵收方式取得計新台幣50萬元2.債務抵償計新台幣198萬元包含公共設施保留地用地；,RPPQMLSJQHHGFDB38DA,56.02,0.0,8.24,有,
中區,房地(土地+建物),臺中市中區成功路１２８巷１８號４樓之４,6.18,商,,,1110808,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0730424,31.7,1,0,1,有,無,1700000,53628,,0.0,0,,RPXNMLTJQHHGFAB68DA,22.37,0.0,3.63,有,00004
太平區,土地,忠平段621-1地號,68.0,工,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2180420,32065,,0.0,0,買方需支付增值稅畸零地或有合併使用效益；,RPTNMLLKQHHGFJB58EA,0.0,0.0,0.0,無,
大甲區,土地,西勢段158-1地號,57.0,,鄉村區,乙種建築用地,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,13158,,0.0,0,,RPPNMLLKQHHGFEB67EA,0.0,0.0,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路三段９５號二十一樓,24.88,商,,,1110801,土地1建物1車位2,二十一層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070627,328.07,3,2,3,有,有,29060000,88579,坡道平面,60.16,0,,RPROMLKKQHHGFBB47DA,156.39,14.57,13.13,有,00005
龍井區,土地,新庄段541地號,88.17,,鄉村區,乙種建築用地,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800600,54447,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLKQHHGFKB58DA,0.0,0.0,0.0,無,
龍井區,房地(土地+建物),臺中市龍井區藝術街６１巷１號四樓之二,7.27,住,,,1110806,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781030,30.259999999999998,1,0,1,有,無,1300000,42961,,0.0,0,含土地增值稅或其他稅費；含仲介費；含地政士服務費；,RPPNMLLKQHHGFKB18DA,21.99,0.0,3.67,無,
