編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPORMLLKQHHGFDC87DA,41,35.46,住商用,鋼筋混凝土造,70年4月9日,三層,一層 二層 三層,全筆移轉
RPPOMLNJQHHGFDC77DA,26,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,十三層 陽台,全筆移轉
RPPOMLNJQHHGFDC77DA,26,4.68,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,持分移轉
RPPOMLNJQHHGFDC77DA,26,1.54,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,持分移轉
RPPOMLNJQHHGFDC77DA,26,1.93,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,持分移轉
RPOPMLOJQHHGFDC87DA,27,19.97,停車場,鋼筋混凝土造,84年3月4日,七層,地下一層,持分移轉
RPOPMLOJQHHGFDC87DA,27,10.98,停車場,鋼筋混凝土造,84年3月4日,七層,地下一層,持分移轉
RPOPMLOJQHHGFDC87DA,27,3.24,共用部份,鋼筋混凝土造,84年3月4日,七層,,持分移轉
RPOPMLOJQHHGFDC87DA,27,3.24,共用部份,鋼筋混凝土造,84年3月4日,七層,,持分移轉
RPVQMLLKQHHGFDC48DA,27,19.97,停車場,鋼筋混凝土造,84年3月4日,七層,地下一層,持分移轉
RPVQMLLKQHHGFDC48DA,27,10.98,停車場,鋼筋混凝土造,84年3月4日,七層,地下一層,持分移轉
RPVQMLLKQHHGFDC48DA,27,3.24,共用部份,鋼筋混凝土造,84年3月4日,七層,,持分移轉
RPVQMLLKQHHGFDC48DA,27,3.24,共用部份,鋼筋混凝土造,84年3月4日,七層,,持分移轉
RPWQMLLKQHHGFDC58DA,46,28.88,住家用,鋼筋混凝土加強磚造,65年8月9日,四層,三層,全筆移轉
RPSOMLRKQHHGFDC58DA,37,6.68,共用部份,鋼筋混凝土造,74年9月12日,四層,,持分移轉
RPSOMLRKQHHGFDC58DA,37,64.38,住家用,鋼筋混凝土造,74年9月12日,四層,二層 陽台,全筆移轉
RPSOMLRKQHHGFDC58DA,37,1.54,共用部份,鋼筋混凝土造,74年9月12日,四層,,持分移轉
RPRQMLSKQHHGFDC78DA,28,90.51,住家用,鋼筋混凝土造,83年6月10日,九層,四層 陽台 花台,全筆移轉
RPRQMLSKQHHGFDC78DA,28,39.23,共用部份,鋼筋混凝土造,83年6月10日,九層,,持分移轉
RPRQMLSKQHHGFDC78DA,28,4.12,共用部份,鋼筋混凝土造,83年6月10日,九層,,持分移轉
RPSQMLSKQHHGFDC88DA,38,107.91,住家用,鋼筋混凝土造,73年7月10日,五層,五層,全筆移轉
RPUOMLSKQHHGFDC88DA,9,157.07,集合住宅、機電設備空間,鋼筋混凝土造,102年10月31日,七層,六層 七層 陽台,全筆移轉
RPUOMLSKQHHGFDC88DA,9,85.70,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會使用空間、樓電梯間、汽車機械升降停車、梯廳、樓梯間、機電設備空間、水箱等共９項。,鋼筋混凝土造,102年10月31日,七層,,持分移轉
RPSNMLMKQHHGFDC08EA,43,46.93,住家用,鋼筋混凝土造,68年6月6日,五層,三層,全筆移轉
RPUNMLQKQHHGFDC68EA,27,58.97,住家用,鋼筋混凝土造,84年8月8日,六層,五層 陽台 花台,全筆移轉
RPQNMLSKQHHGFDC48EA,28,102.72,住家用,鋼筋混凝土造,84年1月17日,五層,二層 陽台,全筆移轉
RPUNMLQKQHHGFDC68EA,27,9.77,共用部份,鋼筋混凝土造,84年8月8日,六層,,持分移轉
RPUNMLQKQHHGFDC68EA,27,11.64,共用部份,鋼筋混凝土造,84年8月8日,六層,,持分移轉
RPQNMLSKQHHGFDC48EA,28,10.87,共用部份,鋼筋混凝土造,84年1月17日,五層,,持分移轉
RPQNMLSKQHHGFDC48EA,28,2.91,壹層：辦公室．超級市場；貳層至肆層：辦公室,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層 陽台 水箱 電梯樓梯間 停車場 機械房 露台 地下二層,持分移轉
RPQNMLTKQHHGFDC58EA,39,83.69,住家用,鋼筋混凝土造,72年4月15日,五層,二層 陽台,全筆移轉
RPROMLOLQHHGFDC28DA,50,78.25,住家用,加強磚造,61年10月20日,三層,二層,全筆移轉
RPWNMLMKQHHGFDC38DA,25,30.16,住家用,鋼筋混凝土造,86年11月21日,十八層,十層 陽台,全筆移轉
RPPNMLRKQHHGFDC18DA,4,111.40,集合住宅,鋼筋混凝土造,108年1月2日,十五層,三層 陽台 雨遮,全筆移轉
RPWNMLMKQHHGFDC38DA,25,6.83,共用部份,鋼筋混凝土造,86年11月21日,十八層,,持分移轉
