鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段、永華七街口,8.43,商,,,1110511,土地1建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.01,0,2,2,有,無,5650000,62276,坡道機械,18.54,950000,,RPRNMLLKNHHGFAD27CB,市政大道,A棟3號
仁德區,房地(土地+建物)+車位,臺南市仁德區德洋二街,37.52,住,,,1110512,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,119.45,3,2,2,有,無,6860000,55924,一樓平面,13.77,950000,,RPPNMLMKNHHGFID97CB,春風NO.5,A07號
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段,8.43,商,,,1110511,土地1建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.75,0,2,2,有,無,7700000,89084,坡道機械,18.54,1000000,,RPUNMLNKNHHGFAD77CB,市政大道,D1-10F號
安南區,房地(土地+建物),臺南市安南區永續二十二街,94.87,住,,,1110515,土地7建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,167.96,3,2,4,有,無,18000000,107168,,0.0,0,,RPPNMLPKNHHGFBD57CB,邰欣地堡69期,B棟27號
麻豆區,房地(土地+建物),臺南市麻豆區新生北路308巷,75.7,住,,,1110514,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,179.8,4,2,5,有,無,13470000,74917,,0.0,0,,RPPNMLQKNHHGFFD08CB,品學苑3,C3棟全號
六甲區,房地(土地+建物),臺南市六甲區龜子港80巷38弄,97.13,,鄉村區,乙種建築用地,1110513,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.24,4,2,4,有,無,7500000,48003,,0.0,0,,RPQNMLQKNHHGFFD18CB,春暖花開,A棟6號
麻豆區,房地(土地+建物)+車位,臺南市麻豆區新生南路756號旁,29.25,住,,,1110515,土地3建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.98,2,2,2,有,無,6270000,76243,其他,11.58,750000,,RPPNMLRKNHHGFFD18CB,逸墅家八期,E3-2F號
西港區,房地(土地+建物),臺南市西港區新興街,84.05,住,,,1110516,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,,202.63,5,2,5,有,無,15000000,74027,,0.0,0,,RPRNMLRKNHHGFGD48CB,City Life,D棟2號
安南區,房地(土地+建物)+車位,臺南市安南區樂活一街6號旁,11.35,住,,,1110511,土地1建物1車位1,十五層,35,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,140.98,2,2,2,有,無,13290000,109589,坡道平面,32.94,1450000,,RPPNMLRKNHHGFBD77CB,湖映白,B棟B2-15F號
