編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLSJQHHGFIE96DA,坡道平面,0,,地下二樓
RPSRMLTJQHHGFEE66DA,坡道平面,1750000,24.79,地下二樓
RPTNMLLKQHHGFGE48DA,坡道平面,1300000,33.99,地下一樓
RPVOMLPJQHHGFEE88DA,坡道平面,0,31.97,地下五樓含以下
RPUOMLPKQHHGFFE98DA,坡道平面,0,23.99,地下三樓
RPQNMLQKQHHGFGE68DA,坡道機械,0,,地下一樓
RPVOMLQKQHHGFGE76EA,升降機械,440000,8.91,地下二樓
RPOOMLSJQHHGFDE38DA,坡道平面,0,,地下一樓
RPPSMLPKQHHGFEE78DA,坡道平面,1900000,22.99,地下一樓
RPURMLSKQHHGFEE86DA,坡道平面,1700000,24.79,地下三樓
RPUPMLRKQHHGFBE88DA,坡道平面,0,,地下三樓
RPUPMLRKQHHGFBE88DA,坡道平面,0,,地下三樓
RPUPMLRKQHHGFBE88DA,坡道平面,0,,地下三樓
RPVNMLMKQHHGFEE58DA,坡道平面,0,,地下一樓
RPQOMLSJQHHGFEE68DA,坡道平面,0,19.61,地下二樓
RPXNMLTKQHHGFBE66EA,坡道平面,0,,地下二樓
RPXNMLTKQHHGFBE66EA,坡道機械,0,,地下二樓
RPRPMLRKQHHGFGE09DA,坡道平面,0,,地下二樓
RPQOMLLKQHHGFGE28DA,坡道平面,1700000,19.38,地下二樓
RPXOMLQKQHHGFBE98DA,塔式車位,1180000,11.15,
RPSOMLRKQHHGFGE09DA,坡道平面,0,,地下一樓
RPPOMLTJQHHGFGE88DA,坡道平面,0,27.25,地下二樓
RPRNMLSKQHHGFDE68DA,坡道平面,0,28.92,地下二樓
RPWNMLRKQHHGFAE78DA,坡道機械,0,,地下一樓
RPPNMLMJQHHGFGE08DA,坡道平面,0,33.82,地下四樓
RPQNMLRKQHHGFIE98DA,坡道平面,0,,地下一樓
RPVPMLLKQHHGFDE58DA,坡道平面,1600000,19.57,地下二樓
RPUNMLKKQHHGFJE78DA,坡道平面,0,,地下一樓
RPWOMLMJQHHGFAE28DA,坡道機械,1000000,5.83,地下一樓
RPTNMLNLQHHGFAE18DA,坡道平面,0,23.76,地下三樓
RPWOMLMLQHHGFIE66DA,坡道機械,0,,地下一樓
RPVNMLPKQHHGFLE96DA,升降機械,0,,地下一樓
RPXOMLMLQHHGFCE78DA,坡道平面,0,,地下三樓
RPUQMLRKQHHGFEE66DA,坡道機械,0,6.61,地下二樓
RPROMLKKQHHGFGE28DA,坡道平面,1800000,19.23,地下二樓
RPROMLKKQHHGFGE28DA,坡道平面,1800000,19.23,地下二樓
RPXPMLOLQHHGFCE56EA,坡道平面,1550000,34.75,地下二樓
RPQOMLKKQHHGFAE57DA,坡道平面,0,16.32,地下一樓
RPVPMLMLQHHGFEE88DA,坡道平面,1750000,24.79,地下二樓
RPVNMLRLQHHGFEE56DA,坡道平面,1700000,24.79,地下三樓
RPSOMLPLQHHGFGE98DA,坡道機械,0,,地下一樓
RPVNMLQLQHHGFLE17DA,升降平面,0,,地下一樓
RPRQMLPLQHHGFBE58DA,坡道平面,0,,地下一樓
RPRQMLPLQHHGFBE58DA,坡道機械,0,,地下一樓
RPPNMLQKQHHGFIE78DA,坡道機械,0,,地下一樓
RPUNMLRLQHHGFEE09DA,坡道平面,1700000,24.79,地下三樓
RPSOMLTLQHHGFEE56DA,坡道平面,0,25.34,地下二樓
RPRPMLOJQHHGFEE48DA,坡道機械,0,9.93,地下二樓
RPOPMLPKQHHGFBE08DA,坡道平面,0,17.55,地下四樓
RPQPMLOLQHHGFCE48EA,坡道平面,850000,30.51,地下二樓
RPQPMLOLQHHGFCE48EA,坡道平面,850000,30.51,地下二樓
RPQPMLOLQHHGFCE48EA,坡道平面,850000,30.51,地下二樓
RPUNMLLKQHHGFFE48DA,坡道機械,0,18.37,地下四樓
RPVNMLSJQHHGFGE66DA,坡道平面,1350000,27.21,地下二樓
RPXOMLQKQHHGFCE09DA,坡道平面,0,,地下二樓
RPQNMLTKQHHGFGE98DA,坡道平面,750000,25.51,地下二樓
RPOQMLSKQHHGFEE78DA,坡道平面,0,32.72,地下二樓
RPUNMLMLQHHGFCE38DA,坡道機械,0,16.31,地下四樓
RPSOMLLMQHHGFEE58EA,坡道平面,0,19.49,地下二樓
RPSOMLLMQHHGFEE58EA,坡道平面,0,19.49,地下二樓
RPTOMLRKQHHGFDE88DA,坡道平面,0,,地下一樓
RPUNMLTLQHHGFJE17DA,坡道平面,0,,地下一樓
RPWRMLOLQHHGFEE76DA,坡道機械,0,11.06,地下二樓
RPRNMLRLQHHGFCE58DA,坡道平面,0,,地下一樓
RPQNMLMLQHHGFAE77DA,坡道平面,0,38.98,地下二樓
RPWOMLKMQHHGFAE38DA,坡道平面,0,,地下一樓
RPOOMLSKQHHGFGE78DA,坡道平面,0,20.00,地下一樓
RPOOMLSKQHHGFGE78DA,坡道平面,0,20.00,地下一樓
RPRNMLSKQHHGFGE98DA,坡道機械,0,17.42,地下二樓
RPXOMLQLQHHGFDE66DA,坡道機械,0,5.93,地下三樓
RPRPMLLMQHHGFEE58EA,坡道平面,1950000,25.84,地下五樓含以下
RPPNMLLMQHHGFGE28DA,坡道平面,0,,地下一樓
RPUOMLKMQHHGFEE58DA,坡道平面,1200000,,地下一樓
RPUNMLNLQHHGFAE28DA,坡道機械,0,15.87,地下三樓
RPVNMLPLQHHGFAE58DA,坡道平面,2300000,24.97,地下三樓
RPXNMLLMQHHGFAE58EA,坡道平面,0,19.52,地下一樓
RPROMLLMQHHGFJE88DA,坡道平面,0,,地下一樓
RPPNMLMJRHHGFEE08EA,坡道平面,0,,地下二樓
RPOOMLLJRHHGFGE08DA,坡道平面,1700000,16.73,地下二樓
RPUNMLPJRHHGFEE88EA,坡道平面,0,,地下一樓
RPVNMLLJRHHGFDE38DA,坡道平面,1500000,30.28,地下三樓
RPVNMLLJRHHGFCE28DA,坡道平面,0,24.40,地下二樓
RPUOMLMJRHHGFCE38DA,一樓平面,0,,一樓
RPQRMLMKQHHGFEE48DA,坡道機械,0,25.91,地下二樓
RPXPMLRKQHHGFGE07DA,坡道平面,0,,地下一樓
RPWNMLPKQHHGFGE56DA,坡道機械,0,6.04,地下二樓
RPQOMLQLQHHGFBE38DA,升降平面,0,,地下一樓
RPTNMLKMQHHGFDE28DA,坡道平面,0,22.94,地下二樓
RPROMLLJRHHGFDE08DA,坡道機械,0,,地下二樓
RPQQMLPLQHHGFEE78DA,坡道機械,1100000,25.14,地下三樓
RPXNMLPLQHHGFDE09DA,坡道平面,0,13.44,地下二樓
RPOQMLPLQHHGFEE58DA,坡道平面,1950000,41.67,地下一樓
RPTOMLPJRHHGFEE78DA,坡道平面,0,,地下一樓
RPUPMLLJRHHGFEE58DA,坡道平面,0,15.03,地下二樓
RPTOMLNJQHHGFGE68DA,坡道平面,2000000,15.23,地下二樓
