鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
新屋區,房地(土地+建物)+車位,桃園市新屋區民族路六段341號旁，高洲五街,20.89,住,,,1110511,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,138.17,2,2,2,有,無,10000000,79815,坡道平面,32.3,1550000,,RPRNMLLKNHHGFDH97CB,宜誠樂聚,A2棟06號
龍潭區,房地(土地+建物)+車位,桃園市龍潭區 大昌路一段60號旁,34.97,住,,,1110513,土地1建物1車位1,十層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,197.07,4,2,2,有,無,14750000,81271,坡道平面,30.96,1250000,,RPPNMLOKNHHGFCH97CB,華曜大謙,A5棟0號
龍潭區,房地(土地+建物)+車位,桃園市龍潭區 大昌路一段60號旁,28.6,住,,,1110514,土地1建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,169.09,3,2,2,有,無,12910000,85405,坡道平面,33.15,1300000,,RPPNMLPKNHHGFCH08CB,華曜大謙,A2棟0號
大園區,房地(土地+建物)+車位,桃園市大園區領航北路四段B5棟,33.67,住,,,1110515,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,,165.16,3,2,2,有,無,19540000,133484,坡道平面,32.26,1800000,,RPQNMLPKNHHGFEH38CB,桃大玥,B5棟0號
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段與民富十一街口,31.62,住,,,1110511,土地1建物1車位1,三層,20,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,185.62,3,2,2,有,無,21920000,132805,坡道平面,34.12,1800000,,RPRNMLPKNHHGFAH08CB,吾界,D棟3F號
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段與民富十一街口,37.54,住,,,1110511,土地1建物1車位2,十三層,20,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,247.86,4,2,2,有,無,24950000,119419,坡道平面,68.24,3500000,,RPTNMLPKNHHGFAH28CB,吾界,B棟13F號
桃園區,房地(土地+建物)+車位,桃園市桃園區忠一路及文中東路口附近,16.25,住,,,1110511,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.91,2,2,1,有,無,10200000,105065,坡道平面,36.15,1820000,,RPQNMLQKNHHGFAH08CB,竑門苒苒,A2-2F號
桃園區,房地(土地+建物)+車位,桃園市桃園區忠一路及文中東路口附近,18.97,住,,,1110513,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.62,2,2,1,有,無,12050000,107442,坡道平面,36.15,1900000,,RPRNMLQKNHHGFAH18CB,竑門苒苒,A5-5F號
桃園區,房地(土地+建物)+車位,桃園市桃園區忠一路及文中東路口附近,16.25,住,,,1110516,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.91,2,2,1,有,無,10750000,109077,坡道平面,36.15,2050000,,RPXNMLQKNHHGFAH78CB,竑門苒苒,A2-7F號
中壢區,房地(土地+建物)+車位,桃園市中壢區民權路四段557巷13旁,18.85,住,,,1110515,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.92,2,2,1,有,無,12110000,118226,坡道平面,36.56,1900000,,RPSNMLQKNHHGFBH38CB,誠佳品學,C2-10F號
中壢區,房地(土地+建物)+車位,桃園市中壢區青雲路與青商路交叉口,13.6,商,,,1110514,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.34,3,2,2,有,無,15080000,137182,坡道平面,31.45,2200000,,RPXNMLQKNHHGFBH88CB,麗江星漾,A2-5F號
中壢區,房地(土地+建物)+車位,桃園市中壢區民權路四段438號之對面,58.14,住,,,1110514,土地13建物1車位2,十九層,25,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,401.75,4,2,3,有,無,58700000,159319,坡道平面,62.18,4600000,建照變更中交易總價含下列非屬預售屋價格之費用:毛胚屋；,RPPOMLQKNHHGFBH18CB,威均青塘園,A1棟19F號
八德區,房地(土地+建物)+車位,桃園市八德區中華路與中華路5巷交叉口,20.34,住,,,1110516,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.41,3,2,2,有,無,12920000,95186,坡道平面,29.96,1550000,,RPPNMLQKNHHGFFH48CB,佳展好市佳,A3棟7號
龜山區,房地(土地+建物)+車位,桃園市龜山區長慶三街,23.6,住,,,1110515,土地1建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.07,4,2,2,有,無,17800000,100263,坡道平面,61.06,2960000,,RPOOMLQKNHHGFHH68CB,和發大境,A棟3-11F號
觀音區,房地(土地+建物)+車位,桃園市觀音區白玉里14鄰42-2號旁,25.8,,一般農業區,甲種建築用地,1110515,土地1建物1車位1,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.5,2,2,2,有,無,5370000,53717,一樓平面,15.01,1100000,,RPQNMLQKNHHGFBH28DB,冠家澄家,B5-1F號
觀音區,房地(土地+建物),桃園市觀音區白玉里14鄰42-2號旁,25.62,,一般農業區,甲種建築用地,1110514,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.98,2,2,2,有,無,4340000,54951,,0.0,0,,RPRNMLQKNHHGFBH38DB,冠家澄家,B3-1F號
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路樂善三路交叉路口,9.1,商,,,1110511,土地1建物1車位1,二十層,31,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.14,2,2,2,有,無,12020000,112770,坡道平面,31.4,1900000,雨遮面積登記不計價,RPPNMLRKNHHGFHH78CB,允將大作,C棟20號
龜山區,房地(土地+建物),桃園市龜山區文化一路C10-09F,7.01,商,,,1110513,土地1建物1車位0,九層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,87.67,0,0,1,有,無,9660000,110186,,0.0,0,,RPXNMLRKNHHGFHH96CB,大亮泊,C棟10號
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路C04-13F,5.36,商,,,1110512,土地1建物1車位1,十三層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,100.93,0,0,1,有,無,8377000,101164,坡道平面,33.94,1600000,,RPROMLRKNHHGFHH09CB,大亮泊,C棟04號
大園區,房地(土地+建物)+車位,桃園市大園區科一街與科三街交叉口旁,31.68,住,,,1110514,土地2建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.9,2,2,2,有,無,8980000,72593,坡道平面,43.86,1500000,,RPRNMLRKNHHGFEH68CB,高誠君閱,B棟2-10F號
中壢區,房地(土地+建物)+車位,桃園市中壢區高鐵北路一段,8.66,商,,,1110514,土地2建物1車位1,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.32,1,1,1,有,無,12810000,138661,坡道平面,29.36,2000000,,RPPPMLRKNHHGFBH38CB,亞昕喜徠登,A棟A15-15F號
中壢區,房地(土地+建物),桃園市中壢區高鐵北路一段,8.48,商,,,1110514,土地2建物1車位0,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.45,1,1,1,有,無,10900000,142577,,0.0,0,,RPRPMLRKNHHGFBH58CB,亞昕喜徠登,A棟A13-15F號
中壢區,房地(土地+建物)+車位,桃園市中壢區青埔路一段與青商路交叉口,16.79,商,,,1110513,土地5建物1車位1,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.35,3,2,2,有,無,17100000,129474,坡道平面,23.18,1800000,,RPSPMLRKNHHGFBH68CB,新潤君頤,A棟8-6F號
中壢區,房地(土地+建物)+車位,桃園市中壢區高鐵南路三段與圓光路交叉口附近,22.95,,特定農業區,甲種建築用地,1110511,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.67,2,2,1,有,無,10210000,95890,坡道平面,27.88,1600000,,RPVPMLRKNHHGFBH98CB,丰城掬翠,A1棟A9F號
桃園區,房地(土地+建物)+車位,桃園市桃園區朝陽街,30.8,住,,,1110514,土地1建物1車位2,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,248.66,4,2,3,有,無,26330000,111664,坡道平面,49.58,4100000,,RPRNMLRKNHHGFAH28CB,昭揚天?,L棟L1-02F號
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路吉安街交叉口,12.61,住,,,1110511,土地2建物1車位1,十八層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.37,2,2,2,有,無,11580000,109998,坡道平面,24.55,1700000,,RPQOMLSKNHHGFAH38CB,璟都米蘭,B棟B9-18F號
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路吉安街交叉口,13.5,住,,,1110511,土地2建物1車位1,二十三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.68,2,2,2,有,無,12980000,114740,坡道平面,24.55,1950000,,RPSOMLSKNHHGFAH58CB,璟都米蘭,A棟A8-23F號
中壢區,房地(土地+建物)+車位,桃園市中壢區青峰路一段35號旁,11.33,商,,,1110514,土地2建物1車位1,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.16,2,2,1,有,無,14840000,146465,坡道平面,31.08,1500000,,RPVNMLSKNHHGFBH88CB,國家大院,B棟B20-9F號
中壢區,房地(土地+建物)+車位,桃園市中壢區青峰路一段35號旁,14.81,商,,,1110514,土地2建物1車位1,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.33,3,2,2,有,無,18630000,141551,坡道平面,31.08,1750000,,RPWNMLSKNHHGFBH98CB,國家大院,C棟C14-14F號
龜山區,房地(土地+建物)+車位,桃園市龜山區文桃路,15.36,商,,,1110515,土地1建物1車位1,十層,28,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,182.12,3,2,2,有,無,16650000,107554,坡道平面,44.98,1900000,,RPPNMLTKNHHGFHH98CB,維特魯威,A棟1-10F號
龜山區,房地(土地+建物)+車位,桃園市龜山區文桃路,15.36,商,,,1110515,土地1建物1車位1,六層,28,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,182.12,3,2,2,有,無,16800000,107190,坡道平面,44.98,2100000,,RPQNMLTKNHHGFHH09CB,維特魯威,A棟1-6F號
平鎮區,房地(土地+建物)+車位,桃園市平鎮區莒光路與萬興街交叉口,30.26,住,,,1110516,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.73,4,2,2,有,無,17860000,101626,坡道平面,37.7,1800000,,RPPNMLTKNHHGFGH88CB,百川達硯,A棟A1-10號
中壢區,房地(土地+建物)+車位,桃園市中壢區民權路四段438號之對面,58.14,住,,,1110515,土地13建物1車位3,九層,25,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,432.84,4,2,3,有,無,64260000,168920,坡道平面,93.27,6900000,建照變更中,RPSOMLKLNHHGFBH97CB,威均青塘園,B1棟9F號
桃園區,房地(土地+建物)+車位,桃園市桃園區溫州一路中路二段25地號,13.84,住,,,1110514,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.36,2,2,1,有,無,13260000,118777,坡道平面,24.93,1450000,,RPRNMLKLNHHGFAH67CB,嘉璟一品硯,B棟8-07F號
